Date,Open,High,Low,Close,Volume
13/02/2008,0.21,0.21,0.2,0.21,385001
14/02/2008,0.2,0.2,0.2,0.2,50000
15/02/2008,0.2,0.2,0.2,0.2,140000
18/02/2008,0.2,0.2,0.2,0.2,200000
19/02/2008,0.2,0.205,0.2,0.2,120000
20/02/2008,0.2,0.2,0.2,0.2,10000
21/02/2008,0.2,0.2,0.2,0.2,17635
22/02/2008,0.2,0.2,0.2,0.2,32365
25/02/2008,0.2,0.2,0.2,0.2,20135
26/02/2008,0.195,0.195,0.195,0.195,50000
27/02/2008,0.19,0.19,0.18,0.18,98835
28/02/2008,0.18,0.19,0.18,0.185,107365
29/02/2008,0.185,0.195,0.185,0.195,117703
03/03/2008,0.195,0.195,0.185,0.185,17000
04/03/2008,0.195,0.195,0.18,0.18,104000
05/03/2008,0.18,0.18,0.18,0.18,60000
06/03/2008,0.18,0.18,0.18,0.18,0
07/03/2008,0.18,0.18,0.18,0.18,110000
10/03/2008,0.18,0.18,0.165,0.165,36297
11/03/2008,0.17,0.17,0.165,0.165,37500
12/03/2008,0.17,0.17,0.17,0.17,25000
13/03/2008,0.17,0.17,0.165,0.165,74365
14/03/2008,0.165,0.165,0.165,0.165,25000
17/03/2008,0.165,0.165,0.16,0.16,100000
18/03/2008,0.165,0.165,0.165,0.165,50000
19/03/2008,0.165,0.17,0.165,0.165,35000
20/03/2008,0.165,0.165,0.165,0.165,0
25/03/2008,0.17,0.17,0.17,0.17,100000
26/03/2008,0.165,0.165,0.165,0.165,85000
27/03/2008,0.17,0.17,0.17,0.17,60000
28/03/2008,0.17,0.17,0.17,0.17,0
31/03/2008,0.17,0.17,0.17,0.17,770
01/04/2008,0.175,0.175,0.175,0.175,100000
02/04/2008,0.175,0.175,0.175,0.175,770
03/04/2008,0.17,0.17,0.17,0.17,25000
04/04/2008,0.17,0.17,0.17,0.17,0
07/04/2008,0.175,0.175,0.175,0.175,74230
08/04/2008,0.17,0.17,0.165,0.17,60000
09/04/2008,0.17,0.17,0.17,0.17,0
10/04/2008,0.17,0.17,0.17,0.17,125000
11/04/2008,0.17,0.17,0.17,0.17,0
14/04/2008,0.17,0.17,0.17,0.17,0
15/04/2008,0.17,0.17,0.17,0.17,0
16/04/2008,0.17,0.17,0.17,0.17,0
17/04/2008,0.17,0.17,0.17,0.17,60000
18/04/2008,0.17,0.17,0.17,0.17,0
21/04/2008,0.19,0.19,0.18,0.18,10000
22/04/2008,0.18,0.18,0.18,0.18,20000
23/04/2008,0.18,0.18,0.18,0.18,0
24/04/2008,0.18,0.18,0.18,0.18,0
28/04/2008,0.18,0.18,0.18,0.18,0
29/04/2008,0.18,0.18,0.18,0.18,0
30/04/2008,0.18,0.18,0.18,0.18,0
01/05/2008,0.18,0.18,0.18,0.18,0
02/05/2008,0.18,0.18,0.18,0.18,0
05/05/2008,0.18,0.18,0.18,0.18,0
06/05/2008,0.2,0.2,0.2,0.2,10000
07/05/2008,0.2,0.2,0.2,0.2,0
08/05/2008,0.21,0.21,0.21,0.21,10000
09/05/2008,0.23,0.23,0.23,0.23,25000
12/05/2008,0.23,0.23,0.23,0.23,0
13/05/2008,0.23,0.23,0.23,0.23,0
14/05/2008,0.23,0.23,0.23,0.23,0
15/05/2008,0.23,0.23,0.23,0.23,0
16/05/2008,0.23,0.23,0.23,0.23,0
19/05/2008,0.23,0.23,0.23,0.23,0
20/05/2008,0.23,0.23,0.23,0.23,0
21/05/2008,0.23,0.23,0.2,0.2,40000
22/05/2008,0.2,0.2,0.2,0.2,0
23/05/2008,0.2,0.2,0.2,0.2,0
26/05/2008,0.2,0.2,0.2,0.2,0
27/05/2008,0.2,0.2,0.2,0.2,0
28/05/2008,0.18,0.18,0.18,0.18,30000
29/05/2008,0.18,0.18,0.18,0.18,50000
30/05/2008,0.18,0.18,0.18,0.18,0
02/06/2008,0.18,0.18,0.18,0.18,0
03/06/2008,0.18,0.18,0.18,0.18,25000
04/06/2008,0.18,0.18,0.18,0.18,25000
