Date,Open,High,Low,Close,Volume
30/04/2021,0.25,0.26,0.22,0.23,6389219
03/05/2021,0.23,0.235,0.21,0.22,1834722
04/05/2021,0.225,0.24,0.21,0.235,1856227
05/05/2021,0.24,0.24,0.235,0.235,1146667
06/05/2021,0.235,0.255,0.23,0.235,2934506
07/05/2021,0.235,0.245,0.225,0.24,879068
10/05/2021,0.245,0.245,0.235,0.235,145202
11/05/2021,0.235,0.235,0.215,0.215,695858
12/05/2021,0.215,0.23,0.215,0.22,1036018
13/05/2021,0.22,0.23,0.215,0.23,367871
14/05/2021,0.22,0.22,0.21,0.215,634267
17/05/2021,0.23,0.23,0.21,0.21,60841
18/05/2021,0.22,0.22,0.22,0.22,2272
19/05/2021,0.22,0.23,0.205,0.22,567934
20/05/2021,0.21,0.215,0.205,0.215,137560
21/05/2021,0.215,0.215,0.205,0.205,112649
24/05/2021,0.205,0.21,0.205,0.205,104756
25/05/2021,0.2,0.2,0.2,0.2,153100
26/05/2021,0.2,0.2,0.2,0.2,10000
27/05/2021,0.2,0.2,0.19,0.195,134438
28/05/2021,0.195,0.195,0.19,0.19,44880
31/05/2021,0.19,0.19,0.19,0.19,19125
01/06/2021,0.19,0.19,0.19,0.19,4500
02/06/2021,0.195,0.2,0.195,0.2,25000
03/06/2021,0.2,0.2,0.18,0.18,286326
04/06/2021,0.195,0.23,0.195,0.2,277113
07/06/2021,0.2,0.215,0.2,0.215,17330
08/06/2021,0.215,0.22,0.2,0.21,327862
09/06/2021,0.21,0.215,0.19,0.2,183485
10/06/2021,0.21,0.215,0.2,0.215,105130
11/06/2021,0.2,0.215,0.195,0.205,28787
15/06/2021,0.195,0.195,0.195,0.195,47968
16/06/2021,0.195,0.195,0.195,0.195,26517
17/06/2021,0.195,0.2,0.18,0.18,380532
18/06/2021,0.195,0.2,0.195,0.2,217900
21/06/2021,0.2,0.2,0.2,0.2,48214
22/06/2021,0.2,0.2,0.19,0.19,18000
23/06/2021,0.19,0.19,0.18,0.19,192551
24/06/2021,0.19,0.19,0.19,0.19,0
25/06/2021,0.18,0.18,0.175,0.175,60262
28/06/2021,0.18,0.195,0.18,0.195,175184
29/06/2021,0.185,0.185,0.185,0.185,51620
30/06/2021,0.185,0.185,0.18,0.185,177983
