Date,Open,High,Low,Close,Volume
02/07/2001,2.47,2.47,2.43,2.45,170981
03/07/2001,2.47,2.48,2.46,2.47,159670
04/07/2001,2.43,2.5,2.43,2.5,55723
05/07/2001,2.5,2.7,2.5,2.7,53191
06/07/2001,2.641,2.7,2.61,2.64,30938
09/07/2001,2.6,2.6,2.59,2.6,54238
10/07/2001,2.65,2.65,2.65,2.65,23024
11/07/2001,2.65,2.65,2.63,2.65,65353
12/07/2001,2.65,2.79,2.6,2.79,177723
13/07/2001,2.856,2.94,2.76,2.76,183541
16/07/2001,2.85,2.88,2.84,2.88,120553
17/07/2001,2.86,2.86,2.8,2.8,45500
18/07/2001,2.86,2.86,2.78,2.78,71020
19/07/2001,2.8,2.8,2.74,2.74,39232
20/07/2001,2.75,2.76,2.75,2.76,91000
23/07/2001,2.72,2.72,2.65,2.69,98242
24/07/2001,2.72,2.72,2.7,2.7,35200
25/07/2001,2.71,2.71,2.62,2.65,141040
26/07/2001,2.69,2.69,2.62,2.62,24660
27/07/2001,2.62,2.7,2.61,2.61,15380
30/07/2001,2.62,2.62,2.6,2.6,31400
31/07/2001,2.65,2.65,2.6,2.6,17000
01/08/2001,2.6,2.65,2.6,2.65,11648
02/08/2001,2.65,2.69,2.65,2.65,51383
03/08/2001,2.65,2.65,2.62,2.62,79690
06/08/2001,2.6,2.65,2.6,2.65,138245
07/08/2001,2.7,2.7,2.65,2.68,44508
08/08/2001,2.6,2.64,2.6,2.64,49023
09/08/2001,2.636,2.65,2.636,2.65,9954
10/08/2001,2.61,2.65,2.6,2.65,39800
13/08/2001,2.65,2.65,2.6,2.6,20900
14/08/2001,2.62,2.65,2.62,2.65,5500
15/08/2001,2.65,2.65,2.62,2.65,92821
16/08/2001,2.64,2.65,2.64,2.64,8240
17/08/2001,2.625,2.625,2.62,2.62,7500
20/08/2001,2.64,2.64,2.62,2.62,4444
21/08/2001,2.6,2.6,2.6,2.6,936
22/08/2001,2.62,2.65,2.62,2.65,24700
23/08/2001,2.641,2.641,2.61,2.64,14800
24/08/2001,2.6,2.63,2.6,2.63,9175
27/08/2001,2.622,2.622,2.61,2.62,5170
28/08/2001,2.62,2.63,2.61,2.63,16376
29/08/2001,2.61,2.61,2.6,2.6,20999
30/08/2001,2.57,2.57,2.5,2.5,30631
31/08/2001,2.5,2.52,2.5,2.5,77973
03/09/2001,2.5,2.52,2.5,2.5,71651
04/09/2001,2.51,2.52,2.5,2.5,106345
05/09/2001,2.5,2.5,2.5,2.5,46590
06/09/2001,2.53,2.53,2.53,2.53,200
07/09/2001,2.53,2.53,2.5,2.53,5230
10/09/2001,2.53,2.53,2.51,2.53,25920
11/09/2001,2.54,2.54,2.5,2.53,36000
12/09/2001,2.5,2.5,2.43,2.43,8300
13/09/2001,2.43,2.48,2.43,2.46,10303
14/09/2001,2.45,2.45,2.43,2.43,18500
17/09/2001,2.424,2.424,2.39,2.39,14510
18/09/2001,2.395,2.4,2.35,2.35,11500
19/09/2001,2.45,2.5,2.45,2.5,5670
20/09/2001,2.47,2.47,2.37,2.4,31051
21/09/2001,2.42,2.42,2.37,2.378,38845
24/09/2001,2.38,2.42,2.37,2.39,10912
25/09/2001,2.42,2.42,2.39,2.39,9080
26/09/2001,2.4,2.5,2.4,2.5,23220
27/09/2001,2.5,2.62,2.5,2.62,12260
28/09/2001,2.6,2.61,2.55,2.55,18635
01/10/2001,2.57,2.57,2.55,2.56,4275
02/10/2001,2.55,2.55,2.55,2.55,175
03/10/2001,2.55,2.6,2.55,2.55,11300
04/10/2001,2.55,2.65,2.55,2.6,82119
05/10/2001,2.64,2.75,2.64,2.75,37776
08/10/2001,2.75,2.75,2.69,2.75,97149
09/10/2001,2.75,2.75,2.69,2.7,59088
10/10/2001,2.74,2.75,2.74,2.75,27200
11/10/2001,2.75,2.75,2.7,2.75,12736
12/10/2001,2.71,2.74,2.71,2.74,15987
15/10/2001,2.72,2.73,2.65,2.65,45705
16/10/2001,2.65,2.7,2.65,2.7,21562
17/10/2001,2.7,2.75,2.7,2.74,22000
18/10/2001,2.74,2.75,2.72,2.74,11060
19/10/2001,2.746,2.75,2.66,2.68,25874
22/10/2001,2.68,2.74,2.68,2.73,20474
23/10/2001,2.74,2.74,2.7,2.7,26253
24/10/2001,2.73,2.74,2.73,2.74,12685
25/10/2001,2.74,2.74,2.69,2.7,31371
26/10/2001,2.7,2.7,2.68,2.7,17790
29/10/2001,2.7,2.7,2.7,2.7,15950
30/10/2001,2.741,2.741,2.71,2.72,48280
31/10/2001,2.7,2.8,2.7,2.78,248527
01/11/2001,2.79,2.79,2.75,2.78,132415
02/11/2001,2.78,2.79,2.76,2.76,75240
05/11/2001,2.76,2.76,2.75,2.75,91250
06/11/2001,2.75,2.75,2.68,2.68,18648
07/11/2001,2.75,2.79,2.75,2.79,19947
08/11/2001,2.79,2.79,2.75,2.79,61450
09/11/2001,2.79,2.83,2.79,2.8,34938
12/11/2001,2.83,2.9,2.83,2.89,79078
13/11/2001,2.89,2.89,2.82,2.82,144694
14/11/2001,2.82,2.86,2.8,2.81,180750
15/11/2001,2.75,2.81,2.75,2.8,29287
16/11/2001,2.81,2.86,2.8,2.8,65265
19/11/2001,2.8,2.9,2.8,2.9,28673
20/11/2001,2.9,2.98,2.9,2.98,126560
21/11/2001,2.96,3.02,2.95,3.02,62063
22/11/2001,3.05,3.05,2.98,3.01,55950
23/11/2001,3,3,2.95,2.97,34378
26/11/2001,2.97,3.02,2.97,3.02,66547
27/11/2001,3,3,2.95,2.95,15714
28/11/2001,2.958,3.01,2.95,2.98,39118
29/11/2001,3,3.01,2.97,3,94050
30/11/2001,3,3,2.97,3,139550
