Date,Open,High,Low,Close,Volume
21/09/2018,0.205,0.205,0.17,0.185,2146354
24/09/2018,0.185,0.195,0.17,0.17,687572
25/09/2018,0.18,0.18,0.17,0.175,328530
26/09/2018,0.17,0.172,0.165,0.17,255000
27/09/2018,0.17,0.175,0.16,0.16,349044
28/09/2018,0.17,0.177,0.16,0.175,201826
01/10/2018,0.175,0.175,0.165,0.165,376940
02/10/2018,0.15,0.155,0.15,0.15,212500
03/10/2018,0.155,0.155,0.155,0.155,3300
04/10/2018,0.155,0.155,0.155,0.155,133700
05/10/2018,0.155,0.155,0.15,0.15,175356
08/10/2018,0.145,0.145,0.145,0.145,2550
09/10/2018,0.15,0.165,0.15,0.16,663650
10/10/2018,0.16,0.16,0.16,0.16,75594
11/10/2018,0.16,0.16,0.15,0.15,18470
12/10/2018,0.16,0.16,0.16,0.16,20520
15/10/2018,0.16,0.16,0.16,0.16,1000
16/10/2018,0.16,0.16,0.16,0.16,9200
17/10/2018,0.16,0.17,0.16,0.17,773265
18/10/2018,0.17,0.18,0.17,0.18,132640
19/10/2018,0.175,0.175,0.17,0.17,159935
22/10/2018,0.17,0.175,0.17,0.175,106000
23/10/2018,0.175,0.175,0.175,0.175,0
24/10/2018,0.175,0.175,0.175,0.175,5000
25/10/2018,0.16,0.16,0.15,0.15,98030
26/10/2018,0.15,0.15,0.145,0.145,42741
29/10/2018,0.155,0.16,0.155,0.16,42000
30/10/2018,0.16,0.16,0.16,0.16,0
31/10/2018,0.155,0.155,0.15,0.15,43600
01/11/2018,0.145,0.145,0.145,0.145,12000
02/11/2018,0.145,0.15,0.14,0.15,85000
05/11/2018,0.15,0.15,0.145,0.15,72592
06/11/2018,0.15,0.15,0.15,0.15,0
07/11/2018,0.175,0.18,0.175,0.18,57142
08/11/2018,0.17,0.175,0.15,0.15,310098
09/11/2018,0.16,0.16,0.16,0.16,45221
12/11/2018,0.16,0.16,0.15,0.155,142114
13/11/2018,0.155,0.155,0.155,0.155,0
14/11/2018,0.145,0.15,0.14,0.15,259968
15/11/2018,0.14,0.14,0.13,0.13,201071
16/11/2018,0.13,0.13,0.125,0.13,200814
19/11/2018,0.125,0.13,0.115,0.12,256923
20/11/2018,0.12,0.12,0.12,0.12,0
21/11/2018,0.115,0.115,0.115,0.115,50000
22/11/2018,0.115,0.115,0.115,0.115,50000
23/11/2018,0.115,0.115,0.115,0.115,5000
26/11/2018,0.115,0.115,0.115,0.115,31000
27/11/2018,0.115,0.115,0.115,0.115,0
28/11/2018,0.115,0.12,0.115,0.12,40000
29/11/2018,0.115,0.14,0.115,0.14,187496
30/11/2018,0.14,0.14,0.14,0.14,0
03/12/2018,0.14,0.14,0.14,0.14,6004
04/12/2018,0.14,0.14,0.14,0.14,0
05/12/2018,0.14,0.14,0.14,0.14,0
06/12/2018,0.14,0.14,0.14,0.14,0
07/12/2018,0.14,0.14,0.14,0.14,0
10/12/2018,0.14,0.14,0.14,0.14,0
11/12/2018,0.14,0.14,0.14,0.14,0
12/12/2018,0.13,0.13,0.12,0.12,1250757
13/12/2018,0.125,0.125,0.125,0.125,20000
14/12/2018,0.125,0.125,0.125,0.125,0
17/12/2018,0.125,0.125,0.125,0.125,0
18/12/2018,0.105,0.125,0.1,0.125,55843
19/12/2018,0.125,0.125,0.125,0.125,0
20/12/2018,0.125,0.125,0.125,0.125,0
21/12/2018,0.125,0.125,0.125,0.125,50000
24/12/2018,0.14,0.14,0.14,0.14,93551
27/12/2018,0.15,0.15,0.135,0.135,354553
28/12/2018,0.135,0.135,0.135,0.135,0
31/12/2018,0.125,0.125,0.125,0.125,8000
02/01/2019,0.125,0.125,0.125,0.125,148447
03/01/2019,0.13,0.13,0.13,0.13,375000
04/01/2019,0.125,0.125,0.12,0.12,161625
07/01/2019,0.115,0.115,0.115,0.115,106830
08/01/2019,0.115,0.12,0.115,0.12,120628
09/01/2019,0.115,0.115,0.105,0.11,318303
10/01/2019,0.11,0.11,0.11,0.11,0
11/01/2019,0.1,0.115,0.1,0.115,238400
14/01/2019,0.125,0.125,0.115,0.115,23200
15/01/2019,0.105,0.115,0.105,0.115,18400
16/01/2019,0.105,0.115,0.1,0.115,81145
17/01/2019,0.115,0.115,0.115,0.115,500
