Date,Open,High,Low,Close,Volume
04/03/2011,0.23,0.25,0.22,0.25,519000
07/03/2011,0.25,0.26,0.25,0.25,93400
08/03/2011,0.265,0.265,0.26,0.26,50000
09/03/2011,0.26,0.26,0.25,0.26,135211
10/03/2011,0.25,0.25,0.25,0.25,18000
11/03/2011,0.245,0.25,0.245,0.25,100000
14/03/2011,0.24,0.24,0.24,0.24,5000
15/03/2011,0.24,0.24,0.205,0.21,437500
16/03/2011,0.225,0.225,0.22,0.22,34700
17/03/2011,0.22,0.22,0.22,0.22,0
18/03/2011,0.22,0.22,0.22,0.22,4601
21/03/2011,0.2,0.2,0.2,0.2,50000
22/03/2011,0.2,0.2,0.2,0.2,40000
23/03/2011,0.21,0.22,0.21,0.22,14477
24/03/2011,0.22,0.22,0.22,0.22,922
25/03/2011,0.23,0.23,0.23,0.23,10000
28/03/2011,0.23,0.23,0.23,0.23,0
29/03/2011,0.235,0.235,0.235,0.235,10000
30/03/2011,0.235,0.235,0.23,0.23,27148
31/03/2011,0.23,0.23,0.23,0.23,0
01/04/2011,0.23,0.23,0.23,0.23,6200
04/04/2011,0.225,0.225,0.22,0.22,27623
05/04/2011,0.22,0.22,0.22,0.22,0
06/04/2011,0.21,0.21,0.21,0.21,54000
07/04/2011,0.21,0.21,0.21,0.21,0
08/04/2011,0.21,0.21,0.21,0.21,52166
11/04/2011,0.21,0.21,0.21,0.21,55000
12/04/2011,0.21,0.21,0.21,0.21,0
13/04/2011,0.2,0.2,0.2,0.2,20000
14/04/2011,0.2,0.2,0.2,0.2,0
15/04/2011,0.2,0.2,0.2,0.2,31000
18/04/2011,0.205,0.205,0.205,0.205,4000
19/04/2011,0.195,0.195,0.195,0.195,10000
20/04/2011,0.195,0.195,0.195,0.195,0
21/04/2011,0.195,0.195,0.195,0.195,0
27/04/2011,0.195,0.195,0.195,0.195,0
28/04/2011,0.195,0.195,0.195,0.195,0
29/04/2011,0.195,0.195,0.195,0.195,0
02/05/2011,0.195,0.195,0.195,0.195,0
03/05/2011,0.19,0.2,0.19,0.2,19000
04/05/2011,0.2,0.2,0.2,0.2,0
05/05/2011,0.15,0.19,0.15,0.19,111000
06/05/2011,0.19,0.19,0.19,0.19,30000
09/05/2011,0.19,0.19,0.19,0.19,0
10/05/2011,0.19,0.19,0.19,0.19,0
11/05/2011,0.19,0.19,0.19,0.19,0
12/05/2011,0.19,0.19,0.19,0.19,0
13/05/2011,0.19,0.19,0.19,0.19,0
16/05/2011,0.19,0.19,0.19,0.19,0
17/05/2011,0.19,0.19,0.19,0.19,0
18/05/2011,0.19,0.19,0.19,0.19,0
19/05/2011,0.19,0.19,0.19,0.19,0
20/05/2011,0.15,0.15,0.15,0.15,50000
23/05/2011,0.15,0.15,0.15,0.15,40000
24/05/2011,0.15,0.15,0.15,0.15,0
25/05/2011,0.15,0.15,0.15,0.15,33000
26/05/2011,0.15,0.15,0.15,0.15,0
27/05/2011,0.15,0.15,0.15,0.15,0
30/05/2011,0.15,0.15,0.15,0.15,0
31/05/2011,0.16,0.16,0.16,0.16,10000
01/06/2011,0.16,0.16,0.16,0.16,0
02/06/2011,0.15,0.15,0.15,0.15,15000
03/06/2011,0.15,0.15,0.15,0.15,0
06/06/2011,0.15,0.15,0.15,0.15,0
07/06/2011,0.15,0.15,0.15,0.15,0
08/06/2011,0.15,0.15,0.15,0.15,0
09/06/2011,0.11,0.12,0.11,0.12,22500
10/06/2011,0.12,0.12,0.12,0.12,50000
14/06/2011,0.12,0.12,0.12,0.12,75000
15/06/2011,0.12,0.12,0.12,0.12,10000
16/06/2011,0.12,0.12,0.12,0.12,0
17/06/2011,0.12,0.13,0.12,0.13,22000
20/06/2011,0.13,0.13,0.13,0.13,0
21/06/2011,0.13,0.13,0.13,0.13,0
22/06/2011,0.13,0.13,0.13,0.13,3000
23/06/2011,0.125,0.13,0.125,0.13,40000
24/06/2011,0.13,0.13,0.13,0.13,10000
27/06/2011,0.13,0.13,0.13,0.13,40000
28/06/2011,0.13,0.13,0.12,0.12,58153
29/06/2011,0.11,0.12,0.11,0.12,45377
30/06/2011,0.1,0.1,0.1,0.1,53847
01/07/2011,0.1,0.1,0.1,0.1,0
04/07/2011,0.1,0.1,0.1,0.1,0
05/07/2011,0.1,0.1,0.1,0.1,0
06/07/2011,0.1,0.1,0.1,0.1,0
07/07/2011,0.1,0.1,0.1,0.1,0
08/07/2011,0.105,0.105,0.1,0.1,40153
11/07/2011,0.1,0.1,0.1,0.1,0
12/07/2011,0.1,0.1,0.1,0.1,0
13/07/2011,0.1,0.1,0.1,0.1,0
14/07/2011,0.1,0.1,0.1,0.1,0
15/07/2011,0.1,0.1,0.1,0.1,0
18/07/2011,0.1,0.1,0.1,0.1,0
19/07/2011,0.1,0.1,0.1,0.1,0
20/07/2011,0.1,0.1,0.1,0.1,0
21/07/2011,0.1,0.1,0.1,0.1,115000
22/07/2011,0.1,0.1,0.1,0.1,0
25/07/2011,0.1,0.1,0.1,0.1,0
26/07/2011,0.1,0.1,0.1,0.1,0
27/07/2011,0.1,0.1,0.1,0.1,0
28/07/2011,0.1,0.1,0.1,0.1,0
29/07/2011,0.1,0.1,0.1,0.1,0
01/08/2011,0.1,0.1,0.1,0.1,0
02/08/2011,0.1,0.1,0.1,0.1,0
03/08/2011,0.1,0.1,0.1,0.1,0
04/08/2011,0.095,0.1,0.095,0.1,35000
05/08/2011,0.1,0.1,0.1,0.1,30000
08/08/2011,0.1,0.1,0.1,0.1,0
09/08/2011,0.081,0.081,0.081,0.081,10000
10/08/2011,0.081,0.081,0.081,0.081,0
11/08/2011,0.081,0.081,0.081,0.081,0
12/08/2011,0.085,0.085,0.085,0.085,25000
15/08/2011,0.085,0.085,0.085,0.085,0
16/08/2011,0.085,0.085,0.085,0.085,0
17/08/2011,0.085,0.085,0.085,0.085,0
18/08/2011,0.085,0.085,0.085,0.085,0
19/08/2011,0.085,0.085,0.085,0.085,0
22/08/2011,0.085,0.085,0.085,0.085,0
23/08/2011,0.081,0.081,0.081,0.081,100000
24/08/2011,0.081,0.081,0.081,0.081,0
25/08/2011,0.081,0.081,0.081,0.081,0
26/08/2011,0.081,0.081,0.081,0.081,20000
29/08/2011,0.085,0.085,0.085,0.085,50000
30/08/2011,0.085,0.085,0.085,0.085,0
31/08/2011,0.082,0.082,0.082,0.082,10000
01/09/2011,0.082,0.082,0.082,0.082,10000
02/09/2011,0.082,0.082,0.082,0.082,10000
05/09/2011,0.082,0.082,0.081,0.081,50000
06/09/2011,0.081,0.081,0.081,0.081,0
07/09/2011,0.081,0.081,0.081,0.081,0
08/09/2011,0.085,0.085,0.085,0.085,20000
09/09/2011,0.085,0.085,0.085,0.085,0
12/09/2011,0.085,0.085,0.085,0.085,0
13/09/2011,0.085,0.085,0.085,0.085,100000
14/09/2011,0.085,0.085,0.085,0.085,0
15/09/2011,0.085,0.085,0.085,0.085,0
16/09/2011,0.085,0.085,0.085,0.085,0
19/09/2011,0.08,0.08,0.08,0.08,66000
20/09/2011,0.085,0.085,0.085,0.085,5000
21/09/2011,0.085,0.085,0.085,0.085,0
22/09/2011,0.085,0.085,0.085,0.085,0
23/09/2011,0.085,0.085,0.085,0.085,0
26/09/2011,0.085,0.085,0.085,0.085,0
27/09/2011,0.085,0.085,0.085,0.085,0
28/09/2011,0.085,0.085,0.085,0.085,0
29/09/2011,0.085,0.085,0.085,0.085,0
30/09/2011,0.085,0.085,0.085,0.085,0
03/10/2011,0.085,0.085,0.085,0.085,0
04/10/2011,0.085,0.085,0.085,0.085,0
05/10/2011,0.085,0.085,0.085,0.085,0
06/10/2011,0.085,0.085,0.085,0.085,0
07/10/2011,0.085,0.085,0.085,0.085,0
10/10/2011,0.085,0.085,0.085,0.085,0
11/10/2011,0.085,0.085,0.085,0.085,0
12/10/2011,0.085,0.085,0.085,0.085,0
13/10/2011,0.085,0.085,0.085,0.085,0
14/10/2011,0.085,0.085,0.085,0.085,0
17/10/2011,0.082,0.084,0.082,0.084,100000
18/10/2011,0.084,0.084,0.084,0.084,0
19/10/2011,0.084,0.084,0.084,0.084,0
20/10/2011,0.084,0.084,0.084,0.084,0
21/10/2011,0.084,0.145,0.084,0.145,470000
24/10/2011,0.17,0.3,0.17,0.255,1156323
25/10/2011,0.28,0.295,0.25,0.265,485300
26/10/2011,0.27,0.27,0.25,0.25,152000
27/10/2011,0.27,0.32,0.27,0.31,603904
28/10/2011,0.32,0.36,0.3,0.33,447463
31/10/2011,0.32,0.335,0.3,0.3,160730
01/11/2011,0.3,0.3,0.3,0.3,207064
02/11/2011,0.32,0.32,0.3,0.3,100000
03/11/2011,0.295,0.295,0.28,0.28,204000
04/11/2011,0.3,0.3,0.27,0.28,93000
07/11/2011,0.27,0.27,0.27,0.27,20000
08/11/2011,0.28,0.3,0.265,0.3,100086
09/11/2011,0.31,0.38,0.305,0.365,405113
10/11/2011,0.33,0.335,0.3,0.335,198775
11/11/2011,0.335,0.335,0.32,0.33,31944
14/11/2011,0.34,0.35,0.315,0.34,195096
15/11/2011,0.31,0.345,0.3,0.34,256319
