Date,Open,High,Low,Close,Volume
21/09/2005,0.34,0.4,0.34,0.36,7472132
22/09/2005,0.375,0.38,0.35,0.355,1856154
23/09/2005,0.355,0.36,0.325,0.33,1151862
26/09/2005,0.33,0.35,0.315,0.34,1186443
27/09/2005,0.34,0.34,0.315,0.33,705773
28/09/2005,0.33,0.33,0.31,0.31,628650
29/09/2005,0.31,0.315,0.29,0.3,546080
30/09/2005,0.29,0.32,0.285,0.32,1119941
03/10/2005,0.32,0.325,0.305,0.305,414449
04/10/2005,0.305,0.305,0.285,0.285,610688
05/10/2005,0.285,0.3,0.28,0.3,255219
06/10/2005,0.29,0.29,0.265,0.28,174449
07/10/2005,0.275,0.275,0.255,0.26,528271
10/10/2005,0.26,0.27,0.25,0.255,134300
11/10/2005,0.255,0.255,0.235,0.235,601512
12/10/2005,0.24,0.25,0.24,0.25,388000
13/10/2005,0.245,0.245,0.23,0.23,280000
14/10/2005,0.225,0.225,0.21,0.22,240000
17/10/2005,0.215,0.22,0.215,0.215,256450
18/10/2005,0.215,0.24,0.215,0.24,172182
19/10/2005,0.24,0.24,0.24,0.24,214250
20/10/2005,0.23,0.23,0.215,0.215,154633
21/10/2005,0.22,0.22,0.185,0.185,237000
24/10/2005,0.2,0.21,0.195,0.21,83393
25/10/2005,0.215,0.23,0.2,0.21,291255
26/10/2005,0.2,0.2,0.19,0.19,246622
27/10/2005,0.2,0.2,0.195,0.195,18378
28/10/2005,0.2,0.2,0.19,0.2,259622
31/10/2005,0.205,0.205,0.18,0.18,154000
01/11/2005,0.19,0.19,0.18,0.185,122350
02/11/2005,0.185,0.19,0.18,0.18,192368
03/11/2005,0.18,0.18,0.18,0.18,0
04/11/2005,0.18,0.18,0.18,0.18,10000
07/11/2005,0.185,0.195,0.185,0.19,108800
08/11/2005,0.19,0.195,0.19,0.195,50400
09/11/2005,0.195,0.195,0.19,0.195,57100
10/11/2005,0.195,0.195,0.19,0.19,31500
11/11/2005,0.19,0.195,0.19,0.195,15000
14/11/2005,0.195,0.195,0.185,0.185,125000
15/11/2005,0.18,0.18,0.165,0.18,68597
16/11/2005,0.18,0.19,0.18,0.19,40000
17/11/2005,0.19,0.19,0.19,0.19,0
18/11/2005,0.185,0.185,0.185,0.185,10000
21/11/2005,0.18,0.18,0.18,0.18,20000
22/11/2005,0.175,0.18,0.175,0.18,56400
23/11/2005,0.175,0.18,0.17,0.18,346524
24/11/2005,0.18,0.18,0.18,0.18,35000
25/11/2005,0.175,0.175,0.175,0.175,12800
28/11/2005,0.17,0.17,0.17,0.17,10000
29/11/2005,0.17,0.17,0.16,0.16,29000
30/11/2005,0.16,0.195,0.16,0.19,229903
01/12/2005,0.19,0.19,0.18,0.18,33000
02/12/2005,0.19,0.195,0.19,0.195,171100
05/12/2005,0.195,0.195,0.195,0.195,0
06/12/2005,0.195,0.215,0.195,0.215,117667
07/12/2005,0.21,0.21,0.2,0.2,121706
08/12/2005,0.2,0.205,0.2,0.205,15000
09/12/2005,0.205,0.205,0.205,0.205,0
12/12/2005,0.205,0.205,0.2,0.2,75000
13/12/2005,0.195,0.195,0.19,0.19,108877
14/12/2005,0.19,0.19,0.185,0.185,163790
15/12/2005,0.19,0.19,0.19,0.19,20000
