Date,Open,High,Low,Close,Volume
02/07/2001,0.3,0.3,0.3,0.3,10000
03/07/2001,0.3,0.32,0.3,0.32,33258
04/07/2001,0.33,0.33,0.33,0.33,9000
05/07/2001,0.32,0.33,0.32,0.33,5000
06/07/2001,0.33,0.33,0.33,0.33,0
09/07/2001,0.3,0.3,0.27,0.27,22752
10/07/2001,0.23,0.23,0.23,0.23,7248
11/07/2001,0.28,0.28,0.28,0.28,5000
12/07/2001,0.29,0.31,0.29,0.3,58000
13/07/2001,0.3,0.3,0.3,0.3,0
16/07/2001,0.3,0.31,0.3,0.31,14101
17/07/2001,0.32,0.32,0.32,0.32,3999
18/07/2001,0.32,0.32,0.32,0.32,0
19/07/2001,0.32,0.32,0.32,0.32,6125
20/07/2001,0.3,0.3,0.3,0.3,50000
23/07/2001,0.3,0.3,0.3,0.3,0
24/07/2001,0.29,0.29,0.28,0.28,15000
25/07/2001,0.28,0.28,0.28,0.28,0
26/07/2001,0.29,0.3,0.29,0.3,7140
27/07/2001,0.285,0.285,0.28,0.28,100000
30/07/2001,0.285,0.285,0.285,0.285,30000
31/07/2001,0.29,0.29,0.285,0.285,108000
01/08/2001,0.29,0.29,0.29,0.29,30000
02/08/2001,0.29,0.295,0.29,0.295,160350
03/08/2001,0.295,0.295,0.295,0.295,0
06/08/2001,0.285,0.285,0.28,0.28,14700
07/08/2001,0.28,0.28,0.28,0.28,0
08/08/2001,0.29,0.29,0.29,0.29,7450
09/08/2001,0.29,0.29,0.29,0.29,0
10/08/2001,0.29,0.29,0.28,0.28,10550
13/08/2001,0.29,0.29,0.28,0.28,22392
14/08/2001,0.28,0.28,0.28,0.28,4000
15/08/2001,0.28,0.28,0.28,0.28,10000
16/08/2001,0.28,0.28,0.28,0.28,0
17/08/2001,0.29,0.29,0.29,0.29,34000
20/08/2001,0.29,0.29,0.29,0.29,625
21/08/2001,0.29,0.29,0.29,0.29,0
22/08/2001,0.29,0.29,0.29,0.29,0
23/08/2001,0.27,0.28,0.27,0.28,10000
24/08/2001,0.27,0.27,0.27,0.27,8200
27/08/2001,0.27,0.27,0.25,0.25,33800
28/08/2001,0.25,0.25,0.25,0.25,4000
29/08/2001,0.25,0.25,0.25,0.25,30000
30/08/2001,0.25,0.25,0.25,0.25,0
31/08/2001,0.25,0.25,0.25,0.25,0
03/09/2001,0.24,0.24,0.23,0.23,22500
04/09/2001,0.23,0.23,0.23,0.23,0
05/09/2001,0.23,0.23,0.23,0.23,0
06/09/2001,0.24,0.24,0.24,0.24,2000
07/09/2001,0.24,0.24,0.24,0.24,10500
10/09/2001,0.24,0.25,0.24,0.25,50500
11/09/2001,0.24,0.24,0.22,0.22,81610
12/09/2001,0.25,0.25,0.25,0.25,16000
13/09/2001,0.25,0.25,0.25,0.25,0
14/09/2001,0.25,0.25,0.25,0.25,0
17/09/2001,0.25,0.25,0.25,0.25,0
18/09/2001,0.25,0.25,0.25,0.25,0
19/09/2001,0.25,0.25,0.25,0.25,0
20/09/2001,0.25,0.25,0.25,0.25,0
21/09/2001,0.24,0.24,0.24,0.24,22000
24/09/2001,0.24,0.24,0.24,0.24,0
25/09/2001,0.24,0.24,0.24,0.24,0
26/09/2001,0.25,0.25,0.25,0.25,6000
27/09/2001,0.25,0.26,0.25,0.26,63008
28/09/2001,0.3,0.3,0.26,0.26,84000
01/10/2001,0.26,0.26,0.26,0.26,0
