Date,Open,High,Low,Close,Volume
28/04/2005,0.21,0.23,0.21,0.225,392500
29/04/2005,0.225,0.24,0.225,0.24,70000
02/05/2005,0.24,0.24,0.23,0.23,47500
03/05/2005,0.23,0.24,0.23,0.23,70000
04/05/2005,0.23,0.25,0.23,0.25,210000
05/05/2005,0.25,0.29,0.25,0.255,248975
06/05/2005,0.26,0.285,0.26,0.285,67000
09/05/2005,0.28,0.34,0.28,0.31,274549
10/05/2005,0.32,0.35,0.31,0.345,374000
11/05/2005,0.35,0.35,0.33,0.33,99700
12/05/2005,0.335,0.4,0.335,0.39,280300
13/05/2005,0.37,0.43,0.3,0.35,374474
16/05/2005,0.325,0.325,0.31,0.31,66000
17/05/2005,0.3,0.3,0.265,0.265,137500
18/05/2005,0.27,0.27,0.26,0.27,87226
19/05/2005,0.295,0.295,0.27,0.27,117774
20/05/2005,0.27,0.29,0.27,0.29,5170
23/05/2005,0.29,0.29,0.29,0.29,0
24/05/2005,0.25,0.255,0.24,0.24,189000
25/05/2005,0.235,0.235,0.23,0.235,130000
26/05/2005,0.23,0.23,0.22,0.22,44700
27/05/2005,0.255,0.255,0.255,0.255,59805
30/05/2005,0.255,0.255,0.25,0.25,87495
31/05/2005,0.25,0.25,0.245,0.245,33000
01/06/2005,0.245,0.25,0.245,0.25,132000
02/06/2005,0.25,0.25,0.25,0.25,0
03/06/2005,0.245,0.245,0.235,0.235,75000
06/06/2005,0.235,0.235,0.235,0.235,5000
07/06/2005,0.25,0.255,0.25,0.255,22750
08/06/2005,0.255,0.265,0.25,0.255,164505
09/06/2005,0.255,0.255,0.255,0.255,4750
10/06/2005,0.25,0.25,0.25,0.25,104000
14/06/2005,0.25,0.25,0.25,0.25,2000
15/06/2005,0.25,0.25,0.25,0.25,59750
16/06/2005,0.255,0.255,0.255,0.255,25000
17/06/2005,0.255,0.255,0.255,0.255,10000
20/06/2005,0.265,0.27,0.265,0.27,17500
21/06/2005,0.27,0.27,0.27,0.27,0
22/06/2005,0.27,0.27,0.27,0.27,0
23/06/2005,0.255,0.265,0.255,0.265,97500
24/06/2005,0.255,0.255,0.255,0.255,19024
27/06/2005,0.255,0.265,0.255,0.265,23476
28/06/2005,0.265,0.265,0.265,0.265,0
29/06/2005,0.25,0.25,0.25,0.25,10000
30/06/2005,0.235,0.235,0.235,0.235,55000
01/07/2005,0.235,0.235,0.23,0.23,30000
04/07/2005,0.23,0.23,0.23,0.23,0
05/07/2005,0.23,0.23,0.23,0.23,103750
06/07/2005,0.24,0.25,0.23,0.23,47245
07/07/2005,0.23,0.23,0.22,0.22,20000
08/07/2005,0.22,0.22,0.19,0.19,50000
11/07/2005,0.19,0.19,0.19,0.19,0
12/07/2005,0.19,0.19,0.19,0.19,0
13/07/2005,0.22,0.22,0.22,0.22,20000
14/07/2005,0.22,0.23,0.22,0.23,105000
15/07/2005,0.25,0.25,0.25,0.25,100000
18/07/2005,0.24,0.25,0.24,0.25,136000
19/07/2005,0.25,0.25,0.25,0.25,0
20/07/2005,0.25,0.265,0.25,0.265,87755
21/07/2005,0.255,0.255,0.25,0.25,50000
22/07/2005,0.25,0.25,0.25,0.25,0
25/07/2005,0.265,0.265,0.24,0.26,93524
26/07/2005,0.26,0.26,0.26,0.26,0
27/07/2005,0.26,0.295,0.26,0.295,124670
28/07/2005,0.295,0.3,0.29,0.3,89600
29/07/2005,0.295,0.295,0.295,0.295,26000
01/08/2005,0.295,0.295,0.27,0.27,54302
02/08/2005,0.26,0.27,0.26,0.26,39198
03/08/2005,0.28,0.285,0.28,0.285,50000
04/08/2005,0.295,0.3,0.27,0.27,100119
05/08/2005,0.285,0.31,0.285,0.31,117279
08/08/2005,0.31,0.31,0.31,0.31,88500
09/08/2005,0.31,0.31,0.31,0.31,31500
10/08/2005,0.31,0.31,0.31,0.31,7500
11/08/2005,0.295,0.295,0.275,0.275,30898
12/08/2005,0.275,0.275,0.275,0.275,20000
15/08/2005,0.29,0.29,0.29,0.29,5000
16/08/2005,0.27,0.27,0.27,0.27,25
17/08/2005,0.27,0.27,0.27,0.27,0
18/08/2005,0.3,0.31,0.275,0.31,211000
19/08/2005,0.295,0.305,0.295,0.3,130000
22/08/2005,0.305,0.305,0.305,0.305,20000
23/08/2005,0.305,0.305,0.28,0.28,23000
24/08/2005,0.28,0.28,0.28,0.28,0
25/08/2005,0.3,0.305,0.3,0.3,117000
26/08/2005,0.3,0.3,0.29,0.29,48000
29/08/2005,0.28,0.285,0.26,0.26,80000
30/08/2005,0.26,0.26,0.26,0.26,0
31/08/2005,0.285,0.285,0.285,0.285,40000
01/09/2005,0.285,0.285,0.285,0.285,5000
02/09/2005,0.285,0.285,0.285,0.285,0
05/09/2005,0.285,0.285,0.285,0.285,0
06/09/2005,0.29,0.295,0.29,0.29,77000
07/09/2005,0.29,0.295,0.29,0.295,42500
08/09/2005,0.3,0.31,0.29,0.3,172100
09/09/2005,0.3,0.3,0.29,0.29,67000
12/09/2005,0.29,0.29,0.29,0.29,0
13/09/2005,0.31,0.31,0.31,0.31,40000
14/09/2005,0.32,0.32,0.32,0.32,30300
15/09/2005,0.32,0.32,0.32,0.32,42700
16/09/2005,0.32,0.34,0.32,0.34,70000
19/09/2005,0.34,0.345,0.335,0.345,120000
20/09/2005,0.345,0.37,0.345,0.37,118772
21/09/2005,0.37,0.37,0.35,0.36,145000
22/09/2005,0.375,0.375,0.37,0.375,45000
23/09/2005,0.36,0.45,0.36,0.43,229825
26/09/2005,0.44,0.6,0.44,0.48,310300
27/09/2005,0.495,0.495,0.405,0.405,274294
28/09/2005,0.43,0.43,0.405,0.405,140000
29/09/2005,0.42,0.45,0.42,0.43,145750
30/09/2005,0.43,0.43,0.42,0.42,86940
03/10/2005,0.435,0.44,0.435,0.435,34260
04/10/2005,0.44,0.475,0.42,0.425,206516
05/10/2005,0.425,0.43,0.42,0.43,82453
06/10/2005,0.44,0.44,0.43,0.43,48506
07/10/2005,0.43,0.43,0.41,0.41,28000
10/10/2005,0.41,0.41,0.41,0.41,441
11/10/2005,0.38,0.38,0.35,0.35,120534
12/10/2005,0.35,0.35,0.35,0.35,0
13/10/2005,0.36,0.375,0.36,0.375,25000
14/10/2005,0.41,0.41,0.4,0.41,70000
17/10/2005,0.4,0.4,0.4,0.4,24850
18/10/2005,0.4,0.4,0.4,0.4,2150
19/10/2005,0.38,0.38,0.38,0.38,5000
20/10/2005,0.38,0.38,0.37,0.37,20000
21/10/2005,0.35,0.35,0.35,0.35,10000
24/10/2005,0.35,0.35,0.35,0.35,695
25/10/2005,0.35,0.35,0.35,0.35,0
26/10/2005,0.32,0.32,0.32,0.32,3000
27/10/2005,0.35,0.385,0.35,0.385,37305
28/10/2005,0.35,0.35,0.35,0.35,10000
31/10/2005,0.32,0.32,0.32,0.32,10000
01/11/2005,0.32,0.32,0.32,0.32,0
02/11/2005,0.32,0.32,0.32,0.32,0
03/11/2005,0.32,0.32,0.32,0.32,0
04/11/2005,0.34,0.34,0.34,0.34,25000
07/11/2005,0.335,0.335,0.32,0.32,25001
08/11/2005,0.3,0.32,0.3,0.32,52000
09/11/2005,0.29,0.29,0.26,0.26,52000
10/11/2005,0.26,0.26,0.26,0.26,18750
11/11/2005,0.26,0.26,0.26,0.26,67000
14/11/2005,0.26,0.26,0.26,0.26,4615
15/11/2005,0.255,0.26,0.255,0.26,50000
16/11/2005,0.26,0.26,0.26,0.26,0
17/11/2005,0.21,0.21,0.21,0.21,100000
18/11/2005,0.21,0.21,0.21,0.21,0
21/11/2005,0.21,0.21,0.21,0.21,10000
22/11/2005,0.21,0.21,0.21,0.21,0
23/11/2005,0.22,0.26,0.22,0.25,103690
24/11/2005,0.25,0.25,0.25,0.25,0
25/11/2005,0.25,0.25,0.25,0.25,53200
28/11/2005,0.25,0.275,0.25,0.275,60000
29/11/2005,0.275,0.275,0.275,0.275,0
30/11/2005,0.275,0.275,0.275,0.275,0
01/12/2005,0.25,0.25,0.25,0.25,8000
02/12/2005,0.235,0.235,0.235,0.235,20000
05/12/2005,0.235,0.235,0.235,0.235,5000
06/12/2005,0.235,0.235,0.235,0.235,0
07/12/2005,0.24,0.24,0.24,0.24,45000
08/12/2005,0.24,0.24,0.22,0.22,17695
09/12/2005,0.24,0.24,0.24,0.24,2100
12/12/2005,0.24,0.24,0.24,0.24,100000
13/12/2005,0.21,0.21,0.21,0.21,3000
14/12/2005,0.22,0.22,0.22,0.22,9000
15/12/2005,0.22,0.22,0.22,0.22,0
16/12/2005,0.21,0.21,0.21,0.21,16000
19/12/2005,0.21,0.21,0.21,0.21,0
20/12/2005,0.21,0.21,0.21,0.21,0
21/12/2005,0.21,0.21,0.21,0.21,0
22/12/2005,0.2,0.2,0.2,0.2,10000
23/12/2005,0.2,0.2,0.2,0.2,0
28/12/2005,0.2,0.2,0.2,0.2,0
29/12/2005,0.21,0.21,0.21,0.21,18800
30/12/2005,0.24,0.24,0.24,0.24,22900
03/01/2006,0.25,0.31,0.25,0.29,679926
04/01/2006,0.3,0.3,0.29,0.29,253016
05/01/2006,0.265,0.265,0.265,0.265,30000
06/01/2006,0.265,0.265,0.265,0.265,8000
09/01/2006,0.265,0.265,0.26,0.26,7000
