Date,Open,High,Low,Close,Volume
25/07/2007,0.3,0.4,0.29,0.4,1263745
26/07/2007,0.42,0.42,0.325,0.325,310572
27/07/2007,0.325,0.37,0.3,0.35,353634
30/07/2007,0.35,0.35,0.32,0.33,196776
31/07/2007,0.33,0.33,0.33,0.33,7300
01/08/2007,0.32,0.32,0.25,0.25,140675
02/08/2007,0.3,0.33,0.29,0.29,158486
03/08/2007,0.32,0.325,0.3,0.3,116411
06/08/2007,0.3,0.33,0.3,0.33,35339
07/08/2007,0.33,0.33,0.3,0.3,38922
08/08/2007,0.31,0.31,0.31,0.31,20000
09/08/2007,0.31,0.31,0.3,0.3,60000
10/08/2007,0.3,0.3,0.3,0.3,30000
13/08/2007,0.29,0.29,0.28,0.28,10000
14/08/2007,0.275,0.275,0.275,0.275,10000
15/08/2007,0.28,0.28,0.265,0.265,137314
16/08/2007,0.25,0.25,0.23,0.23,59266
17/08/2007,0.23,0.25,0.23,0.25,286282
20/08/2007,0.275,0.275,0.275,0.275,30000
21/08/2007,0.275,0.275,0.275,0.275,0
22/08/2007,0.25,0.25,0.25,0.25,60000
23/08/2007,0.28,0.29,0.28,0.28,140000
24/08/2007,0.28,0.28,0.255,0.255,40500
27/08/2007,0.255,0.255,0.255,0.255,95000
28/08/2007,0.255,0.255,0.255,0.255,0
29/08/2007,0.25,0.25,0.24,0.24,140000
30/08/2007,0.24,0.25,0.24,0.25,17500
31/08/2007,0.25,0.25,0.25,0.25,1989
03/09/2007,0.25,0.25,0.25,0.25,0
04/09/2007,0.26,0.26,0.26,0.26,20000
05/09/2007,0.265,0.265,0.265,0.265,511
06/09/2007,0.26,0.26,0.26,0.26,39489
07/09/2007,0.26,0.26,0.25,0.25,74000
10/09/2007,0.28,0.28,0.27,0.27,76000
11/09/2007,0.275,0.285,0.275,0.285,119800
12/09/2007,0.285,0.29,0.28,0.29,61000
13/09/2007,0.29,0.29,0.29,0.29,211000
14/09/2007,0.285,0.285,0.285,0.285,4000
17/09/2007,0.285,0.285,0.285,0.285,0
18/09/2007,0.285,0.285,0.285,0.285,0
19/09/2007,0.285,0.285,0.25,0.25,100000
20/09/2007,0.23,0.25,0.23,0.25,100000
21/09/2007,0.25,0.25,0.25,0.25,0
24/09/2007,0.25,0.25,0.25,0.25,0
25/09/2007,0.27,0.27,0.27,0.27,5000
26/09/2007,0.27,0.27,0.27,0.27,19489
27/09/2007,0.27,0.27,0.27,0.27,28511
28/09/2007,0.27,0.27,0.27,0.27,30099
01/10/2007,0.27,0.27,0.27,0.27,59390
02/10/2007,0.27,0.27,0.27,0.27,0
03/10/2007,0.28,0.29,0.28,0.29,27800
04/10/2007,0.27,0.27,0.27,0.27,10511
05/10/2007,0.27,0.27,0.27,0.27,0
08/10/2007,0.27,0.27,0.26,0.26,234189
09/10/2007,0.26,0.26,0.26,0.26,0
10/10/2007,0.26,0.26,0.26,0.26,0
11/10/2007,0.26,0.26,0.26,0.26,0
12/10/2007,0.26,0.26,0.26,0.26,0
15/10/2007,0.25,0.25,0.25,0.25,20000
16/10/2007,0.25,0.25,0.25,0.25,49189
17/10/2007,0.25,0.25,0.25,0.25,24161
18/10/2007,0.25,0.25,0.25,0.25,35000
19/10/2007,0.26,0.26,0.26,0.26,24000
22/10/2007,0.26,0.26,0.26,0.26,87650
23/10/2007,0.26,0.305,0.26,0.3,311350
24/10/2007,0.305,0.305,0.295,0.295,133650
25/10/2007,0.295,0.295,0.295,0.295,0
26/10/2007,0.295,0.295,0.295,0.295,0
29/10/2007,0.325,0.325,0.325,0.325,30000
30/10/2007,0.315,0.32,0.315,0.32,30000
31/10/2007,0.315,0.35,0.315,0.35,531992
01/11/2007,0.35,0.39,0.34,0.39,72686
02/11/2007,0.37,0.38,0.37,0.37,127728
05/11/2007,0.35,0.35,0.35,0.35,27228
06/11/2007,0.37,0.37,0.37,0.37,5000
07/11/2007,0.37,0.37,0.37,0.37,0
08/11/2007,0.37,0.37,0.37,0.37,0
09/11/2007,0.35,0.35,0.35,0.35,40000
12/11/2007,0.35,0.41,0.35,0.41,296000
13/11/2007,0.45,0.46,0.45,0.45,247500
14/11/2007,0.465,0.5,0.45,0.45,75061
15/11/2007,0.455,0.455,0.455,0.455,35000
16/11/2007,0.465,0.6,0.465,0.6,39455
19/11/2007,0.6,0.6,0.53,0.55,80589
20/11/2007,0.55,0.55,0.55,0.55,8000
21/11/2007,0.55,0.55,0.55,0.55,0
22/11/2007,0.55,0.6,0.55,0.6,87000
23/11/2007,0.55,0.55,0.55,0.55,4000
26/11/2007,0.54,0.54,0.53,0.54,116000
27/11/2007,0.54,0.54,0.54,0.54,14000
28/11/2007,0.54,0.54,0.5,0.5,80000
29/11/2007,0.5,0.5,0.5,0.5,111200
30/11/2007,0.46,0.46,0.45,0.45,50000
03/12/2007,0.45,0.45,0.45,0.45,1800
04/12/2007,0.45,0.45,0.45,0.45,10000
05/12/2007,0.45,0.45,0.45,0.45,40000
06/12/2007,0.45,0.45,0.45,0.45,0
07/12/2007,0.48,0.48,0.42,0.42,7000
10/12/2007,0.43,0.43,0.43,0.43,7500
11/12/2007,0.45,0.45,0.45,0.45,10000
12/12/2007,0.475,0.5,0.475,0.5,49000
13/12/2007,0.5,0.5,0.5,0.5,51000
14/12/2007,0.5,0.5,0.5,0.5,15750
17/12/2007,0.51,0.51,0.5,0.5,12820
18/12/2007,0.5,0.5,0.5,0.5,23800
19/12/2007,0.46,0.46,0.46,0.46,7500
20/12/2007,0.46,0.46,0.46,0.46,0
21/12/2007,0.48,0.48,0.47,0.47,6200
24/12/2007,0.47,0.51,0.43,0.51,60853
27/12/2007,0.51,0.51,0.51,0.51,0
28/12/2007,0.49,0.49,0.49,0.49,4500
31/12/2007,0.49,0.49,0.49,0.49,0
02/01/2008,0.49,0.49,0.49,0.49,0
03/01/2008,0.48,0.48,0.47,0.47,10000
04/01/2008,0.47,0.47,0.47,0.47,0
07/01/2008,0.47,0.47,0.47,0.47,3000
08/01/2008,0.47,0.47,0.47,0.47,7000
09/01/2008,0.47,0.47,0.47,0.47,2730
10/01/2008,0.47,0.47,0.47,0.47,0
11/01/2008,0.47,0.47,0.47,0.47,0
14/01/2008,0.47,0.47,0.47,0.47,0
15/01/2008,0.48,0.48,0.45,0.45,12270
16/01/2008,0.44,0.44,0.44,0.44,5681
17/01/2008,0.44,0.44,0.44,0.44,50000
18/01/2008,0.44,0.44,0.44,0.44,0
21/01/2008,0.44,0.44,0.44,0.44,0
22/01/2008,0.35,0.35,0.35,0.35,179849
23/01/2008,0.35,0.35,0.35,0.35,72923
24/01/2008,0.35,0.35,0.35,0.35,2077
25/01/2008,0.35,0.35,0.35,0.35,12477
29/01/2008,0.35,0.35,0.35,0.35,30000
30/01/2008,0.35,0.35,0.35,0.35,201023
31/01/2008,0.35,0.35,0.35,0.35,0
01/02/2008,0.35,0.35,0.35,0.35,25000
04/02/2008,0.35,0.35,0.35,0.35,0
05/02/2008,0.35,0.35,0.35,0.35,0
06/02/2008,0.35,0.35,0.35,0.35,0
07/02/2008,0.35,0.35,0.35,0.35,72824
08/02/2008,0.35,0.35,0.35,0.35,0
11/02/2008,0.35,0.35,0.35,0.35,0
12/02/2008,0.36,0.36,0.17,0.35,80000
13/02/2008,0.35,0.35,0.35,0.35,77000
14/02/2008,0.35,0.35,0.35,0.35,118000
15/02/2008,0.35,0.35,0.35,0.35,90000
18/02/2008,0.345,0.35,0.345,0.35,225000
19/02/2008,0.35,0.35,0.35,0.35,40000
20/02/2008,0.345,0.345,0.34,0.34,50000
21/02/2008,0.35,0.38,0.35,0.38,126137
22/02/2008,0.38,0.38,0.38,0.38,5000
25/02/2008,0.38,0.45,0.38,0.4,265863
26/02/2008,0.4,0.46,0.4,0.46,130000
27/02/2008,0.46,0.47,0.45,0.45,135000
28/02/2008,0.45,0.45,0.45,0.45,0
29/02/2008,0.45,0.45,0.45,0.45,0
03/03/2008,0.45,0.45,0.45,0.45,0
04/03/2008,0.45,0.45,0.45,0.45,0
05/03/2008,0.45,0.45,0.45,0.45,0
06/03/2008,0.45,0.45,0.45,0.45,0
07/03/2008,0.55,0.55,0.4,0.4,26312
10/03/2008,0.4,0.4,0.4,0.4,0
11/03/2008,0.43,0.43,0.43,0.43,10000
12/03/2008,0.45,0.45,0.44,0.44,60000
13/03/2008,0.4,0.4,0.38,0.4,35000
14/03/2008,0.4,0.4,0.4,0.4,20000
17/03/2008,0.4,0.4,0.4,0.4,0
18/03/2008,0.4,0.4,0.4,0.4,0
19/03/2008,0.4,0.4,0.4,0.4,0
20/03/2008,0.4,0.4,0.4,0.4,0
25/03/2008,0.4,0.4,0.4,0.4,0
26/03/2008,0.4,0.4,0.4,0.4,0
27/03/2008,0.4,0.4,0.4,0.4,0
28/03/2008,0.4,0.4,0.4,0.4,5500
31/03/2008,0.3,0.35,0.3,0.35,9400
01/04/2008,0.35,0.35,0.35,0.35,0
02/04/2008,0.35,0.35,0.35,0.35,0
03/04/2008,0.35,0.35,0.35,0.35,0
04/04/2008,0.35,0.35,0.35,0.35,0
07/04/2008,0.2,0.25,0.15,0.15,267838
08/04/2008,0.16,0.16,0.13,0.155,392908
09/04/2008,0.155,0.165,0.155,0.155,266012
10/04/2008,0.155,0.155,0.14,0.155,265000
11/04/2008,0.145,0.145,0.091,0.14,395000
