Date,Open,High,Low,Close,Volume
21/10/2011,0.27,0.27,0.25,0.25,25000
24/10/2011,0.25,0.26,0.25,0.26,12000
25/10/2011,0.26,0.26,0.26,0.26,0
26/10/2011,0.22,0.22,0.215,0.215,11684
27/10/2011,0.15,0.15,0.11,0.15,76717
28/10/2011,0.15,0.155,0.15,0.15,23800
31/10/2011,0.17,0.17,0.17,0.17,10635
01/11/2011,0.17,0.17,0.17,0.17,0
02/11/2011,0.17,0.17,0.16,0.16,9400
03/11/2011,0.16,0.16,0.16,0.16,0
04/11/2011,0.16,0.16,0.16,0.16,47843
07/11/2011,0.155,0.155,0.15,0.15,31365
08/11/2011,0.15,0.16,0.15,0.15,18652
09/11/2011,0.15,0.15,0.15,0.15,54288
10/11/2011,0.15,0.15,0.15,0.15,0
11/11/2011,0.16,0.16,0.16,0.16,52698
14/11/2011,0.165,0.165,0.15,0.15,242134
15/11/2011,0.15,0.15,0.15,0.15,44314
16/11/2011,0.15,0.15,0.15,0.15,99988
17/11/2011,0.14,0.14,0.14,0.14,1800
18/11/2011,0.14,0.14,0.14,0.14,18923
21/11/2011,0.14,0.14,0.14,0.14,4831
22/11/2011,0.14,0.14,0.14,0.14,0
23/11/2011,0.14,0.14,0.14,0.14,18127
24/11/2011,0.14,0.14,0.14,0.14,89715
25/11/2011,0.14,0.14,0.14,0.14,5000
28/11/2011,0.14,0.14,0.14,0.14,1400
29/11/2011,0.14,0.14,0.14,0.14,9600
30/11/2011,0.13,0.135,0.13,0.135,13566
01/12/2011,0.135,0.135,0.135,0.135,0
02/12/2011,0.135,0.135,0.135,0.135,0
05/12/2011,0.135,0.135,0.135,0.135,6200
06/12/2011,0.135,0.135,0.135,0.135,1892
07/12/2011,0.14,0.14,0.14,0.14,2955
08/12/2011,0.135,0.135,0.135,0.135,9800
09/12/2011,0.135,0.135,0.135,0.135,1896
12/12/2011,0.135,0.15,0.13,0.13,176046
13/12/2011,0.1,0.1,0.1,0.1,4890
14/12/2011,0.105,0.105,0.105,0.105,7924
15/12/2011,0.105,0.105,0.105,0.105,0
16/12/2011,0.105,0.105,0.105,0.105,3327
19/12/2011,0.105,0.105,0.105,0.105,0
20/12/2011,0.11,0.11,0.11,0.11,14665
21/12/2011,0.105,0.115,0.105,0.115,6054
22/12/2011,0.115,0.115,0.105,0.105,157083
23/12/2011,0.11,0.11,0.11,0.11,49667
28/12/2011,0.11,0.11,0.11,0.11,0
29/12/2011,0.11,0.11,0.11,0.11,0
30/12/2011,0.11,0.11,0.11,0.11,0
03/01/2012,0.11,0.11,0.11,0.11,0
04/01/2012,0.11,0.11,0.11,0.11,0
05/01/2012,0.11,0.11,0.11,0.11,0
06/01/2012,0.11,0.11,0.11,0.11,0
09/01/2012,0.115,0.115,0.11,0.11,38605
10/01/2012,0.11,0.11,0.11,0.11,2247
11/01/2012,0.11,0.11,0.11,0.11,0
12/01/2012,0.11,0.11,0.11,0.11,215000
13/01/2012,0.11,0.11,0.11,0.11,0
16/01/2012,0.11,0.11,0.105,0.105,143500
17/01/2012,0.105,0.105,0.105,0.105,4800
18/01/2012,0.105,0.105,0.105,0.105,24594
19/01/2012,0.105,0.105,0.105,0.105,5800
20/01/2012,0.105,0.105,0.105,0.105,3435
23/01/2012,0.1,0.1,0.1,0.1,21585
24/01/2012,0.1,0.1,0.1,0.1,896
25/01/2012,0.1,0.1,0.1,0.1,2556
27/01/2012,0.1,0.1,0.1,0.1,0
30/01/2012,0.1,0.1,0.1,0.1,71
31/01/2012,0.1,0.1,0.1,0.1,0
01/02/2012,0.1,0.1,0.1,0.1,4242
02/02/2012,0.1,0.1,0.1,0.1,8282
03/02/2012,0.1,0.1,0.1,0.1,0
06/02/2012,0.1,0.1,0.1,0.1,9850
07/02/2012,0.1,0.1,0.1,0.1,2922
08/02/2012,0.1,0.1,0.1,0.1,0
09/02/2012,0.1,0.1,0.1,0.1,24103
10/02/2012,0.1,0.1,0.1,0.1,2243
13/02/2012,0.1,0.1,0.1,0.1,5000
14/02/2012,0.1,0.1,0.1,0.1,3000
15/02/2012,0.1,0.1,0.1,0.1,0
16/02/2012,0.105,0.105,0.105,0.105,6400
17/02/2012,0.105,0.105,0.105,0.105,0
20/02/2012,0.105,0.105,0.105,0.105,0
21/02/2012,0.105,0.105,0.105,0.105,10140
22/02/2012,0.105,0.105,0.105,0.105,2206
23/02/2012,0.105,0.105,0.105,0.105,0
24/02/2012,0.105,0.105,0.105,0.105,0
27/02/2012,0.105,0.105,0.105,0.105,0
28/02/2012,0.105,0.105,0.105,0.105,6913
29/02/2012,0.105,0.105,0.105,0.105,2335
01/03/2012,0.14,0.16,0.12,0.16,100200
02/03/2012,0.16,0.16,0.16,0.16,0
05/03/2012,0.15,0.155,0.15,0.155,519106
06/03/2012,0.155,0.155,0.155,0.155,5894
07/03/2012,0.155,0.155,0.155,0.155,0
08/03/2012,0.13,0.13,0.13,0.13,359
09/03/2012,0.13,0.13,0.13,0.13,2234
12/03/2012,0.13,0.13,0.13,0.13,4000
13/03/2012,0.13,0.13,0.13,0.13,3600
14/03/2012,0.13,0.13,0.13,0.13,4600
15/03/2012,0.13,0.13,0.13,0.13,1997
16/03/2012,0.135,0.135,0.135,0.135,1676
19/03/2012,0.135,0.135,0.135,0.135,0
20/03/2012,0.135,0.135,0.135,0.135,0
21/03/2012,0.135,0.135,0.135,0.135,3247
22/03/2012,0.135,0.135,0.135,0.135,600
23/03/2012,0.135,0.135,0.135,0.135,13134
26/03/2012,0.135,0.135,0.135,0.135,8000
27/03/2012,0.135,0.135,0.135,0.135,0
28/03/2012,0.135,0.135,0.135,0.135,31246
29/03/2012,0.14,0.14,0.14,0.14,82169
30/03/2012,0.14,0.14,0.14,0.14,0
02/04/2012,0.14,0.14,0.14,0.14,0
03/04/2012,0.13,0.13,0.13,0.13,2308
04/04/2012,0.13,0.135,0.13,0.135,213901
05/04/2012,0.135,0.135,0.135,0.135,0
10/04/2012,0.13,0.13,0.13,0.13,12800
11/04/2012,0.13,0.13,0.13,0.13,2400
12/04/2012,0.13,0.135,0.13,0.135,5503
13/04/2012,0.135,0.14,0.135,0.14,456594
16/04/2012,0.14,0.145,0.14,0.145,350000
17/04/2012,0.13,0.13,0.13,0.13,2400
18/04/2012,0.13,0.135,0.13,0.13,157060
19/04/2012,0.13,0.13,0.13,0.13,4128
20/04/2012,0.135,0.135,0.11,0.11,164048
23/04/2012,0.11,0.12,0.11,0.12,9420
24/04/2012,0.12,0.12,0.12,0.12,0
26/04/2012,0.135,0.135,0.135,0.135,200000
27/04/2012,0.12,0.135,0.12,0.135,104898
30/04/2012,0.12,0.12,0.12,0.12,1619
01/05/2012,0.12,0.12,0.12,0.12,0
02/05/2012,0.12,0.12,0.12,0.12,0
03/05/2012,0.12,0.125,0.12,0.125,73011
04/05/2012,0.12,0.12,0.12,0.12,16328
07/05/2012,0.125,0.125,0.125,0.125,15699
08/05/2012,0.12,0.12,0.12,0.12,4000
09/05/2012,0.12,0.12,0.12,0.12,0
10/05/2012,0.13,0.13,0.13,0.13,30000
11/05/2012,0.14,0.14,0.14,0.14,604508
14/05/2012,0.14,0.14,0.14,0.14,0
15/05/2012,0.14,0.14,0.14,0.14,0
16/05/2012,0.12,0.12,0.12,0.12,807
17/05/2012,0.12,0.12,0.12,0.12,0
18/05/2012,0.12,0.12,0.12,0.12,3686
21/05/2012,0.12,0.12,0.12,0.12,0
22/05/2012,0.12,0.12,0.12,0.12,0
23/05/2012,0.12,0.12,0.12,0.12,7958
24/05/2012,0.12,0.12,0.115,0.115,11143
25/05/2012,0.115,0.115,0.115,0.115,144200
28/05/2012,0.115,0.115,0.115,0.115,30000
29/05/2012,0.1,0.1,0.1,0.1,353179
30/05/2012,0.1,0.1,0.1,0.1,0
31/05/2012,0.081,0.083,0.081,0.082,19095
01/06/2012,0.085,0.1,0.085,0.1,20121
04/06/2012,0.1,0.1,0.1,0.1,1200
05/06/2012,0.11,0.12,0.11,0.11,1150500
06/06/2012,0.105,0.11,0.089,0.094,153091
07/06/2012,0.094,0.094,0.094,0.094,0
08/06/2012,0.094,0.094,0.094,0.094,0
12/06/2012,0.094,0.094,0.094,0.094,0
13/06/2012,0.088,0.088,0.088,0.088,10000
14/06/2012,0.09,0.09,0.09,0.09,47491
15/06/2012,0.09,0.09,0.09,0.09,0
18/06/2012,0.092,0.092,0.092,0.092,25000
19/06/2012,0.092,0.092,0.092,0.092,25264
20/06/2012,0.092,0.092,0.092,0.092,0
21/06/2012,0.092,0.092,0.092,0.092,0
22/06/2012,0.092,0.092,0.092,0.092,0
25/06/2012,0.092,0.092,0.092,0.092,992
26/06/2012,0.092,0.092,0.092,0.092,24322
27/06/2012,0.093,0.093,0.093,0.093,11761
28/06/2012,0.093,0.093,0.093,0.093,0
29/06/2012,0.094,0.1,0.094,0.1,441836
02/07/2012,0.1,0.1,0.1,0.1,0
03/07/2012,0.093,0.093,0.093,0.093,21000
04/07/2012,0.093,0.093,0.093,0.093,0
05/07/2012,0.093,0.093,0.093,0.093,0
06/07/2012,0.093,0.093,0.093,0.093,0
09/07/2012,0.093,0.093,0.093,0.093,6200
10/07/2012,0.1,0.1,0.1,0.1,1490
11/07/2012,0.1,0.1,0.1,0.1,0
12/07/2012,0.093,0.093,0.093,0.093,1600
13/07/2012,0.093,0.093,0.093,0.093,113
16/07/2012,0.093,0.093,0.092,0.092,10000
17/07/2012,0.092,0.092,0.092,0.092,0
18/07/2012,0.092,0.092,0.092,0.092,0
19/07/2012,0.092,0.092,0.092,0.092,0
20/07/2012,0.092,0.092,0.092,0.092,0
23/07/2012,0.094,0.094,0.093,0.093,14833
24/07/2012,0.093,0.093,0.093,0.093,0
25/07/2012,0.093,0.093,0.093,0.093,0
26/07/2012,0.093,0.093,0.093,0.093,0
27/07/2012,0.094,0.094,0.094,0.094,1400
30/07/2012,0.094,0.094,0.092,0.092,52500
31/07/2012,0.092,0.092,0.092,0.092,0
01/08/2012,0.092,0.092,0.092,0.092,3761
02/08/2012,0.092,0.092,0.092,0.092,0
03/08/2012,0.092,0.092,0.092,0.092,0
06/08/2012,0.092,0.092,0.092,0.092,0
07/08/2012,0.092,0.092,0.092,0.092,0
08/08/2012,0.092,0.092,0.092,0.092,0
09/08/2012,0.092,0.092,0.092,0.092,0
10/08/2012,0.093,0.093,0.093,0.093,1490
13/08/2012,0.093,0.093,0.093,0.093,0
14/08/2012,0.093,0.093,0.093,0.093,4800
15/08/2012,0.093,0.093,0.093,0.093,0
16/08/2012,0.093,0.093,0.093,0.093,0
17/08/2012,0.093,0.093,0.093,0.093,7895
20/08/2012,0.093,0.093,0.093,0.093,75000
21/08/2012,0.093,0.093,0.093,0.093,0
22/08/2012,0.093,0.093,0.093,0.093,27636
23/08/2012,0.093,0.093,0.092,0.092,1424
24/08/2012,0.092,0.092,0.092,0.092,6500
27/08/2012,0.092,0.092,0.092,0.092,3600
28/08/2012,0.092,0.092,0.092,0.092,0
29/08/2012,0.092,0.092,0.092,0.092,0
30/08/2012,0.092,0.092,0.092,0.092,106
31/08/2012,0.092,0.092,0.092,0.092,63313
03/09/2012,0.092,0.092,0.092,0.092,0
04/09/2012,0.089,0.089,0.089,0.089,5618
05/09/2012,0.089,0.089,0.089,0.089,0
06/09/2012,0.087,0.091,0.087,0.091,237574
07/09/2012,0.091,0.091,0.091,0.091,0
10/09/2012,0.091,0.091,0.091,0.091,0
11/09/2012,0.091,0.091,0.091,0.091,0
12/09/2012,0.085,0.091,0.085,0.091,211635
13/09/2012,0.085,0.085,0.085,0.085,2800
14/09/2012,0.085,0.085,0.085,0.085,0
17/09/2012,0.086,0.086,0.086,0.086,1551
18/09/2012,0.086,0.086,0.086,0.086,0
19/09/2012,0.086,0.086,0.086,0.086,0
20/09/2012,0.095,0.095,0.095,0.095,20000
21/09/2012,0.095,0.095,0.095,0.095,0
24/09/2012,0.09,0.09,0.086,0.086,100216
25/09/2012,0.09,0.09,0.09,0.09,150000
26/09/2012,0.09,0.09,0.09,0.09,0
27/09/2012,0.09,0.09,0.09,0.09,0
