Date,Open,High,Low,Close,Volume
29/11/2019,3.25,3.66,3.25,3.45,8022978
02/12/2019,3.6,3.6,3.25,3.28,3630641
03/12/2019,3.3,3.45,3.27,3.36,1652273
04/12/2019,3.4,3.9,3.4,3.81,1217945
05/12/2019,3.83,3.96,3.7,3.75,880759
06/12/2019,3.8,3.8,3.5,3.55,413481
09/12/2019,3.6,3.6,3.35,3.42,584823
10/12/2019,3.4,3.45,3.38,3.4,491574
11/12/2019,3.5,3.69,3.5,3.64,283408
12/12/2019,3.69,3.85,3.66,3.7,241492
13/12/2019,3.75,3.81,3.7,3.75,246902
16/12/2019,3.85,3.91,3.83,3.87,254206
17/12/2019,3.87,3.95,3.79,3.91,478848
18/12/2019,3.9,4,3.89,3.96,178732
19/12/2019,4.04,4.06,3.92,3.95,89099
20/12/2019,4,4,3.92,3.96,95183
23/12/2019,3.99,3.99,3.775,3.8,164835
24/12/2019,3.9,3.9,3.77,3.8,14058
27/12/2019,3.98,3.98,3.86,3.86,11334
30/12/2019,3.86,3.98,3.82,3.86,33424
31/12/2019,3.98,3.98,3.9,3.91,15793
02/01/2020,3.91,4.12,3.91,3.98,96941
03/01/2020,4.05,4.1,3.98,4.08,81434
06/01/2020,4.1,4.26,4.08,4.08,124254
07/01/2020,4.1,4.16,3.98,4.05,310998
08/01/2020,4.05,4.06,3.88,3.95,103511
09/01/2020,3.99,4.03,3.92,4,108585
10/01/2020,4.01,4.04,3.97,4,153356
13/01/2020,4,4.14,3.99,4.05,282872
14/01/2020,4.1,4.115,4.02,4.1,206977
15/01/2020,4.1,4.15,4.06,4.1,479494
16/01/2020,4.1,4.13,4.03,4.07,190724
17/01/2020,4.06,4.1,3.99,4.02,121070
20/01/2020,4.03,4.04,4,4.01,753826
21/01/2020,4.01,4.1,3.99,4.1,198301
22/01/2020,4.1,4.35,4.1,4.18,205073
23/01/2020,4.2,4.24,4.18,4.22,82539
24/01/2020,4.23,4.6,4.23,4.47,172716
28/01/2020,4.44,4.44,4.31,4.31,180765
29/01/2020,4.3,4.35,4.17,4.2,182963
30/01/2020,4.2,4.21,3.99,4.03,222842
31/01/2020,4.15,4.305,4.06,4.14,155627
03/02/2020,4.03,4.22,4.02,4.09,163489
04/02/2020,4.23,4.31,4.15,4.18,197653
05/02/2020,4.255,4.3,4.15,4.25,136626
06/02/2020,4.29,4.44,4.22,4.32,206814
07/02/2020,4.36,4.4,4.26,4.36,136922
10/02/2020,4.36,4.4,4.26,4.39,95532
11/02/2020,4.39,4.39,4.3,4.37,98664
12/02/2020,4.32,4.4,4.28,4.35,60650
13/02/2020,4.36,4.39,4.2,4.25,60930
14/02/2020,4.25,4.25,4.02,4.1,149228
17/02/2020,4.2,4.29,4.13,4.23,248754
18/02/2020,4.2,4.22,4.07,4.07,126065
