Date,Open,High,Low,Close,Volume
26/10/2016,0.6,0.7,0.51,0.7,10146740
27/10/2016,0.74,0.8,0.6,0.62,7407718
28/10/2016,0.66,0.7,0.62,0.62,3525230
31/10/2016,0.66,0.68,0.62,0.635,2407485
01/11/2016,0.655,0.68,0.64,0.665,973798
02/11/2016,0.67,0.73,0.64,0.69,2373300
03/11/2016,0.695,0.75,0.67,0.74,2896796
04/11/2016,0.74,0.755,0.67,0.69,1787093
07/11/2016,0.7,0.7,0.62,0.62,1906754
08/11/2016,0.625,0.625,0.54,0.55,3721167
09/11/2016,0.55,0.6,0.475,0.495,1848933
10/11/2016,0.555,0.6,0.54,0.56,1299707
11/11/2016,0.56,0.59,0.54,0.565,728555
14/11/2016,0.58,0.58,0.54,0.545,828249
15/11/2016,0.555,0.565,0.525,0.53,500077
16/11/2016,0.53,0.57,0.53,0.56,365515
17/11/2016,0.57,0.59,0.56,0.58,501674
18/11/2016,0.585,0.595,0.555,0.555,321052
21/11/2016,0.57,0.58,0.535,0.535,326817
22/11/2016,0.545,0.575,0.54,0.56,475563
23/11/2016,0.56,0.56,0.535,0.535,239230
24/11/2016,0.545,0.545,0.505,0.505,430535
25/11/2016,0.5,0.53,0.46,0.53,680545
28/11/2016,0.54,0.57,0.51,0.555,401834
29/11/2016,0.56,0.59,0.55,0.55,379962
30/11/2016,0.56,0.56,0.525,0.525,488463
01/12/2016,0.535,0.56,0.52,0.56,506393
02/12/2016,0.55,0.555,0.53,0.53,249659
05/12/2016,0.535,0.565,0.52,0.55,241886
06/12/2016,0.55,0.55,0.52,0.52,218035
07/12/2016,0.52,0.57,0.52,0.57,497425
08/12/2016,0.59,0.59,0.565,0.58,441723
09/12/2016,0.58,0.63,0.565,0.63,855681
12/12/2016,0.65,0.665,0.51,0.54,2920407
13/12/2016,0.56,0.57,0.54,0.54,885535
14/12/2016,0.55,0.55,0.5,0.51,620301
15/12/2016,0.5,0.52,0.495,0.51,162774
16/12/2016,0.51,0.54,0.51,0.515,148618
19/12/2016,0.51,0.525,0.495,0.5,279422
20/12/2016,0.5,0.51,0.5,0.5,148541
21/12/2016,0.505,0.52,0.495,0.495,364613
22/12/2016,0.5,0.5,0.49,0.5,480602
23/12/2016,0.495,0.495,0.47,0.48,231660
28/12/2016,0.47,0.49,0.47,0.475,95500
29/12/2016,0.48,0.48,0.455,0.455,158754
30/12/2016,0.47,0.48,0.45,0.47,229913
03/01/2017,0.47,0.495,0.46,0.475,96473
04/01/2017,0.475,0.48,0.465,0.465,59294
05/01/2017,0.48,0.5,0.475,0.475,142904
06/01/2017,0.485,0.5,0.475,0.5,140243
09/01/2017,0.49,0.5,0.485,0.495,181684
10/01/2017,0.495,0.52,0.49,0.49,274219
11/01/2017,0.5,0.5,0.47,0.48,171039
12/01/2017,0.47,0.495,0.47,0.495,102999
13/01/2017,0.495,0.5,0.475,0.5,170502
16/01/2017,0.5,0.505,0.49,0.5,279510
17/01/2017,0.5,0.5,0.485,0.495,203400
18/01/2017,0.495,0.495,0.485,0.495,150633
19/01/2017,0.48,0.495,0.475,0.495,7547
20/01/2017,0.48,0.495,0.465,0.495,190580
23/01/2017,0.5,0.535,0.5,0.51,321861
24/01/2017,0.51,0.525,0.51,0.52,117220
25/01/2017,0.51,0.52,0.495,0.52,98974
27/01/2017,0.515,0.575,0.515,0.55,746161
30/01/2017,0.55,0.575,0.55,0.56,162160
31/01/2017,0.56,0.56,0.53,0.55,153307
01/02/2017,0.53,0.56,0.53,0.56,79671
02/02/2017,0.55,0.555,0.54,0.555,202617
03/02/2017,0.575,0.6,0.52,0.55,425011
06/02/2017,0.55,0.555,0.525,0.525,190584
07/02/2017,0.525,0.53,0.5,0.51,155797
08/02/2017,0.505,0.53,0.48,0.52,263174
09/02/2017,0.48,0.505,0.47,0.48,474357
10/02/2017,0.49,0.5,0.485,0.485,141090
13/02/2017,0.48,0.48,0.465,0.48,180943
14/02/2017,0.49,0.5,0.47,0.47,292300
15/02/2017,0.495,0.495,0.485,0.49,119953
16/02/2017,0.49,0.49,0.47,0.48,81498
17/02/2017,0.475,0.475,0.435,0.475,356756
20/02/2017,0.47,0.47,0.45,0.45,144349
21/02/2017,0.46,0.46,0.415,0.42,196566
22/02/2017,0.415,0.44,0.415,0.435,570936
23/02/2017,0.42,0.43,0.385,0.4,935885
24/02/2017,0.4,0.42,0.38,0.38,250264
27/02/2017,0.38,0.4,0.38,0.39,196439
28/02/2017,0.395,0.4,0.375,0.4,72982
01/03/2017,0.385,0.4,0.38,0.4,122653
02/03/2017,0.4,0.45,0.4,0.45,164019
03/03/2017,0.42,0.455,0.42,0.455,25704
06/03/2017,0.44,0.45,0.425,0.44,33550
07/03/2017,0.44,0.44,0.44,0.44,0
08/03/2017,0.43,0.435,0.405,0.425,64585
09/03/2017,0.4,0.41,0.4,0.41,29200
10/03/2017,0.4,0.41,0.38,0.41,60000
