Date,Open,High,Low,Close,Volume
14/01/2008,0.2,0.21,0.2,0.21,675455
15/01/2008,0.205,0.205,0.175,0.175,618465
16/01/2008,0.18,0.2,0.18,0.2,222000
17/01/2008,0.2,0.2,0.19,0.195,116570
18/01/2008,0.185,0.195,0.185,0.185,60182
21/01/2008,0.175,0.175,0.175,0.175,31200
22/01/2008,0.15,0.15,0.15,0.15,25000
23/01/2008,0.15,0.175,0.15,0.175,98000
24/01/2008,0.16,0.16,0.16,0.16,58800
25/01/2008,0.175,0.18,0.17,0.18,102500
29/01/2008,0.18,0.18,0.16,0.18,60000
30/01/2008,0.18,0.18,0.18,0.18,0
31/01/2008,0.17,0.17,0.17,0.17,20000
01/02/2008,0.15,0.15,0.145,0.145,63528
04/02/2008,0.175,0.175,0.16,0.16,61000
05/02/2008,0.16,0.16,0.16,0.16,0
06/02/2008,0.17,0.17,0.15,0.17,56200
07/02/2008,0.17,0.17,0.17,0.17,0
08/02/2008,0.17,0.17,0.17,0.17,0
11/02/2008,0.17,0.17,0.17,0.17,5000
12/02/2008,0.17,0.17,0.17,0.17,0
13/02/2008,0.17,0.17,0.17,0.17,0
14/02/2008,0.16,0.16,0.16,0.16,13125
15/02/2008,0.15,0.15,0.14,0.15,28600
18/02/2008,0.15,0.17,0.15,0.17,11765
19/02/2008,0.17,0.17,0.17,0.17,0
20/02/2008,0.15,0.15,0.15,0.15,10000
21/02/2008,0.155,0.155,0.155,0.155,20000
22/02/2008,0.14,0.15,0.135,0.15,153048
25/02/2008,0.15,0.15,0.15,0.15,0
26/02/2008,0.14,0.14,0.14,0.14,50000
27/02/2008,0.14,0.14,0.14,0.14,0
28/02/2008,0.14,0.15,0.14,0.15,27252
29/02/2008,0.15,0.15,0.15,0.15,0
03/03/2008,0.15,0.15,0.15,0.15,0
04/03/2008,0.15,0.15,0.15,0.15,6000
05/03/2008,0.13,0.15,0.125,0.15,30740
06/03/2008,0.145,0.15,0.12,0.15,133690
07/03/2008,0.15,0.15,0.15,0.15,0
10/03/2008,0.15,0.15,0.15,0.15,5000
11/03/2008,0.15,0.15,0.15,0.15,0
12/03/2008,0.15,0.15,0.15,0.15,0
13/03/2008,0.12,0.12,0.12,0.12,65558
14/03/2008,0.13,0.14,0.13,0.14,70860
17/03/2008,0.13,0.13,0.13,0.13,85000
18/03/2008,0.12,0.12,0.12,0.12,10000
19/03/2008,0.12,0.12,0.12,0.12,0
20/03/2008,0.12,0.12,0.12,0.12,12860
25/03/2008,0.12,0.12,0.12,0.12,0
26/03/2008,0.12,0.12,0.12,0.12,0
27/03/2008,0.12,0.12,0.12,0.12,0
28/03/2008,0.12,0.12,0.12,0.12,0
31/03/2008,0.12,0.12,0.12,0.12,0
01/04/2008,0.12,0.12,0.12,0.12,0
02/04/2008,0.12,0.12,0.12,0.12,0
03/04/2008,0.105,0.105,0.105,0.105,5150
04/04/2008,0.105,0.105,0.105,0.105,0
07/04/2008,0.105,0.105,0.105,0.105,0
08/04/2008,0.105,0.105,0.105,0.105,33644
09/04/2008,0.105,0.105,0.105,0.105,0
10/04/2008,0.105,0.105,0.105,0.105,0
11/04/2008,0.13,0.13,0.13,0.13,10000
14/04/2008,0.13,0.13,0.13,0.13,0
15/04/2008,0.13,0.13,0.13,0.13,0
16/04/2008,0.13,0.13,0.13,0.13,0
17/04/2008,0.13,0.13,0.13,0.13,0
18/04/2008,0.13,0.13,0.13,0.13,7692
21/04/2008,0.13,0.13,0.13,0.13,0
22/04/2008,0.13,0.13,0.13,0.13,0
23/04/2008,0.13,0.13,0.13,0.13,0
24/04/2008,0.13,0.13,0.13,0.13,0
28/04/2008,0.13,0.13,0.13,0.13,0
29/04/2008,0.13,0.13,0.13,0.13,0
30/04/2008,0.12,0.12,0.12,0.12,38200
01/05/2008,0.12,0.12,0.12,0.12,0
02/05/2008,0.12,0.12,0.12,0.12,0
05/05/2008,0.12,0.12,0.12,0.12,0
06/05/2008,0.12,0.12,0.12,0.12,0
07/05/2008,0.095,0.095,0.095,0.095,19875
08/05/2008,0.1,0.1,0.1,0.1,25000
09/05/2008,0.1,0.1,0.1,0.1,0
12/05/2008,0.1,0.1,0.1,0.1,0
13/05/2008,0.1,0.1,0.1,0.1,0
14/05/2008,0.1,0.1,0.1,0.1,0
15/05/2008,0.1,0.1,0.1,0.1,0
16/05/2008,0.1,0.1,0.1,0.1,0
19/05/2008,0.1,0.1,0.1,0.1,10000
20/05/2008,0.1,0.1,0.1,0.1,25000
21/05/2008,0.1,0.1,0.1,0.1,0
22/05/2008,0.105,0.105,0.1,0.1,43346
23/05/2008,0.085,0.085,0.08,0.08,98000
26/05/2008,0.086,0.086,0.086,0.086,10000
27/05/2008,0.086,0.086,0.086,0.086,0
28/05/2008,0.083,0.083,0.083,0.083,50000
29/05/2008,0.1,0.1,0.1,0.1,5020
30/05/2008,0.1,0.1,0.1,0.1,140000
02/06/2008,0.1,0.1,0.1,0.1,0
03/06/2008,0.099,0.099,0.087,0.087,220000
04/06/2008,0.087,0.087,0.087,0.087,0
05/06/2008,0.087,0.087,0.08,0.08,200000
06/06/2008,0.08,0.08,0.08,0.08,0
10/06/2008,0.08,0.08,0.08,0.08,0
11/06/2008,0.087,0.099,0.087,0.099,78350
12/06/2008,0.099,0.099,0.099,0.099,0
13/06/2008,0.099,0.099,0.099,0.099,0
16/06/2008,0.099,0.099,0.099,0.099,5500
17/06/2008,0.099,0.099,0.081,0.081,35100
18/06/2008,0.082,0.082,0.082,0.082,100000
19/06/2008,0.082,0.09,0.082,0.09,100000
20/06/2008,0.09,0.09,0.09,0.09,0
23/06/2008,0.09,0.09,0.09,0.09,0
24/06/2008,0.09,0.09,0.09,0.09,0
25/06/2008,0.075,0.075,0.075,0.075,155000
26/06/2008,0.075,0.075,0.075,0.075,0
27/06/2008,0.075,0.075,0.075,0.075,0
30/06/2008,0.075,0.075,0.075,0.075,0
01/07/2008,0.075,0.075,0.075,0.075,0
02/07/2008,0.075,0.075,0.075,0.075,0
03/07/2008,0.075,0.075,0.075,0.075,0
04/07/2008,0.09,0.092,0.09,0.092,52900
07/07/2008,0.092,0.092,0.092,0.092,0
08/07/2008,0.095,0.1,0.095,0.1,59680
09/07/2008,0.1,0.1,0.1,0.1,29990
10/07/2008,0.1,0.1,0.1,0.1,0
11/07/2008,0.1,0.1,0.1,0.1,0
14/07/2008,0.1,0.1,0.1,0.1,0
15/07/2008,0.1,0.1,0.1,0.1,0
16/07/2008,0.1,0.1,0.1,0.1,0
17/07/2008,0.1,0.1,0.1,0.1,0
18/07/2008,0.1,0.1,0.1,0.1,0
21/07/2008,0.1,0.1,0.1,0.1,0
22/07/2008,0.1,0.1,0.1,0.1,0
23/07/2008,0.1,0.1,0.1,0.1,0
24/07/2008,0.1,0.1,0.1,0.1,0
25/07/2008,0.1,0.1,0.1,0.1,0
28/07/2008,0.1,0.1,0.1,0.1,0
29/07/2008,0.1,0.1,0.1,0.1,0
30/07/2008,0.1,0.1,0.1,0.1,0
