Date,Open,High,Low,Close,Volume
19/02/2019,0.2,0.24,0.2,0.235,1290449
20/02/2019,0.245,0.25,0.2,0.205,877178
21/02/2019,0.205,0.205,0.185,0.185,279159
22/02/2019,0.185,0.205,0.18,0.2,310492
25/02/2019,0.2,0.2,0.2,0.2,637025
26/02/2019,0.2,0.2,0.2,0.2,0
27/02/2019,0.2,0.2,0.17,0.17,20185
28/02/2019,0.17,0.17,0.17,0.17,166479
01/03/2019,0.17,0.18,0.17,0.18,59685
04/03/2019,0.18,0.18,0.17,0.17,27000
05/03/2019,0.17,0.18,0.17,0.17,144282
06/03/2019,0.165,0.17,0.16,0.17,110566
07/03/2019,0.17,0.17,0.16,0.16,64490
08/03/2019,0.17,0.17,0.17,0.17,15510
11/03/2019,0.17,0.17,0.16,0.16,15549
12/03/2019,0.16,0.165,0.16,0.16,51980
13/03/2019,0.165,0.165,0.165,0.165,25000
14/03/2019,0.165,0.165,0.155,0.155,136610
15/03/2019,0.16,0.16,0.16,0.16,34000
18/03/2019,0.16,0.16,0.16,0.16,0
19/03/2019,0.165,0.165,0.165,0.165,4486
20/03/2019,0.165,0.165,0.16,0.16,35000
21/03/2019,0.16,0.16,0.16,0.16,0
22/03/2019,0.165,0.165,0.165,0.165,24968
25/03/2019,0.16,0.16,0.155,0.155,35000
26/03/2019,0.155,0.155,0.155,0.155,10000
27/03/2019,0.155,0.155,0.155,0.155,2500
28/03/2019,0.155,0.155,0.15,0.15,51491
29/03/2019,0.15,0.15,0.15,0.15,13400
01/04/2019,0.155,0.155,0.155,0.155,20000
02/04/2019,0.155,0.155,0.155,0.155,0
03/04/2019,0.155,0.155,0.155,0.155,0
04/04/2019,0.15,0.15,0.14,0.14,10000
05/04/2019,0.155,0.155,0.155,0.155,3451
08/04/2019,0.16,0.165,0.16,0.165,25000
09/04/2019,0.165,0.165,0.13,0.135,343162
10/04/2019,0.14,0.14,0.13,0.13,55733
11/04/2019,0.14,0.14,0.14,0.14,15000
12/04/2019,0.14,0.14,0.14,0.14,7036
15/04/2019,0.14,0.14,0.14,0.14,0
16/04/2019,0.12,0.12,0.115,0.12,120000
17/04/2019,0.125,0.13,0.12,0.13,66961
18/04/2019,0.12,0.12,0.12,0.12,1042
23/04/2019,0.125,0.125,0.125,0.125,40000
24/04/2019,0.125,0.13,0.125,0.125,62904
26/04/2019,0.12,0.12,0.12,0.12,179701
29/04/2019,0.115,0.13,0.115,0.13,78621
30/04/2019,0.12,0.12,0.12,0.12,45333
01/05/2019,0.115,0.115,0.11,0.11,41696
02/05/2019,0.11,0.11,0.11,0.11,0
03/05/2019,0.1,0.11,0.1,0.11,16000
06/05/2019,0.1,0.1,0.1,0.1,50000
07/05/2019,0.1,0.1,0.1,0.1,0
08/05/2019,0.1,0.11,0.1,0.11,72363
09/05/2019,0.11,0.11,0.11,0.11,0
10/05/2019,0.12,0.135,0.12,0.135,195900
13/05/2019,0.14,0.155,0.14,0.15,478414
14/05/2019,0.15,0.15,0.13,0.14,116280
15/05/2019,0.135,0.14,0.135,0.135,91893
16/05/2019,0.125,0.14,0.11,0.14,350960
17/05/2019,0.14,0.14,0.14,0.14,14471
20/05/2019,0.14,0.14,0.14,0.14,0
21/05/2019,0.12,0.12,0.12,0.12,32307
22/05/2019,0.135,0.135,0.12,0.12,5770
23/05/2019,0.12,0.12,0.12,0.12,0
24/05/2019,0.125,0.125,0.11,0.11,347213
27/05/2019,0.11,0.115,0.11,0.115,36131
28/05/2019,0.11,0.11,0.1,0.1,150180
29/05/2019,0.1,0.1,0.1,0.1,4948
30/05/2019,0.105,0.105,0.105,0.105,5852
31/05/2019,0.09,0.105,0.09,0.105,91485
03/06/2019,0.105,0.105,0.105,0.105,0
04/06/2019,0.105,0.105,0.105,0.105,0
05/06/2019,0.1,0.1,0.092,0.099,90805
06/06/2019,0.099,0.099,0.099,0.099,0
07/06/2019,0.094,0.095,0.09,0.09,83500
11/06/2019,0.091,0.095,0.09,0.095,288049
12/06/2019,0.09,0.094,0.09,0.091,56382
13/06/2019,0.091,0.091,0.091,0.091,0
14/06/2019,0.086,0.091,0.085,0.091,50824
17/06/2019,0.09,0.12,0.09,0.1,352066
18/06/2019,0.09,0.09,0.09,0.09,50000
19/06/2019,0.09,0.09,0.09,0.09,0
20/06/2019,0.095,0.095,0.094,0.095,118763
21/06/2019,0.095,0.095,0.095,0.095,0
24/06/2019,0.084,0.084,0.084,0.084,12886
25/06/2019,0.082,0.082,0.077,0.077,173106
26/06/2019,0.077,0.077,0.077,0.077,0
27/06/2019,0.077,0.09,0.077,0.09,100256
28/06/2019,0.075,0.076,0.075,0.076,45000
01/07/2019,0.076,0.076,0.076,0.076,0
02/07/2019,0.086,0.086,0.086,0.086,5000
03/07/2019,0.086,0.086,0.086,0.086,43225
04/07/2019,0.085,0.085,0.085,0.085,99685
05/07/2019,0.084,0.084,0.079,0.079,101815
08/07/2019,0.075,0.075,0.075,0.075,6667
09/07/2019,0.075,0.075,0.075,0.075,0
10/07/2019,0.075,0.075,0.075,0.075,0
11/07/2019,0.075,0.075,0.075,0.075,0
12/07/2019,0.075,0.075,0.075,0.075,0
15/07/2019,0.068,0.078,0.065,0.065,177233
16/07/2019,0.065,0.065,0.065,0.065,0
17/07/2019,0.065,0.065,0.065,0.065,7462
18/07/2019,0.072,0.072,0.068,0.068,65400
19/07/2019,0.071,0.071,0.071,0.071,13800
22/07/2019,0.067,0.073,0.067,0.073,313611
23/07/2019,0.072,0.075,0.072,0.075,389805
24/07/2019,0.074,0.077,0.074,0.075,107213
25/07/2019,0.075,0.075,0.075,0.075,0
26/07/2019,0.075,0.075,0.07,0.07,36650
29/07/2019,0.07,0.07,0.07,0.07,0
30/07/2019,0.07,0.07,0.07,0.07,28571
31/07/2019,0.07,0.07,0.07,0.07,0
01/08/2019,0.07,0.07,0.07,0.07,0
02/08/2019,0.07,0.07,0.07,0.07,0
05/08/2019,0.07,0.07,0.07,0.07,0
06/08/2019,0.059,0.062,0.058,0.058,80829
07/08/2019,0.057,0.058,0.057,0.057,113162
08/08/2019,0.059,0.06,0.058,0.06,138215
09/08/2019,0.06,0.06,0.06,0.06,0
12/08/2019,0.07,0.07,0.07,0.07,7571
13/08/2019,0.07,0.07,0.07,0.07,0
14/08/2019,0.07,0.07,0.07,0.07,0
15/08/2019,0.066,0.066,0.065,0.065,60000
16/08/2019,0.065,0.065,0.065,0.065,0
19/08/2019,0.066,0.068,0.065,0.065,50000
20/08/2019,0.065,0.065,0.065,0.065,0
21/08/2019,0.066,0.066,0.065,0.065,62431
22/08/2019,0.063,0.065,0.061,0.065,63569
23/08/2019,0.065,0.065,0.065,0.065,0
26/08/2019,0.06,0.064,0.06,0.064,57993
27/08/2019,0.065,0.065,0.06,0.06,99146
28/08/2019,0.064,0.065,0.06,0.06,64999
29/08/2019,0.059,0.059,0.058,0.058,57751
30/08/2019,0.058,0.058,0.058,0.058,0
02/09/2019,0.059,0.059,0.058,0.058,40000
03/09/2019,0.058,0.058,0.058,0.058,0
04/09/2019,0.058,0.058,0.058,0.058,0
05/09/2019,0.058,0.059,0.057,0.057,49538
06/09/2019,0.059,0.059,0.059,0.059,31138
09/09/2019,0.058,0.065,0.057,0.057,119680
10/09/2019,0.057,0.057,0.057,0.057,0
11/09/2019,0.057,0.057,0.057,0.057,0
12/09/2019,0.057,0.057,0.057,0.057,0
13/09/2019,0.057,0.057,0.057,0.057,0
16/09/2019,0.076,0.1,0.066,0.1,3523939
17/09/2019,0.115,0.12,0.096,0.115,2418623
