Date,Open,High,Low,Close,Volume
19/06/2006,0.26,0.265,0.23,0.23,1747433
20/06/2006,0.235,0.24,0.225,0.225,416335
21/06/2006,0.23,0.25,0.23,0.23,651858
22/06/2006,0.24,0.25,0.235,0.24,345100
23/06/2006,0.245,0.245,0.24,0.24,174082
26/06/2006,0.24,0.24,0.24,0.24,24352
27/06/2006,0.24,0.245,0.235,0.245,137480
28/06/2006,0.24,0.24,0.23,0.23,150000
29/06/2006,0.23,0.23,0.23,0.23,73607
30/06/2006,0.24,0.24,0.24,0.24,147247
03/07/2006,0.245,0.245,0.235,0.235,99000
04/07/2006,0.24,0.24,0.235,0.235,80000
05/07/2006,0.24,0.255,0.24,0.245,464430
06/07/2006,0.255,0.255,0.25,0.25,199094
07/07/2006,0.255,0.38,0.255,0.38,1571486
10/07/2006,0.425,0.47,0.39,0.395,3992636
11/07/2006,0.395,0.415,0.34,0.34,1018397
12/07/2006,0.36,0.38,0.355,0.38,460643
13/07/2006,0.36,0.36,0.345,0.36,337240
14/07/2006,0.36,0.36,0.35,0.35,62000
17/07/2006,0.33,0.335,0.315,0.335,375043
18/07/2006,0.35,0.355,0.32,0.35,90920
19/07/2006,0.33,0.35,0.33,0.35,24031
20/07/2006,0.35,0.35,0.325,0.325,204549
21/07/2006,0.32,0.33,0.3,0.33,202528
24/07/2006,0.33,0.33,0.31,0.31,187764
25/07/2006,0.32,0.37,0.32,0.35,435107
26/07/2006,0.335,0.36,0.33,0.34,86000
27/07/2006,0.34,0.34,0.34,0.34,85000
28/07/2006,0.33,0.335,0.305,0.305,297917
31/07/2006,0.33,0.335,0.32,0.335,84000
01/08/2006,0.335,0.335,0.32,0.335,116092
02/08/2006,0.31,0.31,0.3,0.31,151276
03/08/2006,0.3,0.3,0.285,0.285,47549
04/08/2006,0.29,0.29,0.29,0.29,12613
07/08/2006,0.29,0.295,0.285,0.295,73100
08/08/2006,0.29,0.29,0.29,0.29,15000
09/08/2006,0.29,0.29,0.28,0.28,15000
10/08/2006,0.28,0.28,0.275,0.275,12000
11/08/2006,0.275,0.29,0.255,0.29,78075
14/08/2006,0.26,0.295,0.26,0.295,25000
15/08/2006,0.29,0.29,0.265,0.265,37568
16/08/2006,0.265,0.265,0.265,0.265,37575
17/08/2006,0.265,0.265,0.265,0.265,0
18/08/2006,0.27,0.27,0.26,0.26,75151
21/08/2006,0.26,0.26,0.26,0.26,31307
22/08/2006,0.26,0.26,0.26,0.26,11307
23/08/2006,0.26,0.26,0.25,0.25,45000
24/08/2006,0.25,0.25,0.25,0.25,30000
25/08/2006,0.28,0.29,0.28,0.28,189000
28/08/2006,0.28,0.28,0.28,0.28,40000
