Date,Open,High,Low,Close,Volume
10/11/2020,0.4,0.585,0.375,0.585,19278780
11/11/2020,0.585,0.61,0.42,0.42,12733650
12/11/2020,0.45,0.475,0.385,0.385,7034785
13/11/2020,0.395,0.41,0.38,0.385,2401299
16/11/2020,0.4,0.41,0.4,0.41,80894
17/11/2020,0.42,0.425,0.39,0.39,1168743
18/11/2020,0.4,0.4,0.37,0.37,1257493
19/11/2020,0.37,0.375,0.345,0.345,926916
20/11/2020,0.35,0.35,0.325,0.34,838234
23/11/2020,0.34,0.35,0.325,0.33,409549
24/11/2020,0.33,0.335,0.305,0.305,1132598
25/11/2020,0.31,0.32,0.305,0.31,440615
26/11/2020,0.315,0.335,0.315,0.325,255220
27/11/2020,0.335,0.335,0.33,0.33,211324
30/11/2020,0.33,0.335,0.32,0.325,161647
01/12/2020,0.325,0.33,0.31,0.32,312057
02/12/2020,0.315,0.32,0.31,0.31,44918
03/12/2020,0.305,0.315,0.305,0.31,405995
04/12/2020,0.31,0.315,0.305,0.305,162673
07/12/2020,0.31,0.325,0.305,0.305,590977
08/12/2020,0.305,0.31,0.3,0.3,545905
09/12/2020,0.29,0.3,0.285,0.29,237080
10/12/2020,0.3,0.3,0.28,0.285,124946
11/12/2020,0.285,0.295,0.285,0.29,217879
14/12/2020,0.295,0.295,0.28,0.29,211892
15/12/2020,0.29,0.29,0.27,0.27,343766
16/12/2020,0.28,0.285,0.28,0.28,132031
17/12/2020,0.28,0.28,0.2775,0.28,131961
18/12/2020,0.275,0.275,0.26,0.265,321809
21/12/2020,0.265,0.265,0.25,0.25,305174
22/12/2020,0.245,0.255,0.235,0.245,880640
23/12/2020,0.25,0.26,0.245,0.26,529205
24/12/2020,0.265,0.28,0.265,0.28,126990
29/12/2020,0.28,0.28,0.2675,0.2675,107761
30/12/2020,0.26,0.265,0.26,0.265,66586
31/12/2020,0.265,0.27,0.26,0.27,26408
04/01/2021,0.27,0.27,0.26,0.265,188048
05/01/2021,0.27,0.285,0.265,0.28,368331
06/01/2021,0.28,0.34,0.28,0.34,857014
07/01/2021,0.345,0.37,0.315,0.325,757006
08/01/2021,0.33,0.34,0.315,0.315,172095
11/01/2021,0.32,0.34,0.315,0.32,383289
12/01/2021,0.335,0.335,0.315,0.32,194513
13/01/2021,0.325,0.325,0.305,0.305,72960
14/01/2021,0.31,0.34,0.31,0.335,114855
15/01/2021,0.33,0.33,0.31,0.31,191342
18/01/2021,0.31,0.32,0.31,0.32,22207
19/01/2021,0.32,0.32,0.31,0.32,130171
20/01/2021,0.33,0.365,0.33,0.36,734624
21/01/2021,0.365,0.385,0.345,0.345,289060
22/01/2021,0.35,0.3675,0.345,0.36,313351
25/01/2021,0.365,0.395,0.365,0.375,426042
27/01/2021,0.38,0.395,0.365,0.365,430488
28/01/2021,0.365,0.365,0.335,0.34,379619
29/01/2021,0.34,0.36,0.34,0.355,302882
01/02/2021,0.35,0.3525,0.34,0.35,156760
02/02/2021,0.36,0.365,0.355,0.355,166591
03/02/2021,0.365,0.405,0.365,0.38,543981
04/02/2021,0.38,0.39,0.355,0.36,73210
05/02/2021,0.37,0.425,0.37,0.42,505068
08/02/2021,0.425,0.5,0.425,0.46,642019
09/02/2021,0.465,0.465,0.435,0.45,287537
10/02/2021,0.46,0.48,0.45,0.45,187946
11/02/2021,0.45,0.45,0.42,0.435,172114
12/02/2021,0.44,0.445,0.37,0.41,432487
15/02/2021,0.41,0.41,0.375,0.39,373117
16/02/2021,0.39,0.39,0.37,0.37,127452
17/02/2021,0.375,0.38,0.375,0.38,27810
18/02/2021,0.39,0.395,0.39,0.39,115265
19/02/2021,0.385,0.385,0.36,0.365,105759
22/02/2021,0.37,0.375,0.37,0.375,26400
23/02/2021,0.38,0.38,0.37,0.37,21147
24/02/2021,0.38,0.38,0.345,0.345,223840
25/02/2021,0.36,0.37,0.345,0.355,166205
26/02/2021,0.345,0.345,0.33,0.33,196263
01/03/2021,0.34,0.34,0.305,0.32,261678
02/03/2021,0.32,0.33,0.315,0.315,163965
03/03/2021,0.335,0.335,0.315,0.335,101395
04/03/2021,0.33,0.335,0.325,0.325,21571
05/03/2021,0.33,0.33,0.315,0.32,496623
08/03/2021,0.33,0.335,0.325,0.335,72449
09/03/2021,0.34,0.34,0.34,0.34,18728
10/03/2021,0.35,0.35,0.335,0.34,94944
11/03/2021,0.34,0.34,0.33,0.33,85000
12/03/2021,0.33,0.33,0.32,0.325,59969
15/03/2021,0.325,0.33,0.31,0.33,142018
16/03/2021,0.33,0.33,0.32,0.33,203033
17/03/2021,0.345,0.37,0.335,0.335,426704
18/03/2021,0.36,0.36,0.34,0.36,101774
19/03/2021,0.34,0.34,0.335,0.34,119897
22/03/2021,0.34,0.34,0.33,0.33,144900
23/03/2021,0.325,0.33,0.315,0.33,165089
24/03/2021,0.34,0.34,0.33,0.33,28311
25/03/2021,0.33,0.33,0.28,0.31,266202
26/03/2021,0.31,0.32,0.3,0.32,226954
29/03/2021,0.31,0.31,0.305,0.305,26851
30/03/2021,0.305,0.305,0.3,0.3,62817
31/03/2021,0.305,0.305,0.3,0.3,88321
01/04/2021,0.295,0.3,0.285,0.3,146681
06/04/2021,0.32,0.32,0.32,0.32,44
07/04/2021,0.295,0.3,0.295,0.3,6473
08/04/2021,0.3,0.3,0.29,0.3,67304
09/04/2021,0.3,0.31,0.3,0.31,52393
12/04/2021,0.31,0.335,0.305,0.33,243779
13/04/2021,0.33,0.335,0.305,0.305,20882
14/04/2021,0.31,0.33,0.31,0.325,30169
15/04/2021,0.315,0.315,0.31,0.31,73010
16/04/2021,0.315,0.315,0.31,0.31,49157
19/04/2021,0.32,0.33,0.315,0.315,42510
20/04/2021,0.33,0.33,0.32,0.32,45519
21/04/2021,0.315,0.325,0.315,0.325,101819
22/04/2021,0.325,0.355,0.325,0.355,266523
23/04/2021,0.355,0.365,0.33,0.33,247810
26/04/2021,0.335,0.345,0.33,0.345,106611
27/04/2021,0.35,0.355,0.345,0.355,263272
28/04/2021,0.355,0.36,0.345,0.36,42703
29/04/2021,0.365,0.365,0.335,0.355,156685
