Date,Open,High,Low,Close,Volume
07/04/2017,0.32,0.45,0.32,0.45,889595
10/04/2017,0.49,0.5,0.4,0.42,777487
11/04/2017,0.41,0.41,0.35,0.355,918539
12/04/2017,0.37,0.37,0.33,0.35,164219
13/04/2017,0.345,0.35,0.345,0.35,11500
18/04/2017,0.345,0.345,0.31,0.32,102400
19/04/2017,0.305,0.32,0.305,0.32,38839
20/04/2017,0.335,0.35,0.325,0.325,23500
21/04/2017,0.335,0.35,0.335,0.335,72194
24/04/2017,0.35,0.355,0.35,0.355,18785
26/04/2017,0.36,0.41,0.35,0.41,296896
27/04/2017,0.39,0.4,0.38,0.4,77252
28/04/2017,0.4,0.4,0.38,0.4,51546
01/05/2017,0.38,0.38,0.35,0.36,168454
02/05/2017,0.35,0.36,0.35,0.35,266182
03/05/2017,0.34,0.35,0.33,0.35,63368
04/05/2017,0.335,0.34,0.325,0.34,131500
05/05/2017,0.34,0.34,0.34,0.34,0
08/05/2017,0.36,0.36,0.34,0.36,72000
09/05/2017,0.37,0.375,0.35,0.375,28086
10/05/2017,0.375,0.375,0.375,0.375,0
11/05/2017,0.375,0.375,0.375,0.375,0
12/05/2017,0.375,0.375,0.375,0.375,0
15/05/2017,0.34,0.34,0.325,0.325,40100
16/05/2017,0.325,0.325,0.325,0.325,65000
17/05/2017,0.325,0.325,0.325,0.325,0
18/05/2017,0.34,0.34,0.34,0.34,10000
19/05/2017,0.325,0.325,0.28,0.31,198123
22/05/2017,0.305,0.31,0.305,0.31,28901
23/05/2017,0.305,0.305,0.305,0.305,5000
24/05/2017,0.31,0.31,0.3,0.31,48476
25/05/2017,0.32,0.33,0.32,0.33,40000
26/05/2017,0.34,0.36,0.34,0.36,26251
29/05/2017,0.36,0.36,0.36,0.36,0
30/05/2017,0.36,0.36,0.36,0.36,10000
31/05/2017,0.36,0.36,0.34,0.36,25998
01/06/2017,0.36,0.36,0.34,0.35,54109
02/06/2017,0.34,0.355,0.34,0.355,30000
05/06/2017,0.355,0.365,0.355,0.365,4391
06/06/2017,0.34,0.34,0.34,0.34,20000
07/06/2017,0.33,0.345,0.33,0.34,11700
08/06/2017,0.34,0.34,0.34,0.34,2000
09/06/2017,0.34,0.34,0.33,0.33,23015
13/06/2017,0.34,0.34,0.34,0.34,514000
14/06/2017,0.34,0.37,0.34,0.36,155000
15/06/2017,0.35,0.35,0.35,0.35,20000
16/06/2017,0.35,0.36,0.35,0.355,37736
19/06/2017,0.355,0.355,0.355,0.355,508
20/06/2017,0.35,0.355,0.35,0.355,20000
21/06/2017,0.355,0.355,0.355,0.355,15000
22/06/2017,0.36,0.38,0.36,0.38,56500
23/06/2017,0.38,0.38,0.38,0.38,5000
26/06/2017,0.38,0.38,0.38,0.38,10000
27/06/2017,0.38,0.38,0.36,0.38,44000
28/06/2017,0.38,0.38,0.38,0.38,7000
29/06/2017,0.375,0.38,0.375,0.38,20500
30/06/2017,0.38,0.38,0.37,0.37,31320
03/07/2017,0.37,0.37,0.37,0.37,0
04/07/2017,0.37,0.37,0.37,0.37,0
05/07/2017,0.37,0.37,0.37,0.37,0
06/07/2017,0.355,0.355,0.355,0.355,10000
07/07/2017,0.355,0.36,0.355,0.36,40000
10/07/2017,0.36,0.36,0.36,0.36,0
11/07/2017,0.36,0.36,0.36,0.36,0
12/07/2017,0.34,0.36,0.34,0.36,40000
13/07/2017,0.36,0.36,0.36,0.36,0
14/07/2017,0.325,0.325,0.325,0.325,20000
17/07/2017,0.34,0.34,0.32,0.32,225613
18/07/2017,0.31,0.31,0.28,0.31,175567
19/07/2017,0.31,0.31,0.29,0.3,36381
20/07/2017,0.32,0.32,0.32,0.32,23000
21/07/2017,0.31,0.31,0.31,0.31,1320
24/07/2017,0.305,0.305,0.3,0.3,50000
25/07/2017,0.3,0.305,0.3,0.305,137100
26/07/2017,0.305,0.305,0.305,0.305,0
27/07/2017,0.305,0.305,0.3,0.3,102413
28/07/2017,0.3,0.3,0.3,0.3,151417
31/07/2017,0.31,0.33,0.31,0.33,75000
01/08/2017,0.33,0.33,0.33,0.33,0
02/08/2017,0.31,0.31,0.31,0.31,12000
03/08/2017,0.325,0.325,0.325,0.325,2500
04/08/2017,0.31,0.325,0.31,0.325,65510
07/08/2017,0.325,0.335,0.325,0.335,26908
08/08/2017,0.335,0.345,0.33,0.34,196071
09/08/2017,0.34,0.34,0.34,0.34,5000
10/08/2017,0.335,0.335,0.315,0.335,65569
11/08/2017,0.335,0.335,0.335,0.335,0
14/08/2017,0.325,0.33,0.32,0.33,103990
15/08/2017,0.32,0.33,0.32,0.33,41700
16/08/2017,0.32,0.335,0.32,0.335,240000
17/08/2017,0.335,0.335,0.335,0.335,0
18/08/2017,0.335,0.335,0.335,0.335,0
21/08/2017,0.32,0.32,0.32,0.32,2906
22/08/2017,0.315,0.315,0.315,0.315,12966
23/08/2017,0.31,0.315,0.31,0.315,72130
24/08/2017,0.315,0.32,0.31,0.315,69000
25/08/2017,0.315,0.315,0.315,0.315,17000
28/08/2017,0.305,0.315,0.3,0.315,79881
29/08/2017,0.31,0.32,0.3,0.32,184499
30/08/2017,0.32,0.32,0.3,0.32,321251
31/08/2017,0.32,0.33,0.3,0.33,111499
01/09/2017,0.33,0.33,0.33,0.33,0
04/09/2017,0.33,0.33,0.33,0.33,0
05/09/2017,0.33,0.33,0.33,0.33,0
06/09/2017,0.33,0.33,0.33,0.33,0
07/09/2017,0.3,0.32,0.295,0.31,94557
08/09/2017,0.31,0.31,0.31,0.31,16388
11/09/2017,0.31,0.32,0.305,0.32,101179
12/09/2017,0.295,0.32,0.295,0.32,52409
13/09/2017,0.32,0.32,0.32,0.32,0
14/09/2017,0.33,0.335,0.325,0.325,369538
15/09/2017,0.32,0.32,0.3,0.32,117041
18/09/2017,0.32,0.32,0.32,0.32,3100
19/09/2017,0.33,0.34,0.33,0.34,156090
20/09/2017,0.34,0.34,0.34,0.34,109515
21/09/2017,0.34,0.34,0.33,0.34,50544
22/09/2017,0.33,0.34,0.33,0.34,18418
25/09/2017,0.34,0.34,0.34,0.34,12000
26/09/2017,0.33,0.34,0.32,0.34,43337
27/09/2017,0.34,0.34,0.34,0.34,14285
28/09/2017,0.34,0.34,0.34,0.34,0
29/09/2017,0.34,0.34,0.34,0.34,0
02/10/2017,0.32,0.32,0.32,0.32,2471
03/10/2017,0.32,0.32,0.32,0.32,5000
04/10/2017,0.32,0.32,0.32,0.32,50400
05/10/2017,0.32,0.325,0.315,0.32,59470
06/10/2017,0.32,0.32,0.32,0.32,36310
09/10/2017,0.32,0.32,0.32,0.32,20140
10/10/2017,0.3,0.315,0.3,0.315,27693
11/10/2017,0.315,0.315,0.315,0.315,0
12/10/2017,0.315,0.315,0.315,0.315,0
13/10/2017,0.305,0.315,0.3,0.315,10671
16/10/2017,0.315,0.315,0.315,0.315,0
17/10/2017,0.315,0.315,0.315,0.315,7500
18/10/2017,0.315,0.315,0.315,0.315,0
19/10/2017,0.315,0.315,0.315,0.315,0
20/10/2017,0.315,0.315,0.315,0.315,2258
23/10/2017,0.315,0.315,0.315,0.315,3000
24/10/2017,0.315,0.315,0.315,0.315,0
25/10/2017,0.315,0.32,0.315,0.32,10000
26/10/2017,0.32,0.32,0.32,0.32,0
27/10/2017,0.32,0.32,0.32,0.32,0
30/10/2017,0.32,0.32,0.32,0.32,0
31/10/2017,0.32,0.32,0.32,0.32,0
01/11/2017,0.32,0.32,0.32,0.32,0
02/11/2017,0.32,0.32,0.32,0.32,0
03/11/2017,0.32,0.32,0.32,0.32,0
06/11/2017,0.32,0.32,0.31,0.31,19000
07/11/2017,0.3,0.3,0.3,0.3,15000
08/11/2017,0.3,0.3,0.3,0.3,0
09/11/2017,0.31,0.33,0.31,0.33,111108
10/11/2017,0.33,0.33,0.31,0.31,11600
13/11/2017,0.31,0.31,0.31,0.31,0
14/11/2017,0.3,0.3,0.28,0.28,24900
15/11/2017,0.28,0.28,0.275,0.275,15000
16/11/2017,0.275,0.275,0.275,0.275,0
17/11/2017,0.275,0.275,0.275,0.275,0
20/11/2017,0.28,0.28,0.28,0.28,4000
21/11/2017,0.28,0.28,0.28,0.28,0
22/11/2017,0.27,0.27,0.27,0.27,45000
23/11/2017,0.27,0.285,0.27,0.28,90941
24/11/2017,0.28,0.28,0.27,0.27,60142
27/11/2017,0.27,0.27,0.255,0.265,42000
28/11/2017,0.265,0.265,0.26,0.265,30764
29/11/2017,0.265,0.265,0.265,0.265,47309
30/11/2017,0.275,0.275,0.275,0.275,5000
01/12/2017,0.275,0.275,0.27,0.27,60000
04/12/2017,0.28,0.29,0.27,0.275,74068
05/12/2017,0.275,0.275,0.275,0.275,0
06/12/2017,0.275,0.275,0.275,0.275,0
07/12/2017,0.27,0.275,0.26,0.26,18340
08/12/2017,0.26,0.26,0.25,0.25,98578
11/12/2017,0.22,0.25,0.215,0.25,318872
12/12/2017,0.25,0.25,0.25,0.25,0
13/12/2017,0.25,0.25,0.25,0.25,108630
14/12/2017,0.25,0.25,0.24,0.24,52370
15/12/2017,0.24,0.24,0.24,0.24,0
18/12/2017,0.24,0.24,0.24,0.24,0
19/12/2017,0.24,0.24,0.24,0.24,0
20/12/2017,0.24,0.245,0.235,0.245,59900
21/12/2017,0.245,0.245,0.245,0.245,0
22/12/2017,0.245,0.26,0.245,0.26,165358
27/12/2017,0.26,0.26,0.26,0.26,6550
28/12/2017,0.26,0.26,0.26,0.26,0
29/12/2017,0.26,0.26,0.26,0.26,14692
02/01/2018,0.265,0.265,0.255,0.255,53846
03/01/2018,0.255,0.255,0.255,0.255,0
04/01/2018,0.265,0.27,0.26,0.26,51318
05/01/2018,0.26,0.26,0.26,0.26,0
08/01/2018,0.26,0.26,0.26,0.26,0
09/01/2018,0.27,0.27,0.27,0.27,3000
10/01/2018,0.27,0.27,0.27,0.27,0
11/01/2018,0.27,0.27,0.27,0.27,0
12/01/2018,0.27,0.27,0.27,0.27,0
15/01/2018,0.27,0.27,0.255,0.255,8498
16/01/2018,0.255,0.26,0.25,0.25,61723
17/01/2018,0.24,0.245,0.24,0.24,10747
18/01/2018,0.23,0.24,0.215,0.24,8700
19/01/2018,0.245,0.255,0.245,0.255,130000
22/01/2018,0.255,0.255,0.255,0.255,0
23/01/2018,0.24,0.245,0.24,0.245,35833
24/01/2018,0.24,0.24,0.24,0.24,6642
25/01/2018,0.24,0.24,0.24,0.24,0
29/01/2018,0.24,0.24,0.24,0.24,103965
30/01/2018,0.24,0.245,0.24,0.245,60000
31/01/2018,0.245,0.245,0.245,0.245,0
01/02/2018,0.235,0.245,0.235,0.24,100000
02/02/2018,0.23,0.23,0.23,0.23,2500
05/02/2018,0.23,0.23,0.23,0.23,2500
06/02/2018,0.23,0.23,0.23,0.23,0
07/02/2018,0.23,0.23,0.23,0.23,0
08/02/2018,0.23,0.23,0.23,0.23,0
