Date,Open,High,Low,Close,Volume
02/07/2001,0.37,0.37,0.37,0.37,0
03/07/2001,0.39,0.39,0.39,0.39,26810
04/07/2001,0.39,0.39,0.39,0.39,0
05/07/2001,0.39,0.39,0.39,0.39,0
06/07/2001,0.38,0.38,0.38,0.38,35000
09/07/2001,0.38,0.38,0.38,0.38,0
10/07/2001,0.38,0.38,0.38,0.38,10000
11/07/2001,0.38,0.38,0.38,0.38,0
12/07/2001,0.38,0.38,0.38,0.38,0
13/07/2001,0.37,0.37,0.37,0.37,10000
16/07/2001,0.37,0.37,0.37,0.37,0
17/07/2001,0.37,0.37,0.37,0.37,0
18/07/2001,0.37,0.37,0.35,0.35,46780
19/07/2001,0.35,0.35,0.35,0.35,0
20/07/2001,0.35,0.35,0.35,0.35,0
23/07/2001,0.355,0.355,0.355,0.355,15000
24/07/2001,0.355,0.355,0.355,0.355,0
25/07/2001,0.355,0.355,0.355,0.355,0
26/07/2001,0.355,0.355,0.355,0.355,0
27/07/2001,0.355,0.355,0.355,0.355,0
30/07/2001,0.37,0.37,0.37,0.37,10000
31/07/2001,0.37,0.37,0.37,0.37,0
01/08/2001,0.37,0.37,0.37,0.37,0
02/08/2001,0.37,0.37,0.37,0.37,0
03/08/2001,0.37,0.37,0.37,0.37,0
06/08/2001,0.37,0.37,0.37,0.37,0
07/08/2001,0.35,0.36,0.35,0.36,25226
08/08/2001,0.36,0.36,0.36,0.36,0
09/08/2001,0.37,0.37,0.37,0.37,10000
10/08/2001,0.37,0.37,0.37,0.37,0
13/08/2001,0.37,0.37,0.37,0.37,5666
14/08/2001,0.37,0.37,0.37,0.37,0
15/08/2001,0.37,0.37,0.37,0.37,0
16/08/2001,0.37,0.37,0.37,0.37,0
17/08/2001,0.37,0.37,0.37,0.37,0
20/08/2001,0.37,0.37,0.37,0.37,0
21/08/2001,0.37,0.37,0.37,0.37,0
22/08/2001,0.37,0.37,0.37,0.37,0
23/08/2001,0.37,0.37,0.37,0.37,0
24/08/2001,0.37,0.37,0.37,0.37,0
27/08/2001,0.37,0.37,0.37,0.37,0
28/08/2001,0.37,0.37,0.37,0.37,0
29/08/2001,0.37,0.37,0.37,0.37,0
30/08/2001,0.37,0.37,0.37,0.37,0
31/08/2001,0.37,0.37,0.37,0.37,0
03/09/2001,0.37,0.37,0.37,0.37,0
04/09/2001,0.37,0.37,0.37,0.37,0
05/09/2001,0.37,0.37,0.37,0.37,0
06/09/2001,0.37,0.4,0.37,0.4,57044
07/09/2001,0.4,0.4,0.4,0.4,0
10/09/2001,0.4,0.4,0.4,0.4,14399
11/09/2001,0.4,0.4,0.4,0.4,0
12/09/2001,0.4,0.4,0.4,0.4,0
13/09/2001,0.4,0.4,0.4,0.4,0
14/09/2001,0.48,0.48,0.48,0.48,10000
17/09/2001,0.47,0.47,0.47,0.47,10000
18/09/2001,0.47,0.47,0.47,0.47,0
19/09/2001,0.47,0.47,0.47,0.47,0
20/09/2001,0.47,0.47,0.47,0.47,0
21/09/2001,0.495,0.5,0.495,0.5,12000
24/09/2001,0.495,0.495,0.495,0.495,16000
25/09/2001,0.54,0.54,0.54,0.54,2000
26/09/2001,0.54,0.54,0.54,0.54,0
27/09/2001,0.54,0.54,0.48,0.48,17525
28/09/2001,0.48,0.48,0.48,0.48,10525
01/10/2001,0.48,0.48,0.48,0.48,0
02/10/2001,0.48,0.48,0.48,0.48,0
03/10/2001,0.48,0.48,0.48,0.48,0
04/10/2001,0.48,0.48,0.48,0.48,0
05/10/2001,0.48,0.48,0.48,0.48,0
08/10/2001,0.48,0.48,0.48,0.48,0
09/10/2001,0.48,0.48,0.48,0.48,0
10/10/2001,0.48,0.48,0.48,0.48,0
11/10/2001,0.48,0.48,0.48,0.48,0
12/10/2001,0.52,0.52,0.52,0.52,2420
15/10/2001,0.52,0.52,0.52,0.52,0
16/10/2001,0.51,0.51,0.51,0.51,10000
17/10/2001,0.48,0.48,0.47,0.47,28025
18/10/2001,0.47,0.47,0.45,0.45,26015
19/10/2001,0.46,0.48,0.46,0.48,11000
22/10/2001,0.48,0.48,0.48,0.48,14000
23/10/2001,0.48,0.48,0.48,0.48,0
24/10/2001,0.48,0.48,0.48,0.48,0
25/10/2001,0.48,0.5,0.48,0.5,25000
26/10/2001,0.55,0.55,0.55,0.55,5000
29/10/2001,0.55,0.55,0.55,0.55,0
30/10/2001,0.55,0.55,0.55,0.55,0
31/10/2001,0.55,0.55,0.55,0.55,0
01/11/2001,0.55,0.55,0.55,0.55,0
02/11/2001,0.55,0.55,0.55,0.55,0
05/11/2001,0.55,0.55,0.55,0.55,0
06/11/2001,0.55,0.55,0.55,0.55,0
07/11/2001,0.55,0.55,0.55,0.55,0
08/11/2001,0.52,0.52,0.52,0.52,10000
09/11/2001,0.52,0.52,0.52,0.52,0
12/11/2001,0.52,0.53,0.52,0.53,10000
13/11/2001,0.55,0.56,0.54,0.54,16000
14/11/2001,0.58,0.58,0.52,0.52,13400
15/11/2001,0.52,0.52,0.52,0.52,5000
16/11/2001,0.52,0.52,0.52,0.52,42000
19/11/2001,0.52,0.52,0.52,0.52,0
20/11/2001,0.52,0.55,0.52,0.52,52800
21/11/2001,0.52,0.52,0.52,0.52,54540
22/11/2001,0.52,0.52,0.52,0.52,0
23/11/2001,0.54,0.54,0.52,0.52,110000
26/11/2001,0.54,0.56,0.52,0.52,111900
27/11/2001,0.52,0.55,0.52,0.55,17000
28/11/2001,0.56,0.56,0.56,0.56,3000
29/11/2001,0.56,0.56,0.56,0.56,0
30/11/2001,0.52,0.52,0.52,0.52,30000
03/12/2001,0.54,0.54,0.52,0.52,7000
04/12/2001,0.54,0.54,0.54,0.54,5000
05/12/2001,0.54,0.54,0.54,0.54,0
06/12/2001,0.54,0.54,0.54,0.54,5000
07/12/2001,0.53,0.53,0.52,0.52,6000
10/12/2001,0.52,0.54,0.52,0.54,18776
11/12/2001,0.54,0.54,0.54,0.54,9893
12/12/2001,0.54,0.55,0.54,0.55,2857
13/12/2001,0.54,0.55,0.54,0.55,16666
14/12/2001,0.54,0.54,0.54,0.54,25000
17/12/2001,0.52,0.52,0.52,0.52,242
18/12/2001,0.52,0.52,0.52,0.52,31533
19/12/2001,0.52,0.52,0.52,0.52,0
20/12/2001,0.51,0.51,0.51,0.51,11011
21/12/2001,0.51,0.51,0.51,0.51,0
24/12/2001,0.51,0.51,0.51,0.51,0
27/12/2001,0.51,0.51,0.51,0.51,0
28/12/2001,0.51,0.51,0.51,0.51,0
31/12/2001,0.51,0.51,0.51,0.51,0
02/01/2002,0.51,0.51,0.51,0.51,0
03/01/2002,0.51,0.51,0.51,0.51,0
04/01/2002,0.51,0.51,0.51,0.51,0
07/01/2002,0.54,0.54,0.54,0.54,3989
08/01/2002,0.54,0.54,0.54,0.54,0
09/01/2002,0.53,0.53,0.53,0.53,7000
10/01/2002,0.53,0.53,0.53,0.53,0
11/01/2002,0.53,0.53,0.53,0.53,0
14/01/2002,0.53,0.54,0.51,0.54,42000
15/01/2002,0.53,0.53,0.53,0.53,10000
16/01/2002,0.53,0.53,0.53,0.53,0
17/01/2002,0.52,0.52,0.52,0.52,25000
18/01/2002,0.52,0.52,0.52,0.52,0
21/01/2002,0.53,0.53,0.53,0.53,30000
22/01/2002,0.52,0.52,0.51,0.51,15855
23/01/2002,0.51,0.51,0.51,0.51,0
24/01/2002,0.53,0.53,0.52,0.52,36645
25/01/2002,0.52,0.52,0.52,0.52,0
29/01/2002,0.52,0.52,0.52,0.52,10000
30/01/2002,0.52,0.52,0.52,0.52,0
31/01/2002,0.52,0.54,0.52,0.54,1000
01/02/2002,0.52,0.52,0.52,0.52,9986
04/02/2002,0.52,0.52,0.52,0.52,0
05/02/2002,0.52,0.52,0.52,0.52,0
06/02/2002,0.52,0.52,0.52,0.52,0
07/02/2002,0.54,0.58,0.54,0.58,7141
08/02/2002,0.58,0.58,0.58,0.58,0
11/02/2002,0.58,0.58,0.58,0.58,0
12/02/2002,0.53,0.53,0.52,0.52,20462
13/02/2002,0.52,0.52,0.52,0.52,0
14/02/2002,0.52,0.52,0.52,0.52,0
15/02/2002,0.515,0.515,0.515,0.515,1900
18/02/2002,0.52,0.52,0.51,0.51,5400
19/02/2002,0.51,0.51,0.51,0.51,44600
20/02/2002,0.52,0.52,0.52,0.52,20000
21/02/2002,0.52,0.52,0.52,0.52,0
22/02/2002,0.51,0.52,0.51,0.52,45500
25/02/2002,0.52,0.52,0.52,0.52,0
26/02/2002,0.54,0.54,0.54,0.54,20000
27/02/2002,0.56,0.56,0.56,0.56,10000
28/02/2002,0.56,0.56,0.56,0.56,0
01/03/2002,0.56,0.56,0.56,0.56,0
04/03/2002,0.53,0.53,0.53,0.53,20328
05/03/2002,0.53,0.53,0.53,0.53,0
06/03/2002,0.54,0.54,0.54,0.54,1000
07/03/2002,0.54,0.54,0.54,0.54,10000
08/03/2002,0.53,0.53,0.53,0.53,4672
11/03/2002,0.53,0.53,0.53,0.53,0
12/03/2002,0.52,0.52,0.52,0.52,18000
13/03/2002,0.52,0.53,0.52,0.53,17328
14/03/2002,0.53,0.53,0.53,0.53,20000
15/03/2002,0.55,0.55,0.55,0.55,10000
18/03/2002,0.53,0.53,0.53,0.53,11331
19/03/2002,0.53,0.53,0.53,0.53,0
20/03/2002,0.53,0.53,0.53,0.53,0
21/03/2002,0.53,0.53,0.53,0.53,0
22/03/2002,0.53,0.53,0.53,0.53,0
