Date,Open,High,Low,Close,Volume
13/02/2020,12.05,12.06,12.05,12.06,68648
14/02/2020,12.09,12.09,12.09,12.09,5140
17/02/2020,12.06,12.06,12.06,12.06,13290
18/02/2020,12.11,12.11,12.11,12.11,4084
19/02/2020,12.09,12.09,12.09,12.09,250
20/02/2020,12.12,12.12,12.11,12.11,4825
21/02/2020,12.13,12.15,12.13,12.15,11781
24/02/2020,12.15,12.15,12.12,12.12,14881
25/02/2020,12.09,12.09,12.03,12.03,3706
26/02/2020,12.12,12.12,12.12,12.12,1660
27/02/2020,12.12,12.12,12.12,12.12,0
28/02/2020,12.12,12.12,12.12,12.12,0
02/03/2020,11.97,11.97,11.94,11.94,4200
03/03/2020,11.96,11.99,11.95,11.95,1501
04/03/2020,11.95,11.95,11.95,11.95,0
05/03/2020,12,12,12,12,1500
06/03/2020,12,12,12,12,0
09/03/2020,11.82,11.85,11.82,11.85,1667
10/03/2020,11.48,11.48,11.48,11.48,400
11/03/2020,11.48,11.48,11.48,11.48,0
12/03/2020,11.48,11.48,11.48,11.48,0
13/03/2020,10.96,10.96,10.96,10.96,45
16/03/2020,10.73,10.73,10.73,10.73,2050
17/03/2020,10.75,10.75,10.75,10.75,930
18/03/2020,10.75,10.75,10.75,10.75,0
19/03/2020,10.75,10.75,10.75,10.75,0
20/03/2020,10.43,10.43,10.43,10.43,500
23/03/2020,10,10.01,10,10.01,5050
24/03/2020,10.01,10.01,10.01,10.01,45
25/03/2020,9.97,9.97,9.97,9.97,5267
26/03/2020,9.97,9.97,9.97,9.97,0
27/03/2020,9.97,9.97,9.97,9.97,0
30/03/2020,9.97,9.97,9.97,9.97,0
31/03/2020,9.97,9.97,9.97,9.97,0
01/04/2020,9.98,9.98,9.98,9.98,2213
02/04/2020,9.98,9.98,9.98,9.98,0
03/04/2020,9.98,9.98,9.98,9.98,0
06/04/2020,10.01,10.01,10.01,10.01,10
07/04/2020,10.1,10.1,10.1,10.1,200
08/04/2020,10.1,10.1,10.1,10.1,0
09/04/2020,10.02,10.02,10.02,10.02,30
14/04/2020,9.81,9.81,9.81,9.81,248
15/04/2020,9.85,9.85,9.85,9.85,1650
16/04/2020,9.97,10.08,9.97,10.08,40854
17/04/2020,10.07,10.07,10.07,10.07,20256
20/04/2020,10.07,10.07,10.07,10.07,4750
21/04/2020,10.09,10.09,10.09,10.09,2000
22/04/2020,10.09,10.09,10.09,10.09,0
23/04/2020,9.97,9.97,9.97,9.97,6878
24/04/2020,9.89,9.89,9.89,9.89,500
27/04/2020,9.89,9.89,9.89,9.89,0
28/04/2020,9.85,9.85,9.75,9.75,1101
29/04/2020,9.75,9.75,9.75,9.75,0
30/04/2020,9.81,9.81,9.81,9.81,19263
01/05/2020,9.91,9.91,9.9,9.9,9055
04/05/2020,9.86,9.86,9.81,9.81,4050
05/05/2020,9.81,9.81,9.81,9.81,0
06/05/2020,9.81,9.81,9.81,9.81,0
07/05/2020,10.04,10.04,10.04,10.04,716
08/05/2020,10.09,10.09,10.09,10.09,1500
11/05/2020,10.09,10.09,10.09,10.09,0
12/05/2020,10.31,10.31,10.31,10.31,484
13/05/2020,10.31,10.31,10.31,10.31,0
14/05/2020,10.35,10.35,10.35,10.35,2238
15/05/2020,10.35,10.35,10.35,10.35,0
18/05/2020,10.33,10.33,10.27,10.27,5813
19/05/2020,10.27,10.27,10.27,10.27,0
20/05/2020,10.44,10.44,10.44,10.44,700
21/05/2020,10.56,10.56,10.56,10.56,300
22/05/2020,10.56,10.56,10.56,10.56,0
25/05/2020,10.56,10.56,10.56,10.56,0
26/05/2020,10.71,10.71,10.71,10.71,1000
27/05/2020,10.71,10.71,10.71,10.71,0
28/05/2020,10.79,10.79,10.79,10.79,4640
29/05/2020,10.74,10.74,10.74,10.74,1860
01/06/2020,10.72,10.72,10.72,10.72,931
02/06/2020,10.67,10.67,10.67,10.67,50029
03/06/2020,10.67,10.67,10.67,10.67,0
04/06/2020,10.71,10.71,10.71,10.71,5500
05/06/2020,10.79,10.85,10.79,10.85,16510
09/06/2020,10.85,11.01,10.85,11.01,5485
10/06/2020,11.01,11.01,11.01,11.01,1910
11/06/2020,11.01,11.01,11.01,11.01,0
12/06/2020,11.08,11.08,11.02,11.03,113089
15/06/2020,11.01,11.06,11.01,11.04,38093
16/06/2020,10.86,10.97,10.86,10.97,2168
