Date,Open,High,Low,Close,Volume
27/02/2008,0.39,0.39,0.34,0.34,1272650
28/02/2008,0.37,0.375,0.315,0.34,705771
29/02/2008,0.34,0.34,0.295,0.3,878670
03/03/2008,0.295,0.35,0.28,0.3,232542
04/03/2008,0.31,0.35,0.31,0.33,183442
05/03/2008,0.33,0.35,0.325,0.335,132953
06/03/2008,0.34,0.34,0.3,0.3,147385
07/03/2008,0.3,0.35,0.3,0.32,339298
10/03/2008,0.335,0.335,0.3,0.32,68825
11/03/2008,0.3,0.3,0.255,0.255,132126
12/03/2008,0.28,0.335,0.28,0.32,108577
13/03/2008,0.32,0.33,0.315,0.315,111251
14/03/2008,0.315,0.32,0.3,0.3,262816
17/03/2008,0.3,0.3,0.28,0.29,81782
18/03/2008,0.29,0.29,0.26,0.26,52623
19/03/2008,0.26,0.26,0.235,0.235,187135
20/03/2008,0.235,0.235,0.23,0.235,111901
25/03/2008,0.23,0.25,0.21,0.24,168310
26/03/2008,0.245,0.245,0.23,0.235,35833
27/03/2008,0.235,0.265,0.235,0.255,105367
28/03/2008,0.255,0.255,0.255,0.255,1500
31/03/2008,0.265,0.265,0.25,0.25,52947
01/04/2008,0.25,0.25,0.2,0.21,287000
02/04/2008,0.21,0.21,0.2,0.2,227617
03/04/2008,0.195,0.21,0.195,0.2,349361
04/04/2008,0.2,0.23,0.2,0.23,89975
07/04/2008,0.26,0.265,0.26,0.265,49094
08/04/2008,0.26,0.26,0.22,0.26,19550
09/04/2008,0.265,0.265,0.26,0.26,19231
10/04/2008,0.26,0.26,0.26,0.26,100000
11/04/2008,0.26,0.26,0.25,0.255,13387
14/04/2008,0.25,0.25,0.24,0.24,26313
15/04/2008,0.24,0.24,0.24,0.24,2250
16/04/2008,0.24,0.24,0.24,0.24,0
17/04/2008,0.22,0.22,0.215,0.22,11000
18/04/2008,0.22,0.22,0.215,0.215,30550
21/04/2008,0.235,0.24,0.235,0.24,37541
22/04/2008,0.24,0.24,0.24,0.24,46528
23/04/2008,0.245,0.25,0.23,0.23,108072
24/04/2008,0.215,0.215,0.21,0.21,21500
28/04/2008,0.21,0.24,0.205,0.24,100151
29/04/2008,0.24,0.24,0.24,0.24,0
30/04/2008,0.21,0.21,0.205,0.205,77948
01/05/2008,0.205,0.205,0.205,0.205,0
02/05/2008,0.23,0.23,0.205,0.205,21250
05/05/2008,0.205,0.225,0.205,0.21,105721
06/05/2008,0.21,0.21,0.2,0.2,181507
07/05/2008,0.21,0.22,0.2,0.2,32500
08/05/2008,0.205,0.205,0.205,0.205,70000
09/05/2008,0.2,0.2,0.2,0.2,7500
12/05/2008,0.19,0.19,0.165,0.19,43750
13/05/2008,0.165,0.165,0.165,0.165,40000
14/05/2008,0.175,0.175,0.17,0.17,13125
15/05/2008,0.175,0.185,0.175,0.185,5458
16/05/2008,0.18,0.18,0.165,0.18,422535
19/05/2008,0.175,0.18,0.165,0.18,287180
20/05/2008,0.18,0.19,0.18,0.19,78500
21/05/2008,0.185,0.185,0.18,0.18,34500
22/05/2008,0.18,0.18,0.18,0.18,5000
23/05/2008,0.18,0.18,0.18,0.18,50400
26/05/2008,0.18,0.18,0.165,0.165,194599
27/05/2008,0.165,0.165,0.16,0.16,40000
28/05/2008,0.16,0.165,0.15,0.15,83748
29/05/2008,0.155,0.17,0.155,0.165,43796
30/05/2008,0.185,0.19,0.175,0.19,171000
02/06/2008,0.19,0.19,0.165,0.165,7634
03/06/2008,0.185,0.185,0.165,0.165,65992
04/06/2008,0.165,0.165,0.16,0.165,29059
05/06/2008,0.16,0.16,0.16,0.16,5000
06/06/2008,0.16,0.16,0.15,0.15,74166
10/06/2008,0.15,0.15,0.15,0.15,35834
11/06/2008,0.145,0.145,0.145,0.145,36149
12/06/2008,0.145,0.145,0.14,0.14,75000
13/06/2008,0.13,0.13,0.13,0.13,6250
16/06/2008,0.13,0.13,0.105,0.13,133250
17/06/2008,0.13,0.18,0.13,0.15,132626
18/06/2008,0.17,0.17,0.15,0.15,30000
19/06/2008,0.15,0.15,0.115,0.115,42089
20/06/2008,0.12,0.12,0.12,0.12,26000
23/06/2008,0.12,0.13,0.11,0.13,129064
24/06/2008,0.13,0.13,0.11,0.115,248336
25/06/2008,0.12,0.125,0.115,0.125,39625
26/06/2008,0.13,0.13,0.105,0.11,60211
27/06/2008,0.13,0.13,0.13,0.13,18000
30/06/2008,0.12,0.13,0.11,0.11,398077
01/07/2008,0.14,0.14,0.14,0.14,110000
02/07/2008,0.13,0.13,0.13,0.13,5000
03/07/2008,0.13,0.13,0.076,0.1,135392
04/07/2008,0.09,0.125,0.09,0.12,13154
07/07/2008,0.12,0.13,0.12,0.13,17609
08/07/2008,0.13,0.13,0.12,0.13,59925
09/07/2008,0.11,0.11,0.11,0.11,649
10/07/2008,0.11,0.11,0.105,0.105,69351
11/07/2008,0.09,0.09,0.09,0.09,7312
14/07/2008,0.1,0.1,0.1,0.1,1586
15/07/2008,0.1,0.1,0.08,0.08,144914
16/07/2008,0.081,0.09,0.081,0.09,23000
17/07/2008,0.09,0.09,0.09,0.09,1000
18/07/2008,0.09,0.09,0.09,0.09,0
21/07/2008,0.085,0.085,0.08,0.08,159000
22/07/2008,0.08,0.08,0.08,0.08,0
23/07/2008,0.097,0.1,0.097,0.1,141875
24/07/2008,0.1,0.1,0.1,0.1,10000
25/07/2008,0.1,0.12,0.09,0.12,146596
28/07/2008,0.11,0.12,0.11,0.12,9529
29/07/2008,0.11,0.11,0.105,0.105,70000
30/07/2008,0.105,0.105,0.095,0.1,118300
