Date,Open,High,Low,Close,Volume
16/10/2017,1.085,1.085,1.085,1.085,3700
17/10/2017,1.01,1.01,1.01,1.01,3570
18/10/2017,1.01,1.01,1.01,1.01,0
19/10/2017,1.01,1.01,1.01,1.01,951
20/10/2017,1.01,1.01,1.01,1.01,0
23/10/2017,1.01,1.01,1.01,1.01,0
24/10/2017,1.01,1.01,1.01,1.01,0
25/10/2017,1.01,1.01,1.01,1.01,0
26/10/2017,1.05,1.05,1.05,1.05,576
27/10/2017,1.05,1.05,1.05,1.05,0
30/10/2017,1.05,1.05,1.05,1.05,0
31/10/2017,1.07,1.07,1.07,1.07,4521
01/11/2017,1.08,1.09,1.08,1.09,83043
02/11/2017,1.12,1.12,1.12,1.12,10567
03/11/2017,1.12,1.12,1.12,1.12,0
06/11/2017,1.12,1.12,1.12,1.12,1000
07/11/2017,1.12,1.12,1.12,1.12,0
08/11/2017,1.16,1.16,1.09,1.09,9635
09/11/2017,1.1,1.12,1.1,1.12,8186
10/11/2017,1.13,1.13,1.13,1.13,20000
13/11/2017,1.13,1.13,1.13,1.13,1613
14/11/2017,1.11,1.11,1.1,1.1,1876
15/11/2017,1.11,1.11,1.11,1.11,1083
16/11/2017,1.11,1.11,1.1,1.1,2975
17/11/2017,1.11,1.11,1.11,1.11,1083
20/11/2017,1.11,1.11,1.11,1.11,0
21/11/2017,1.11,1.11,1.11,1.11,3933
22/11/2017,1.11,1.11,1.11,1.11,0
23/11/2017,1.11,1.11,1.11,1.11,5922
24/11/2017,1.11,1.11,1.11,1.11,0
27/11/2017,1.11,1.11,1.11,1.11,0
28/11/2017,1.11,1.11,1.1,1.1,28701
29/11/2017,1.1,1.1,1.1,1.1,9000
30/11/2017,1.1,1.11,1.1,1.11,11253
01/12/2017,1.11,1.11,1.11,1.11,0
04/12/2017,1.11,1.11,1.11,1.11,0
05/12/2017,1.1,1.11,1.1,1.11,24685
06/12/2017,1.11,1.11,1.11,1.11,0
07/12/2017,1.11,1.12,1.11,1.12,9310
08/12/2017,1.12,1.12,1.12,1.12,0
11/12/2017,1.12,1.12,1.1,1.1,17822
12/12/2017,1.1,1.1,1.1,1.1,0
13/12/2017,1.09,1.09,1.09,1.09,7614
14/12/2017,1.09,1.09,1.09,1.09,0
15/12/2017,1.1,1.1,1.095,1.095,13737
18/12/2017,1.095,1.095,1.095,1.095,0
19/12/2017,1.135,1.135,1.135,1.135,3671
20/12/2017,1.1,1.1,1.1,1.1,1329
21/12/2017,1.1,1.13,1.1,1.13,4541
22/12/2017,1.13,1.13,1.13,1.13,5375
27/12/2017,1.13,1.13,1.13,1.13,0
28/12/2017,1.13,1.13,1.13,1.13,0
29/12/2017,1.13,1.13,1.13,1.13,0
02/01/2018,1.12,1.12,1.12,1.12,1009
03/01/2018,1.12,1.12,1.12,1.12,0
04/01/2018,1.12,1.12,1.12,1.12,0
05/01/2018,1.12,1.12,1.12,1.12,0
08/01/2018,1.12,1.12,1.12,1.12,0
09/01/2018,1.1,1.1,1.1,1.1,1743
10/01/2018,1.1,1.1,1.09,1.09,9879
11/01/2018,1.09,1.09,1.09,1.09,0
12/01/2018,1.09,1.1,1.09,1.1,7066
15/01/2018,1.1,1.1,1.09,1.09,40374
16/01/2018,1.12,1.12,1.11,1.12,17988
17/01/2018,1.12,1.14,1.12,1.14,8225
18/01/2018,1.14,1.14,1.14,1.14,0
19/01/2018,1.14,1.14,1.14,1.14,6098
22/01/2018,1.14,1.14,1.14,1.14,765
23/01/2018,1.13,1.13,1.1,1.1,10000
24/01/2018,1.12,1.12,1.1,1.1,3249
25/01/2018,1.1,1.1,1.1,1.1,2721
29/01/2018,1.1,1.1,1.1,1.1,0
30/01/2018,1.12,1.12,1.12,1.12,3000
31/01/2018,1.14,1.16,1.14,1.16,18141
01/02/2018,1.16,1.2,1.16,1.17,6857
02/02/2018,1.15,1.15,1.15,1.15,1655
05/02/2018,1.16,1.165,1.15,1.15,5526
06/02/2018,1.15,1.15,1.12,1.12,98000
07/02/2018,1.14,1.14,1.12,1.12,3845
08/02/2018,1.12,1.12,1.12,1.12,0
09/02/2018,1.13,1.13,1.12,1.12,68271
12/02/2018,1.125,1.13,1.12,1.13,7296
13/02/2018,1.13,1.13,1.1,1.1,52012
14/02/2018,1.1,1.12,1.1,1.12,1624
15/02/2018,1.1,1.1,1.1,1.1,588
16/02/2018,1.115,1.12,1.115,1.12,2992
19/02/2018,1.1,1.125,1.09,1.125,4097
20/02/2018,1.125,1.125,1.09,1.09,13935
21/02/2018,1.125,1.13,1.125,1.13,1670
22/02/2018,1.13,1.13,1.13,1.13,0
23/02/2018,1.13,1.14,1.13,1.14,695
26/02/2018,1.14,1.14,1.14,1.14,0
27/02/2018,1.14,1.14,1.14,1.14,35738
28/02/2018,1.14,1.14,1.14,1.14,0
01/03/2018,1.12,1.12,1.12,1.12,1084
02/03/2018,1.045,1.045,1.04,1.04,5000
05/03/2018,1.085,1.085,1.085,1.085,1088
06/03/2018,1.05,1.09,1.05,1.09,9500
07/03/2018,1.045,1.045,1.045,1.045,1361
08/03/2018,1.045,1.045,1.045,1.045,0
09/03/2018,1.09,1.1,1.07,1.07,33334
12/03/2018,1.07,1.07,1.07,1.07,0
13/03/2018,1.085,1.085,1.045,1.045,6088
14/03/2018,1.045,1.045,1.045,1.045,0
