Date,Open,High,Low,Close,Volume
02/07/2001,0.6,0.6,0.6,0.6,0
03/07/2001,0.6,0.6,0.6,0.6,0
04/07/2001,0.6,0.6,0.6,0.6,0
05/07/2001,0.6,0.6,0.6,0.6,0
06/07/2001,0.6,0.6,0.6,0.6,0
09/07/2001,0.6,0.6,0.6,0.6,0
10/07/2001,0.6,0.6,0.6,0.6,0
11/07/2001,0.6,0.6,0.6,0.6,0
12/07/2001,0.6,0.6,0.6,0.6,0
13/07/2001,0.6,0.6,0.6,0.6,0
16/07/2001,0.65,0.65,0.65,0.65,1800
17/07/2001,0.65,0.65,0.65,0.65,0
18/07/2001,0.65,0.65,0.65,0.65,0
19/07/2001,0.65,0.65,0.65,0.65,0
20/07/2001,0.64,0.64,0.64,0.64,500
23/07/2001,0.64,0.64,0.64,0.64,0
24/07/2001,0.64,0.64,0.64,0.64,0
25/07/2001,0.64,0.64,0.64,0.64,0
26/07/2001,0.64,0.64,0.64,0.64,0
27/07/2001,0.64,0.64,0.64,0.64,0
30/07/2001,0.64,0.64,0.64,0.64,0
31/07/2001,0.64,0.64,0.64,0.64,0
01/08/2001,0.64,0.64,0.64,0.64,0
02/08/2001,0.64,0.64,0.64,0.64,0
03/08/2001,0.64,0.64,0.64,0.64,0
06/08/2001,0.64,0.64,0.64,0.64,0
07/08/2001,0.64,0.64,0.64,0.64,0
08/08/2001,0.64,0.64,0.64,0.64,0
09/08/2001,0.5,0.5,0.5,0.5,650
10/08/2001,0.5,0.5,0.5,0.5,0
13/08/2001,0.5,0.5,0.5,0.5,0
14/08/2001,0.5,0.5,0.5,0.5,0
15/08/2001,0.5,0.5,0.5,0.5,0
16/08/2001,0.5,0.5,0.5,0.5,0
17/08/2001,0.5,0.5,0.5,0.5,0
20/08/2001,0.5,0.5,0.5,0.5,0
21/08/2001,0.5,0.5,0.5,0.5,0
22/08/2001,0.5,0.5,0.5,0.5,0
23/08/2001,0.5,0.5,0.5,0.5,0
24/08/2001,0.5,0.5,0.5,0.5,0
27/08/2001,0.5,0.5,0.5,0.5,0
28/08/2001,0.5,0.5,0.5,0.5,0
29/08/2001,0.5,0.5,0.5,0.5,0
30/08/2001,0.5,0.5,0.5,0.5,0
31/08/2001,0.51,0.51,0.51,0.51,10000
03/09/2001,0.51,0.51,0.51,0.51,0
04/09/2001,0.51,0.51,0.51,0.51,0
05/09/2001,0.51,0.51,0.51,0.51,0
06/09/2001,0.51,0.51,0.51,0.51,0
07/09/2001,0.51,0.51,0.51,0.51,0
10/09/2001,0.51,0.51,0.51,0.51,0
11/09/2001,0.51,0.51,0.51,0.51,0
12/09/2001,0.51,0.51,0.51,0.51,0
13/09/2001,0.51,0.51,0.51,0.51,0
14/09/2001,0.51,0.51,0.51,0.51,0
17/09/2001,0.5,0.51,0.5,0.51,23000
18/09/2001,0.51,0.51,0.51,0.51,0
19/09/2001,0.51,0.51,0.51,0.51,0
20/09/2001,0.51,0.51,0.51,0.51,0
21/09/2001,0.51,0.51,0.51,0.51,0
24/09/2001,0.51,0.51,0.51,0.51,0
25/09/2001,0.51,0.51,0.51,0.51,0
26/09/2001,0.51,0.51,0.51,0.51,0
27/09/2001,0.51,0.51,0.51,0.51,0
28/09/2001,0.51,0.51,0.51,0.51,0
01/10/2001,0.51,0.51,0.51,0.51,0
02/10/2001,0.43,0.43,0.43,0.43,1500
03/10/2001,0.43,0.43,0.43,0.43,0
04/10/2001,0.43,0.43,0.43,0.43,3500
05/10/2001,0.45,0.45,0.43,0.43,20500
08/10/2001,0.43,0.43,0.43,0.43,0
09/10/2001,0.43,0.43,0.43,0.43,3563
10/10/2001,0.43,0.43,0.43,0.43,0
11/10/2001,0.45,0.45,0.45,0.45,30000
12/10/2001,0.45,0.45,0.45,0.45,0
15/10/2001,0.45,0.45,0.45,0.45,0
16/10/2001,0.45,0.45,0.45,0.45,0
17/10/2001,0.45,0.45,0.45,0.45,0
18/10/2001,0.45,0.45,0.45,0.45,0
19/10/2001,0.45,0.45,0.45,0.45,0
22/10/2001,0.45,0.45,0.45,0.45,0
23/10/2001,0.45,0.45,0.45,0.45,0
24/10/2001,0.45,0.45,0.45,0.45,0
25/10/2001,0.45,0.45,0.45,0.45,0
26/10/2001,0.45,0.45,0.45,0.45,0
29/10/2001,0.45,0.45,0.45,0.45,0
30/10/2001,0.45,0.45,0.45,0.45,0
31/10/2001,0.45,0.45,0.45,0.45,0
01/11/2001,0.45,0.45,0.45,0.45,0
02/11/2001,0.45,0.45,0.45,0.45,0
05/11/2001,0.45,0.45,0.45,0.45,0
06/11/2001,0.45,0.45,0.45,0.45,0
07/11/2001,0.45,0.45,0.45,0.45,0
08/11/2001,0.45,0.45,0.45,0.45,0
09/11/2001,0.45,0.45,0.45,0.45,0
12/11/2001,0.45,0.45,0.45,0.45,0
13/11/2001,0.45,0.45,0.45,0.45,0
14/11/2001,0.45,0.45,0.45,0.45,0
15/11/2001,0.45,0.45,0.45,0.45,13800
16/11/2001,0.45,0.45,0.45,0.45,0
19/11/2001,0.45,0.45,0.45,0.45,0
20/11/2001,0.45,0.45,0.45,0.45,0
21/11/2001,0.45,0.45,0.45,0.45,0
22/11/2001,0.45,0.45,0.45,0.45,0
23/11/2001,0.45,0.45,0.45,0.45,0
26/11/2001,0.51,0.51,0.51,0.51,10000
27/11/2001,0.51,0.51,0.51,0.51,0
28/11/2001,0.51,0.51,0.51,0.51,0
29/11/2001,0.51,0.51,0.51,0.51,0
30/11/2001,0.51,0.51,0.51,0.51,0
03/12/2001,0.51,0.51,0.51,0.51,0
04/12/2001,0.51,0.51,0.51,0.51,0
05/12/2001,0.51,0.51,0.51,0.51,0
06/12/2001,0.51,0.51,0.51,0.51,0
07/12/2001,0.51,0.51,0.51,0.51,2000
10/12/2001,0.51,0.51,0.51,0.51,0
11/12/2001,0.51,0.51,0.51,0.51,0
12/12/2001,0.51,0.51,0.51,0.51,0
13/12/2001,0.51,0.51,0.51,0.51,0
14/12/2001,0.51,0.51,0.51,0.51,0
17/12/2001,0.51,0.51,0.51,0.51,0
18/12/2001,0.51,0.51,0.51,0.51,0
19/12/2001,0.51,0.51,0.51,0.51,0
20/12/2001,0.51,0.51,0.51,0.51,0
21/12/2001,0.51,0.51,0.51,0.51,0
24/12/2001,0.51,0.51,0.51,0.51,0
27/12/2001,0.51,0.51,0.51,0.51,0
28/12/2001,0.51,0.51,0.51,0.51,0
31/12/2001,0.51,0.51,0.51,0.51,0
02/01/2002,0.51,0.51,0.51,0.51,0
03/01/2002,0.51,0.51,0.51,0.51,0
04/01/2002,0.51,0.51,0.51,0.51,0
07/01/2002,0.51,0.51,0.51,0.51,0
08/01/2002,0.51,0.51,0.51,0.51,0
09/01/2002,0.51,0.51,0.51,0.51,0
10/01/2002,0.51,0.51,0.51,0.51,0
11/01/2002,0.51,0.51,0.51,0.51,0
14/01/2002,0.51,0.51,0.51,0.51,0
15/01/2002,0.51,0.51,0.51,0.51,0
16/01/2002,0.46,0.46,0.46,0.46,1000
17/01/2002,0.46,0.46,0.46,0.46,0
18/01/2002,0.46,0.46,0.46,0.46,0
21/01/2002,0.46,0.46,0.46,0.46,0
22/01/2002,0.46,0.46,0.46,0.46,0
23/01/2002,0.46,0.46,0.46,0.46,0
24/01/2002,0.46,0.46,0.46,0.46,0
25/01/2002,0.46,0.46,0.46,0.46,0
29/01/2002,0.46,0.46,0.46,0.46,0
30/01/2002,0.6,0.6,0.6,0.6,4000
31/01/2002,0.6,0.6,0.6,0.6,0
01/02/2002,0.6,0.6,0.6,0.6,0
04/02/2002,0.6,0.6,0.6,0.6,0
05/02/2002,0.6,0.6,0.6,0.6,0
06/02/2002,0.6,0.6,0.6,0.6,0
07/02/2002,0.6,0.6,0.6,0.6,0
08/02/2002,0.6,0.6,0.6,0.6,0
11/02/2002,0.6,0.6,0.6,0.6,0
12/02/2002,0.6,0.6,0.6,0.6,0
13/02/2002,0.6,0.6,0.6,0.6,0
14/02/2002,0.6,0.6,0.6,0.6,0
15/02/2002,0.6,0.6,0.6,0.6,0
18/02/2002,0.6,0.6,0.6,0.6,0
19/02/2002,0.6,0.6,0.6,0.6,0
20/02/2002,0.6,0.6,0.6,0.6,0
21/02/2002,0.6,0.6,0.6,0.6,0
22/02/2002,0.6,0.6,0.6,0.6,0
25/02/2002,0.6,0.6,0.6,0.6,0
26/02/2002,0.6,0.6,0.6,0.6,0
27/02/2002,0.6,0.6,0.6,0.6,0
28/02/2002,0.45,0.45,0.45,0.45,12500
01/03/2002,0.45,0.45,0.45,0.45,0
04/03/2002,0.45,0.45,0.45,0.45,0
05/03/2002,0.45,0.45,0.45,0.45,0
06/03/2002,0.45,0.45,0.45,0.45,0
07/03/2002,0.45,0.45,0.45,0.45,0
08/03/2002,0.45,0.45,0.45,0.45,0
11/03/2002,0.45,0.45,0.45,0.45,0
12/03/2002,0.45,0.45,0.45,0.45,0
13/03/2002,0.45,0.45,0.45,0.45,0
14/03/2002,0.45,0.45,0.45,0.45,0
15/03/2002,0.45,0.45,0.45,0.45,0
18/03/2002,0.45,0.45,0.45,0.45,0
19/03/2002,0.45,0.45,0.45,0.45,0
20/03/2002,0.45,0.45,0.45,0.45,0
21/03/2002,0.45,0.45,0.45,0.45,0
22/03/2002,0.45,0.45,0.45,0.45,0
25/03/2002,0.45,0.45,0.45,0.45,0
26/03/2002,0.45,0.45,0.45,0.45,0
27/03/2002,0.45,0.45,0.45,0.45,0
28/03/2002,0.45,0.45,0.45,0.45,0
02/04/2002,0.45,0.45,0.45,0.45,0
03/04/2002,0.45,0.45,0.42,0.42,6000
04/04/2002,0.57,0.57,0.57,0.57,4500
05/04/2002,0.57,0.57,0.57,0.57,0
08/04/2002,0.57,0.57,0.57,0.57,0
09/04/2002,0.57,0.57,0.57,0.57,0
10/04/2002,0.57,0.57,0.57,0.57,0
11/04/2002,0.57,0.57,0.57,0.57,0
12/04/2002,0.57,0.57,0.57,0.57,0
15/04/2002,0.57,0.57,0.57,0.57,0
16/04/2002,0.57,0.57,0.57,0.57,0
17/04/2002,0.57,0.57,0.57,0.57,0
18/04/2002,0.57,0.57,0.57,0.57,0
19/04/2002,0.57,0.57,0.57,0.57,0
22/04/2002,0.57,0.57,0.57,0.57,0
23/04/2002,0.57,0.57,0.57,0.57,0
24/04/2002,0.57,0.57,0.57,0.57,0
26/04/2002,0.57,0.57,0.57,0.57,0
29/04/2002,0.48,0.48,0.48,0.48,4000
30/04/2002,0.48,0.48,0.48,0.48,0
01/05/2002,0.48,0.48,0.48,0.48,0
02/05/2002,0.48,0.48,0.48,0.48,0
03/05/2002,0.48,0.48,0.48,0.48,0
06/05/2002,0.48,0.48,0.48,0.48,10000
07/05/2002,0.5,0.5,0.5,0.5,38000
08/05/2002,0.5,0.5,0.5,0.5,0
09/05/2002,0.5,0.5,0.5,0.5,60000
10/05/2002,0.5,0.5,0.5,0.5,0
13/05/2002,0.5,0.5,0.5,0.5,0
14/05/2002,0.5,0.5,0.5,0.5,0
15/05/2002,0.48,0.485,0.48,0.485,20000
16/05/2002,0.455,0.455,0.455,0.455,1193
17/05/2002,0.455,0.455,0.455,0.455,0
20/05/2002,0.455,0.455,0.455,0.455,0
21/05/2002,0.455,0.455,0.455,0.455,0
22/05/2002,0.455,0.455,0.455,0.455,0
23/05/2002,0.455,0.455,0.455,0.455,0
24/05/2002,0.5,0.5,0.49,0.49,4000
27/05/2002,0.49,0.49,0.49,0.49,0
28/05/2002,0.54,0.55,0.54,0.55,34233
29/05/2002,0.55,0.55,0.55,0.55,0
30/05/2002,0.51,0.51,0.51,0.51,5000
31/05/2002,0.51,0.51,0.51,0.51,0
03/06/2002,0.51,0.51,0.51,0.51,0
04/06/2002,0.51,0.51,0.51,0.51,0
05/06/2002,0.51,0.51,0.51,0.51,0
06/06/2002,0.51,0.51,0.51,0.51,0
07/06/2002,0.51,0.51,0.51,0.51,0
11/06/2002,0.51,0.51,0.51,0.51,0
12/06/2002,0.51,0.51,0.51,0.51,0
13/06/2002,0.51,0.51,0.51,0.51,0
14/06/2002,0.51,0.51,0.51,0.51,0
17/06/2002,0.46,0.46,0.46,0.46,5000
18/06/2002,0.46,0.46,0.46,0.46,0
19/06/2002,0.46,0.46,0.46,0.46,0
20/06/2002,0.46,0.46,0.46,0.46,0
21/06/2002,0.46,0.46,0.46,0.46,0
24/06/2002,0.46,0.46,0.46,0.46,0
25/06/2002,0.46,0.46,0.46,0.46,0
26/06/2002,0.46,0.46,0.46,0.46,0
27/06/2002,0.4,0.41,0.4,0.41,15150
28/06/2002,0.41,0.41,0.41,0.41,0
01/07/2002,0.41,0.41,0.41,0.41,10000
02/07/2002,0.41,0.41,0.41,0.41,0
03/07/2002,0.41,0.41,0.41,0.41,0
04/07/2002,0.41,0.41,0.41,0.41,0
05/07/2002,0.41,0.41,0.41,0.41,0
08/07/2002,0.41,0.41,0.41,0.41,0
09/07/2002,0.41,0.41,0.41,0.41,0
10/07/2002,0.41,0.41,0.41,0.41,0
11/07/2002,0.41,0.41,0.41,0.41,0
12/07/2002,0.45,0.45,0.4,0.4,18000
15/07/2002,0.4,0.4,0.4,0.4,0
16/07/2002,0.4,0.4,0.4,0.4,2259
17/07/2002,0.4,0.4,0.4,0.4,0
18/07/2002,0.4,0.4,0.4,0.4,0
19/07/2002,0.4,0.4,0.4,0.4,0
