Date,Open,High,Low,Close,Volume
10/10/2017,0.39,0.39,0.3,0.35,1773700
11/10/2017,0.36,0.43,0.36,0.38,1182031
12/10/2017,0.39,0.39,0.34,0.34,489523
13/10/2017,0.34,0.37,0.33,0.37,413291
16/10/2017,0.365,0.365,0.34,0.355,402600
17/10/2017,0.35,0.35,0.33,0.35,163750
18/10/2017,0.355,0.355,0.34,0.35,93575
19/10/2017,0.35,0.36,0.34,0.34,111006
20/10/2017,0.34,0.34,0.32,0.32,56625
23/10/2017,0.32,0.33,0.3,0.3,181506
24/10/2017,0.285,0.3,0.27,0.3,399676
25/10/2017,0.295,0.32,0.295,0.295,75452
26/10/2017,0.3,0.32,0.295,0.3,272548
27/10/2017,0.3,0.32,0.295,0.32,63865
30/10/2017,0.32,0.345,0.32,0.32,49754
31/10/2017,0.33,0.33,0.31,0.32,154878
01/11/2017,0.32,0.32,0.31,0.31,126711
02/11/2017,0.31,0.31,0.31,0.31,10000
03/11/2017,0.32,0.32,0.32,0.32,10252
06/11/2017,0.32,0.375,0.32,0.375,236700
07/11/2017,0.37,0.37,0.345,0.35,93552
08/11/2017,0.36,0.37,0.335,0.35,610770
09/11/2017,0.37,0.39,0.36,0.36,291854
10/11/2017,0.37,0.4,0.365,0.4,361334
13/11/2017,0.415,0.45,0.41,0.42,197833
14/11/2017,0.44,0.46,0.44,0.455,89393
15/11/2017,0.46,0.46,0.425,0.43,86100
16/11/2017,0.425,0.45,0.425,0.45,118595
17/11/2017,0.44,0.44,0.425,0.425,30743
20/11/2017,0.425,0.45,0.425,0.45,62500
21/11/2017,0.45,0.455,0.445,0.445,107435
22/11/2017,0.445,0.455,0.445,0.45,72354
23/11/2017,0.45,0.45,0.425,0.445,19500
24/11/2017,0.445,0.445,0.445,0.445,0
27/11/2017,0.445,0.445,0.445,0.445,7500
28/11/2017,0.44,0.445,0.425,0.445,119300
29/11/2017,0.43,0.43,0.425,0.425,24400
30/11/2017,0.43,0.44,0.43,0.43,31375
01/12/2017,0.425,0.425,0.415,0.415,131515
04/12/2017,0.435,0.435,0.37,0.39,150443
05/12/2017,0.37,0.375,0.37,0.375,75050
06/12/2017,0.37,0.38,0.37,0.37,88250
07/12/2017,0.37,0.37,0.37,0.37,66534
08/12/2017,0.375,0.375,0.375,0.375,4100
11/12/2017,0.37,0.375,0.36,0.375,151615
12/12/2017,0.39,0.39,0.39,0.39,13300
13/12/2017,0.375,0.375,0.375,0.375,7011
14/12/2017,0.38,0.4,0.375,0.375,167226
15/12/2017,0.375,0.375,0.37,0.37,40000
18/12/2017,0.37,0.37,0.36,0.365,185000
19/12/2017,0.36,0.365,0.36,0.36,69408
20/12/2017,0.36,0.365,0.36,0.36,21290
21/12/2017,0.365,0.395,0.36,0.37,172138
22/12/2017,0.375,0.375,0.35,0.35,66672
27/12/2017,0.36,0.36,0.36,0.36,15000
28/12/2017,0.355,0.355,0.355,0.355,5000
29/12/2017,0.38,0.38,0.36,0.36,115000
02/01/2018,0.36,0.36,0.35,0.35,33196
03/01/2018,0.35,0.35,0.35,0.35,0
04/01/2018,0.35,0.35,0.35,0.35,56570
05/01/2018,0.35,0.35,0.35,0.35,63826
08/01/2018,0.355,0.355,0.34,0.34,245413
09/01/2018,0.35,0.4,0.35,0.4,233139
10/01/2018,0.4,0.4,0.39,0.39,63650
11/01/2018,0.4,0.4,0.4,0.4,119585
12/01/2018,0.4,0.4,0.36,0.37,68607
15/01/2018,0.37,0.37,0.35,0.36,72618
16/01/2018,0.37,0.37,0.36,0.36,16000
17/01/2018,0.36,0.36,0.355,0.355,50000
18/01/2018,0.355,0.355,0.355,0.355,5000
19/01/2018,0.355,0.355,0.35,0.35,46720
22/01/2018,0.35,0.35,0.35,0.35,85000
23/01/2018,0.35,0.35,0.35,0.35,243
24/01/2018,0.35,0.35,0.35,0.35,15390
25/01/2018,0.35,0.36,0.35,0.35,89095
29/01/2018,0.36,0.37,0.36,0.37,23000
30/01/2018,0.355,0.37,0.35,0.37,60000
31/01/2018,0.345,0.345,0.345,0.345,2740
01/02/2018,0.345,0.345,0.345,0.345,0
02/02/2018,0.345,0.345,0.345,0.345,15000
05/02/2018,0.345,0.355,0.34,0.34,37950
06/02/2018,0.34,0.34,0.3,0.3,107889
07/02/2018,0.3,0.355,0.3,0.34,168016
08/02/2018,0.34,0.34,0.34,0.34,0
09/02/2018,0.31,0.31,0.305,0.305,8611
