Date,Open,High,Low,Close,Volume
20/06/2006,0.24,0.28,0.23,0.28,310000
21/06/2006,0.27,0.28,0.25,0.28,150005
22/06/2006,0.245,0.28,0.245,0.28,35000
23/06/2006,0.26,0.26,0.26,0.26,35000
26/06/2006,0.265,0.265,0.265,0.265,9396
27/06/2006,0.255,0.255,0.255,0.255,104505
28/06/2006,0.25,0.25,0.25,0.25,8000
29/06/2006,0.25,0.25,0.25,0.25,6000
30/06/2006,0.265,0.265,0.26,0.26,142604
03/07/2006,0.27,0.35,0.27,0.31,274800
04/07/2006,0.31,0.41,0.31,0.37,267489
05/07/2006,0.38,0.41,0.37,0.4,182987
06/07/2006,0.41,0.45,0.41,0.45,223500
07/07/2006,0.47,0.5,0.455,0.5,134608
10/07/2006,0.5,0.5,0.48,0.48,33295
11/07/2006,0.48,0.48,0.425,0.48,24000
12/07/2006,0.48,0.48,0.42,0.48,622150
13/07/2006,0.445,0.445,0.435,0.435,32000
14/07/2006,0.465,0.495,0.435,0.435,150800
17/07/2006,0.45,0.47,0.425,0.46,199562
18/07/2006,0.44,0.44,0.44,0.44,16000
19/07/2006,0.435,0.465,0.43,0.445,296923
20/07/2006,0.44,0.45,0.43,0.44,106000
21/07/2006,0.44,0.44,0.425,0.43,308500
24/07/2006,0.3,0.3,0.3,0.3,10000
25/07/2006,0.33,0.33,0.3,0.3,121550
26/07/2006,0.28,0.295,0.28,0.295,25000
27/07/2006,0.27,0.295,0.255,0.295,80888
28/07/2006,0.295,0.295,0.295,0.295,0
31/07/2006,0.295,0.295,0.295,0.295,0
01/08/2006,0.31,0.31,0.31,0.31,4400
02/08/2006,0.33,0.33,0.33,0.33,1500
03/08/2006,0.3,0.3,0.3,0.3,190000
04/08/2006,0.33,0.33,0.3,0.3,29550
07/08/2006,0.325,0.325,0.325,0.325,60000
08/08/2006,0.32,0.32,0.315,0.315,45000
09/08/2006,0.315,0.33,0.315,0.33,20756
10/08/2006,0.33,0.33,0.33,0.33,0
11/08/2006,0.33,0.33,0.33,0.33,0
14/08/2006,0.3,0.3,0.3,0.3,37000
15/08/2006,0.3,0.3,0.3,0.3,0
16/08/2006,0.3,0.3,0.3,0.3,8000
17/08/2006,0.3,0.3,0.3,0.3,0
18/08/2006,0.3,0.3,0.3,0.3,0
21/08/2006,0.3,0.3,0.3,0.3,0
22/08/2006,0.295,0.3,0.295,0.3,27600
