Date,Open,High,Low,Close,Volume
12/05/2020,24.96,24.96,24.96,24.96,4792
13/05/2020,25.08,25.08,25,25.05,5032
14/05/2020,25.17,25.17,25.16,25.16,2340
15/05/2020,25.17,25.18,25.16,25.16,935
18/05/2020,25.09,25.09,25.09,25.09,796
19/05/2020,24.86,24.86,24.86,24.86,2456
20/05/2020,24.86,24.86,24.86,24.86,0
21/05/2020,24.86,24.86,24.86,24.86,0
22/05/2020,24.86,24.86,24.86,24.86,0
25/05/2020,25.05,25.11,25.05,25.11,2300
26/05/2020,25.12,25.12,25.1,25.1,76
27/05/2020,25.1,25.1,25.1,25.1,0
28/05/2020,24.93,24.93,24.8,24.8,2525
29/05/2020,24.8,24.8,24.8,24.8,0
01/06/2020,25.03,25.03,24.88,24.88,70
02/06/2020,24.86,24.87,24.85,24.85,1678
03/06/2020,24.8,24.8,24.75,24.75,1500
04/06/2020,24.57,24.57,24.57,24.57,800
05/06/2020,24.57,24.57,24.57,24.57,0
09/06/2020,24.37,24.37,24.37,24.37,97
10/06/2020,24.37,24.37,24.37,24.37,0
11/06/2020,24.37,24.37,24.37,24.37,0
12/06/2020,25.02,25.03,25,25,1224
15/06/2020,24.93,24.93,24.93,24.93,140
16/06/2020,24.93,24.93,24.93,24.93,0
17/06/2020,24.84,24.84,24.84,24.84,100
18/06/2020,24.84,24.84,24.84,24.84,0
19/06/2020,24.87,24.87,24.86,24.86,371
22/06/2020,24.82,24.82,24.82,24.82,25
23/06/2020,24.82,24.82,24.82,24.82,0
24/06/2020,24.82,24.82,24.82,24.82,0
25/06/2020,24.89,24.9,24.89,24.9,1190
26/06/2020,24.96,24.96,24.96,24.96,600
29/06/2020,25.1,25.1,25.1,25.1,1000
30/06/2020,25,25,25,25,400
01/07/2020,24.4,24.4,24.4,24.4,250
02/07/2020,24.44,24.44,24.44,24.44,21
03/07/2020,24.27,24.28,24.27,24.28,420
06/07/2020,24.28,24.28,24.28,24.28,0
07/07/2020,24.28,24.28,24.28,24.28,0
08/07/2020,24.28,24.28,24.28,24.28,0
09/07/2020,24.46,24.58,24.46,24.58,1540
10/07/2020,24.58,24.58,24.58,24.58,0
13/07/2020,24.56,24.56,24.56,24.56,100
14/07/2020,24.56,24.56,24.56,24.56,0
15/07/2020,24.56,24.56,24.56,24.56,0
16/07/2020,24.56,24.56,24.56,24.56,66
17/07/2020,24.56,24.56,24.56,24.56,0
20/07/2020,24.56,24.56,24.56,24.56,0
21/07/2020,24.56,24.56,24.56,24.56,0
22/07/2020,24.7,24.7,24.7,24.7,101
23/07/2020,24.7,24.82,24.7,24.82,264
24/07/2020,24.82,24.82,24.82,24.82,0
27/07/2020,24.82,24.82,24.82,24.82,0
28/07/2020,24.9,24.91,24.75,24.75,10500
29/07/2020,24.84,25.01,24.84,25.01,2401
30/07/2020,25.01,25.01,25.01,25.01,0
31/07/2020,25.05,25.05,25.05,25.05,40
