Date,Open,High,Low,Close,Volume
18/08/2015,10.02,10.02,10.02,10.02,200
19/08/2015,9.94,9.94,9.94,9.94,100
20/08/2015,9.94,9.94,9.94,9.94,0
21/08/2015,9.94,9.94,9.94,9.94,0
24/08/2015,8.41,8.43,8.41,8.41,121510
25/08/2015,7.76,7.98,7.66,7.66,192958
26/08/2015,7.29,7.71,7.29,7.69,9419
27/08/2015,8.21,8.21,8.01,8.05,18088
28/08/2015,8.55,8.55,8.41,8.41,1510
31/08/2015,8.29,8.34,8.26,8.31,14302
01/09/2015,8.15,8.15,7.99,8,17111
02/09/2015,7.92,8,7.92,8,9733
03/09/2015,8.16,8.16,8.11,8.11,3400
04/09/2015,8.04,8.04,7.94,7.94,6190
07/09/2015,7.9,7.9,7.86,7.86,1100
08/09/2015,7.99,8.03,7.99,8.03,8500
09/09/2015,8.42,8.42,8.41,8.41,12000
10/09/2015,7.99,8.08,7.99,8.07,11050
11/09/2015,8.07,8.07,8.07,8.07,0
14/09/2015,8.31,8.31,8.26,8.28,11491
15/09/2015,8.28,8.28,8.28,8.28,0
16/09/2015,8.37,8.37,8.37,8.37,12000
17/09/2015,8.55,8.58,8.55,8.56,7648
18/09/2015,8.44,8.52,8.44,8.52,44200
21/09/2015,8.52,8.52,8.52,8.52,0
22/09/2015,8.33,8.33,8.33,8.33,3200
23/09/2015,7.94,7.94,7.88,7.9,13537
24/09/2015,8.01,8.01,7.92,7.92,10746
25/09/2015,8.06,8.06,7.97,7.97,160000
28/09/2015,7.8,7.9,7.8,7.89,20875
29/09/2015,7.44,7.47,7.4,7.47,26925
30/09/2015,7.45,7.48,7.45,7.48,23600
01/10/2015,7.77,8.01,7.77,7.99,7177
02/10/2015,7.99,7.99,7.99,7.99,0
05/10/2015,8.1,8.13,8.1,8.13,4150
06/10/2015,8.42,8.44,8.42,8.44,17700
07/10/2015,8.35,8.35,8.32,8.32,10982
08/10/2015,8.45,8.45,8.45,8.45,1000
09/10/2015,8.74,8.74,8.74,8.74,600
12/10/2015,8.71,8.71,8.71,8.71,625
13/10/2015,8.71,8.71,8.71,8.71,0
14/10/2015,8.71,8.71,8.71,8.71,0
15/10/2015,8.71,8.71,8.71,8.71,0
16/10/2015,8.85,8.85,8.85,8.85,1631
19/10/2015,8.89,8.89,8.89,8.89,133
20/10/2015,8.89,8.89,8.89,8.89,0
21/10/2015,8.89,8.89,8.89,8.89,0
22/10/2015,8.89,8.89,8.89,8.89,0
23/10/2015,8.89,8.89,8.89,8.89,0
26/10/2015,9.29,9.29,9.25,9.28,57891
27/10/2015,9.27,9.28,9.21,9.21,21867
28/10/2015,9.21,9.21,9.21,9.21,0
29/10/2015,9.45,9.45,9.42,9.43,46162
30/10/2015,9.54,9.54,9.52,9.52,1715
02/11/2015,9.28,9.28,9.28,9.28,1250
03/11/2015,9.28,9.28,9.28,9.28,0
04/11/2015,9.28,9.28,9.28,9.28,0
05/11/2015,9.59,9.59,9.57,9.57,2405
06/11/2015,9.57,9.57,9.57,9.57,0
09/11/2015,9.55,9.55,9.55,9.55,1000
10/11/2015,9.38,9.38,9.38,9.38,157
11/11/2015,9.4,9.4,9.4,9.4,10000
12/11/2015,9.31,9.38,9.31,9.38,8985
13/11/2015,9.09,9.1,9.08,9.08,5920
16/11/2015,8.74,8.75,8.74,8.75,44874
17/11/2015,9.13,9.18,9.13,9.18,4700
18/11/2015,9.14,9.14,9.14,9.14,22110
19/11/2015,9.43,9.43,9.43,9.43,4670
20/11/2015,9.41,9.41,9.4,9.4,11626
23/11/2015,9.4,9.4,9.4,9.4,0
24/11/2015,9.46,9.46,9.46,9.46,214
25/11/2015,9.46,9.5,9.46,9.5,4823
26/11/2015,9.5,9.5,9.5,9.5,0
27/11/2015,9.5,9.5,9.5,9.5,0
30/11/2015,9.5,9.5,9.5,9.5,0
01/12/2015,9.47,9.54,9.47,9.54,10320
02/12/2015,9.59,9.62,9.58,9.59,7811
03/12/2015,9.42,9.43,9.38,9.41,10755
04/12/2015,9.18,9.19,9.17,9.19,4047
07/12/2015,9.44,9.46,9.44,9.46,17000
08/12/2015,9.4,9.4,9.4,9.4,5330
09/12/2015,9.23,9.26,9.23,9.26,124
10/12/2015,9.07,9.07,9.07,9.07,320
11/12/2015,9.07,9.07,9.07,9.07,0
14/12/2015,8.81,8.81,8.81,8.81,17000
15/12/2015,8.88,8.88,8.87,8.88,5904
16/12/2015,8.88,8.88,8.88,8.88,0
17/12/2015,9.28,9.28,9.26,9.26,4504
18/12/2015,8.97,8.97,8.92,8.94,2335
21/12/2015,8.69,8.71,8.69,8.71,30744
22/12/2015,8.71,8.71,8.71,8.71,0
23/12/2015,9.09,9.09,9.04,9.04,82000
24/12/2015,9.14,9.28,9.14,9.28,480
29/12/2015,9.23,9.23,9.23,9.23,1000
30/12/2015,9.41,9.41,9.32,9.32,11675
31/12/2015,9.25,9.25,9.25,9.25,135
04/01/2016,9.2,9.2,8.92,8.92,24605
05/01/2016,8.79,8.85,8.79,8.85,2702
06/01/2016,8.6,8.6,8.6,8.6,10000
07/01/2016,8.6,8.6,8.6,8.6,0
08/01/2016,8.05,8.25,8.05,8.22,30235
11/01/2016,7.8,7.8,7.65,7.77,26289
12/01/2016,7.86,7.86,7.84,7.85,1408
13/01/2016,8.11,8.11,8.1,8.1,4953
14/01/2016,7.58,7.58,7.53,7.58,56145
15/01/2016,7.87,7.87,7.71,7.71,619
18/01/2016,7.39,7.5,7.39,7.5,31826
19/01/2016,7.43,7.55,7.43,7.53,28732
