Date,Open,High,Low,Close,Volume
06/05/2021,0.3,0.3,0.265,0.28,6706032
07/05/2021,0.29,0.33,0.2775,0.32,2357324
10/05/2021,0.33,0.38,0.33,0.345,3208372
11/05/2021,0.35,0.355,0.31,0.31,1293569
12/05/2021,0.315,0.325,0.295,0.295,1141565
13/05/2021,0.29,0.3,0.285,0.295,347458
14/05/2021,0.305,0.315,0.3,0.305,231331
17/05/2021,0.305,0.305,0.28,0.28,433611
18/05/2021,0.285,0.29,0.265,0.27,805662
19/05/2021,0.265,0.275,0.26,0.27,726727
20/05/2021,0.27,0.27,0.255,0.255,1236552
21/05/2021,0.265,0.265,0.24,0.245,1178465
24/05/2021,0.245,0.26,0.245,0.25,314273
25/05/2021,0.255,0.255,0.245,0.25,314343
26/05/2021,0.255,0.265,0.25,0.255,246130
27/05/2021,0.265,0.265,0.25,0.25,265761
28/05/2021,0.265,0.265,0.25,0.265,285400
31/05/2021,0.265,0.265,0.26,0.26,185583
01/06/2021,0.26,0.26,0.24,0.25,863590
02/06/2021,0.26,0.265,0.255,0.265,197194
03/06/2021,0.265,0.27,0.255,0.265,390948
04/06/2021,0.265,0.27,0.265,0.27,63072
07/06/2021,0.27,0.27,0.265,0.265,167261
08/06/2021,0.275,0.29,0.27,0.275,489826
09/06/2021,0.275,0.285,0.275,0.275,257029
10/06/2021,0.28,0.28,0.265,0.27,214420
11/06/2021,0.265,0.27,0.26,0.26,365302
15/06/2021,0.27,0.28,0.27,0.27,288960
16/06/2021,0.27,0.27,0.26,0.26,517796
17/06/2021,0.26,0.265,0.255,0.26,251441
18/06/2021,0.26,0.26,0.25,0.255,103093
21/06/2021,0.255,0.255,0.245,0.25,545616
22/06/2021,0.26,0.26,0.26,0.26,76038
23/06/2021,0.26,0.26,0.26,0.26,35722
24/06/2021,0.26,0.26,0.255,0.255,181104
25/06/2021,0.255,0.26,0.24,0.24,770823
28/06/2021,0.255,0.26,0.25,0.25,266366
29/06/2021,0.255,0.255,0.25,0.25,152525
30/06/2021,0.25,0.255,0.245,0.245,138356
