Date,Open,High,Low,Close,Volume
28/03/2003,55.6,56,55.5,55.55,7386
31/03/2003,55.8,56.3,55.8,56.3,3750
01/04/2003,57,59.5,56.3,56.4,8282
02/04/2003,56.3,56.3,55.5,55.55,7873
03/04/2003,55,55.05,54.8,54.9,3193
04/04/2003,54.9,54.9,54.25,54.25,4367
07/04/2003,54.25,54.25,54.1,54.1,47
08/04/2003,54.2,54.2,53.9,53.9,10020
09/04/2003,54.25,54.25,54.15,54.15,1274
10/04/2003,54.25,54.45,54.2,54.45,2796
11/04/2003,54.05,54.2,54,54.1,6570
14/04/2003,54.1,54.1,54.1,54.1,0
15/04/2003,54.2,54.2,54.2,54.2,470
16/04/2003,54,54,53.7,53.7,725
17/04/2003,53.65,53.65,53.65,53.65,20230
22/04/2003,54.8,54.8,54.65,54.65,360
23/04/2003,54.15,54.15,53.8,53.8,135570
24/04/2003,54,54,53.95,53.95,5980
28/04/2003,54.2,54.6,54.2,54.5,71400
29/04/2003,54.45,54.45,54.45,54.45,10110
30/04/2003,54.45,54.45,54.45,54.45,0
01/05/2003,54.6,54.6,54.3,54.3,708
02/05/2003,54.6,54.6,54.3,54.5,160660
05/05/2003,54.5,54.5,54.5,54.5,0
06/05/2003,54.15,54.15,54.15,54.15,521
07/05/2003,54.15,54.15,54.15,54.15,70000
08/05/2003,54,54,54,54,210
09/05/2003,53.86,54.45,53.86,54.45,297
12/05/2003,54.45,54.45,54.45,54.45,0
13/05/2003,53.9,54.2,53.9,54.2,86429
14/05/2003,54.2,54.2,54.2,54.2,0
15/05/2003,54.2,54.2,54.2,54.2,85246
16/05/2003,54.5,55,54.5,55,524
19/05/2003,55,55.1,54.8,55.1,4318
20/05/2003,56.65,56.65,55.5,56,11454
21/05/2003,56,56,56,56,43070
22/05/2003,56.8,57,56.8,57,1380
23/05/2003,56.4,56.4,56,56.1,5470
26/05/2003,56.35,56.4,56.09,56.4,24446
27/05/2003,56.59,56.6,56.5,56.5,12220
28/05/2003,56.3,56.3,56.15,56.15,11985
29/05/2003,56.26,56.26,56.1,56.1,4406
30/05/2003,56.5,56.74,56.5,56.55,15675
02/06/2003,56.7,56.7,55.8,55.8,7168
03/06/2003,56.14,56.14,56,56.1,10975
04/06/2003,55.64,55.7,55.5,55.7,2797
05/06/2003,55.3,55.3,54.85,54.93,10655
06/06/2003,55.2,55.26,55.1,55.26,4850
10/06/2003,55.3,55.4,55.01,55.09,47202
11/06/2003,54.46,54.46,53.9,54.17,17473
12/06/2003,53.84,53.95,53.6,53.7,10518
