Date,Open,High,Low,Close,Volume
03/05/2016,25.55,25.55,25.55,25.55,6900
04/05/2016,25.55,25.55,25.55,25.55,0
05/05/2016,24.91,24.91,24.74,24.74,662
06/05/2016,24.74,24.74,24.74,24.74,0
09/05/2016,24.74,24.74,24.74,24.74,0
10/05/2016,25,25,25,25,100
11/05/2016,25,25,25,25,0
12/05/2016,25,25,25,25,0
13/05/2016,25.15,25.15,25.15,25.15,5533
16/05/2016,25.15,25.15,25.15,25.15,0
17/05/2016,25.15,25.15,25.15,25.15,0
18/05/2016,25.47,25.47,25.43,25.43,2600
19/05/2016,25.13,25.22,25.13,25.22,2392
20/05/2016,25.22,25.22,25.22,25.22,0
23/05/2016,25.4,25.4,25.25,25.25,6420
24/05/2016,25.15,25.15,25.15,25.15,2500
25/05/2016,25.15,25.15,25.15,25.15,0
26/05/2016,25.45,25.45,25.45,25.45,1100
27/05/2016,25.45,25.45,25.45,25.45,0
30/05/2016,25.45,25.45,25.45,25.45,0
31/05/2016,25.45,25.45,25.45,25.45,0
01/06/2016,25.1,25.1,25.01,25.01,700
02/06/2016,24.87,24.87,24.76,24.76,14750
03/06/2016,24.76,24.76,24.76,24.76,0
06/06/2016,24.76,24.76,24.76,24.76,0
07/06/2016,25.33,25.36,25.33,25.36,1400
08/06/2016,25.36,25.36,25.36,25.36,0
09/06/2016,25.18,25.18,25.18,25.18,380
10/06/2016,24.75,24.75,24.75,24.75,404
14/06/2016,24.6,24.6,24.46,24.46,3000
15/06/2016,24.01,24.01,24.01,24.01,1000
16/06/2016,24.01,24.01,24.01,24.01,0
17/06/2016,24.01,24.01,24.01,24.01,0
20/06/2016,24.01,24.01,24.01,24.01,0
21/06/2016,24.61,24.61,24.61,24.61,1260
22/06/2016,24.66,24.66,24.64,24.64,2070
23/06/2016,24.64,24.64,24.64,24.64,0
24/06/2016,24.4,24.4,24.4,24.4,200
27/06/2016,24.4,24.4,24.4,24.4,0
28/06/2016,24.4,24.4,24.4,24.4,0
29/06/2016,24.4,24.4,24.4,24.4,0
30/06/2016,24.4,24.4,24.4,24.4,0
01/07/2016,24.4,24.4,24.4,24.4,0
04/07/2016,24.4,24.4,24.4,24.4,0
05/07/2016,24.4,24.4,24.4,24.4,0
06/07/2016,23.79,23.79,23.79,23.79,2500
07/07/2016,23.79,23.79,23.79,23.79,0
08/07/2016,23.79,23.79,23.79,23.79,0
11/07/2016,23.79,23.79,23.79,23.79,0
12/07/2016,23.79,23.79,23.79,23.79,0
13/07/2016,23.79,23.79,23.79,23.79,0
14/07/2016,23.79,23.79,23.79,23.79,0
15/07/2016,23.79,23.79,23.79,23.79,0
18/07/2016,23.79,23.79,23.79,23.79,0
19/07/2016,23.79,23.79,23.79,23.79,0
20/07/2016,23.79,23.79,23.79,23.79,0
21/07/2016,23.79,23.79,23.79,23.79,0
22/07/2016,25.44,25.45,25.44,25.45,745
25/07/2016,25.67,25.67,25.67,25.67,160
26/07/2016,25.62,25.62,25.62,25.62,300
27/07/2016,25.79,25.79,25.79,25.79,70
28/07/2016,25.79,25.79,25.79,25.79,0
29/07/2016,25.75,25.75,25.75,25.75,5000
01/08/2016,25.75,25.75,25.75,25.75,0
02/08/2016,25.83,25.83,25.83,25.83,2940
03/08/2016,25.4,25.41,25.37,25.37,10920
04/08/2016,25.44,25.44,25.38,25.38,4343
05/08/2016,25.38,25.38,25.38,25.38,0
08/08/2016,25.38,25.38,25.38,25.38,0
09/08/2016,25.52,25.64,25.51,25.64,1175
10/08/2016,25.64,25.64,25.64,25.64,0
11/08/2016,25.35,25.35,25.35,25.35,1975
12/08/2016,25.35,25.35,25.35,25.35,500
15/08/2016,25.35,25.35,25.35,25.35,0
16/08/2016,25.35,25.35,25.35,25.35,0
17/08/2016,25.33,25.33,25.33,25.33,2000
18/08/2016,25.33,25.33,25.33,25.33,1900
19/08/2016,25.29,25.29,25.29,25.29,500
22/08/2016,25.42,25.42,25.39,25.39,2320
23/08/2016,25.39,25.39,25.39,25.39,0
24/08/2016,25.75,25.75,25.75,25.75,50
25/08/2016,25.25,25.25,25.25,25.25,2550
26/08/2016,25.27,25.27,25.27,25.27,1300
29/08/2016,25.27,25.27,25.27,25.27,0
30/08/2016,25.27,25.27,25.27,25.27,0
31/08/2016,25.03,25.03,24.75,24.75,302
01/09/2016,24.94,24.94,24.89,24.89,10400
02/09/2016,24.89,24.89,24.89,24.89,0
05/09/2016,24.78,24.78,24.78,24.78,4000
06/09/2016,24.69,24.69,24.69,24.69,2000
07/09/2016,24.88,24.88,24.88,24.88,980
08/09/2016,25,25,24.65,24.65,320
09/09/2016,24.39,24.39,24.39,24.39,2000
12/09/2016,24.39,24.39,24.39,24.39,0
13/09/2016,24.01,24.01,24.01,24.01,415
14/09/2016,23.87,23.93,23.87,23.93,2195
15/09/2016,23.93,23.93,23.93,23.93,0
16/09/2016,23.93,23.93,23.93,23.93,0
19/09/2016,23.93,23.93,23.93,23.93,0
20/09/2016,23.83,23.83,23.83,23.83,500
21/09/2016,23.85,23.85,23.85,23.85,70
22/09/2016,23.85,23.85,23.85,23.85,0
23/09/2016,23.85,23.85,23.85,23.85,0
26/09/2016,23.85,23.85,23.85,23.85,0
27/09/2016,24.1,24.1,24.1,24.1,188
28/09/2016,24.1,24.1,24.1,24.1,0
29/09/2016,24.1,24.1,24.1,24.1,0
30/09/2016,24.1,24.1,24.1,24.1,0
03/10/2016,24.1,24.1,24.1,24.1,0
04/10/2016,24.1,24.1,24.1,24.1,0
05/10/2016,24.1,24.1,24.1,24.1,0
06/10/2016,23.82,23.82,23.81,23.82,14200
07/10/2016,23.82,23.82,23.82,23.82,0
10/10/2016,23.97,23.97,23.97,23.97,42
11/10/2016,23.97,23.97,23.97,23.97,0
12/10/2016,23.97,23.97,23.97,23.97,0
13/10/2016,23.97,23.97,23.97,23.97,0
14/10/2016,23.9,23.9,23.83,23.83,705
17/10/2016,23.75,23.75,23.75,23.75,150
18/10/2016,23.7,23.7,23.7,23.7,200
19/10/2016,23.7,23.7,23.7,23.7,0
20/10/2016,23.76,23.76,23.74,23.74,2000
21/10/2016,23.74,23.74,23.74,23.74,0
24/10/2016,23.74,23.74,23.74,23.74,0
25/10/2016,23.74,23.74,23.74,23.74,0
26/10/2016,23.43,23.43,23.26,23.26,2500
27/10/2016,23.13,23.13,23.13,23.13,500
28/10/2016,23.13,23.13,23.13,23.13,0
31/10/2016,23.13,23.13,23.13,23.13,0
01/11/2016,23.13,23.13,23.13,23.13,0
02/11/2016,23.13,23.13,23.13,23.13,0
03/11/2016,23.13,23.13,23.13,23.13,0
