Date,Open,High,Low,Close,Volume
21/07/2014,1,1,0.97,0.985,406300
22/07/2014,0.985,0.985,0.975,0.975,400000
23/07/2014,0.98,0.98,0.975,0.98,37717
24/07/2014,0.98,0.98,0.98,0.98,105000
25/07/2014,0.98,0.98,0.98,0.98,88392
28/07/2014,0.98,0.99,0.98,0.99,104200
29/07/2014,0.98,0.98,0.98,0.98,80908
30/07/2014,0.98,0.995,0.98,0.995,99092
31/07/2014,0.995,1.015,0.995,1.015,86791
01/08/2014,1.005,1.005,0.995,1,168009
04/08/2014,1,1.005,1,1.005,50000
05/08/2014,1.005,1.005,1,1.005,48000
06/08/2014,0.995,1.005,0.995,1.005,7000
07/08/2014,1.005,1.015,1,1,39940
08/08/2014,1.01,1.01,1.005,1.005,57051
11/08/2014,1.015,1.015,1.015,1.015,1000
12/08/2014,1.01,1.01,1.005,1.005,60000
13/08/2014,1.01,1.01,1.01,1.01,60503
14/08/2014,1.01,1.01,1.01,1.01,150500
15/08/2014,1.01,1.01,1.005,1.01,77000
18/08/2014,1.01,1.015,1.005,1.015,42200
19/08/2014,1.015,1.015,1.01,1.01,50000
20/08/2014,1.01,1.01,1,1,68536
21/08/2014,1.005,1.005,1,1.005,426810
22/08/2014,1.005,1.005,1,1,29477
25/08/2014,0.995,0.995,0.99,0.99,15523
26/08/2014,0.99,0.99,0.99,0.99,10000
27/08/2014,0.995,0.995,0.99,0.995,11500
28/08/2014,0.995,0.995,0.985,0.985,60000
29/08/2014,0.995,1.005,0.995,1.005,96543
01/09/2014,1,1.01,1,1.01,35992
02/09/2014,1.01,1.01,1.01,1.01,0
03/09/2014,1.005,1.01,1.005,1.01,19076
04/09/2014,1.01,1.02,1.01,1.02,75932
05/09/2014,1.01,1.01,1.01,1.01,14068
08/09/2014,1.01,1.01,1.01,1.01,932
09/09/2014,1.01,1.01,1.005,1.005,23000
10/09/2014,1.005,1.005,1.005,1.005,0
11/09/2014,1.005,1.015,1.005,1.01,144060
12/09/2014,1.01,1.01,1.01,1.01,55000
15/09/2014,1.015,1.035,1.015,1.035,63855
16/09/2014,1.03,1.035,1.03,1.03,53000
17/09/2014,1.03,1.05,1.03,1.03,86000
18/09/2014,1.05,1.05,1.045,1.05,28477
19/09/2014,1.06,1.06,1.055,1.055,10929
22/09/2014,1.05,1.05,1.05,1.05,26904
23/09/2014,1.05,1.05,1.05,1.05,12000
24/09/2014,1.04,1.05,1.03,1.04,26000
25/09/2014,1.04,1.05,1.04,1.05,54131
26/09/2014,1.05,1.05,1.05,1.05,5711
29/09/2014,1.045,1.045,1.03,1.03,89000
30/09/2014,1.035,1.045,1.03,1.045,51000
01/10/2014,1.045,1.045,1.03,1.03,30000
02/10/2014,1.03,1.04,1.02,1.04,82400
03/10/2014,1.03,1.03,1.03,1.03,9689
06/10/2014,1.04,1.04,1.03,1.03,54181
07/10/2014,1.025,1.025,1.015,1.02,186176
08/10/2014,1.015,1.02,1.005,1.02,84000
09/10/2014,1.015,1.02,1.015,1.02,67824
10/10/2014,1.02,1.02,1.02,1.02,0
13/10/2014,1.02,1.02,1.005,1.005,75254
14/10/2014,1.005,1.02,1.005,1.005,144908
15/10/2014,1,1,1,1,75000
16/10/2014,1,1.02,1,1.02,79570
17/10/2014,1.01,1.01,1,1,16000
20/10/2014,1,1,1,1,0
21/10/2014,1.005,1.01,1,1,161771
22/10/2014,1,1.01,1,1.005,27729
23/10/2014,0.995,1,0.995,1,15000
24/10/2014,1,1,1,1,177000
27/10/2014,0.995,1,0.995,1,21449
28/10/2014,1,1,1,1,15700
29/10/2014,1,1,1,1,0
30/10/2014,1.01,1.01,1.01,1.01,7000
31/10/2014,1.01,1.01,1.01,1.01,0
03/11/2014,1.01,1.01,1.01,1.01,30000
04/11/2014,1.01,1.01,1.01,1.01,0
05/11/2014,1.01,1.01,1,1,60000
06/11/2014,1.01,1.02,1,1,21039
07/11/2014,1.01,1.01,1.01,1.01,10000
10/11/2014,1.015,1.015,1,1.01,19000
11/11/2014,1.01,1.01,1,1,35000
12/11/2014,1,1,0.98,1,31077
13/11/2014,0.99,0.99,0.99,0.99,52923
14/11/2014,1,1,0.99,0.99,20000
17/11/2014,1,1,0.995,1,72097
18/11/2014,0.99,1,0.99,1,58903
19/11/2014,1.005,1.01,1,1.01,24000
20/11/2014,1,1,1,1,10000
21/11/2014,1,1,0.99,0.99,40000
24/11/2014,1,1.015,1,1.015,80000
25/11/2014,1.01,1.01,1,1,33307
26/11/2014,1,1,1,1,0
27/11/2014,1,1,1,1,0
28/11/2014,1,1.01,1,1.005,76674
01/12/2014,1,1.01,1,1,124000
02/12/2014,1,1,1,1,1000
03/12/2014,1.01,1.01,1.005,1.005,23000
04/12/2014,1.015,1.03,1.015,1.03,208000
05/12/2014,1.03,1.03,1.03,1.03,61500
08/12/2014,1.03,1.03,1.02,1.03,76975
09/12/2014,1.035,1.035,1.035,1.035,85000
10/12/2014,1.035,1.035,1.035,1.035,0
11/12/2014,1.05,1.05,1.035,1.035,58234
12/12/2014,1.04,1.04,1.04,1.04,29266
15/12/2014,1.04,1.04,1.04,1.04,0
16/12/2014,1.05,1.05,1.04,1.04,26870
17/12/2014,1.04,1.045,1.035,1.045,68917
18/12/2014,1.045,1.06,1.045,1.06,72250
19/12/2014,1.055,1.055,1.03,1.03,110000
22/12/2014,1.03,1.045,1.03,1.045,145351
23/12/2014,1.045,1.045,1.045,1.045,10000
24/12/2014,1.045,1.045,1.045,1.045,9726
29/12/2014,1.045,1.045,1.045,1.045,25523
30/12/2014,1.04,1.04,1.04,1.04,25000
31/12/2014,1.045,1.045,1.045,1.045,46560
02/01/2015,1.04,1.04,1.04,1.04,8000
05/01/2015,1.045,1.05,1.045,1.045,44350
06/01/2015,1.045,1.045,1.035,1.035,37236
07/01/2015,1.045,1.05,1.045,1.05,77567
08/01/2015,1.05,1.05,1.05,1.05,140989
09/01/2015,1.05,1.055,1.05,1.055,38718
12/01/2015,1.055,1.055,1.05,1.05,55951
13/01/2015,1.05,1.05,1.05,1.05,32432
14/01/2015,1.05,1.05,1.05,1.05,51500
15/01/2015,1.045,1.045,1.045,1.045,98567
16/01/2015,1.045,1.045,1.045,1.045,0
19/01/2015,1.045,1.045,1.04,1.04,104760
20/01/2015,1.035,1.04,1.035,1.035,70363
21/01/2015,1.035,1.04,1.03,1.035,135800
22/01/2015,1.035,1.035,1.035,1.035,75000
23/01/2015,1.04,1.05,1.035,1.045,145000
27/01/2015,1.045,1.05,1.035,1.05,129562
28/01/2015,1.04,1.04,1.03,1.03,300000
