Date,Open,High,Low,Close,Volume
17/11/2017,10.02,10.02,10.02,10.02,16115
20/11/2017,10.02,10.02,10.01,10.01,22081
21/11/2017,10.01,10.02,10.01,10.01,31467
22/11/2017,10.01,10.02,10.01,10.02,117145
23/11/2017,10.01,10.02,10.01,10.01,40633
24/11/2017,10.02,10.02,10.01,10.02,14651
27/11/2017,10.02,10.03,10.02,10.02,53755
28/11/2017,10.02,10.03,10.01,10.02,61982
29/11/2017,10.02,10.03,10.02,10.02,167424
30/11/2017,10.02,10.03,10.02,10.03,79418
01/12/2017,10.02,10.03,10.02,10.03,73254
04/12/2017,10.03,10.03,10.03,10.03,52853
05/12/2017,10.03,10.04,10.03,10.03,52911
06/12/2017,10.03,10.04,10.01,10.04,48291
07/12/2017,10.03,10.04,10.03,10.04,55531
08/12/2017,10.05,10.05,10.04,10.04,47001
11/12/2017,10.04,10.05,10.04,10.05,55062
12/12/2017,10.05,10.05,10.04,10.05,71347
13/12/2017,10.05,10.05,10.04,10.05,81070
14/12/2017,10.06,10.06,10.05,10.06,143558
15/12/2017,10.07,10.07,10.06,10.07,67017
18/12/2017,10.07,10.07,10.06,10.07,91412
19/12/2017,10.07,10.09,10.07,10.09,70193
20/12/2017,10.08,10.09,10.08,10.09,49795
21/12/2017,10.09,10.1,10.09,10.09,178190
22/12/2017,10.08,10.11,10.08,10.11,166892
27/12/2017,10.1,10.12,10.1,10.12,69288
28/12/2017,10.12,10.12,10.12,10.12,30750
29/12/2017,10.12,10.14,10.11,10.14,22547
02/01/2018,10.15,10.15,10.08,10.08,19955
03/01/2018,10.08,10.09,10.08,10.09,54850
04/01/2018,10.1,10.1,10.09,10.09,20605
05/01/2018,10.09,10.1,10.08,10.1,32255
08/01/2018,10.09,10.11,10.09,10.11,14557
09/01/2018,10.11,10.11,10.11,10.11,14753
10/01/2018,10.1,10.11,10.08,10.09,48509
11/01/2018,10.11,10.11,10.11,10.11,229291
12/01/2018,10.11,10.18,10.1,10.11,52071
15/01/2018,10.1,10.12,10.1,10.11,509227
16/01/2018,10.11,10.12,10.11,10.12,38797
17/01/2018,10.11,10.12,10.11,10.11,47106
18/01/2018,10.11,10.12,10.11,10.12,76501
19/01/2018,10.12,10.12,10.11,10.12,11124
22/01/2018,10.12,10.12,10.12,10.12,78374
23/01/2018,10.12,10.13,10.12,10.13,68052
24/01/2018,10.12,10.13,10.12,10.13,22206
25/01/2018,10.13,10.13,10.12,10.13,105637
29/01/2018,10.13,10.13,10.12,10.13,58856
30/01/2018,10.13,10.13,10.12,10.12,151392
31/01/2018,10.13,10.13,10.12,10.13,94746
01/02/2018,10.11,10.11,10.09,10.1,151212
02/02/2018,10.1,10.11,10.1,10.11,103381
05/02/2018,10.11,10.11,10.1,10.1,62244
06/02/2018,10.09,10.09,10.07,10.07,54277
07/02/2018,10.07,10.08,10.04,10.07,77169
08/02/2018,10.05,10.08,10.05,10.07,52707
09/02/2018,10.08,10.08,10.06,10.06,141711
12/02/2018,10.06,10.07,10.05,10.06,67371
13/02/2018,10.06,10.06,10.05,10.05,58033
14/02/2018,10.06,10.06,10.04,10.04,57291
15/02/2018,10.04,10.05,10.03,10.03,77627
16/02/2018,10.04,10.04,10.04,10.04,39345
19/02/2018,10.04,10.04,10.03,10.04,63545
20/02/2018,10.04,10.04,10.03,10.04,11122
21/02/2018,10.04,10.04,10.03,10.03,29418
22/02/2018,10.04,10.04,10.03,10.04,64761
23/02/2018,10.04,10.04,10.04,10.04,111165
26/02/2018,10.04,10.05,10.03,10.03,116452
27/02/2018,10.05,10.05,10.04,10.04,99064
28/02/2018,10.04,10.07,10.04,10.07,115838
01/03/2018,10.03,10.04,10,10.04,106263
02/03/2018,10.03,10.04,10.03,10.04,21130
05/03/2018,10.03,10.03,10.02,10.02,39341
06/03/2018,10.02,10.03,10.02,10.03,91866
07/03/2018,10.02,10.02,10.01,10.01,85846
08/03/2018,10,10.01,10,10,32241
09/03/2018,10,10,9.98,9.98,136667
12/03/2018,10,10,9.99,9.99,15480
13/03/2018,9.99,9.99,9.95,9.95,45505
14/03/2018,9.95,9.95,9.9,9.92,61519
15/03/2018,9.92,9.92,9.88,9.91,82171
16/03/2018,9.91,9.95,9.9,9.95,56484
19/03/2018,9.96,9.96,9.95,9.95,84122
20/03/2018,9.95,9.96,9.93,9.96,32331
21/03/2018,9.95,9.95,9.9,9.93,57508
22/03/2018,9.94,9.94,9.93,9.93,59685
23/03/2018,9.92,9.92,9.89,9.92,18847
26/03/2018,9.91,9.91,9.87,9.88,26984
27/03/2018,9.88,9.88,9.87,9.88,30335
28/03/2018,9.87,9.89,9.86,9.89,31246
29/03/2018,9.89,9.9,9.89,9.9,30252
03/04/2018,9.88,9.88,9.84,9.86,43669
04/04/2018,9.86,9.87,9.84,9.86,114153
05/04/2018,9.86,9.87,9.86,9.87,198820
06/04/2018,9.87,9.88,9.87,9.88,65114
09/04/2018,9.88,9.9,9.88,9.9,157324
10/04/2018,9.91,9.93,9.91,9.93,103386
11/04/2018,9.93,9.94,9.93,9.94,202868
12/04/2018,9.93,9.96,9.93,9.95,53758
13/04/2018,9.94,9.94,9.92,9.94,24849
16/04/2018,9.94,9.94,9.93,9.94,56311
17/04/2018,9.94,9.95,9.93,9.94,62416
18/04/2018,9.94,9.95,9.94,9.94,25438
19/04/2018,9.94,9.95,9.92,9.94,45260
20/04/2018,9.96,9.96,9.96,9.96,8541
23/04/2018,9.96,9.96,9.95,9.95,59986
24/04/2018,9.95,9.96,9.94,9.96,50645
26/04/2018,9.95,9.96,9.93,9.94,53909
27/04/2018,9.94,9.95,9.94,9.95,76373
30/04/2018,9.95,9.95,9.94,9.95,109788
01/05/2018,9.92,9.93,9.9,9.92,8249
02/05/2018,9.93,9.93,9.91,9.93,14065
03/05/2018,9.93,9.94,9.9,9.94,29670
04/05/2018,9.94,9.94,9.92,9.94,49862
07/05/2018,9.94,9.94,9.92,9.93,45936
08/05/2018,9.93,9.93,9.91,9.91,109088
09/05/2018,9.91,9.92,9.89,9.91,44354
10/05/2018,9.91,9.92,9.9,9.9,30605
11/05/2018,9.92,9.92,9.9,9.91,65091
14/05/2018,9.91,9.92,9.89,9.92,49961
15/05/2018,9.92,9.92,9.89,9.92,49232
16/05/2018,9.91,9.92,9.91,9.92,74022
17/05/2018,9.92,9.93,9.91,9.93,196894
18/05/2018,9.93,9.93,9.92,9.93,144073
21/05/2018,9.92,9.93,9.91,9.92,42587
22/05/2018,9.92,9.92,9.88,9.88,89200
23/05/2018,9.9,9.9,9.88,9.9,42580
24/05/2018,9.9,9.9,9.9,9.9,13239
25/05/2018,9.9,9.9,9.89,9.9,33953
28/05/2018,9.9,9.9,9.89,9.89,65473
29/05/2018,9.88,9.89,9.87,9.88,46655
30/05/2018,9.88,9.88,9.87,9.87,34989
31/05/2018,9.88,9.89,9.87,9.89,68432
01/06/2018,9.83,9.86,9.83,9.86,19907
04/06/2018,9.89,9.89,9.89,9.89,66695
05/06/2018,9.87,9.87,9.86,9.86,48338
06/06/2018,9.86,9.86,9.85,9.85,35258
07/06/2018,9.86,9.89,9.86,9.89,46633
08/06/2018,9.87,9.89,9.87,9.89,97256
12/06/2018,9.91,9.92,9.88,9.88,93582
13/06/2018,9.9,9.91,9.88,9.91,51415
14/06/2018,9.89,9.92,9.89,9.92,60827
15/06/2018,9.93,9.94,9.92,9.94,87929
18/06/2018,9.94,9.95,9.94,9.95,39745
19/06/2018,9.92,9.95,9.92,9.95,60683
20/06/2018,9.95,9.96,9.95,9.96,57230
21/06/2018,9.95,9.95,9.92,9.94,41437
22/06/2018,9.96,9.96,9.94,9.96,51063
25/06/2018,9.96,9.96,9.96,9.96,48742
26/06/2018,9.97,9.97,9.94,9.97,39839
27/06/2018,9.97,9.99,9.96,9.97,50909
28/06/2018,9.96,9.97,9.94,9.96,105845
29/06/2018,9.98,9.99,9.96,9.99,106200
02/07/2018,9.95,9.96,9.93,9.96,67989
03/07/2018,9.96,9.96,9.94,9.96,64848
04/07/2018,9.96,9.96,9.95,9.96,46106
05/07/2018,9.95,9.97,9.94,9.97,45861
06/07/2018,9.96,9.99,9.96,9.99,162094
09/07/2018,9.98,10,9.96,10,138137
10/07/2018,10.01,10.01,9.99,10.01,60646
11/07/2018,9.98,10.01,9.98,10,49383
12/07/2018,10,10,9.98,10,122240
13/07/2018,10,10,10,10,35800
16/07/2018,10,10.01,9.99,10,89554
17/07/2018,10,10.01,9.99,10,31336
18/07/2018,10.01,10.01,9.99,10.01,27741
19/07/2018,10.01,10.02,9.99,10.02,47661
20/07/2018,10.02,10.03,10.02,10.03,52914
23/07/2018,10.03,10.03,10.03,10.03,67001
24/07/2018,10.03,10.04,10.02,10.04,81578
25/07/2018,10.04,10.05,10.03,10.05,145481
26/07/2018,10.04,10.06,10.03,10.06,37612
27/07/2018,10.05,10.06,10.04,10.05,83357
30/07/2018,10.06,10.06,10.06,10.06,46093
31/07/2018,10.06,10.07,10.05,10.07,144320
01/08/2018,10.03,10.04,10.02,10.04,51085
02/08/2018,10.04,10.05,10.03,10.04,268712
03/08/2018,10.04,10.04,10.04,10.04,35980
06/08/2018,10.04,10.05,10.04,10.05,83614
07/08/2018,10.05,10.05,10.04,10.04,108432
08/08/2018,10.03,10.06,10.03,10.05,42138
09/08/2018,10.06,10.06,10.05,10.06,133530
10/08/2018,10.05,10.06,10.04,10.06,330480
13/08/2018,10.05,10.06,10.04,10.06,32320
14/08/2018,10.06,10.07,10.04,10.07,90138
15/08/2018,10.07,10.07,10.06,10.07,55952
16/08/2018,10.07,10.07,10.06,10.07,50203
17/08/2018,10.07,10.07,10.06,10.07,32676
20/08/2018,10.07,10.08,10.06,10.08,59943
21/08/2018,10.08,10.09,10.07,10.07,84267
22/08/2018,10.06,10.08,10.06,10.06,23671
23/08/2018,10.06,10.09,10.05,10.07,377222
24/08/2018,10.08,10.09,10.07,10.08,111496
27/08/2018,10.09,10.09,10.08,10.09,225457
28/08/2018,10.1,10.1,10.09,10.1,60594
29/08/2018,10.11,10.11,10.1,10.11,152284
30/08/2018,10.1,10.1,10.09,10.1,148200
31/08/2018,10.1,10.11,10.1,10.11,53255
03/09/2018,10.08,10.08,10.06,10.08,322085
04/09/2018,10.1,10.1,10.09,10.09,181704
05/09/2018,10.07,10.08,10.05,10.07,165639
06/09/2018,10.06,10.06,10.05,10.06,140326
07/09/2018,10.06,10.06,10.03,10.03,149766
10/09/2018,10.06,10.06,10.05,10.05,95716
11/09/2018,10.05,10.06,10.05,10.06,112678
12/09/2018,10.06,10.06,10.05,10.06,70013
13/09/2018,10.05,10.05,10.04,10.05,127003
14/09/2018,10.06,10.06,10.04,10.06,78073
17/09/2018,10.06,10.06,10.03,10.06,66982
18/09/2018,10.06,10.06,10.05,10.06,96374
19/09/2018,10.06,10.07,10.06,10.06,121470
20/09/2018,10.05,10.06,10.05,10.06,51843
21/09/2018,10.07,10.07,10.04,10.04,110271
24/09/2018,10.04,10.07,10.04,10.07,293960
25/09/2018,10.07,10.07,10.04,10.04,140082
26/09/2018,10.07,10.08,10.07,10.07,88085
27/09/2018,10.07,10.07,10.06,10.07,171831
28/09/2018,10.07,10.08,10.06,10.08,54392
01/10/2018,10.05,10.05,10.03,10.04,35460
02/10/2018,10.04,10.05,10.04,10.05,67785
03/10/2018,10.05,10.05,10.04,10.05,160698
04/10/2018,10.05,10.06,10.04,10.06,131490
05/10/2018,10.05,10.06,10.03,10.05,68239
08/10/2018,10.06,10.06,10.04,10.05,52596
09/10/2018,10.07,10.07,10.06,10.07,88480
10/10/2018,10.07,10.07,10.05,10.07,53529
11/10/2018,10.05,10.07,10.03,10.05,66028
12/10/2018,10.04,10.05,10.02,10.04,236043
15/10/2018,10.04,10.05,10.04,10.04,36097
16/10/2018,10.04,10.05,10.03,10.04,76049
17/10/2018,10.04,10.05,10.01,10.04,153825
18/10/2018,10.04,10.05,10.04,10.05,86780
19/10/2018,10.05,10.05,10.04,10.04,37174
22/10/2018,10.04,10.04,10.03,10.04,45729
23/10/2018,10.04,10.05,10.04,10.05,41598
24/10/2018,10.03,10.05,10.02,10.04,101844
25/10/2018,10.04,10.04,10,10.03,118688
26/10/2018,10.03,10.03,10.01,10.01,159174
29/10/2018,10.01,10.02,9.99,9.99,136440
30/10/2018,10.01,10.02,10,10,52032
31/10/2018,10.02,10.02,10.01,10.02,71497
01/11/2018,9.98,9.98,9.97,9.97,288093
02/11/2018,9.97,9.98,9.96,9.96,110434
05/11/2018,9.98,9.98,9.97,9.98,138249
06/11/2018,9.98,9.99,9.97,9.99,54590
07/11/2018,9.99,10,9.97,9.98,101962
08/11/2018,10,10.01,9.98,10.01,95736
09/11/2018,9.99,10.01,9.95,9.99,197675
12/11/2018,9.99,10,9.99,10,100556
13/11/2018,9.99,10,9.97,9.99,137895
14/11/2018,9.99,10,9.99,10,114535
15/11/2018,10,10,9.98,9.99,99364
16/11/2018,9.99,9.99,9.96,9.99,28718
19/11/2018,9.99,9.99,9.96,9.99,45710
20/11/2018,9.98,9.98,9.96,9.98,123952
21/11/2018,9.98,9.98,9.95,9.97,77227
22/11/2018,9.94,9.97,9.94,9.97,81005
23/11/2018,9.98,9.98,9.95,9.97,68967
26/11/2018,9.94,9.96,9.94,9.96,22176
27/11/2018,9.96,9.98,9.95,9.98,59840
28/11/2018,9.98,9.98,9.96,9.97,143642
29/11/2018,9.97,9.98,9.95,9.96,84776
30/11/2018,9.97,9.97,9.93,9.93,84983
03/12/2018,9.93,9.93,9.91,9.93,74447
04/12/2018,9.92,9.93,9.9,9.93,114396
05/12/2018,9.92,9.93,9.89,9.93,126460
06/12/2018,9.92,9.92,9.89,9.89,61177
07/12/2018,9.92,9.92,9.91,9.91,20423
10/12/2018,9.9,9.9,9.87,9.87,43646
11/12/2018,9.9,9.9,9.87,9.88,80587
12/12/2018,9.9,9.9,9.87,9.87,71229
13/12/2018,9.9,9.9,9.88,9.89,104138
14/12/2018,9.89,9.9,9.87,9.87,109118
17/12/2018,9.9,9.91,9.88,9.91,71408
18/12/2018,9.91,9.93,9.89,9.89,133161
19/12/2018,9.92,9.94,9.92,9.93,147640
20/12/2018,9.95,9.96,9.92,9.96,130068
21/12/2018,9.96,9.99,9.94,9.99,77039
24/12/2018,9.98,10,9.98,10,60279
27/12/2018,10,10,9.98,10,45275
28/12/2018,10,10.01,10,10.01,21258
31/12/2018,10,10,10,10,3703
02/01/2019,9.98,9.99,9.98,9.98,42548
