Date,Open,High,Low,Close,Volume
11/06/2020,20.31,20.37,20.15,20.15,20683
12/06/2020,19.67,19.68,19.4,19.68,18057
15/06/2020,19.75,19.75,18.99,18.99,7876
16/06/2020,19.96,20,19.95,19.99,9500
17/06/2020,20.01,20.41,19.98,19.98,9808
18/06/2020,20.4,20.4,19.9,19.92,6981
19/06/2020,19.93,20.03,19.93,20.03,2410
22/06/2020,20.04,20.05,19.95,19.99,3799
23/06/2020,20.42,20.42,20.17,20.17,275
24/06/2020,20.31,20.35,20.31,20.35,6028
25/06/2020,20.35,20.35,19.8,19.8,171
26/06/2020,20.08,20.08,20.08,20.08,1000
29/06/2020,19.8,19.89,19.8,19.89,1810
30/06/2020,19.79,20.1,19.79,20.1,8500
01/07/2020,20.27,20.27,20.27,20.27,746
02/07/2020,20.17,20.18,20.17,20.17,816
03/07/2020,20.18,20.38,20.18,20.38,1977
06/07/2020,20.38,20.38,20.38,20.38,0
07/07/2020,20.65,20.65,20.64,20.64,838
08/07/2020,20.64,20.64,20.64,20.64,0
09/07/2020,20.46,20.48,20.46,20.48,3000
10/07/2020,20.52,20.52,20.52,20.52,253
13/07/2020,20.66,20.72,20.66,20.72,727
14/07/2020,20.8,20.8,20.4,20.41,9504
15/07/2020,20.74,20.74,20.74,20.74,367
16/07/2020,20.65,20.65,20.54,20.54,990
17/07/2020,20.66,20.74,20.66,20.67,1693
20/07/2020,21,21,20.75,20.78,6969
21/07/2020,21.11,21.18,21.11,21.18,2000
22/07/2020,21.18,21.18,21.18,21.18,0
23/07/2020,21,21,21,21,71
24/07/2020,21,21,21,21,0
27/07/2020,20.68,20.68,20.68,20.68,237
28/07/2020,20.87,21.05,20.86,20.86,4882
29/07/2020,20.86,20.86,20.86,20.86,0
30/07/2020,20.86,20.86,20.86,20.86,0
31/07/2020,20.8,20.8,20.8,20.8,3325
03/08/2020,20.8,20.8,20.8,20.8,0
04/08/2020,20.8,21.02,20.8,21.02,807
05/08/2020,20.95,20.95,20.95,20.95,500
06/08/2020,21.13,21.13,21.06,21.07,1569
07/08/2020,21.07,21.11,21.07,21.11,1047
10/08/2020,21.14,21.18,21.14,21.18,1289
11/08/2020,21.18,21.18,21.18,21.18,0
12/08/2020,21.11,21.11,21.04,21.04,2745
13/08/2020,21.24,21.24,21.24,21.24,237
14/08/2020,21.24,21.24,21.24,21.24,0
17/08/2020,21.3,21.3,21.3,21.3,141
18/08/2020,21.35,21.41,21.35,21.41,9591
19/08/2020,21.43,21.47,21.41,21.46,2518
20/08/2020,21.38,21.38,21.3,21.3,5167
21/08/2020,21.5,21.5,21.48,21.48,909
24/08/2020,21.51,21.58,21.51,21.58,1199
25/08/2020,21.71,21.71,21.71,21.71,553
26/08/2020,21.71,21.71,21.71,21.71,1151
27/08/2020,21.88,21.91,21.88,21.91,1447
28/08/2020,21.93,21.93,21.93,21.93,71
31/08/2020,21.99,21.99,21.99,21.99,592
01/09/2020,21.99,21.99,21.99,21.99,0
02/09/2020,21.99,21.99,21.99,21.99,0
03/09/2020,22.46,22.46,22.37,22.37,527
04/09/2020,21.7,21.7,21.69,21.69,245
07/09/2020,21.38,21.38,21.38,21.38,4100
08/09/2020,21.92,21.92,21.51,21.51,1163
09/09/2020,21.04,21.04,20.84,20.84,10730
10/09/2020,21.47,21.47,21.47,21.47,2216
11/09/2020,21.47,21.47,21.47,21.47,0
14/09/2020,21.47,21.47,21.47,21.47,0
15/09/2020,21.44,21.52,21.44,21.52,912
16/09/2020,21.62,21.71,21.62,21.71,4087
17/09/2020,21.44,21.45,21.39,21.39,1274
18/09/2020,21.43,21.43,21.35,21.38,2092
21/09/2020,21.35,21.35,21.28,21.28,1164
22/09/2020,21.1,21.1,20.99,20.99,2042
23/09/2020,21.15,21.27,21.15,21.27,3195
24/09/2020,20.99,20.99,20.99,20.99,2855
25/09/2020,21,21,21,21,100
28/09/2020,21,21,21,21,0
29/09/2020,21.46,21.69,21.46,21.59,568
30/09/2020,21.7,21.7,21.7,21.7,493
01/10/2020,21.69,21.87,21.69,21.87,1944
02/10/2020,21.7,21.7,21.7,21.7,921
05/10/2020,21.5,21.5,21.5,21.5,26
06/10/2020,21.84,21.88,21.84,21.88,892
07/10/2020,21.88,21.88,21.88,21.88,0
08/10/2020,22.02,22.07,22.02,22.05,1320
09/10/2020,22.19,22.22,22.09,22.22,9320
12/10/2020,22.36,22.36,22.35,22.35,645
13/10/2020,22.67,22.67,22.6,22.6,395
14/10/2020,22.63,22.63,22.63,22.63,90
15/10/2020,22.52,22.52,22.41,22.41,8465
16/10/2020,22.34,22.36,22.3,22.3,11468
19/10/2020,22.5,22.5,22.35,22.43,7122
20/10/2020,22.21,22.21,22.2,22.2,2140
21/10/2020,22.22,22.22,22.2,22.2,10167
22/10/2020,22.02,22.02,21.97,21.97,750
23/10/2020,22.05,22.09,22.05,22.09,421
26/10/2020,22.04,22.04,22.01,22.01,12019
27/10/2020,21.75,21.79,21.75,21.78,7650
28/10/2020,21.64,21.64,21.64,21.64,370
29/10/2020,21.35,21.39,21.25,21.39,9422
30/10/2020,21.2,21.2,21.2,21.2,2288
02/11/2020,21.09,21.17,21.09,21.17,1742
03/11/2020,21.17,21.17,21.17,21.17,0
04/11/2020,21.56,21.62,21.56,21.62,1628
05/11/2020,22.37,22.51,22.37,22.51,1622
06/11/2020,22.62,22.62,22.43,22.43,3060
09/11/2020,22.43,23,22.43,23,1815
10/11/2020,23.08,23.08,22.46,22.46,2383
11/11/2020,22.5,22.5,22.38,22.39,1043
12/11/2020,22.7,22.7,22.7,22.7,1000
13/11/2020,22.7,22.7,22.47,22.53,1100
16/11/2020,22.53,22.53,22.53,22.53,0
17/11/2020,22.89,22.89,22.75,22.75,12518
18/11/2020,22.73,22.73,22.6,22.67,3612
19/11/2020,22.87,22.87,22.48,22.48,940
20/11/2020,22.52,22.53,22.52,22.53,4806
23/11/2020,22.61,22.62,22.61,22.62,292
24/11/2020,22.67,22.75,22.67,22.69,5688
25/11/2020,22.72,22.77,22.69,22.71,4065
26/11/2020,22.7,22.73,22.61,22.73,1691
27/11/2020,22.74,22.74,22.73,22.73,507
30/11/2020,22.89,22.89,22.89,22.89,24
01/12/2020,22.99,23.03,22.99,23.02,1799
02/12/2020,23.02,23.02,23,23,1536
03/12/2020,22.94,22.96,22.94,22.96,16829
04/12/2020,22.96,22.96,22.96,22.96,570
07/12/2020,23.16,23.16,23.02,23.02,1025
08/12/2020,23,23.07,23,23.04,43444
09/12/2020,23.19,23.24,23.19,23.24,2302
10/12/2020,23.2,23.2,22.93,22.93,912
11/12/2020,22.93,22.93,22.93,22.93,0
14/12/2020,23.04,23.04,23.04,23.04,435
15/12/2020,23.15,23.15,22.97,22.97,2402
16/12/2020,23.14,23.16,23.13,23.14,2681
17/12/2020,23.25,23.34,23.25,23.34,1224
18/12/2020,23.34,23.34,23.34,23.34,0
21/12/2020,23.49,23.49,23.46,23.46,1451
22/12/2020,23.36,23.36,23.32,23.33,4096
23/12/2020,23.39,23.39,23.39,23.39,214
24/12/2020,23.3,23.37,23.3,23.36,3490
29/12/2020,23.52,23.68,23.52,23.68,10066
30/12/2020,23.65,23.65,23.6,23.6,711
31/12/2020,24.04,24.04,24.04,24.04,200
