Date,Open,High,Low,Close,Volume
02/07/2001,4.326,4.34,4.25,4.28,1024192
03/07/2001,4.3,4.31,4.27,4.287,751855
04/07/2001,4.28,4.42,4.15,4.42,1565298
05/07/2001,4.44,4.44,4.19,4.28,869226
06/07/2001,4.27,4.37,4.25,4.34,929318
09/07/2001,4.29,4.3,4.15,4.16,1365871
10/07/2001,4.16,4.25,4.14,4.21,1976275
11/07/2001,4.19,4.22,4.15,4.2,5062601
12/07/2001,4.18,4.317,4.15,4.317,1165671
13/07/2001,4.31,4.35,4.26,4.34,1025656
16/07/2001,4.338,4.35,4.3,4.33,444113
17/07/2001,4.3,4.36,4.11,4.16,1020765
18/07/2001,4.11,4.11,4,4.1,8274666
19/07/2001,4.09,4.13,4.07,4.088,1612441
20/07/2001,4.1,4.15,4.06,4.07,1450798
23/07/2001,4.1,4.17,4.1,4.16,429154
24/07/2001,4.15,4.16,4.11,4.111,343072
25/07/2001,4.11,4.13,4.04,4.04,1139981
26/07/2001,4.066,4.093,4.01,4.06,445434
27/07/2001,4.08,4.12,4.04,4.12,1059834
30/07/2001,4.1,4.12,4.05,4.1,1327706
31/07/2001,4.14,4.14,4.05,4.06,634457
01/08/2001,4.1,4.16,4.09,4.16,1169277
02/08/2001,4.2,4.41,4.19,4.35,3568693
03/08/2001,4.26,4.423,4.26,4.423,2076133
06/08/2001,4.359,4.51,4.359,4.51,660279
07/08/2001,4.5,4.51,4.45,4.5,1005255
08/08/2001,4.52,4.55,4.46,4.54,1889217
09/08/2001,4.52,4.53,4.47,4.52,1327628
10/08/2001,4.51,4.52,4.35,4.43,1363341
13/08/2001,4.45,4.45,4.3,4.36,916625
14/08/2001,4.35,4.35,4.25,4.28,681626
15/08/2001,4.3,4.35,4.25,4.27,359725
16/08/2001,4.25,4.28,4.21,4.23,1062875
17/08/2001,4.25,4.31,4.25,4.25,340934
20/08/2001,4.224,4.224,4.16,4.17,1343378
21/08/2001,4.18,4.22,4.18,4.2,562300
22/08/2001,4.2,4.25,4.16,4.2,364213
23/08/2001,4.2,4.23,4.17,4.2,355402
24/08/2001,4.18,4.24,4.18,4.205,1069003
27/08/2001,4.2,4.23,4.15,4.17,1941408
28/08/2001,4.175,4.22,4.17,4.2,961510
29/08/2001,4.18,4.23,4.18,4.22,811111
30/08/2001,4.22,4.35,4.19,4.198,1107854
31/08/2001,4.19,4.25,4.06,4.104,1154013
03/09/2001,4.05,4.1,3.96,4.06,1316044
04/09/2001,4.1,4.24,4.1,4.2,795261
05/09/2001,4.174,4.21,4.08,4.19,3157048
06/09/2001,4.17,4.24,4.15,4.177,1550603
07/09/2001,4.11,4.12,4.04,4.05,433849
10/09/2001,4,4.03,3.95,3.97,1485426
11/09/2001,3.95,3.95,3.8,3.85,2101684
12/09/2001,3.659,3.89,3.659,3.83,577818
13/09/2001,3.86,3.97,3.65,3.675,1516060
14/09/2001,3.67,3.67,3.41,3.45,4374810
17/09/2001,3.43,3.43,3.23,3.31,3113786
18/09/2001,3.4,3.57,3.16,3.244,3780502
19/09/2001,3.25,3.25,3.02,3.19,3323620
20/09/2001,3.206,3.39,3.2,3.24,2241197
21/09/2001,3.2,3.45,3.17,3.45,1372994
24/09/2001,3.39,3.39,3.16,3.2,1663002
25/09/2001,3.35,3.35,3.25,3.288,1590108
26/09/2001,3.3,3.31,3.21,3.25,728264
27/09/2001,3.28,3.3,3.22,3.282,1641810
28/09/2001,3.29,3.36,3.24,3.32,2882766
01/10/2001,3.387,3.45,3.34,3.342,403285
02/10/2001,3.362,3.405,3.35,3.405,1587451
03/10/2001,3.42,3.45,3.37,3.4,2359168
04/10/2001,3.4,3.56,3.4,3.43,1353347
05/10/2001,3.45,3.594,3.45,3.594,1792094
08/10/2001,3.58,3.58,3.45,3.47,758317
09/10/2001,3.45,3.45,3.34,3.45,1787310
10/10/2001,3.44,3.52,3.4,3.4,1790903
11/10/2001,3.449,3.47,3.36,3.39,2967245
12/10/2001,3.41,3.45,3.35,3.381,668017
15/10/2001,3.36,3.36,3.258,3.258,616881
16/10/2001,3.304,3.53,3.29,3.45,751166
17/10/2001,3.57,3.6,3.368,3.368,2617674
18/10/2001,3.36,3.4,3.32,3.35,3177800
19/10/2001,3.35,3.36,3.32,3.35,2150897
22/10/2001,3.39,3.39,3.32,3.35,575784
23/10/2001,3.35,3.42,3.35,3.4,1289144
24/10/2001,3.42,3.42,3.37,3.38,932474
25/10/2001,3.39,3.4,3.37,3.37,1736102
26/10/2001,3.4,3.4,3.39,3.4,1893936
29/10/2001,3.4,3.4,3.29,3.33,1747997
30/10/2001,3.31,3.31,3.25,3.25,1698074
31/10/2001,3.3,3.32,3.26,3.32,1367964
01/11/2001,3.34,3.5,3.34,3.45,2990581
02/11/2001,3.54,3.67,3.49,3.6,3034732
05/11/2001,3.633,3.64,3.53,3.6,943618
06/11/2001,3.6,3.78,3.6,3.78,732375
07/11/2001,3.815,3.84,3.56,3.56,4846344
08/11/2001,3.59,3.67,3.57,3.58,1889077
09/11/2001,3.58,3.58,3.38,3.4,3287342
12/11/2001,3.4,3.48,3.3,3.46,1543753
13/11/2001,3.48,3.48,3.28,3.35,2694770
14/11/2001,3.398,3.484,3.39,3.484,3635019
15/11/2001,3.52,3.62,3.48,3.6,2667973
16/11/2001,3.6,3.64,3.52,3.625,1689160
19/11/2001,3.64,3.68,3.62,3.679,1977993
20/11/2001,3.65,3.66,3.56,3.66,1810077
21/11/2001,3.65,3.72,3.6,3.69,743730
22/11/2001,3.71,3.76,3.62,3.75,1306103
23/11/2001,3.75,3.8,3.72,3.8,855164
26/11/2001,3.83,3.9,3.78,3.83,1274057
27/11/2001,3.842,3.86,3.81,3.84,1204539
28/11/2001,3.829,3.92,3.81,3.851,1827393
29/11/2001,3.855,3.86,3.68,3.71,1659440
30/11/2001,3.76,3.83,3.571,3.571,7563654
03/12/2001,3.651,3.71,3.51,3.54,2165448
04/12/2001,3.55,3.61,3.46,3.6,2162845
05/12/2001,3.63,3.63,3.52,3.55,1397496
06/12/2001,3.6,3.65,3.56,3.57,5340635
07/12/2001,3.57,3.59,3.55,3.58,1025233
10/12/2001,3.58,3.658,3.53,3.658,1138735
11/12/2001,3.62,3.62,3.55,3.6,674808
12/12/2001,3.6,3.62,3.56,3.6,2055184
13/12/2001,3.611,3.71,3.6,3.71,1675993
14/12/2001,3.71,3.71,3.66,3.7,2420978
17/12/2001,3.7,3.7,3.63,3.659,903409
18/12/2001,3.64,3.64,3.55,3.55,1176066
19/12/2001,3.558,3.62,3.558,3.62,1898448
20/12/2001,3.64,3.72,3.63,3.7,484663
21/12/2001,3.686,3.87,3.65,3.82,1580423
24/12/2001,3.784,3.9,3.784,3.89,1706516
27/12/2001,3.892,3.99,3.88,3.95,1055050
28/12/2001,3.978,4.04,3.97,4,821052
31/12/2001,4.04,4.09,4,4.05,1629206
02/01/2002,4.04,4.05,4.02,4.03,1481952
03/01/2002,4,4,3.9,3.94,1170392
04/01/2002,3.989,3.989,3.82,3.94,424506
07/01/2002,3.99,4,3.9,3.91,995133
08/01/2002,3.94,3.95,3.82,3.88,545212
09/01/2002,3.863,3.93,3.817,3.817,937230
10/01/2002,3.85,4.02,3.85,3.92,1342651
11/01/2002,3.92,4,3.86,3.88,1169671
