Date,Open,High,Low,Close,Volume
02/07/2001,0.65,0.66,0.65,0.66,68689
03/07/2001,0.66,0.662,0.65,0.662,89858
04/07/2001,0.65,0.65,0.65,0.65,50021
05/07/2001,0.65,0.65,0.65,0.65,116076
06/07/2001,0.65,0.66,0.65,0.65,171650
09/07/2001,0.65,0.66,0.64,0.66,140059
10/07/2001,0.66,0.66,0.65,0.65,119815
11/07/2001,0.65,0.66,0.65,0.66,48506
12/07/2001,0.66,0.66,0.65,0.65,167287
13/07/2001,0.65,0.65,0.65,0.65,43550
16/07/2001,0.66,0.66,0.66,0.66,25000
17/07/2001,0.65,0.66,0.65,0.66,37230
18/07/2001,0.66,0.67,0.66,0.67,359696
19/07/2001,0.67,0.67,0.67,0.67,60967
20/07/2001,0.68,0.68,0.67,0.68,113474
23/07/2001,0.68,0.68,0.68,0.68,16500
24/07/2001,0.68,0.69,0.68,0.69,33900
25/07/2001,0.68,0.68,0.67,0.68,29831
26/07/2001,0.68,0.68,0.67,0.68,114784
27/07/2001,0.68,0.68,0.67,0.68,65113
30/07/2001,0.68,0.68,0.68,0.68,37639
31/07/2001,0.68,0.7,0.68,0.7,169074
01/08/2001,0.7,0.7,0.7,0.7,96854
02/08/2001,0.7,0.7,0.67,0.67,111529
03/08/2001,0.68,0.7,0.68,0.7,67246
06/08/2001,0.71,0.71,0.71,0.71,4754
07/08/2001,0.71,0.71,0.71,0.71,0
08/08/2001,0.69,0.71,0.69,0.69,63760
09/08/2001,0.69,0.69,0.68,0.68,32184
10/08/2001,0.68,0.68,0.68,0.68,73333
13/08/2001,0.68,0.68,0.68,0.68,18433
14/08/2001,0.67,0.68,0.67,0.68,5067
15/08/2001,0.68,0.69,0.68,0.69,45300
16/08/2001,0.7,0.7,0.7,0.7,18000
17/08/2001,0.7,0.7,0.69,0.69,56580
20/08/2001,0.69,0.69,0.67,0.68,311936
21/08/2001,0.67,0.68,0.67,0.68,46070
22/08/2001,0.69,0.69,0.67,0.67,91517
23/08/2001,0.67,0.68,0.67,0.68,32250
24/08/2001,0.68,0.68,0.68,0.68,19000
27/08/2001,0.68,0.68,0.68,0.68,26000
28/08/2001,0.68,0.68,0.68,0.68,23468
29/08/2001,0.68,0.68,0.68,0.68,56975
30/08/2001,0.68,0.68,0.68,0.68,33200
31/08/2001,0.69,0.69,0.69,0.69,2000
03/09/2001,0.68,0.68,0.68,0.68,2500
04/09/2001,0.68,0.68,0.68,0.68,39100
05/09/2001,0.68,0.68,0.68,0.68,14925
06/09/2001,0.67,0.67,0.67,0.67,4167
07/09/2001,0.68,0.69,0.68,0.69,20000
10/09/2001,0.67,0.67,0.67,0.67,100000
11/09/2001,0.67,0.68,0.67,0.68,57600
12/09/2001,0.67,0.67,0.65,0.67,125500
13/09/2001,0.67,0.67,0.66,0.66,17576
14/09/2001,0.66,0.66,0.65,0.66,62000
17/09/2001,0.64,0.64,0.6,0.63,183241
18/09/2001,0.64,0.64,0.63,0.64,143016
19/09/2001,0.64,0.64,0.63,0.64,93121
20/09/2001,0.63,0.63,0.62,0.62,45476
21/09/2001,0.62,0.62,0.6,0.6,176139
24/09/2001,0.6,0.6,0.59,0.59,63106
25/09/2001,0.6,0.6,0.59,0.59,193564
26/09/2001,0.61,0.61,0.6,0.61,104412
27/09/2001,0.61,0.61,0.61,0.61,0
28/09/2001,0.6,0.62,0.6,0.6,83151
01/10/2001,0.61,0.61,0.61,0.61,10000
02/10/2001,0.61,0.61,0.6,0.6,68103
03/10/2001,0.61,0.61,0.6,0.6,24381
04/10/2001,0.61,0.61,0.6,0.6,119770
05/10/2001,0.62,0.62,0.62,0.62,15097
08/10/2001,0.62,0.62,0.62,0.62,0
09/10/2001,0.62,0.62,0.62,0.62,1
10/10/2001,0.62,0.63,0.62,0.62,21242
11/10/2001,0.62,0.62,0.62,0.62,0
12/10/2001,0.62,0.64,0.62,0.64,27198
15/10/2001,0.64,0.64,0.63,0.63,85081
16/10/2001,0.63,0.64,0.63,0.64,56791
17/10/2001,0.63,0.65,0.63,0.65,5409
18/10/2001,0.65,0.65,0.65,0.65,10000
19/10/2001,0.65,0.66,0.65,0.65,48392
22/10/2001,0.65,0.65,0.65,0.65,61515
23/10/2001,0.649,0.65,0.649,0.65,38485
24/10/2001,0.65,0.65,0.65,0.65,0
25/10/2001,0.64,0.64,0.63,0.63,10138
26/10/2001,0.64,0.64,0.63,0.64,22436
29/10/2001,0.64,0.64,0.63,0.63,25109
30/10/2001,0.63,0.64,0.63,0.64,108722
31/10/2001,0.64,0.64,0.64,0.64,4966
01/11/2001,0.65,0.65,0.65,0.65,15624
02/11/2001,0.63,0.64,0.63,0.63,147716
05/11/2001,0.63,0.64,0.63,0.64,19999
06/11/2001,0.64,0.64,0.63,0.63,98297
07/11/2001,0.63,0.63,0.63,0.63,2550
08/11/2001,0.63,0.63,0.63,0.63,0
09/11/2001,0.63,0.63,0.63,0.63,173800
12/11/2001,0.64,0.64,0.63,0.63,37793
13/11/2001,0.64,0.64,0.63,0.63,124930
14/11/2001,0.64,0.64,0.64,0.64,45000
15/11/2001,0.64,0.64,0.63,0.63,76143
16/11/2001,0.63,0.63,0.63,0.63,109551
19/11/2001,0.64,0.65,0.63,0.64,99603
20/11/2001,0.64,0.64,0.63,0.63,87000
21/11/2001,0.63,0.64,0.63,0.64,15333
22/11/2001,0.65,0.65,0.65,0.65,15000
23/11/2001,0.64,0.64,0.64,0.64,70096
26/11/2001,0.65,0.65,0.64,0.64,74282
27/11/2001,0.64,0.65,0.64,0.65,78893
28/11/2001,0.64,0.64,0.64,0.64,101000
29/11/2001,0.65,0.65,0.65,0.65,30000
30/11/2001,0.65,0.65,0.64,0.64,42400
03/12/2001,0.65,0.65,0.64,0.64,173491
04/12/2001,0.64,0.65,0.64,0.64,130877
05/12/2001,0.65,0.65,0.65,0.65,23889
06/12/2001,0.66,0.66,0.65,0.66,74500
07/12/2001,0.66,0.66,0.66,0.66,32275
10/12/2001,0.66,0.66,0.65,0.65,98726
11/12/2001,0.64,0.65,0.64,0.64,48794
12/12/2001,0.65,0.65,0.65,0.65,26411
13/12/2001,0.65,0.66,0.65,0.66,18203
14/12/2001,0.66,0.66,0.66,0.66,24467
17/12/2001,0.66,0.66,0.66,0.66,179730
18/12/2001,0.65,0.65,0.65,0.65,9324
19/12/2001,0.66,0.66,0.66,0.66,35000
20/12/2001,0.66,0.66,0.66,0.66,10635
21/12/2001,0.66,0.67,0.66,0.67,37000
24/12/2001,0.67,0.67,0.67,0.67,0
27/12/2001,0.67,0.67,0.67,0.67,13000
28/12/2001,0.67,0.67,0.67,0.67,24000
31/12/2001,0.67,0.67,0.67,0.67,0
02/01/2002,0.66,0.66,0.66,0.66,16500
03/01/2002,0.67,0.67,0.66,0.66,68304
04/01/2002,0.67,0.67,0.67,0.67,1199
07/01/2002,0.68,0.68,0.66,0.67,65041
08/01/2002,0.68,0.69,0.68,0.69,33156
09/01/2002,0.68,0.69,0.68,0.69,30959
10/01/2002,0.69,0.69,0.68,0.68,27898
11/01/2002,0.68,0.69,0.68,0.69,8994
14/01/2002,0.68,0.68,0.68,0.68,29000
15/01/2002,0.68,0.68,0.68,0.68,0
16/01/2002,0.69,0.69,0.68,0.68,29200
17/01/2002,0.68,0.68,0.68,0.68,64100
18/01/2002,0.69,0.69,0.69,0.69,5000
21/01/2002,0.68,0.69,0.68,0.69,50552
22/01/2002,0.68,0.68,0.68,0.68,28138
23/01/2002,0.68,0.68,0.68,0.68,0
24/01/2002,0.68,0.69,0.68,0.68,33942
25/01/2002,0.69,0.69,0.68,0.68,43100
29/01/2002,0.68,0.68,0.68,0.68,56960
30/01/2002,0.69,0.69,0.69,0.69,25000
31/01/2002,0.69,0.69,0.69,0.69,0
01/02/2002,0.69,0.69,0.69,0.69,0
04/02/2002,0.68,0.69,0.68,0.68,47833
05/02/2002,0.68,0.68,0.67,0.67,30600
06/02/2002,0.68,0.68,0.68,0.68,11242
07/02/2002,0.68,0.69,0.68,0.69,21300
08/02/2002,0.69,0.69,0.68,0.68,10100
11/02/2002,0.68,0.7,0.68,0.7,89524
12/02/2002,0.68,0.7,0.68,0.69,54382
13/02/2002,0.7,0.7,0.69,0.69,18988
14/02/2002,0.69,0.69,0.69,0.69,3049
15/02/2002,0.7,0.7,0.69,0.69,21446
18/02/2002,0.69,0.69,0.69,0.69,22000
19/02/2002,0.69,0.69,0.68,0.69,82429
20/02/2002,0.68,0.69,0.68,0.69,161548
21/02/2002,0.68,0.68,0.67,0.67,150584
22/02/2002,0.68,0.68,0.67,0.67,75951
25/02/2002,0.68,0.69,0.68,0.69,32940
26/02/2002,0.67,0.67,0.65,0.65,56666
27/02/2002,0.65,0.66,0.65,0.65,92559
28/02/2002,0.65,0.65,0.65,0.65,39752
01/03/2002,0.65,0.65,0.65,0.65,44000
04/03/2002,0.65,0.65,0.65,0.65,27820
05/03/2002,0.66,0.66,0.66,0.66,20633
06/03/2002,0.66,0.66,0.66,0.66,3467
07/03/2002,0.66,0.66,0.65,0.65,20033
08/03/2002,0.65,0.65,0.65,0.65,9600
11/03/2002,0.65,0.65,0.65,0.65,26000
12/03/2002,0.66,0.66,0.65,0.66,40000
13/03/2002,0.66,0.67,0.66,0.67,162816
14/03/2002,0.67,0.67,0.66,0.66,184578
15/03/2002,0.66,0.66,0.65,0.65,112363
18/03/2002,0.65,0.66,0.65,0.66,28600
19/03/2002,0.66,0.67,0.66,0.67,138750
20/03/2002,0.65,0.66,0.65,0.65,160500
21/03/2002,0.65,0.65,0.65,0.65,75320
22/03/2002,0.65,0.65,0.65,0.65,3500
25/03/2002,0.66,0.66,0.65,0.65,47721
26/03/2002,0.65,0.65,0.65,0.65,28000
27/03/2002,0.65,0.66,0.65,0.66,53075
28/03/2002,0.65,0.65,0.65,0.65,20000
02/04/2002,0.65,0.65,0.65,0.65,132828
03/04/2002,0.65,0.65,0.64,0.64,70927
04/04/2002,0.64,0.64,0.63,0.63,328625
05/04/2002,0.64,0.64,0.62,0.62,490062
08/04/2002,0.62,0.63,0.62,0.63,137211
09/04/2002,0.63,0.63,0.62,0.62,30200
10/04/2002,0.63,0.63,0.62,0.62,137174
11/04/2002,0.63,0.63,0.62,0.63,37460
12/04/2002,0.63,0.63,0.62,0.62,464255
15/04/2002,0.63,0.63,0.62,0.62,11600
16/04/2002,0.63,0.63,0.62,0.63,22925
17/04/2002,0.62,0.63,0.62,0.63,54000
18/04/2002,0.62,0.63,0.62,0.63,151338
19/04/2002,0.63,0.63,0.62,0.62,37037
22/04/2002,0.62,0.62,0.62,0.62,3000
23/04/2002,0.63,0.63,0.62,0.62,7000
24/04/2002,0.63,0.63,0.63,0.63,46000
26/04/2002,0.63,0.63,0.63,0.63,20000
29/04/2002,0.62,0.62,0.62,0.62,810
30/04/2002,0.62,0.62,0.62,0.62,0
01/05/2002,0.63,0.63,0.63,0.63,18200
02/05/2002,0.63,0.63,0.63,0.63,0
03/05/2002,0.63,0.64,0.63,0.63,88433
06/05/2002,0.64,0.64,0.63,0.63,26500
07/05/2002,0.63,0.63,0.63,0.63,109870
08/05/2002,0.62,0.63,0.62,0.63,66741
09/05/2002,0.63,0.64,0.63,0.63,267727
10/05/2002,0.63,0.63,0.62,0.62,10381
13/05/2002,0.63,0.63,0.63,0.63,9000
14/05/2002,0.63,0.63,0.62,0.63,80159
15/05/2002,0.63,0.63,0.63,0.63,13333
16/05/2002,0.63,0.64,0.63,0.64,28600
17/05/2002,0.63,0.63,0.63,0.63,123136
20/05/2002,0.63,0.63,0.63,0.63,33907
21/05/2002,0.64,0.64,0.63,0.63,63333
22/05/2002,0.63,0.63,0.63,0.63,0
23/05/2002,0.64,0.64,0.63,0.63,142037
24/05/2002,0.64,0.64,0.64,0.64,21307
27/05/2002,0.65,0.65,0.64,0.64,12300
28/05/2002,0.64,0.65,0.64,0.64,69408
29/05/2002,0.65,0.65,0.65,0.65,10000
30/05/2002,0.65,0.65,0.64,0.65,68346
31/05/2002,0.65,0.65,0.64,0.65,78988
03/06/2002,0.65,0.65,0.65,0.65,12802
04/06/2002,0.65,0.65,0.65,0.65,20930
05/06/2002,0.66,0.66,0.65,0.65,54176
06/06/2002,0.65,0.66,0.65,0.66,23898
07/06/2002,0.65,0.66,0.65,0.65,39425
11/06/2002,0.66,0.66,0.65,0.66,44034
12/06/2002,0.65,0.66,0.65,0.66,85180
13/06/2002,0.65,0.65,0.65,0.65,13700
14/06/2002,0.65,0.65,0.64,0.64,38450
17/06/2002,0.65,0.65,0.64,0.65,10207
18/06/2002,0.65,0.65,0.65,0.65,68278
19/06/2002,0.65,0.65,0.65,0.65,126222
20/06/2002,0.64,0.64,0.64,0.64,37379
21/06/2002,0.65,0.65,0.64,0.64,150562
24/06/2002,0.65,0.65,0.64,0.64,119473
25/06/2002,0.64,0.64,0.64,0.64,69990
26/06/2002,0.63,0.63,0.63,0.63,144873
27/06/2002,0.62,0.63,0.62,0.62,115359
28/06/2002,0.63,0.64,0.63,0.63,82625
01/07/2002,0.63,0.63,0.62,0.62,30000
02/07/2002,0.62,0.62,0.62,0.62,0
03/07/2002,0.62,0.62,0.62,0.62,0
04/07/2002,0.63,0.63,0.63,0.63,24409
05/07/2002,0.63,0.63,0.62,0.62,59127
08/07/2002,0.63,0.63,0.63,0.63,29489
09/07/2002,0.63,0.63,0.63,0.63,15278
10/07/2002,0.63,0.63,0.62,0.62,15533
11/07/2002,0.62,0.63,0.62,0.62,43397
12/07/2002,0.62,0.62,0.61,0.61,51800
15/07/2002,0.62,0.62,0.61,0.61,24214
16/07/2002,0.61,0.61,0.61,0.61,0
17/07/2002,0.61,0.62,0.61,0.62,98761
18/07/2002,0.61,0.61,0.61,0.61,17500
19/07/2002,0.61,0.61,0.61,0.61,1600
22/07/2002,0.61,0.61,0.6,0.6,50117
23/07/2002,0.6,0.6,0.6,0.6,14667
24/07/2002,0.6,0.6,0.59,0.59,38270
25/07/2002,0.58,0.58,0.58,0.58,28394
26/07/2002,0.58,0.58,0.58,0.58,0
29/07/2002,0.59,0.59,0.59,0.59,61000
30/07/2002,0.59,0.59,0.59,0.59,0
31/07/2002,0.6,0.6,0.6,0.6,37000
01/08/2002,0.6,0.6,0.59,0.59,37000
02/08/2002,0.59,0.59,0.59,0.59,35000
05/08/2002,0.6,0.61,0.6,0.6,52000
06/08/2002,0.6,0.6,0.6,0.6,53437
07/08/2002,0.62,0.62,0.6,0.6,24500
08/08/2002,0.6,0.6,0.6,0.6,0
09/08/2002,0.6,0.6,0.6,0.6,0
12/08/2002,0.6,0.6,0.6,0.6,0
13/08/2002,0.6,0.61,0.6,0.61,20625
14/08/2002,0.61,0.61,0.61,0.61,24069
15/08/2002,0.6,0.6,0.6,0.6,13068
16/08/2002,0.6,0.6,0.6,0.6,22549
19/08/2002,0.6,0.6,0.6,0.6,5000
20/08/2002,0.61,0.61,0.61,0.61,18180
21/08/2002,0.61,0.61,0.61,0.61,0
22/08/2002,0.61,0.61,0.61,0.61,55735
23/08/2002,0.61,0.61,0.61,0.61,102799
26/08/2002,0.61,0.61,0.61,0.61,0
27/08/2002,0.61,0.61,0.6,0.6,16853
28/08/2002,0.6,0.6,0.6,0.6,8000
29/08/2002,0.6,0.6,0.59,0.59,90626
30/08/2002,0.59,0.6,0.59,0.6,71089
02/09/2002,0.6,0.6,0.59,0.59,11088
03/09/2002,0.59,0.6,0.59,0.6,96838
04/09/2002,0.59,0.59,0.59,0.59,6600
05/09/2002,0.59,0.6,0.59,0.6,104000
06/09/2002,0.59,0.6,0.59,0.6,40000
09/09/2002,0.62,0.65,0.61,0.65,625048
10/09/2002,0.66,0.67,0.64,0.66,499987
11/09/2002,0.55,0.55,0.55,0.55,54009
12/09/2002,0.55,0.56,0.54,0.55,148528
13/09/2002,0.55,0.55,0.54,0.54,57473
16/09/2002,0.54,0.54,0.54,0.54,20919
17/09/2002,0.54,0.55,0.54,0.54,56464
18/09/2002,0.53,0.54,0.53,0.54,68509
19/09/2002,0.53,0.55,0.53,0.53,41024
20/09/2002,0.53,0.54,0.53,0.53,40166
23/09/2002,0.53,0.53,0.53,0.53,46014
24/09/2002,0.53,0.53,0.52,0.52,63257
25/09/2002,0.51,0.52,0.5,0.5,103595
26/09/2002,0.51,0.51,0.5,0.5,53529
27/09/2002,0.51,0.51,0.5,0.51,73200
30/09/2002,0.51,0.51,0.49,0.49,82684
01/10/2002,0.51,0.51,0.51,0.51,33289
02/10/2002,0.52,0.52,0.51,0.51,85470
