Date,Open,High,Low,Close,Volume
14/12/2005,1.1,1.15,1,1.01,1915323
15/12/2005,1.05,1.05,0.98,0.985,803878
16/12/2005,0.985,1.01,0.97,1,1077062
19/12/2005,1,1.01,1,1,344500
20/12/2005,1,1.02,0.99,0.99,294382
21/12/2005,0.99,1,0.92,0.99,304267
22/12/2005,0.96,0.98,0.96,0.96,179000
23/12/2005,0.985,0.99,0.98,0.99,1544874
28/12/2005,1.04,1.04,0.99,1,60664
29/12/2005,1.01,1.02,1.01,1.02,21000
30/12/2005,1.02,1.025,0.99,1.025,778784
03/01/2006,1.025,1.085,1.025,1.06,153326
04/01/2006,1.06,1.07,1.045,1.07,126438
05/01/2006,1.07,1.07,1.035,1.04,91902
06/01/2006,1.06,1.06,1.04,1.04,93633
09/01/2006,1.05,1.06,1.05,1.05,59050
10/01/2006,1.06,1.06,1.035,1.035,42975
11/01/2006,1.05,1.05,0.99,1,617050
12/01/2006,1.01,1.02,1,1.005,121440
13/01/2006,1.015,1.02,0.99,1,290414
16/01/2006,1,1.01,1,1.01,84320
17/01/2006,1.01,1.04,1,1.02,406840
18/01/2006,1.05,1.08,1.02,1.05,186660
19/01/2006,1.05,1.06,1.04,1.06,54604
20/01/2006,1.06,1.06,1.04,1.06,40580
23/01/2006,1.06,1.06,1.04,1.05,97100
24/01/2006,1.06,1.08,1.06,1.065,341993
25/01/2006,1.065,1.065,1.05,1.06,85300
27/01/2006,1.06,1.09,1.06,1.07,333170
30/01/2006,1.09,1.1,1.085,1.09,186850
31/01/2006,1.1,1.1,1.08,1.08,192330
01/02/2006,1.08,1.08,1.075,1.075,17126
02/02/2006,1.075,1.075,1.05,1.05,89862
03/02/2006,1.05,1.07,1.045,1.07,2103650
06/02/2006,1.07,1.07,1.07,1.07,6350
07/02/2006,1.07,1.14,1.06,1.12,684661
08/02/2006,1.12,1.12,1.05,1.08,91837
09/02/2006,1.09,1.105,1.08,1.08,53150
10/02/2006,1.08,1.1,1.08,1.1,20600
13/02/2006,1.1,1.1,1.08,1.08,99500
14/02/2006,1.09,1.09,1.06,1.07,83600
15/02/2006,1.05,1.085,1.05,1.05,386509
16/02/2006,1.04,1.045,1.04,1.045,79600
17/02/2006,1.045,1.055,1.04,1.04,74930
20/02/2006,1.04,1.045,1.04,1.04,194500
21/02/2006,1.04,1.055,1.04,1.04,151400
22/02/2006,1.05,1.07,1.04,1.045,224385
23/02/2006,1.065,1.065,1.05,1.065,169710
24/02/2006,1.07,1.07,1.045,1.07,166000
27/02/2006,1.07,1.1,1.07,1.09,892194
28/02/2006,1.1,1.24,1.09,1.2,390733
01/03/2006,1.22,1.235,1.2,1.2,1118651
02/03/2006,1.2,1.25,1.2,1.25,385566
03/03/2006,1.255,1.255,1.235,1.24,48348
06/03/2006,1.235,1.235,1.2,1.2,61251
07/03/2006,1.2,1.2,1.12,1.13,140741
08/03/2006,1.2,1.2,1.2,1.2,11550
09/03/2006,1.19,1.2,1.19,1.2,20994
10/03/2006,1.18,1.18,1.12,1.13,98227
13/03/2006,1.13,1.13,1.06,1.07,176750
14/03/2006,1.07,1.11,1.06,1.11,98207
15/03/2006,1.1,1.15,1.1,1.1,138235
16/03/2006,1.12,1.13,1.1,1.1,54985
17/03/2006,1.11,1.125,1.08,1.1,50239
20/03/2006,1.1,1.1,1.075,1.09,144777
21/03/2006,1.09,1.09,1.09,1.09,0
22/03/2006,1.075,1.09,1.055,1.055,114500
23/03/2006,1.06,1.08,1.055,1.08,71400
24/03/2006,1.08,1.135,1.08,1.095,109594
27/03/2006,1.08,1.09,1.07,1.07,20750
28/03/2006,1.07,1.07,1.05,1.05,122000
29/03/2006,1.15,1.2,1.15,1.2,235601
30/03/2006,1.23,1.235,1.07,1.15,366013
31/03/2006,1.16,1.16,1.11,1.14,353676
03/04/2006,1.14,1.195,1.12,1.19,266187
04/04/2006,1.2,1.22,1.2,1.22,365764
05/04/2006,1.2,1.2,1.2,1.2,30830
06/04/2006,1.2,1.2,1.14,1.145,92597
07/04/2006,1.15,1.19,1.15,1.19,29636
10/04/2006,1.17,1.17,1.14,1.15,127599
11/04/2006,1.19,1.19,1.14,1.14,37656
12/04/2006,1.19,1.2,1.17,1.18,311557
13/04/2006,1.18,1.2,1.17,1.19,113168
18/04/2006,1.19,1.19,1.14,1.14,145320
19/04/2006,1.2,1.2,1.17,1.19,596935
20/04/2006,1.2,1.22,1.18,1.22,297385
21/04/2006,1.23,1.305,1.23,1.3,439226
24/04/2006,1.35,1.43,1.35,1.39,705335
26/04/2006,1.53,1.62,1.475,1.6,1027210
27/04/2006,1.62,1.62,1.505,1.56,293653
28/04/2006,1.5,1.55,1.5,1.55,90139
01/05/2006,1.55,1.57,1.45,1.48,181335
02/05/2006,1.53,1.55,1.5,1.5,143671
03/05/2006,1.55,1.6,1.55,1.565,332850
04/05/2006,1.605,1.605,1.49,1.53,172142
05/05/2006,1.525,1.61,1.5,1.61,373748
08/05/2006,1.63,1.69,1.62,1.65,271487
09/05/2006,1.66,1.68,1.64,1.645,179801
10/05/2006,1.67,1.67,1.55,1.55,166501
11/05/2006,1.555,1.62,1.555,1.62,108465
12/05/2006,1.625,1.625,1.59,1.6,88180
15/05/2006,1.59,1.6,1.56,1.6,73050
16/05/2006,1.57,1.6,1.55,1.6,134705
17/05/2006,1.6,1.6,1.57,1.6,59659
18/05/2006,1.53,1.6,1.52,1.535,109619
19/05/2006,1.55,1.55,1.48,1.535,89833
22/05/2006,1.55,1.55,1.47,1.5,362133
23/05/2006,1.5,1.53,1.48,1.5,278780
24/05/2006,1.45,1.49,1.32,1.49,229870
25/05/2006,1.46,1.46,1.36,1.36,5700
26/05/2006,1.39,1.44,1.39,1.42,83758
29/05/2006,1.445,1.49,1.445,1.47,261007
30/05/2006,1.49,1.5,1.48,1.48,170883
31/05/2006,1.47,1.5,1.46,1.48,47946
01/06/2006,1.48,1.48,1.41,1.41,64951
02/06/2006,1.415,1.44,1.39,1.44,54806
05/06/2006,1.45,1.5,1.45,1.47,47130
06/06/2006,1.48,1.5,1.45,1.5,270277
07/06/2006,1.5,1.5,1.46,1.46,45645
08/06/2006,1.4,1.4,1.355,1.355,184880
09/06/2006,1.375,1.44,1.375,1.44,99395
13/06/2006,1.4,1.4,1.31,1.365,176850
14/06/2006,1.32,1.38,1.3,1.3,119714
15/06/2006,1.32,1.4,1.29,1.335,163177
16/06/2006,1.35,1.36,1.29,1.29,85732
19/06/2006,1.38,1.38,1.25,1.3,87156
20/06/2006,1.32,1.32,1.255,1.275,15230
21/06/2006,1.295,1.295,1.275,1.275,19381
22/06/2006,1.295,1.32,1.29,1.3,1325824
23/06/2006,1.3,1.3,1.19,1.21,567971
26/06/2006,1.18,1.18,1.03,1.05,278100
27/06/2006,1.05,1.12,1.03,1.03,183135
28/06/2006,1.1,1.12,1.1,1.1,193356
29/06/2006,1.08,1.1,1.07,1.1,47021
30/06/2006,1.1,1.195,1.1,1.15,404283
03/07/2006,1.155,1.16,1.135,1.135,35911
04/07/2006,1.16,1.2,1.16,1.2,599518
05/07/2006,1.2,1.25,1.2,1.22,85616
06/07/2006,1.22,1.22,1.2,1.21,67947
07/07/2006,1.22,1.28,1.2,1.25,26034
10/07/2006,1.25,1.3,1.25,1.28,73599
11/07/2006,1.28,1.3,1.27,1.28,67525
12/07/2006,1.28,1.305,1.27,1.28,344345
13/07/2006,1.24,1.28,1.24,1.27,90377
14/07/2006,1.275,1.3,1.2,1.2,130240
17/07/2006,1.25,1.28,1.25,1.28,145500
18/07/2006,1.23,1.255,1.23,1.25,27300
19/07/2006,1.25,1.26,1.21,1.21,36073
20/07/2006,1.26,1.27,1.18,1.18,66319
21/07/2006,1.2,1.215,1.15,1.15,92535
24/07/2006,1.15,1.17,1.14,1.14,58700
25/07/2006,1.15,1.15,1.14,1.14,51185
26/07/2006,1.13,1.135,1.1,1.105,31370
27/07/2006,1.05,1.1,1.05,1.085,271452
28/07/2006,1.04,1.09,1.04,1.05,86915
31/07/2006,1.05,1.09,1.05,1.08,107295
01/08/2006,1.06,1.06,1,1,321134
02/08/2006,1.01,1.01,0.95,1,232346
03/08/2006,1,1.035,0.98,1,98059
04/08/2006,1,1,0.93,0.95,144795
07/08/2006,0.965,0.995,0.94,0.96,198195
08/08/2006,0.98,0.995,0.95,0.985,252308
09/08/2006,1,1.04,0.975,0.98,203612
10/08/2006,1,1,0.845,0.845,809288
11/08/2006,0.85,0.85,0.67,0.68,1000871
14/08/2006,0.73,0.815,0.73,0.8,424051
15/08/2006,0.8,0.8,0.74,0.74,265084
16/08/2006,0.75,0.75,0.7,0.7,330304
17/08/2006,0.74,0.74,0.67,0.67,287093
18/08/2006,0.69,0.695,0.66,0.66,404433
21/08/2006,0.67,0.69,0.67,0.675,378121
22/08/2006,0.69,0.71,0.68,0.685,191872
23/08/2006,0.69,0.69,0.665,0.67,386126
24/08/2006,0.665,0.67,0.655,0.66,92539
25/08/2006,0.67,0.67,0.65,0.655,227943
28/08/2006,0.67,0.67,0.655,0.66,180150
29/08/2006,0.665,0.665,0.65,0.65,123821
30/08/2006,0.655,0.655,0.645,0.65,132164
31/08/2006,0.65,0.85,0.65,0.8,946261
01/09/2006,0.82,0.82,0.76,0.79,228303
04/09/2006,0.79,0.79,0.76,0.765,64749
05/09/2006,0.77,0.78,0.765,0.765,148864
06/09/2006,0.77,0.77,0.71,0.71,235873
07/09/2006,0.71,0.725,0.71,0.725,48000
08/09/2006,0.74,0.745,0.725,0.725,87129
11/09/2006,0.74,0.74,0.705,0.71,93049
12/09/2006,0.71,0.71,0.685,0.69,78300
13/09/2006,0.68,0.7,0.665,0.7,19590
14/09/2006,0.685,0.685,0.67,0.67,11503
15/09/2006,0.675,0.7,0.675,0.68,34800
18/09/2006,0.68,0.7,0.68,0.7,28000
19/09/2006,0.7,0.7,0.68,0.7,41500
20/09/2006,0.695,0.695,0.665,0.665,96084
21/09/2006,0.66,0.66,0.64,0.66,227450
22/09/2006,0.67,0.67,0.66,0.66,18687
25/09/2006,0.665,0.665,0.61,0.64,175593
26/09/2006,0.63,0.65,0.6,0.6,116560
27/09/2006,0.605,0.62,0.6,0.6,72200
28/09/2006,0.6,0.6,0.59,0.6,84903
29/09/2006,0.6,0.6,0.58,0.59,143637
02/10/2006,0.655,0.655,0.59,0.59,707729
03/10/2006,0.595,0.62,0.59,0.595,74445
04/10/2006,0.6,0.6,0.58,0.58,119082
05/10/2006,0.565,0.59,0.55,0.59,82900
06/10/2006,0.57,0.575,0.545,0.545,169600
09/10/2006,0.55,0.555,0.465,0.475,914659
10/10/2006,0.47,0.49,0.46,0.49,190264
11/10/2006,0.47,0.47,0.385,0.385,1557284
12/10/2006,0.38,0.385,0.36,0.365,1086883
13/10/2006,0.365,0.39,0.32,0.385,1071258
16/10/2006,0.375,0.38,0.335,0.335,522200
17/10/2006,0.35,0.38,0.35,0.37,443159
18/10/2006,0.375,0.39,0.37,0.375,177362
19/10/2006,0.38,0.385,0.36,0.37,240047
20/10/2006,0.38,0.385,0.37,0.38,287153
23/10/2006,0.38,0.38,0.37,0.38,257757
24/10/2006,0.38,0.38,0.37,0.37,91513
25/10/2006,0.37,0.37,0.355,0.355,267282
26/10/2006,0.365,0.365,0.36,0.365,78000
27/10/2006,0.37,0.37,0.36,0.365,183245
30/10/2006,0.37,0.38,0.37,0.38,216122
31/10/2006,0.385,0.4,0.385,0.39,214524
01/11/2006,0.39,0.4,0.38,0.38,461443
02/11/2006,0.39,0.39,0.37,0.37,159285
03/11/2006,0.365,0.375,0.365,0.375,112279
06/11/2006,0.375,0.375,0.36,0.36,151263
07/11/2006,0.365,0.365,0.355,0.355,134000
08/11/2006,0.355,0.37,0.355,0.36,37900
09/11/2006,0.36,0.37,0.355,0.365,28390
10/11/2006,0.36,0.365,0.36,0.365,55000
13/11/2006,0.365,0.365,0.35,0.35,96500
14/11/2006,0.35,0.36,0.35,0.35,132000
15/11/2006,0.36,0.365,0.35,0.365,254431
16/11/2006,0.36,0.365,0.35,0.36,76250
17/11/2006,0.36,0.36,0.35,0.36,90429
