Date,Open,High,Low,Close,Volume
09/09/2015,0.22,0.25,0.2,0.23,952435
10/09/2015,0.23,0.23,0.215,0.225,212195
11/09/2015,0.225,0.225,0.21,0.21,193000
14/09/2015,0.21,0.22,0.21,0.215,132000
15/09/2015,0.215,0.225,0.215,0.225,52648
16/09/2015,0.22,0.22,0.205,0.205,23200
17/09/2015,0.22,0.225,0.22,0.22,30315
18/09/2015,0.215,0.23,0.215,0.23,46600
21/09/2015,0.23,0.23,0.23,0.23,16965
22/09/2015,0.22,0.23,0.22,0.23,45420
23/09/2015,0.26,0.26,0.26,0.26,2000
24/09/2015,0.265,0.28,0.265,0.28,133500
25/09/2015,0.28,0.3,0.28,0.29,382633
28/09/2015,0.29,0.315,0.29,0.295,243033
29/09/2015,0.28,0.28,0.255,0.28,194000
30/09/2015,0.27,0.27,0.26,0.26,62000
01/10/2015,0.28,0.28,0.28,0.28,5000
02/10/2015,0.275,0.28,0.275,0.28,79579
05/10/2015,0.28,0.28,0.28,0.28,20000
06/10/2015,0.26,0.27,0.25,0.27,82835
07/10/2015,0.25,0.265,0.25,0.265,30454
08/10/2015,0.26,0.26,0.245,0.25,59000
09/10/2015,0.25,0.25,0.25,0.25,48500
12/10/2015,0.26,0.26,0.25,0.25,66000
13/10/2015,0.24,0.25,0.24,0.25,70000
14/10/2015,0.25,0.25,0.24,0.25,131000
15/10/2015,0.24,0.24,0.24,0.24,24000
16/10/2015,0.24,0.24,0.225,0.24,135600
19/10/2015,0.24,0.24,0.24,0.24,0
20/10/2015,0.24,0.25,0.24,0.24,347800
21/10/2015,0.24,0.24,0.24,0.24,66704
22/10/2015,0.24,0.24,0.24,0.24,39500
23/10/2015,0.24,0.24,0.24,0.24,50000
26/10/2015,0.24,0.24,0.24,0.24,30000
27/10/2015,0.225,0.225,0.225,0.225,52884
28/10/2015,0.225,0.24,0.22,0.24,74616
29/10/2015,0.245,0.25,0.24,0.24,230167
30/10/2015,0.25,0.28,0.25,0.27,406085
02/11/2015,0.28,0.35,0.28,0.29,724099
03/11/2015,0.3,0.33,0.3,0.33,340763
04/11/2015,0.33,0.36,0.305,0.33,318189
05/11/2015,0.33,0.37,0.33,0.36,339169
06/11/2015,0.35,0.41,0.35,0.38,550170
09/11/2015,0.37,0.37,0.35,0.365,257010
10/11/2015,0.365,0.375,0.34,0.37,363508
11/11/2015,0.37,0.37,0.36,0.37,72900
12/11/2015,0.355,0.37,0.355,0.37,51250
13/11/2015,0.35,0.35,0.35,0.35,105500
16/11/2015,0.35,0.37,0.345,0.35,136433
17/11/2015,0.35,0.35,0.345,0.35,240360
18/11/2015,0.345,0.345,0.345,0.345,20000
19/11/2015,0.35,0.35,0.34,0.34,185399
