Date,Open,High,Low,Close,Volume
24/02/2017,0.26,0.27,0.25,0.27,921000
27/02/2017,0.275,0.275,0.23,0.235,881856
28/02/2017,0.23,0.235,0.23,0.235,742284
01/03/2017,0.225,0.23,0.225,0.23,410234
02/03/2017,0.23,0.25,0.23,0.23,234000
03/03/2017,0.23,0.23,0.22,0.225,576555
06/03/2017,0.225,0.225,0.225,0.225,40040
07/03/2017,0.225,0.225,0.225,0.225,10359
08/03/2017,0.225,0.225,0.225,0.225,16808
09/03/2017,0.215,0.23,0.215,0.23,415000
10/03/2017,0.23,0.23,0.22,0.22,49200
13/03/2017,0.22,0.22,0.22,0.22,0
14/03/2017,0.22,0.22,0.22,0.22,0
15/03/2017,0.22,0.22,0.22,0.22,0
16/03/2017,0.31,0.335,0.26,0.33,5464541
17/03/2017,0.31,0.335,0.27,0.275,2910678
20/03/2017,0.28,0.29,0.265,0.265,455846
21/03/2017,0.265,0.27,0.255,0.255,119852
22/03/2017,0.26,0.275,0.255,0.255,405000
23/03/2017,0.255,0.265,0.255,0.265,30000
24/03/2017,0.255,0.26,0.25,0.26,174098
27/03/2017,0.26,0.26,0.245,0.25,158450
28/03/2017,0.25,0.265,0.25,0.25,113570
29/03/2017,0.265,0.34,0.265,0.31,3154115
30/03/2017,0.335,0.39,0.325,0.345,2112632
31/03/2017,0.34,0.34,0.31,0.31,706775
03/04/2017,0.315,0.32,0.285,0.3,990489
04/04/2017,0.3,0.3,0.29,0.3,103592
05/04/2017,0.3,0.32,0.295,0.32,590260
06/04/2017,0.315,0.32,0.31,0.32,135750
07/04/2017,0.315,0.315,0.28,0.29,181130
10/04/2017,0.29,0.29,0.275,0.275,132084
11/04/2017,0.29,0.305,0.28,0.28,51400
12/04/2017,0.28,0.285,0.27,0.27,314400
13/04/2017,0.275,0.29,0.265,0.265,63246
18/04/2017,0.265,0.27,0.265,0.27,700
19/04/2017,0.265,0.265,0.26,0.26,86833
20/04/2017,0.26,0.27,0.26,0.265,121007
21/04/2017,0.25,0.26,0.25,0.25,38500
24/04/2017,0.25,0.25,0.25,0.25,0
26/04/2017,0.25,0.265,0.25,0.25,314667
27/04/2017,0.255,0.26,0.255,0.255,82433
28/04/2017,0.265,0.265,0.255,0.255,22000
01/05/2017,0.265,0.265,0.25,0.25,157009
02/05/2017,0.25,0.25,0.21,0.215,569933
03/05/2017,0.215,0.215,0.19,0.21,697499
04/05/2017,0.24,0.25,0.21,0.22,1424883
05/05/2017,0.22,0.22,0.195,0.195,325987
08/05/2017,0.195,0.205,0.18,0.19,210781
09/05/2017,0.22,0.23,0.195,0.21,1276561
10/05/2017,0.21,0.21,0.2,0.21,399160
11/05/2017,0.2,0.2,0.19,0.19,247816
12/05/2017,0.18,0.19,0.18,0.19,200500
15/05/2017,0.19,0.2,0.18,0.2,167200
16/05/2017,0.19,0.19,0.175,0.175,495833
17/05/2017,0.185,0.2,0.18,0.18,172550
18/05/2017,0.185,0.2,0.175,0.175,223098
