Date,Open,High,Low,Close,Volume
25/09/2020,0.75,0.75,0.75,0.75,10700
28/09/2020,0.75,0.77,0.69,0.73,81129
29/09/2020,0.68,0.7,0.66,0.68,45000
30/09/2020,0.68,0.69,0.68,0.68,30750
01/10/2020,0.69,0.71,0.68,0.68,11638
02/10/2020,0.69,0.695,0.66,0.66,22921
05/10/2020,0.66,0.66,0.66,0.66,3000
06/10/2020,0.66,0.665,0.66,0.665,3000
07/10/2020,0.7,0.7,0.7,0.7,6451
08/10/2020,0.7,0.7,0.7,0.7,0
09/10/2020,0.7,0.7,0.7,0.7,0
12/10/2020,0.7,0.7,0.7,0.7,11741
13/10/2020,0.73,0.73,0.73,0.73,750
14/10/2020,0.74,0.75,0.74,0.74,8243
15/10/2020,0.74,0.74,0.74,0.74,0
16/10/2020,0.73,0.745,0.68,0.685,57737
19/10/2020,0.685,0.685,0.685,0.685,9354
20/10/2020,0.685,0.685,0.685,0.685,0
21/10/2020,0.685,0.685,0.685,0.685,0
22/10/2020,0.68,0.68,0.66,0.66,12117
23/10/2020,0.69,0.69,0.69,0.69,2500
26/10/2020,0.69,0.69,0.69,0.69,7204
27/10/2020,0.72,0.72,0.65,0.65,2808
28/10/2020,0.71,0.71,0.67,0.67,508
29/10/2020,0.67,0.67,0.67,0.67,0
30/10/2020,0.67,0.67,0.65,0.65,6728
02/11/2020,0.65,0.65,0.65,0.65,3500
03/11/2020,0.65,0.65,0.65,0.65,0
04/11/2020,0.65,0.65,0.65,0.65,0
05/11/2020,0.65,0.65,0.65,0.65,0
06/11/2020,0.65,0.65,0.65,0.65,0
09/11/2020,0.65,0.65,0.65,0.65,0
10/11/2020,0.65,0.65,0.65,0.65,0
11/11/2020,0.65,0.65,0.65,0.65,5000
12/11/2020,0.65,0.65,0.65,0.65,0
13/11/2020,0.665,0.665,0.665,0.665,2000
16/11/2020,0.7,0.7,0.7,0.7,1000
17/11/2020,0.7,0.7,0.65,0.65,10879
18/11/2020,0.655,0.655,0.65,0.65,900
19/11/2020,0.65,0.65,0.65,0.65,0
20/11/2020,0.7,0.7,0.68,0.7,13587
23/11/2020,0.7,0.7,0.7,0.7,0
24/11/2020,0.665,0.665,0.65,0.65,6515
25/11/2020,0.66,0.66,0.66,0.66,1000
26/11/2020,0.67,0.67,0.65,0.65,20000
27/11/2020,0.7,0.7,0.695,0.7,36204
30/11/2020,0.7,0.7,0.7,0.7,0
01/12/2020,0.67,0.67,0.67,0.67,10261
02/12/2020,0.66,0.66,0.66,0.66,459
03/12/2020,0.66,0.66,0.66,0.66,0
04/12/2020,0.665,0.665,0.665,0.665,4847
07/12/2020,0.665,0.665,0.665,0.665,0
08/12/2020,0.69,0.69,0.66,0.66,24350
09/12/2020,0.67,0.67,0.66,0.66,14524
10/12/2020,0.66,0.66,0.66,0.66,21545
11/12/2020,0.66,0.66,0.66,0.66,2200
14/12/2020,0.655,0.655,0.655,0.655,433
15/12/2020,0.66,0.66,0.66,0.66,2000
16/12/2020,0.66,0.66,0.66,0.66,0
17/12/2020,0.66,0.66,0.66,0.66,0
18/12/2020,0.695,0.7,0.695,0.7,18930
21/12/2020,0.7,0.7,0.7,0.7,12192
22/12/2020,0.7,0.7,0.7,0.7,3000
23/12/2020,0.73,0.73,0.7,0.73,111781
24/12/2020,0.72,0.72,0.7,0.7,52495
29/12/2020,0.54,0.54,0.45,0.525,219153
30/12/2020,0.525,0.525,0.48,0.485,52207
31/12/2020,0.49,0.51,0.485,0.51,38901
04/01/2021,0.505,0.505,0.47,0.48,63003
05/01/2021,0.48,0.48,0.48,0.48,0
06/01/2021,0.505,0.525,0.505,0.525,23178
07/01/2021,0.485,0.485,0.485,0.485,4950
08/01/2021,0.485,0.485,0.485,0.485,4558
11/01/2021,0.485,0.49,0.485,0.49,15000
12/01/2021,0.5,0.5,0.5,0.5,4000
13/01/2021,0.5,0.5,0.48,0.48,6071
14/01/2021,0.49,0.49,0.49,0.49,5102
15/01/2021,0.49,0.49,0.47,0.47,21874
18/01/2021,0.47,0.47,0.47,0.47,0
19/01/2021,0.47,0.47,0.47,0.47,0
20/01/2021,0.505,0.505,0.505,0.505,4996
21/01/2021,0.505,0.505,0.505,0.505,0
22/01/2021,0.505,0.505,0.505,0.505,1350
25/01/2021,0.505,0.505,0.505,0.505,0
27/01/2021,0.505,0.505,0.505,0.505,0
28/01/2021,0.505,0.505,0.505,0.505,0
29/01/2021,0.505,0.505,0.485,0.485,6500
01/02/2021,0.495,0.495,0.495,0.495,1700
02/02/2021,0.495,0.495,0.495,0.495,0
03/02/2021,0.465,0.465,0.465,0.465,10363
04/02/2021,0.47,0.47,0.46,0.46,13368
05/02/2021,0.46,0.46,0.46,0.46,0
08/02/2021,0.46,0.46,0.46,0.46,0
09/02/2021,0.46,0.46,0.46,0.46,3454
10/02/2021,0.46,0.46,0.46,0.46,0
11/02/2021,0.46,0.46,0.46,0.46,2000
12/02/2021,0.46,0.46,0.455,0.455,12570
15/02/2021,0.46,0.46,0.46,0.46,2684
16/02/2021,0.46,0.46,0.46,0.46,0
17/02/2021,0.45,0.46,0.44,0.46,7435
18/02/2021,0.44,0.44,0.44,0.44,4558
19/02/2021,0.45,0.46,0.45,0.46,1140
22/02/2021,0.46,0.46,0.46,0.46,0
23/02/2021,0.46,0.46,0.46,0.46,0
24/02/2021,0.44,0.44,0.435,0.435,9763
25/02/2021,0.435,0.435,0.435,0.435,0
26/02/2021,0.435,0.435,0.435,0.435,1885
01/03/2021,0.44,0.44,0.44,0.44,5000
02/03/2021,0.44,0.44,0.44,0.44,0
03/03/2021,0.44,0.44,0.44,0.44,0
04/03/2021,0.44,0.44,0.44,0.44,0
05/03/2021,0.44,0.44,0.44,0.44,0
08/03/2021,0.44,0.44,0.44,0.44,0
09/03/2021,0.44,0.44,0.44,0.44,0
10/03/2021,0.44,0.44,0.44,0.44,0
11/03/2021,0.435,0.435,0.435,0.435,19915
12/03/2021,0.435,0.435,0.435,0.435,0
15/03/2021,0.43,0.43,0.43,0.43,7887
16/03/2021,0.43,0.43,0.4,0.4,26125
17/03/2021,0.42,0.42,0.42,0.42,1084
18/03/2021,0.42,0.42,0.42,0.42,0
19/03/2021,0.42,0.42,0.42,0.42,0
22/03/2021,0.42,0.42,0.42,0.42,0
23/03/2021,0.42,0.42,0.42,0.42,1866
24/03/2021,0.42,0.42,0.42,0.42,0
25/03/2021,0.42,0.42,0.42,0.42,0
26/03/2021,0.42,0.42,0.42,0.42,0
29/03/2021,0.42,0.42,0.42,0.42,0
30/03/2021,0.42,0.42,0.42,0.42,10000
31/03/2021,0.42,0.42,0.42,0.42,0
