Date,Open,High,Low,Close,Volume
17/03/2016,3.7,3.7,3.55,3.67,808122
18/03/2016,3.7,3.83,3.7,3.83,208450
21/03/2016,3.85,4,3.84,3.95,301723
22/03/2016,3.95,3.96,3.95,3.95,40463
23/03/2016,4,4,3.94,3.94,260037
24/03/2016,3.95,3.95,3.95,3.95,220206
29/03/2016,3.99,4,3.97,4,133369
30/03/2016,4.06,4.16,4.04,4.14,145700
31/03/2016,4.2,4.42,4.2,4.32,111646
01/04/2016,4.32,4.4,4.32,4.35,125057
04/04/2016,4.4,4.4,4.36,4.4,45907
05/04/2016,4.39,4.4,4.38,4.38,18178
06/04/2016,4.38,4.38,4.3,4.34,26717
07/04/2016,4.27,4.27,4.15,4.15,7502
08/04/2016,4.1,4.1,3.95,4,192082
11/04/2016,3.95,3.95,3.95,3.95,15937
12/04/2016,3.95,3.95,3.8,3.8,16627
13/04/2016,3.85,3.85,3.75,3.85,12298
14/04/2016,3.75,3.9,3.75,3.9,17657
15/04/2016,3.9,3.9,3.9,3.9,129
18/04/2016,3.9,3.9,3.75,3.75,6122
19/04/2016,3.75,3.75,3.75,3.75,18952
20/04/2016,3.76,3.76,3.76,3.76,7500
21/04/2016,3.805,3.83,3.8,3.83,62693
22/04/2016,3.81,3.85,3.8,3.85,35540
26/04/2016,3.85,3.85,3.8,3.8,21322
27/04/2016,3.8,3.8,3.8,3.8,17340
28/04/2016,3.84,3.84,3.79,3.79,3450
29/04/2016,3.8,3.85,3.8,3.85,7793
02/05/2016,3.84,3.85,3.84,3.85,6000
03/05/2016,3.8,3.8,3.8,3.8,29078
04/05/2016,3.8,3.85,3.8,3.82,6885
05/05/2016,3.85,3.86,3.82,3.86,8770
06/05/2016,3.86,3.86,3.86,3.86,0
09/05/2016,3.86,3.86,3.86,3.86,6197
10/05/2016,3.95,3.95,3.95,3.95,7250
11/05/2016,3.9,3.9,3.9,3.9,500
12/05/2016,3.9,3.9,3.9,3.9,0
13/05/2016,3.95,3.95,3.9,3.9,10143
16/05/2016,3.95,3.95,3.92,3.95,7018
17/05/2016,3.98,4.08,3.98,4.08,9993
18/05/2016,4.06,4.06,4.05,4.05,1397
19/05/2016,4.05,4.05,4.05,4.05,0
20/05/2016,4.05,4.05,4.05,4.05,1838
23/05/2016,4.1,4.18,4.05,4.18,11093
24/05/2016,4.1,4.1,4.05,4.1,3530
25/05/2016,4.1,4.1,4,4,10166
26/05/2016,4.02,4.2,4.02,4.14,6212
27/05/2016,4.1,4.13,4.1,4.13,32569
30/05/2016,4.1,4.15,4.1,4.15,56866
31/05/2016,4.15,4.15,4.15,4.15,75000
01/06/2016,4.15,4.4,4.15,4.4,22910
02/06/2016,4.44,4.44,4.35,4.35,8700
03/06/2016,4.35,4.35,4.3,4.35,5251
06/06/2016,4.35,4.45,4.3,4.3,36472
07/06/2016,4.31,4.45,4.31,4.4,16248
08/06/2016,4.4,4.4,4.4,4.4,124506
09/06/2016,4.43,4.43,4.4,4.42,82010
10/06/2016,4.47,4.47,4.4,4.4,20000
14/06/2016,4.47,4.47,4.4,4.41,8740
15/06/2016,4.43,4.44,4.39,4.4,83799
16/06/2016,4.4,4.6,4.4,4.6,8500
17/06/2016,4.4,4.46,4.4,4.44,87828
20/06/2016,4.44,4.44,4.44,4.44,7215
21/06/2016,4.44,4.5,4.4,4.5,41839
22/06/2016,4.5,4.5,4.45,4.5,10947
23/06/2016,4.59,4.59,4.59,4.59,1000
24/06/2016,4.6,4.6,4.45,4.45,45666
27/06/2016,4.52,4.52,4.52,4.52,6510
28/06/2016,4.52,4.52,4.52,4.52,2000
29/06/2016,4.5,4.5,4.5,4.5,22111
30/06/2016,4.5,4.5,4.5,4.5,5341
01/07/2016,4.5,4.5,4.5,4.5,800
04/07/2016,4.5,4.5,4.5,4.5,4413
05/07/2016,4.6,4.6,4.55,4.55,13514
06/07/2016,4.6,4.6,4.55,4.55,2462
07/07/2016,4.55,4.55,4.5,4.5,899
08/07/2016,4.55,4.55,4.5,4.5,40103
11/07/2016,4.46,4.46,4.42,4.42,18282
12/07/2016,4.42,4.42,4.38,4.38,6775
13/07/2016,4.37,4.37,4.3,4.3,32426
14/07/2016,4.3,4.3,4.3,4.3,0
15/07/2016,4.2,4.3,4.2,4.3,15600
18/07/2016,4.3,4.3,4.3,4.3,2437
19/07/2016,4.1,4.19,4.1,4.175,9679
20/07/2016,4.2,4.29,4.16,4.18,17665
21/07/2016,4.25,4.25,4.25,4.25,4000
22/07/2016,4.3,4.3,4.2,4.2,98591
25/07/2016,4.25,4.3,4.25,4.3,30205
26/07/2016,4.27,4.3,4.27,4.3,90533
27/07/2016,4.3,4.3,4.3,4.3,5587
28/07/2016,4.3,4.3,4.3,4.3,0
29/07/2016,4.31,4.35,4.31,4.35,501420
01/08/2016,4.41,4.45,4.41,4.45,21000
02/08/2016,4.7,4.85,4.7,4.85,8193
03/08/2016,5,5,4.75,4.75,20337
04/08/2016,4.76,4.76,4.76,4.76,9
05/08/2016,4.85,4.85,4.85,4.85,3413
08/08/2016,4.95,4.96,4.9,4.96,7268
09/08/2016,5,5,4.99,5,27375
10/08/2016,5,5.07,5,5.05,9949
11/08/2016,5,5,4.9,5,157361
12/08/2016,4.95,5.1,4.95,5.1,103790
15/08/2016,5.1,5.1,5.1,5.1,1000
16/08/2016,5.1,5.1,5.1,5.1,0
17/08/2016,5.12,5.5,5.12,5.21,159296
18/08/2016,5.5,5.75,5.45,5.7,46889
19/08/2016,5.75,6.23,5.75,6.23,65228
22/08/2016,6.51,6.52,6,6,68943
23/08/2016,6.1,6.25,6.1,6.22,36326
24/08/2016,6.22,6.5,6.22,6.4,18823
25/08/2016,6.4,6.4,6.36,6.36,5526
26/08/2016,6.35,6.36,6.35,6.36,27232
29/08/2016,6.21,6.21,6.21,6.21,3250
30/08/2016,6.15,6.15,6.15,6.15,1000
31/08/2016,6.1,6.43,6.1,6.43,9088
01/09/2016,6.45,6.5,6.4,6.5,7439
02/09/2016,6.45,6.5,6.4,6.4,24481
05/09/2016,6.5,6.5,6.45,6.5,19385
06/09/2016,6.45,6.45,6.4,6.4,106
07/09/2016,6.5,6.5,6.39,6.4,59500
08/09/2016,6.45,6.5,6.45,6.5,29749
09/09/2016,6.5,6.5,6.45,6.45,50607
12/09/2016,6.49,6.49,6.4,6.49,6612
13/09/2016,6.49,6.5,6.49,6.49,37134
14/09/2016,6.5,6.5,6.45,6.49,17217
15/09/2016,6.5,6.5,6.45,6.45,25587
16/09/2016,6.48,6.48,6.4,6.41,15078
19/09/2016,6.55,6.55,6.55,6.55,2000
20/09/2016,6.49,6.49,6.4,6.49,1870
21/09/2016,6.4,6.4,6.35,6.35,8360
22/09/2016,6.18,6.18,6,6.04,18869
23/09/2016,6.3,6.3,6.3,6.3,555
26/09/2016,6.3,6.3,6.2,6.2,2219
27/09/2016,6.3,6.3,6.2,6.3,19841
28/09/2016,6.3,6.33,6.3,6.33,76787
29/09/2016,6.33,6.48,6.33,6.34,3937
30/09/2016,6.35,6.35,6.33,6.33,51000
03/10/2016,6.33,6.49,6.33,6.49,2800
04/10/2016,6.49,6.65,6.49,6.65,11502
