Date,Open,High,Low,Close,Volume
02/07/2001,0.225,0.24,0.225,0.24,5000
03/07/2001,0.205,0.205,0.205,0.205,3000
04/07/2001,0.235,0.25,0.235,0.25,27000
05/07/2001,0.235,0.235,0.235,0.235,1000
06/07/2001,0.235,0.235,0.2,0.2,68535
09/07/2001,0.205,0.205,0.185,0.185,51500
10/07/2001,0.19,0.2,0.185,0.185,42000
11/07/2001,0.185,0.185,0.185,0.185,0
12/07/2001,0.2,0.2,0.2,0.2,1000
13/07/2001,0.2,0.2,0.2,0.2,102000
16/07/2001,0.23,0.235,0.2,0.2,104385
17/07/2001,0.2,0.2,0.2,0.2,0
18/07/2001,0.2,0.2,0.2,0.2,0
19/07/2001,0.21,0.21,0.2,0.2,21000
20/07/2001,0.2,0.2,0.2,0.2,0
23/07/2001,0.2,0.2,0.2,0.2,21000
24/07/2001,0.2,0.2,0.2,0.2,0
25/07/2001,0.21,0.21,0.2,0.2,26400
26/07/2001,0.2,0.2,0.2,0.2,0
27/07/2001,0.205,0.205,0.195,0.195,50000
30/07/2001,0.195,0.195,0.195,0.195,0
31/07/2001,0.195,0.195,0.195,0.195,11715
01/08/2001,0.195,0.195,0.195,0.195,0
02/08/2001,0.19,0.19,0.19,0.19,3138
03/08/2001,0.19,0.195,0.19,0.195,4400
06/08/2001,0.19,0.19,0.15,0.15,53162
07/08/2001,0.14,0.14,0.14,0.14,23000
08/08/2001,0.195,0.195,0.195,0.195,51700
09/08/2001,0.18,0.185,0.18,0.18,57800
10/08/2001,0.18,0.2,0.18,0.2,36000
13/08/2001,0.195,0.21,0.19,0.21,60580
14/08/2001,0.21,0.22,0.21,0.22,28776
15/08/2001,0.22,0.225,0.22,0.225,13000
16/08/2001,0.22,0.225,0.22,0.225,43550
17/08/2001,0.23,0.23,0.23,0.23,22100
20/08/2001,0.21,0.21,0.18,0.18,40000
21/08/2001,0.195,0.23,0.195,0.23,80082
22/08/2001,0.23,0.26,0.23,0.26,38551
23/08/2001,0.2,0.22,0.2,0.22,4500
24/08/2001,0.22,0.245,0.22,0.235,29000
27/08/2001,0.235,0.235,0.235,0.235,0
28/08/2001,0.225,0.275,0.225,0.275,103376
29/08/2001,0.28,0.3,0.275,0.285,134281
30/08/2001,0.265,0.285,0.25,0.285,61000
31/08/2001,0.265,0.285,0.25,0.285,62500
03/09/2001,0.285,0.285,0.285,0.285,40000
04/09/2001,0.26,0.28,0.26,0.28,20000
05/09/2001,0.26,0.275,0.235,0.26,37000
06/09/2001,0.24,0.24,0.23,0.235,83977
07/09/2001,0.225,0.225,0.19,0.225,133700
10/09/2001,0.225,0.225,0.225,0.225,35000
11/09/2001,0.225,0.24,0.22,0.22,200647
12/09/2001,0.22,0.22,0.21,0.21,14466
13/09/2001,0.21,0.21,0.21,0.21,3358
14/09/2001,0.21,0.21,0.21,0.21,10000
