Date,Open,High,Low,Close,Volume
08/10/2020,0.2,0.2,0.15,0.2,534608
09/10/2020,0.195,0.2,0.19,0.195,316903
12/10/2020,0.2,0.2,0.18,0.18,168500
13/10/2020,0.18,0.18,0.18,0.18,0
14/10/2020,0.18,0.18,0.18,0.18,0
15/10/2020,0.18,0.18,0.18,0.18,0
16/10/2020,0.18,0.18,0.18,0.18,0
19/10/2020,0.18,0.18,0.18,0.18,0
20/10/2020,0.18,0.18,0.16,0.16,359255
21/10/2020,0.17,0.17,0.16,0.16,450000
22/10/2020,0.16,0.16,0.16,0.16,2000
23/10/2020,0.16,0.16,0.15,0.15,112584
26/10/2020,0.155,0.16,0.15,0.15,93315
27/10/2020,0.15,0.15,0.13,0.13,242855
28/10/2020,0.13,0.13,0.098,0.11,1269782
29/10/2020,0.11,0.125,0.105,0.125,246120
30/10/2020,0.125,0.125,0.11,0.12,156667
02/11/2020,0.125,0.15,0.125,0.14,424163
03/11/2020,0.15,0.16,0.15,0.155,261634
04/11/2020,0.155,0.16,0.145,0.16,258447
05/11/2020,0.16,0.16,0.16,0.16,10968
06/11/2020,0.16,0.16,0.16,0.16,0
09/11/2020,0.145,0.145,0.145,0.145,175194
10/11/2020,0.145,0.145,0.145,0.145,0
11/11/2020,0.145,0.145,0.145,0.145,0
12/11/2020,0.155,0.155,0.155,0.155,32258
13/11/2020,0.15,0.15,0.15,0.15,10000
16/11/2020,0.15,0.15,0.15,0.15,0
17/11/2020,0.17,0.17,0.165,0.165,185944
18/11/2020,0.165,0.17,0.16,0.16,182220
19/11/2020,0.17,0.17,0.165,0.165,77748
20/11/2020,0.16,0.16,0.155,0.155,47118
23/11/2020,0.15,0.155,0.15,0.155,26713
24/11/2020,0.15,0.15,0.15,0.15,63000
25/11/2020,0.155,0.155,0.155,0.155,35076
26/11/2020,0.155,0.155,0.155,0.155,0
27/11/2020,0.16,0.16,0.16,0.16,28855
30/11/2020,0.155,0.16,0.14,0.15,557263
01/12/2020,0.14,0.14,0.14,0.14,46555
02/12/2020,0.1425,0.1425,0.14,0.14,7634
03/12/2020,0.15,0.15,0.135,0.135,138000
04/12/2020,0.125,0.135,0.125,0.13,138060
07/12/2020,0.135,0.14,0.13,0.13,366073
08/12/2020,0.13,0.135,0.13,0.135,225573
09/12/2020,0.135,0.135,0.13,0.13,155000
10/12/2020,0.13,0.13,0.13,0.13,0
11/12/2020,0.13,0.13,0.13,0.13,3230
14/12/2020,0.135,0.14,0.135,0.14,59837
15/12/2020,0.135,0.135,0.13,0.13,15000
16/12/2020,0.13,0.13,0.13,0.13,126566
17/12/2020,0.13,0.13,0.13,0.13,0
18/12/2020,0.13,0.13,0.13,0.13,10000
21/12/2020,0.13,0.135,0.13,0.135,19964
22/12/2020,0.14,0.14,0.125,0.125,210036
23/12/2020,0.125,0.125,0.125,0.125,0
24/12/2020,0.125,0.125,0.125,0.125,0
29/12/2020,0.125,0.125,0.125,0.125,32258
30/12/2020,0.125,0.125,0.125,0.125,0
31/12/2020,0.135,0.135,0.135,0.135,70593
04/01/2021,0.135,0.135,0.135,0.135,4000
05/01/2021,0.135,0.135,0.135,0.135,0
06/01/2021,0.135,0.14,0.135,0.14,200000
07/01/2021,0.14,0.14,0.14,0.14,250000
08/01/2021,0.135,0.135,0.135,0.135,61855
11/01/2021,0.1375,0.14,0.1375,0.14,41199
12/01/2021,0.14,0.14,0.14,0.14,0
13/01/2021,0.13,0.13,0.13,0.13,60162
14/01/2021,0.13,0.13,0.13,0.13,0
15/01/2021,0.135,0.145,0.135,0.145,143966
18/01/2021,0.15,0.165,0.15,0.165,683426
19/01/2021,0.165,0.205,0.16,0.175,1653143
20/01/2021,0.18,0.24,0.17,0.235,6916520
21/01/2021,0.245,0.245,0.195,0.22,2263113
22/01/2021,0.22,0.22,0.19,0.195,600752
25/01/2021,0.2,0.2,0.18,0.19,442840
27/01/2021,0.18,0.19,0.175,0.18,344884
28/01/2021,0.18,0.18,0.165,0.17,437932
29/01/2021,0.17,0.17,0.16,0.16,451496
01/02/2021,0.16,0.16,0.145,0.16,582275
02/02/2021,0.15,0.15,0.15,0.15,227317
03/02/2021,0.15,0.17,0.15,0.17,516075
04/02/2021,0.165,0.17,0.16,0.165,163072
05/02/2021,0.17,0.19,0.17,0.19,546017
08/02/2021,0.19,0.19,0.175,0.175,94055
09/02/2021,0.18,0.18,0.165,0.165,65337
10/02/2021,0.17,0.185,0.15,0.17,508887
11/02/2021,0.18,0.18,0.18,0.18,20000
12/02/2021,0.175,0.185,0.17,0.185,96504
15/02/2021,0.185,0.185,0.17,0.17,100410
16/02/2021,0.175,0.18,0.175,0.175,401633
17/02/2021,0.17,0.17,0.15,0.16,797905
18/02/2021,0.155,0.17,0.15,0.16,226902
19/02/2021,0.16,0.165,0.155,0.165,68895
22/02/2021,0.165,0.17,0.16,0.16,47518
23/02/2021,0.16,0.16,0.16,0.16,156547
24/02/2021,0.17,0.18,0.16,0.175,444010
25/02/2021,0.17,0.17,0.15,0.16,168012
26/02/2021,0.17,0.17,0.17,0.17,16186
01/03/2021,0.16,0.165,0.16,0.16,125135
02/03/2021,0.165,0.165,0.16,0.16,9706
03/03/2021,0.165,0.165,0.16,0.16,9250
04/03/2021,0.155,0.155,0.15,0.15,63960
05/03/2021,0.15,0.15,0.14,0.15,85144
