Date,Open,High,Low,Close,Volume
14/05/2019,1.11,1.11,1.105,1.11,3502324
15/05/2019,1.11,1.115,1.105,1.11,1933008
16/05/2019,1.11,1.115,1.11,1.11,1502556
17/05/2019,1.11,1.12,1.11,1.12,1059980
20/05/2019,1.12,1.12,1.115,1.115,668087
21/05/2019,1.115,1.12,1.115,1.12,392915
22/05/2019,1.115,1.12,1.11,1.11,1170567
23/05/2019,1.11,1.115,1.11,1.11,791424
24/05/2019,1.115,1.12,1.11,1.12,460065
27/05/2019,1.115,1.115,1.11,1.115,390650
28/05/2019,1.115,1.12,1.11,1.12,295995
29/05/2019,1.115,1.12,1.11,1.115,1146286
30/05/2019,1.11,1.115,1.11,1.11,1214793
31/05/2019,1.115,1.115,1.11,1.11,422623
03/06/2019,1.115,1.115,1.11,1.115,533991
04/06/2019,1.115,1.12,1.105,1.11,2040911
05/06/2019,1.11,1.115,1.105,1.115,1088802
06/06/2019,1.11,1.12,1.11,1.11,575098
07/06/2019,1.115,1.12,1.11,1.115,204576
11/06/2019,1.115,1.12,1.11,1.115,838328
12/06/2019,1.115,1.12,1.112,1.115,768644
13/06/2019,1.115,1.12,1.11,1.12,824131
14/06/2019,1.115,1.12,1.115,1.12,513484
17/06/2019,1.115,1.12,1.11,1.115,379149
18/06/2019,1.115,1.12,1.11,1.12,604044
19/06/2019,1.12,1.12,1.11,1.115,1088885
20/06/2019,1.115,1.115,1.11,1.115,613360
21/06/2019,1.11,1.12,1.11,1.12,690738
24/06/2019,1.12,1.125,1.11,1.125,570259
25/06/2019,1.12,1.135,1.115,1.13,715613
26/06/2019,1.13,1.135,1.12,1.125,537877
27/06/2019,1.115,1.12,1.11,1.12,651316
28/06/2019,1.115,1.125,1.115,1.12,767525
01/07/2019,1.12,1.12,1.115,1.12,436679
02/07/2019,1.115,1.12,1.115,1.12,390510
03/07/2019,1.12,1.125,1.12,1.125,495469
04/07/2019,1.12,1.13,1.115,1.115,847510
05/07/2019,1.12,1.13,1.12,1.125,502310
08/07/2019,1.13,1.13,1.125,1.13,254075
09/07/2019,1.13,1.135,1.125,1.135,755744
10/07/2019,1.135,1.15,1.13,1.145,659047
11/07/2019,1.145,1.155,1.14,1.15,704368
12/07/2019,1.15,1.155,1.14,1.15,356349
15/07/2019,1.145,1.155,1.145,1.155,354340
16/07/2019,1.15,1.15,1.142,1.145,486906
17/07/2019,1.15,1.15,1.145,1.145,573274
