Date,Open,High,Low,Close,Volume
14/05/2010,25.78,25.83,25.28,25.32,404260
17/05/2010,25,25.06,24.75,24.75,2146
18/05/2010,24.7,24.7,24.5,24.64,3156
19/05/2010,24.33,24.33,24.33,24.33,3021
20/05/2010,24.23,24.23,23.94,23.94,1587
21/05/2010,22.9,23.83,22.9,23.83,2454
24/05/2010,23.9,24.22,23.81,24.22,1208
25/05/2010,24,24,23.4,23.4,10340
26/05/2010,24.11,24.11,23.83,23.94,204
27/05/2010,23.8,24.07,23.74,24.07,847
28/05/2010,24.31,24.53,24.31,24.53,425
31/05/2010,24.53,24.53,24.37,24.47,7427
01/06/2010,24.46,24.46,24.16,24.16,962
02/06/2010,24.32,24.32,24.2,24.2,22
03/06/2010,24.66,24.72,24.54,24.71,94772
04/06/2010,25.5,25.5,24.34,24.34,4900
07/06/2010,23.72,23.93,23.72,23.89,5028
08/06/2010,23.95,24.19,23.95,24.13,3457
09/06/2010,24.75,24.75,24,24,12509
10/06/2010,24.34,24.39,24.34,24.36,1280
11/06/2010,25,25,24.65,24.65,7796
15/06/2010,24.76,24.82,24.71,24.71,7996
16/06/2010,25.02,25.04,25,25,2430
17/06/2010,24.91,24.91,24.75,24.75,2125
18/06/2010,24.92,25,24.92,25,10
21/06/2010,25.35,25.35,25.17,25.3,638
22/06/2010,25.16,25.19,25,25,2684
23/06/2010,24.76,24.76,24.66,24.66,3994
24/06/2010,24.63,24.64,24.39,24.39,11450
25/06/2010,24.25,24.25,24.21,24.25,25820
28/06/2010,24.3,24.3,23.97,24,4440
29/06/2010,24.15,24.18,24,24,6566
30/06/2010,23.39,23.62,23.36,23.62,1198
01/07/2010,23.17,23.43,23.17,23.37,6084
02/07/2010,23.55,23.55,23.28,23.28,400
05/07/2010,23.49,23.49,23.31,23.31,1334
06/07/2010,23.46,23.59,23.46,23.59,393
07/07/2010,23.61,23.61,23.43,23.52,10375
08/07/2010,23.76,23.93,23.76,23.93,7553
09/07/2010,24.11,24.16,24.08,24.16,1100
12/07/2010,24.13,24.19,24.11,24.11,3735
13/07/2010,24.16,24.16,24.1,24.1,2330
14/07/2010,24.45,24.47,24.44,24.47,400
15/07/2010,24.47,24.47,24.47,24.47,0
16/07/2010,24.34,24.34,24.3,24.34,6510
19/07/2010,23.95,23.98,23.95,23.98,2090
20/07/2010,23.98,23.98,23.98,23.98,0
21/07/2010,24.29,24.29,24.13,24.25,7271
22/07/2010,24.05,24.07,24.05,24.07,615
23/07/2010,24.43,24.43,24.3,24.3,2749
26/07/2010,24.52,24.52,24.52,24.52,200
27/07/2010,24.71,24.72,24.61,24.66,21200
28/07/2010,24.7,24.7,24.7,24.7,620
29/07/2010,24.7,24.7,24.7,24.7,0
30/07/2010,24.7,24.7,24.7,24.7,1300
02/08/2010,24.85,24.85,24.83,24.83,8606
03/08/2010,24.95,24.95,24.9,24.91,1921
04/08/2010,24.87,24.87,24.82,24.82,1850
05/08/2010,24.89,24.89,24.84,24.84,3610
06/08/2010,24.77,24.82,24.77,24.82,500
09/08/2010,24.88,24.92,24.79,24.92,2646
10/08/2010,24.85,24.85,24.78,24.78,4756
11/08/2010,24.5,24.5,24.45,24.45,930
12/08/2010,24,24.04,24,24.04,1500
13/08/2010,24.23,24.23,24.23,24.23,825
16/08/2010,24,24.25,24,24.25,37435
17/08/2010,24.2,24.46,24.2,24.46,1870
18/08/2010,24.46,24.46,24.46,24.46,0
19/08/2010,24.43,24.43,24.38,24.38,819
20/08/2010,24.44,24.44,24.16,24.16,3068
23/08/2010,24.13,24.13,24.13,24.13,4200
24/08/2010,24.2,24.2,24.05,24.12,11948
25/08/2010,23.85,23.85,23.85,23.85,600
26/08/2010,23.83,23.94,23.81,23.94,23301
27/08/2010,23.83,23.83,23.82,23.82,983
30/08/2010,24,24.53,24,24.53,1980
31/08/2010,24.35,24.35,24.32,24.34,9164
01/09/2010,24.6,24.76,24.6,24.71,11208
02/09/2010,25.07,25.07,24.82,24.82,2280
03/09/2010,24.95,24.95,24.95,24.95,400
06/09/2010,25.09,25.19,25.09,25.19,9780
07/09/2010,25.28,25.28,25.27,25.27,2180
08/09/2010,25.15,25.15,25.15,25.15,5970
09/09/2010,25.39,25.42,25.39,25.42,449138
10/09/2010,25.49,25.52,25.41,25.44,3560
13/09/2010,25.6,25.6,25.6,25.6,21050
14/09/2010,25.7,25.73,25.6,25.6,24554
15/09/2010,25.74,25.86,25.74,25.86,40367
16/09/2010,25.82,25.82,25.51,25.51,26395
17/09/2010,25.53,25.76,25.53,25.76,22740
20/09/2010,25.5,25.62,25.5,25.62,7906
21/09/2010,25.8,25.88,25.61,25.61,16533
22/09/2010,25.61,25.73,25.6,25.68,30641
23/09/2010,25.56,25.64,25.56,25.64,15780
24/09/2010,25.6,25.6,25.49,25.55,1402097
27/09/2010,25.88,25.89,25.86,25.86,7970
28/09/2010,25.88,25.95,25.88,25.93,5320
29/09/2010,26,26.01,25.74,25.74,1003413
30/09/2010,25.49,25.58,25.17,25.25,98982
01/10/2010,25.25,25.25,24.87,24.87,16590
04/10/2010,25.28,25.29,25.14,25.14,7573
05/10/2010,25.03,25.21,24.99,25.21,18088
06/10/2010,25.43,25.53,25.43,25.53,1556
07/10/2010,25.54,25.54,25.54,25.54,5700
08/10/2010,25.47,25.49,25.44,25.49,5284
11/10/2010,25.52,25.53,25.44,25.45,412934
