Date,Open,High,Low,Close,Volume
02/07/2001,10.15,10.2,9.96,9.96,806675
03/07/2001,10.001,10.1,9.96,10.017,1048653
04/07/2001,10.213,10.27,10.01,10.15,593189
05/07/2001,10.195,10.2,10.07,10.097,582792
06/07/2001,10.12,10.35,10.06,10.35,924064
09/07/2001,10.2,10.25,10.01,10.19,783991
10/07/2001,10.171,10.171,10.05,10.05,727773
11/07/2001,9.97,10.05,9.92,10.05,1618520
12/07/2001,10.06,10.22,10.06,10.2,1265358
13/07/2001,10.25,10.35,10.2,10.24,897468
16/07/2001,10.25,10.3,10.23,10.29,440169
17/07/2001,10.3,10.4,10.285,10.285,857954
18/07/2001,10.35,10.49,10.35,10.39,478503
19/07/2001,10.4,10.42,10.37,10.4,902281
20/07/2001,10.442,10.5,10.42,10.42,687282
23/07/2001,10.481,10.5,10.45,10.48,247677
24/07/2001,10.45,10.47,10.38,10.4,421934
25/07/2001,10.2,10.24,10.1,10.21,1182854
26/07/2001,10.134,10.134,9.95,9.97,957701
27/07/2001,10.118,10.63,10.118,10.62,870841
30/07/2001,10.6,10.67,10.55,10.55,319801
31/07/2001,10.539,10.55,10.32,10.42,521702
01/08/2001,10.5,10.75,10.5,10.59,884923
02/08/2001,10.6,10.71,10.56,10.65,1440369
03/08/2001,10.687,10.75,10.6,10.68,461353
06/08/2001,10.5,10.5,10.32,10.34,1645616
07/08/2001,10.411,10.5,10.38,10.39,583825
08/08/2001,10.39,10.65,10.39,10.57,1369698
09/08/2001,10.841,10.99,10.71,10.9,1606218
10/08/2001,10.799,10.8,10.5,10.6,1130654
13/08/2001,10.78,10.88,10.75,10.8,548106
14/08/2001,10.9,10.9,10.69,10.8,599519
15/08/2001,10.98,11,10.9,10.957,2165878
16/08/2001,10.9,10.9,10.55,10.657,452253
17/08/2001,10.65,10.69,10.57,10.64,243729
20/08/2001,10.6,10.6,10.46,10.5,550829
21/08/2001,10.565,10.7,10.565,10.67,383334
22/08/2001,10.7,10.8,10.69,10.7,1112158
23/08/2001,10.756,10.8,10.7,10.75,150442
24/08/2001,10.8,10.8,10.75,10.77,536573
27/08/2001,10.795,10.95,10.79,10.9,967235
28/08/2001,11.45,11.72,11.35,11.6,2222545
29/08/2001,11.32,11.32,11.03,11.03,1759863
30/08/2001,10.98,10.98,10.7,10.789,762872
31/08/2001,10.29,10.49,10.2,10.438,1621350
03/09/2001,10.412,10.42,10.26,10.34,646259
04/09/2001,10.392,10.55,10.38,10.55,220051
05/09/2001,10.5,10.65,10.4,10.529,694282
06/09/2001,10.49,10.78,10.45,10.53,1256331
07/09/2001,10.45,10.45,10.35,10.42,576598
10/09/2001,10.233,10.26,10.1,10.2,881170
11/09/2001,10.2,10.31,10.05,10.08,757387
12/09/2001,9.009,9.95,9.009,9.907,915376
13/09/2001,10.009,10.2,9.75,9.75,1146744
14/09/2001,9.859,10,9.71,9.79,1827130
17/09/2001,9.457,9.457,9.15,9.3,887412
18/09/2001,9.809,9.9,9.45,9.471,1268101
19/09/2001,9.46,9.52,9.27,9.52,811107
20/09/2001,9.401,9.401,9.15,9.3,1237662
21/09/2001,9.07,9.6,9.05,9.595,532353
24/09/2001,9.531,9.56,9.43,9.467,1036967
25/09/2001,9.55,9.65,9.5,9.585,1337051
26/09/2001,9.88,10.1,9.88,10.1,915979
27/09/2001,10.2,10.4,10.1,10.3,1035234
28/09/2001,10.62,10.76,10.5,10.63,623449
01/10/2001,10.5,10.71,10.49,10.71,229334
02/10/2001,10.4,10.41,10.3,10.36,632027
03/10/2001,10.53,10.55,10.31,10.52,817215
04/10/2001,10.6,10.63,10.51,10.6,353104
05/10/2001,10.581,10.581,10.45,10.49,378575
08/10/2001,10.25,10.25,10.06,10.133,651208
09/10/2001,10.1,10.22,10.06,10.12,683708
10/10/2001,10.165,10.32,10.14,10.234,966682
11/10/2001,10.349,10.56,10.349,10.5,671156
12/10/2001,10.776,10.78,10.64,10.78,311712
15/10/2001,10.7,10.7,10.55,10.55,480855
16/10/2001,10.61,10.64,10.42,10.45,296087
17/10/2001,10.502,10.75,10.502,10.71,516122
18/10/2001,10.3,10.5,10.2,10.39,1264416
19/10/2001,10.37,10.5,10.26,10.34,921387
22/10/2001,10.509,10.87,10.509,10.75,396106
23/10/2001,11.064,11.22,11.03,11.088,570300
24/10/2001,11.2,11.44,11.11,11.3,480633
25/10/2001,11.35,11.47,11.33,11.431,357842
26/10/2001,11.44,11.65,11.4,11.4,455316
29/10/2001,11.406,11.75,11.406,11.75,160027
30/10/2001,11.374,11.4,11.2,11.392,1079623
31/10/2001,11.75,11.82,11.47,11.701,1304057
01/11/2001,11.25,11.25,11.01,11.16,2988529
02/11/2001,11.2,11.36,11.18,11.293,1936883
05/11/2001,11.29,11.29,11.1,11.14,409154
06/11/2001,11.258,11.4,11.258,11.37,807461
07/11/2001,11.4,11.6,11.4,11.539,702825
08/11/2001,11.541,11.541,11.41,11.42,1675927
09/11/2001,11.39,11.39,11.26,11.3,624075
12/11/2001,11.3,11.3,11.1,11.149,266957
