Date,Open,High,Low,Close,Volume
21/09/2007,0.16,0.16,0.12,0.135,397500
24/09/2007,0.15,0.15,0.13,0.135,304000
25/09/2007,0.13,0.13,0.13,0.13,85000
26/09/2007,0.13,0.13,0.115,0.115,439100
27/09/2007,0.115,0.13,0.105,0.13,295466
28/09/2007,0.13,0.13,0.125,0.125,227586
01/10/2007,0.125,0.13,0.125,0.13,21750
02/10/2007,0.125,0.125,0.11,0.11,22500
03/10/2007,0.11,0.11,0.105,0.105,100000
04/10/2007,0.11,0.11,0.105,0.105,35000
05/10/2007,0.11,0.12,0.105,0.12,578668
08/10/2007,0.12,0.12,0.12,0.12,0
09/10/2007,0.11,0.11,0.105,0.105,143334
10/10/2007,0.11,0.11,0.1,0.1,258266
11/10/2007,0.105,0.12,0.105,0.12,488402
12/10/2007,0.11,0.11,0.11,0.11,30000
15/10/2007,0.11,0.11,0.105,0.105,68000
16/10/2007,0.115,0.12,0.115,0.12,100000
17/10/2007,0.11,0.11,0.11,0.11,10000
18/10/2007,0.115,0.115,0.11,0.11,134159
19/10/2007,0.11,0.11,0.11,0.11,10500
22/10/2007,0.11,0.12,0.11,0.11,259500
23/10/2007,0.115,0.12,0.115,0.115,127008
24/10/2007,0.115,0.115,0.11,0.11,121172
25/10/2007,0.11,0.12,0.105,0.12,441820
26/10/2007,0.12,0.12,0.12,0.12,0
29/10/2007,0.105,0.12,0.1,0.12,469868
30/10/2007,0.105,0.105,0.105,0.105,50000
31/10/2007,0.105,0.105,0.1,0.1,253500
01/11/2007,0.1,0.1,0.1,0.1,50000
02/11/2007,0.1,0.1,0.1,0.1,0
05/11/2007,0.1,0.1,0.1,0.1,32670
06/11/2007,0.1,0.1,0.1,0.1,47330
07/11/2007,0.1,0.1,0.1,0.1,40020
08/11/2007,0.1,0.1,0.1,0.1,20000
09/11/2007,0.1,0.1,0.1,0.1,0
12/11/2007,0.086,0.1,0.086,0.1,90000
13/11/2007,0.086,0.086,0.086,0.086,5000
14/11/2007,0.09,0.095,0.09,0.095,35665
15/11/2007,0.095,0.095,0.095,0.095,0
16/11/2007,0.095,0.095,0.095,0.095,0
19/11/2007,0.09,0.09,0.08,0.085,290000
20/11/2007,0.09,0.09,0.09,0.09,7666
21/11/2007,0.083,0.083,0.083,0.083,30000
22/11/2007,0.085,0.095,0.085,0.095,150000
23/11/2007,0.095,0.095,0.095,0.095,0
26/11/2007,0.095,0.095,0.095,0.095,0
27/11/2007,0.09,0.09,0.09,0.09,50000
28/11/2007,0.09,0.09,0.09,0.09,5000
29/11/2007,0.09,0.09,0.09,0.09,0
30/11/2007,0.09,0.1,0.09,0.1,160000
03/12/2007,0.09,0.09,0.09,0.09,80000
04/12/2007,0.09,0.09,0.09,0.09,125000
05/12/2007,0.09,0.09,0.09,0.09,0
06/12/2007,0.09,0.09,0.09,0.09,0
07/12/2007,0.09,0.09,0.09,0.09,0
10/12/2007,0.085,0.085,0.08,0.08,210132
11/12/2007,0.08,0.08,0.08,0.08,0
12/12/2007,0.08,0.08,0.08,0.08,0
13/12/2007,0.08,0.08,0.08,0.08,0
14/12/2007,0.075,0.075,0.075,0.075,45000
17/12/2007,0.075,0.075,0.075,0.075,0
18/12/2007,0.075,0.075,0.075,0.075,0
19/12/2007,0.075,0.075,0.075,0.075,0
20/12/2007,0.075,0.075,0.075,0.075,10000
21/12/2007,0.075,0.075,0.075,0.075,0
24/12/2007,0.075,0.075,0.075,0.075,0
27/12/2007,0.075,0.075,0.075,0.075,0
28/12/2007,0.067,0.08,0.067,0.08,270000
31/12/2007,0.071,0.071,0.071,0.071,4200
02/01/2008,0.071,0.071,0.071,0.071,0
03/01/2008,0.071,0.085,0.07,0.085,50000
04/01/2008,0.085,0.085,0.085,0.085,0
07/01/2008,0.085,0.085,0.085,0.085,0
08/01/2008,0.07,0.07,0.067,0.067,50000
09/01/2008,0.067,0.067,0.067,0.067,0
10/01/2008,0.067,0.067,0.067,0.067,0
11/01/2008,0.07,0.07,0.07,0.07,100000
14/01/2008,0.07,0.07,0.07,0.07,0
15/01/2008,0.07,0.07,0.07,0.07,0
16/01/2008,0.07,0.07,0.07,0.07,10000
17/01/2008,0.07,0.07,0.07,0.07,7200
18/01/2008,0.07,0.07,0.07,0.07,0
21/01/2008,0.068,0.068,0.067,0.067,68200
22/01/2008,0.055,0.055,0.03,0.03,61886
23/01/2008,0.07,0.07,0.07,0.07,2800
24/01/2008,0.081,0.081,0.07,0.07,21886
25/01/2008,0.07,0.07,0.07,0.07,0
29/01/2008,0.07,0.07,0.07,0.07,0
30/01/2008,0.075,0.075,0.075,0.075,25000
31/01/2008,0.085,0.085,0.085,0.085,20000
01/02/2008,0.085,0.085,0.085,0.085,0
04/02/2008,0.085,0.085,0.085,0.085,0
05/02/2008,0.07,0.07,0.06,0.06,105314
06/02/2008,0.06,0.06,0.06,0.06,0
07/02/2008,0.06,0.06,0.06,0.06,69686
08/02/2008,0.06,0.06,0.06,0.06,0
11/02/2008,0.06,0.06,0.06,0.06,0
12/02/2008,0.06,0.06,0.06,0.06,0
13/02/2008,0.06,0.06,0.06,0.06,0
14/02/2008,0.065,0.065,0.065,0.065,10000
15/02/2008,0.065,0.065,0.065,0.065,0
18/02/2008,0.075,0.08,0.075,0.08,225000
19/02/2008,0.08,0.08,0.08,0.08,5314
20/02/2008,0.084,0.084,0.084,0.084,40000
21/02/2008,0.084,0.084,0.084,0.084,0
22/02/2008,0.08,0.08,0.08,0.08,12500
25/02/2008,0.08,0.08,0.08,0.08,0
26/02/2008,0.08,0.08,0.08,0.08,0
27/02/2008,0.085,0.085,0.085,0.085,52000
28/02/2008,0.085,0.085,0.085,0.085,0
29/02/2008,0.085,0.085,0.085,0.085,0
03/03/2008,0.085,0.085,0.085,0.085,0
04/03/2008,0.085,0.085,0.085,0.085,0
05/03/2008,0.085,0.085,0.085,0.085,0
06/03/2008,0.085,0.085,0.085,0.085,0
07/03/2008,0.066,0.066,0.066,0.066,10000
10/03/2008,0.066,0.066,0.066,0.066,0
11/03/2008,0.066,0.066,0.066,0.066,0
12/03/2008,0.08,0.08,0.08,0.08,80000
13/03/2008,0.08,0.08,0.08,0.08,0
