Date,Open,High,Low,Close,Volume
02/07/2001,0.018,0.018,0.018,0.018,0
03/07/2001,0.018,0.018,0.017,0.017,113000
04/07/2001,0.017,0.017,0.017,0.017,0
05/07/2001,0.017,0.017,0.017,0.017,50000
06/07/2001,0.017,0.017,0.017,0.017,0
09/07/2001,0.017,0.017,0.017,0.017,0
10/07/2001,0.017,0.018,0.017,0.018,100000
11/07/2001,0.018,0.018,0.018,0.018,0
12/07/2001,0.018,0.018,0.018,0.018,0
13/07/2001,0.018,0.018,0.018,0.018,0
16/07/2001,0.024,0.024,0.024,0.024,122000
17/07/2001,0.024,0.024,0.024,0.024,0
18/07/2001,0.024,0.024,0.024,0.024,0
19/07/2001,0.024,0.024,0.024,0.024,0
20/07/2001,0.024,0.024,0.024,0.024,0
23/07/2001,0.024,0.024,0.024,0.024,3000
24/07/2001,0.021,0.021,0.021,0.021,2333
25/07/2001,0.021,0.021,0.021,0.021,0
26/07/2001,0.021,0.021,0.02,0.02,33333
27/07/2001,0.02,0.02,0.02,0.02,0
30/07/2001,0.02,0.02,0.02,0.02,0
31/07/2001,0.02,0.02,0.02,0.02,189334
01/08/2001,0.02,0.02,0.02,0.02,110666
02/08/2001,0.02,0.02,0.02,0.02,0
03/08/2001,0.024,0.024,0.024,0.024,46999
06/08/2001,0.024,0.024,0.022,0.022,76000
07/08/2001,0.022,0.022,0.022,0.022,0
08/08/2001,0.022,0.022,0.022,0.022,0
09/08/2001,0.022,0.022,0.022,0.022,0
10/08/2001,0.021,0.021,0.021,0.021,45000
13/08/2001,0.026,0.026,0.026,0.026,49000
14/08/2001,0.025,0.044,0.025,0.044,288999
15/08/2001,0.036,0.036,0.026,0.026,60000
16/08/2001,0.026,0.026,0.026,0.026,0
17/08/2001,0.03,0.03,0.03,0.03,150000
20/08/2001,0.03,0.03,0.03,0.03,0
21/08/2001,0.028,0.028,0.027,0.027,125000
22/08/2001,0.026,0.028,0.026,0.028,340267
23/08/2001,0.028,0.028,0.028,0.028,2719
24/08/2001,0.028,0.028,0.028,0.028,0
27/08/2001,0.028,0.028,0.028,0.028,0
28/08/2001,0.028,0.028,0.028,0.028,0
29/08/2001,0.03,0.03,0.03,0.03,32000
30/08/2001,0.028,0.03,0.026,0.026,67333
31/08/2001,0.026,0.026,0.026,0.026,0
03/09/2001,0.026,0.026,0.026,0.026,0
04/09/2001,0.026,0.026,0.026,0.026,10000
05/09/2001,0.03,0.03,0.03,0.03,211600
06/09/2001,0.035,0.035,0.035,0.035,100000
07/09/2001,0.03,0.03,0.03,0.03,150000
10/09/2001,0.03,0.03,0.03,0.03,100000
11/09/2001,0.03,0.03,0.022,0.022,46733
12/09/2001,0.023,0.023,0.023,0.023,40000
13/09/2001,0.023,0.023,0.023,0.023,0
14/09/2001,0.023,0.023,0.023,0.023,0
17/09/2001,0.023,0.023,0.023,0.023,0
18/09/2001,0.023,0.023,0.023,0.023,0
19/09/2001,0.023,0.023,0.023,0.023,0
20/09/2001,0.023,0.023,0.023,0.023,0
21/09/2001,0.026,0.026,0.026,0.026,200000
24/09/2001,0.025,0.025,0.022,0.022,292567
25/09/2001,0.022,0.022,0.022,0.022,0
26/09/2001,0.022,0.022,0.022,0.022,0
27/09/2001,0.022,0.022,0.022,0.022,0
28/09/2001,0.022,0.022,0.022,0.022,0
01/10/2001,0.022,0.022,0.022,0.022,0
02/10/2001,0.022,0.022,0.022,0.022,0
03/10/2001,0.022,0.022,0.022,0.022,0
04/10/2001,0.022,0.022,0.022,0.022,0
05/10/2001,0.022,0.022,0.022,0.022,0
08/10/2001,0.02,0.02,0.02,0.02,2215000
09/10/2001,0.02,0.02,0.02,0.02,0
10/10/2001,0.02,0.02,0.02,0.02,1100000
11/10/2001,0.02,0.02,0.02,0.02,0
12/10/2001,0.015,0.015,0.015,0.015,1000
15/10/2001,0.015,0.015,0.015,0.015,0
16/10/2001,0.015,0.015,0.015,0.015,0
17/10/2001,0.015,0.015,0.015,0.015,0
