Date,Open,High,Low,Close,Volume
02/07/2001,0.34,0.34,0.34,0.34,0
03/07/2001,0.34,0.34,0.34,0.34,0
04/07/2001,0.34,0.34,0.34,0.34,3000
05/07/2001,0.34,0.34,0.34,0.34,0
06/07/2001,0.34,0.37,0.34,0.37,50000
09/07/2001,0.29,0.29,0.29,0.29,19250
10/07/2001,0.37,0.37,0.37,0.37,1400
11/07/2001,0.37,0.37,0.37,0.37,0
12/07/2001,0.37,0.37,0.37,0.37,30000
13/07/2001,0.325,0.355,0.32,0.355,22350
16/07/2001,0.325,0.325,0.31,0.31,20000
17/07/2001,0.31,0.31,0.31,0.31,0
18/07/2001,0.32,0.32,0.3,0.3,30000
19/07/2001,0.345,0.345,0.345,0.345,3000
20/07/2001,0.345,0.35,0.345,0.35,25000
23/07/2001,0.35,0.35,0.35,0.35,0
24/07/2001,0.35,0.35,0.32,0.32,19000
25/07/2001,0.32,0.35,0.32,0.35,165000
26/07/2001,0.35,0.35,0.35,0.35,3000
27/07/2001,0.35,0.35,0.35,0.35,0
30/07/2001,0.35,0.35,0.35,0.35,0
31/07/2001,0.35,0.35,0.35,0.35,0
01/08/2001,0.35,0.35,0.35,0.35,0
02/08/2001,0.35,0.35,0.35,0.35,0
03/08/2001,0.33,0.33,0.33,0.33,15500
06/08/2001,0.35,0.36,0.35,0.36,35400
07/08/2001,0.36,0.36,0.36,0.36,5500
08/08/2001,0.36,0.36,0.36,0.36,0
09/08/2001,0.36,0.36,0.36,0.36,0
10/08/2001,0.36,0.36,0.36,0.36,0
13/08/2001,0.36,0.36,0.36,0.36,0
14/08/2001,0.37,0.375,0.37,0.375,33599
15/08/2001,0.38,0.38,0.38,0.38,20000
16/08/2001,0.38,0.38,0.365,0.365,37000
17/08/2001,0.365,0.365,0.365,0.365,0
20/08/2001,0.365,0.365,0.365,0.365,0
21/08/2001,0.365,0.365,0.365,0.365,0
22/08/2001,0.365,0.365,0.365,0.365,0
23/08/2001,0.365,0.365,0.365,0.365,0
24/08/2001,0.365,0.365,0.365,0.365,0
27/08/2001,0.365,0.365,0.365,0.365,0
28/08/2001,0.4,0.4,0.4,0.4,5000
29/08/2001,0.38,0.38,0.38,0.38,15000
30/08/2001,0.38,0.38,0.38,0.38,0
31/08/2001,0.38,0.38,0.38,0.38,0
03/09/2001,0.38,0.38,0.38,0.38,0
04/09/2001,0.38,0.38,0.38,0.38,0
05/09/2001,0.38,0.38,0.38,0.38,0
06/09/2001,0.38,0.38,0.38,0.38,0
07/09/2001,0.38,0.38,0.365,0.365,26350
