Date,Open,High,Low,Close,Volume
02/07/2001,7.888,8.03,7.85,8.03,441857
03/07/2001,7.99,8.03,7.98,8,198845
04/07/2001,8.019,8.019,7.85,7.994,483339
05/07/2001,7.971,8.05,7.9,8,238699
06/07/2001,7.98,8.05,7.86,8.02,567292
09/07/2001,8,8,7.88,7.89,516679
10/07/2001,7.88,7.9,7.75,7.9,216971
11/07/2001,7.873,7.873,7.65,7.7,344847
12/07/2001,7.75,7.85,7.68,7.82,396607
13/07/2001,7.803,8.03,7.803,8,909927
16/07/2001,7.971,8.03,7.94,8.006,341479
17/07/2001,8.05,8.19,8.05,8.19,179437
18/07/2001,8.191,8.23,8.17,8.2,151166
19/07/2001,8.217,8.25,8.2,8.22,165789
20/07/2001,8.22,8.23,8.14,8.15,289729
23/07/2001,8.15,8.2,8.1,8.112,101361
24/07/2001,8.08,8.22,8.08,8.16,188244
25/07/2001,8.1,8.16,8.07,8.15,747022
26/07/2001,8.1,8.2,8.1,8.2,372275
27/07/2001,8.2,8.2,8.15,8.16,371466
30/07/2001,8.201,8.201,8.15,8.15,176286
31/07/2001,8.16,8.2,8.15,8.16,607934
01/08/2001,8.2,8.23,8.18,8.23,272815
02/08/2001,8.25,8.28,8.22,8.25,260690
03/08/2001,8.25,8.304,8.25,8.304,332232
06/08/2001,8.3,8.301,8.29,8.301,234324
07/08/2001,8.3,8.3,8.26,8.26,109067
08/08/2001,8.26,8.301,8.23,8.301,607585
09/08/2001,8.292,8.3,8.28,8.291,212244
10/08/2001,8.315,8.35,8.29,8.3,167226
13/08/2001,8.3,8.36,8.28,8.29,93752
14/08/2001,8.283,8.33,8.22,8.22,171601
15/08/2001,8.25,8.3,8.09,8.09,186709
16/08/2001,8.1,8.1,8,8,927867
17/08/2001,8,8.2,7.99,8.2,116741
20/08/2001,8.19,8.19,8,8.123,383859
21/08/2001,8.13,8.19,8.13,8.17,197761
22/08/2001,8.192,8.22,8.01,8.22,222501
23/08/2001,8.217,8.3,8.18,8.18,61051
24/08/2001,8.198,8.29,8.198,8.28,145529
27/08/2001,8.28,8.28,8.25,8.28,148296
28/08/2001,8.24,8.28,8.24,8.25,391981
29/08/2001,8.207,8.21,8.15,8.17,146269
30/08/2001,8.15,8.199,8.15,8.199,377713
31/08/2001,8.124,8.18,8.1,8.166,350794
03/09/2001,8.1,8.3,8.1,8.293,354769
04/09/2001,8.293,8.385,8.25,8.385,302866
05/09/2001,8.331,8.4,8.13,8.4,491771
06/09/2001,8.4,8.59,8.4,8.56,422258
07/09/2001,8.5,8.56,8.46,8.5,313115
10/09/2001,8.6,8.88,8.6,8.869,363409
11/09/2001,8.95,9.05,8.62,8.69,456497
12/09/2001,8.28,8.65,8.28,8.58,483655
13/09/2001,8.725,8.93,8.55,8.723,847493
14/09/2001,8.675,8.7,8.36,8.58,337375
17/09/2001,8.3,8.46,8.1,8.3,372260
18/09/2001,8.302,8.37,8.22,8.251,203914
19/09/2001,8.246,8.35,8.246,8.35,631091
20/09/2001,8.35,8.39,8.3,8.32,423710
21/09/2001,8.311,8.311,7.92,8.19,563302
24/09/2001,8.133,8.16,8.02,8.06,444324
25/09/2001,8.044,8.1,7.78,8.022,550725
26/09/2001,7.9,8.05,7.9,8.007,412628
27/09/2001,7.959,8.01,7.959,8,431156
28/09/2001,8.04,8.04,7.91,7.99,2516792
01/10/2001,8,8,7.93,7.96,488050
02/10/2001,7.968,8,7.91,7.98,1260566
03/10/2001,7.98,7.98,7.65,7.7,680308
04/10/2001,7.755,7.77,7.65,7.72,607008
05/10/2001,7.72,8.08,7.7,8.02,1072986
08/10/2001,8.07,8.09,7.97,8.06,962360
09/10/2001,8.1,8.18,7.95,7.95,844594
10/10/2001,8,8.18,8,8.17,783849
11/10/2001,8.219,8.29,8.219,8.26,319856
12/10/2001,8.265,8.31,8.2,8.28,222599
15/10/2001,8.25,8.27,8.207,8.207,240676
16/10/2001,8.191,8.191,8,8.1,55110
17/10/2001,8.102,8.23,8.1,8.14,817243
18/10/2001,8.141,8.25,8.08,8.25,189242
19/10/2001,8.25,8.33,8.21,8.33,2171151
22/10/2001,8.35,8.5,8.34,8.45,2288087
23/10/2001,8.45,8.45,8.38,8.45,232841
24/10/2001,8.45,8.5,8.32,8.49,1392850
25/10/2001,8.508,8.828,8.508,8.828,870905
26/10/2001,8.688,8.81,8.65,8.73,649645
29/10/2001,8.681,8.7,8.6,8.67,164904
30/10/2001,8.68,8.73,8.6,8.7,319219
31/10/2001,8.656,8.68,8.49,8.58,257627
01/11/2001,8.52,8.55,8.45,8.5,680541
02/11/2001,8.5,8.64,8.49,8.6,180059
05/11/2001,8.6,8.7,8.6,8.695,421300
06/11/2001,8.68,8.74,8.65,8.72,228994
07/11/2001,8.8,8.94,8.76,8.772,281710
08/11/2001,8.75,8.92,8.74,8.92,143721
09/11/2001,8.87,8.87,8.6,8.72,234205
12/11/2001,8.711,8.711,8.55,8.55,243406
13/11/2001,8.58,8.59,8.5,8.5,310019
14/11/2001,8.563,8.58,8.45,8.49,467466
15/11/2001,8.5,8.5,8.25,8.3,930913
16/11/2001,8.259,8.35,8.259,8.3,335638
19/11/2001,8.3,8.3,8.3,8.3,0
20/11/2001,8.48,8.48,8.13,8.15,612802
21/11/2001,8.15,8.16,8.08,8.1,672347
22/11/2001,8.17,8.23,8.13,8.19,1000863
23/11/2001,8.25,8.3,8.25,8.3,119083
26/11/2001,8.39,8.39,8.29,8.319,294312
27/11/2001,8.28,8.29,8.12,8.12,569397
28/11/2001,8.15,8.22,8.14,8.16,554348
29/11/2001,8.18,8.18,8.1,8.15,546484
30/11/2001,8.17,8.2,7.707,7.707,2036886
03/12/2001,8,8,7.78,7.8,2398695
04/12/2001,7.97,7.97,7.78,7.9,788452
05/12/2001,7.993,8.01,7.92,7.97,763165
06/12/2001,8,8,7.89,7.96,1268704
07/12/2001,8,8.01,7.96,7.99,1042307
10/12/2001,8,8,7.87,7.9,308262
11/12/2001,7.94,7.95,7.8,7.844,240075
12/12/2001,7.85,7.85,7.65,7.74,551035
13/12/2001,7.72,7.72,7.55,7.65,488079
14/12/2001,7.65,7.65,7.55,7.6,477095
17/12/2001,7.6,7.65,7.57,7.59,461073
18/12/2001,7.607,7.75,7.607,7.68,390350
19/12/2001,7.716,7.88,7.71,7.79,403406
20/12/2001,7.805,7.88,7.8,7.832,335830
21/12/2001,7.8,8,7.76,7.97,538797
24/12/2001,8,8.09,7.95,7.99,238054
27/12/2001,7.99,8.06,7.98,8.05,157154
28/12/2001,8.06,8.12,8.05,8.07,356056
31/12/2001,8,8,7.96,8,306237
02/01/2002,7.98,8,7.96,7.98,117452
03/01/2002,7.98,7.98,7.94,7.96,187918
04/01/2002,7.96,7.96,7.93,7.94,128679
07/01/2002,7.93,7.93,7.7,7.79,385884
08/01/2002,7.79,7.83,7.69,7.71,286501
09/01/2002,7.72,7.72,7.55,7.55,679919
10/01/2002,7.58,7.67,7.58,7.6,307711
11/01/2002,7.6,7.65,7.58,7.6,195720
14/01/2002,7.6,7.6,7.4,7.48,719247
15/01/2002,7.5,7.64,7.5,7.6,392418
16/01/2002,7.655,7.76,7.61,7.7,684827
17/01/2002,7.748,7.75,7.62,7.66,371084
18/01/2002,7.655,7.7,7.61,7.7,215063
21/01/2002,7.73,7.95,7.73,7.82,490466
22/01/2002,7.816,7.82,7.72,7.73,350902
23/01/2002,7.72,7.72,7.55,7.58,272060
24/01/2002,7.546,7.56,7.5,7.53,411710
25/01/2002,7.568,7.568,7.49,7.51,60471
29/01/2002,7.55,7.57,7.5,7.51,617459
30/01/2002,7.51,7.55,7.49,7.496,286977
31/01/2002,7.552,7.626,7.53,7.626,236487
01/02/2002,7.69,7.73,7.52,7.528,243343
04/02/2002,7.55,7.59,7.48,7.52,978904
05/02/2002,7.5,7.5,7.16,7.33,902911
06/02/2002,7.33,7.39,7.21,7.328,196542
07/02/2002,7.32,7.32,7.2,7.31,233723
08/02/2002,7.3,7.4,7.3,7.396,403872
11/02/2002,7.34,7.45,7.3,7.43,218400
12/02/2002,7.4,7.41,7.33,7.4,403785
13/02/2002,7.4,7.45,7.32,7.35,208203
14/02/2002,7.3,7.32,7.29,7.306,204632
15/02/2002,7.27,7.3,7.2,7.27,124314
18/02/2002,7.28,7.32,7.25,7.32,200980
19/02/2002,7.353,7.45,7.35,7.45,282266
20/02/2002,7.446,7.5,7.39,7.499,247776
21/02/2002,7.438,7.5,7.43,7.5,174535
22/02/2002,7.47,7.6,7.47,7.5,488261
25/02/2002,7.46,7.51,7.42,7.506,86345
26/02/2002,7.45,7.52,7.45,7.49,228558
27/02/2002,7.481,7.481,6.95,7.158,497618
28/02/2002,7.141,7.141,6.8,6.87,367822
01/03/2002,6.88,7.07,6.85,7.05,369377
04/03/2002,7.1,7.16,7.05,7.106,730329
05/03/2002,7.15,7.3,7.15,7.25,474345
06/03/2002,7.307,7.35,7.3,7.34,512655
07/03/2002,7.301,7.6,7.25,7.6,253938
08/03/2002,7.69,7.71,7.36,7.5,240605
11/03/2002,7.4,7.77,7.38,7.77,357411
12/03/2002,7.7,7.7,6.31,6.52,3794554
13/03/2002,6.5,6.5,6.2,6.36,2574397
14/03/2002,6.407,6.54,6.407,6.5,1458867
15/03/2002,6.57,6.63,6.28,6.32,399348
18/03/2002,6.39,6.39,6.16,6.16,258990
19/03/2002,6.18,6.18,5.91,6,958118
20/03/2002,5.95,5.95,5.5,5.7,945993
21/03/2002,5.66,5.99,5.66,5.8,938409
22/03/2002,5.8,5.93,5.77,5.9,1445250
25/03/2002,5.93,6.06,5.93,6.04,1319882
26/03/2002,6.05,6.2,6.04,6.07,1797901
27/03/2002,6.12,6.15,5.9,6,1510494
28/03/2002,6,6.06,5.97,6.06,1158455
02/04/2002,6.07,6.11,6,6,493852
03/04/2002,6,6.04,5.99,6,799444
04/04/2002,6,6.05,5.98,6.01,1088174
05/04/2002,6.01,6.05,5.98,6.02,323393
08/04/2002,6.03,6.03,5.95,6.02,733139
09/04/2002,6,6.03,5.97,5.98,394150
10/04/2002,5.96,5.99,5.86,5.9,915117
11/04/2002,5.89,5.89,5.66,5.74,597217
12/04/2002,5.74,5.74,5.68,5.68,1849642
15/04/2002,5.7,5.73,5.69,5.7,875518
16/04/2002,5.7,5.7,5.5,5.53,1167958
17/04/2002,5.56,5.65,5.51,5.65,1726316
18/04/2002,5.63,5.7,5.6,5.6,1054286
19/04/2002,5.64,5.71,5.62,5.65,800098
22/04/2002,5.65,5.65,5.56,5.56,359217
23/04/2002,5.51,5.51,5.38,5.4,1823408
24/04/2002,5.3,5.3,5.05,5.2,3614630
26/04/2002,5.2,5.3,5.2,5.26,266927
29/04/2002,5.3,5.7,5.28,5.59,1281848
30/04/2002,5.65,5.72,5.6,5.72,9259080
01/05/2002,5.74,5.8,5.66,5.71,2340677
02/05/2002,5.78,5.78,5.5,5.66,344057
03/05/2002,5.64,5.65,5.57,5.65,276121
06/05/2002,5.66,5.66,5.4,5.4,379890
07/05/2002,5.39,5.45,5.35,5.4,122652
08/05/2002,5.42,5.54,5.42,5.48,225315
09/05/2002,5.53,5.54,5.48,5.48,187130
10/05/2002,5.5,5.5,5.33,5.38,236892
13/05/2002,5.35,5.35,5.03,5.08,202474
14/05/2002,5.1,5.1,4.9,5.03,1876633
15/05/2002,5.1,5.13,5.02,5.05,430880
16/05/2002,5.06,5.31,5.04,5.28,971738
17/05/2002,5.25,5.25,5.12,5.23,743905
20/05/2002,5.22,5.22,5.09,5.16,644029
21/05/2002,5.13,5.2,5.05,5.15,1113534
22/05/2002,5.16,5.45,5.11,5.35,905660
23/05/2002,5.38,5.38,5.29,5.36,468012
24/05/2002,5.37,5.49,5.35,5.4,229715
27/05/2002,5.39,5.4,5.36,5.4,562712
28/05/2002,5.36,5.36,5.22,5.26,315009
29/05/2002,5.27,5.29,5.15,5.16,103422
30/05/2002,5.18,5.21,5.11,5.21,192922
31/05/2002,5.25,5.3,5.16,5.3,1663739
03/06/2002,5.32,5.47,5.32,5.39,900162
04/06/2002,5.35,5.48,5.35,5.45,426255
05/06/2002,5.4,5.42,5.31,5.36,611959
06/06/2002,5.36,5.36,5.26,5.33,487712
07/06/2002,5.32,5.32,5.2,5.28,519653
11/06/2002,5.22,5.22,5.06,5.09,510129
12/06/2002,5.05,5.05,4.85,5.02,712230
13/06/2002,5.03,5.18,5,5.16,261213
