Date,Open,High,Low,Close,Volume
18/07/2013,2.62,2.62,2.62,2.62,6000
19/07/2013,2.64,2.64,2.64,2.64,2000
22/07/2013,2.64,2.64,2.64,2.64,0
23/07/2013,2.64,2.64,2.64,2.64,0
24/07/2013,2.65,2.65,2.65,2.65,100000
25/07/2013,2.65,2.65,2.65,2.65,0
26/07/2013,2.65,2.65,2.65,2.65,0
29/07/2013,2.7,2.7,2.7,2.7,1500
30/07/2013,2.7,2.7,2.7,2.7,0
31/07/2013,2.7,2.7,2.7,2.7,0
01/08/2013,2.75,2.75,2.75,2.75,25000
02/08/2013,2.72,2.75,2.72,2.72,62341
05/08/2013,2.72,2.72,2.72,2.72,0
06/08/2013,2.72,2.72,2.72,2.72,0
07/08/2013,2.72,2.72,2.72,2.72,1870
08/08/2013,2.65,2.65,2.65,2.65,4000
09/08/2013,2.65,2.65,2.65,2.65,0
12/08/2013,2.65,2.65,2.65,2.65,0
13/08/2013,2.65,2.65,2.65,2.65,0
14/08/2013,2.75,2.75,2.7,2.7,17400
15/08/2013,2.7,2.7,2.7,2.7,0
16/08/2013,2.7,2.7,2.7,2.7,0
19/08/2013,2.75,2.75,2.75,2.75,750
20/08/2013,2.75,2.75,2.75,2.75,0
21/08/2013,2.75,2.75,2.75,2.75,0
22/08/2013,2.69,2.69,2.69,2.69,10000
23/08/2013,2.69,2.69,2.69,2.69,0
26/08/2013,2.69,2.69,2.69,2.69,0
27/08/2013,2.69,2.69,2.69,2.69,0
28/08/2013,2.65,2.65,2.65,2.65,1600
29/08/2013,2.65,2.65,2.65,2.65,0
30/08/2013,2.65,2.65,2.65,2.65,0
02/09/2013,2.65,2.65,2.65,2.65,0
03/09/2013,2.65,2.65,2.65,2.65,0
04/09/2013,2.57,2.57,2.57,2.57,1500
05/09/2013,2.57,2.57,2.57,2.57,0
06/09/2013,2.57,2.57,2.57,2.57,0
09/09/2013,2.62,2.62,2.62,2.62,6000
10/09/2013,2.62,2.62,2.62,2.62,0
11/09/2013,2.62,2.62,2.62,2.62,0
12/09/2013,2.62,2.62,2.62,2.62,0
13/09/2013,2.62,2.62,2.62,2.62,0
16/09/2013,2.62,2.62,2.62,2.62,0
17/09/2013,2.62,2.62,2.62,2.62,0
18/09/2013,2.62,2.62,2.62,2.62,0
19/09/2013,2.62,2.62,2.62,2.62,0
20/09/2013,2.75,2.75,2.75,2.75,11
23/09/2013,2.75,2.75,2.75,2.75,0
24/09/2013,2.75,2.75,2.75,2.75,0
25/09/2013,2.75,2.75,2.75,2.75,0
26/09/2013,2.75,2.75,2.75,2.75,0
27/09/2013,2.75,2.75,2.75,2.75,0
30/09/2013,2.83,2.83,2.75,2.75,907
01/10/2013,2.75,2.75,2.75,2.75,0
02/10/2013,2.75,2.75,2.75,2.75,0
03/10/2013,2.75,2.75,2.75,2.75,0
04/10/2013,2.81,2.81,2.8,2.8,6520
07/10/2013,2.8,2.8,2.8,2.8,0
08/10/2013,2.8,2.8,2.8,2.8,0
09/10/2013,2.8,2.8,2.8,2.8,0
10/10/2013,2.8,2.8,2.8,2.8,0
11/10/2013,2.8,2.8,2.8,2.8,0
14/10/2013,2.78,2.78,2.78,2.78,360
15/10/2013,2.78,2.78,2.78,2.78,0
16/10/2013,2.73,2.73,2.73,2.73,8000
17/10/2013,2.73,2.73,2.73,2.73,650662
18/10/2013,2.73,2.73,2.73,2.73,3730000
21/10/2013,2.8,2.8,2.77,2.77,200200
22/10/2013,2.77,2.77,2.77,2.77,0
23/10/2013,2.77,2.77,2.77,2.77,0
24/10/2013,2.77,2.77,2.77,2.77,0
25/10/2013,2.78,2.78,2.78,2.78,25100
28/10/2013,2.8,2.8,2.8,2.8,750
29/10/2013,2.8,2.8,2.8,2.8,0
30/10/2013,2.8,2.8,2.8,2.8,0
31/10/2013,2.8,2.8,2.8,2.8,0
01/11/2013,2.8,2.8,2.8,2.8,0
04/11/2013,2.8,2.8,2.8,2.8,0
05/11/2013,2.8,2.8,2.8,2.8,0
06/11/2013,2.8,2.8,2.8,2.8,0
07/11/2013,2.8,2.8,2.8,2.8,0
08/11/2013,2.8,2.8,2.8,2.8,0
11/11/2013,2.8,2.8,2.8,2.8,0
12/11/2013,2.95,2.95,2.95,2.95,4271
13/11/2013,2.95,2.95,2.95,2.95,0
14/11/2013,3,3,2.99,2.99,5989
15/11/2013,2.9,2.9,2.9,2.9,2269
18/11/2013,2.9,2.9,2.9,2.9,0
19/11/2013,2.9,2.9,2.9,2.9,0
20/11/2013,2.9,2.9,2.9,2.9,4231
21/11/2013,2.9,2.9,2.9,2.9,0
22/11/2013,2.9,2.9,2.9,2.9,0
25/11/2013,2.9,2.9,2.9,2.9,0
26/11/2013,2.9,2.9,2.9,2.9,0
27/11/2013,2.9,2.9,2.9,2.9,0
28/11/2013,2.9,2.9,2.9,2.9,0
29/11/2013,2.9,2.9,2.9,2.9,0
02/12/2013,2.9,2.9,2.9,2.9,0
03/12/2013,2.9,2.9,2.9,2.9,0
04/12/2013,2.9,2.9,2.9,2.9,166
05/12/2013,2.9,2.9,2.9,2.9,0
06/12/2013,2.9,2.9,2.9,2.9,0
09/12/2013,2.9,2.9,2.9,2.9,0
10/12/2013,2.9,2.9,2.9,2.9,0
11/12/2013,2.9,2.9,2.9,2.9,104
12/12/2013,2.9,2.9,2.9,2.9,0
13/12/2013,2.9,2.9,2.9,2.9,0
16/12/2013,2.9,2.9,2.9,2.9,0
17/12/2013,2.9,2.9,2.9,2.9,0
18/12/2013,2.9,2.9,2.9,2.9,0
19/12/2013,2.9,2.9,2.9,2.9,0
20/12/2013,2.9,2.9,2.9,2.9,214173
23/12/2013,2.9,2.9,2.9,2.9,0
24/12/2013,2.9,2.9,2.9,2.9,0
27/12/2013,2.9,2.9,2.9,2.9,0
30/12/2013,2.9,2.9,2.9,2.9,0
31/12/2013,2.9,2.9,2.9,2.9,0
02/01/2014,2.9,2.9,2.9,2.9,0
03/01/2014,2.9,2.9,2.9,2.9,0
06/01/2014,2.9,2.9,2.9,2.9,0
07/01/2014,2.9,2.9,2.9,2.9,0
08/01/2014,2.9,2.9,2.9,2.9,0
09/01/2014,2.9,2.9,2.9,2.9,0
10/01/2014,2.9,2.9,2.9,2.9,0
13/01/2014,2.9,2.9,2.9,2.9,0
14/01/2014,2.9,2.9,2.9,2.9,0
15/01/2014,2.9,2.9,2.9,2.9,0
16/01/2014,2.9,2.9,2.9,2.9,0
17/01/2014,2.9,2.9,2.9,2.9,0
20/01/2014,2.9,2.9,2.9,2.9,0
21/01/2014,3.44,3.44,3.41,3.41,40
22/01/2014,3.41,3.41,3.41,3.41,180
23/01/2014,3.41,3.41,3.41,3.41,0
24/01/2014,3.41,3.41,3.41,3.41,0
28/01/2014,3.41,3.41,3.41,3.41,0
29/01/2014,3.4,3.4,3.4,3.4,1500
30/01/2014,3.4,3.4,3.4,3.4,0
31/01/2014,3.4,3.4,3.4,3.4,0
03/02/2014,3.4,3.4,3.4,3.4,0
04/02/2014,3.4,3.4,3.4,3.4,0
05/02/2014,3.4,3.4,3.4,3.4,0
06/02/2014,3.4,3.4,3.4,3.4,0
07/02/2014,3.4,3.4,3.4,3.4,0
10/02/2014,3.4,3.4,3.4,3.4,0
11/02/2014,3.4,3.4,3.4,3.4,0
12/02/2014,3.4,3.4,3.4,3.4,0
13/02/2014,3.4,3.4,3.4,3.4,0
14/02/2014,3.4,3.4,3.4,3.4,0
17/02/2014,3.4,3.4,3.4,3.4,0
18/02/2014,3.2,3.2,3.2,3.2,1465
19/02/2014,3.2,3.2,3.2,3.2,0
20/02/2014,3.2,3.2,3.2,3.2,0
21/02/2014,3.2,3.2,3.2,3.2,1000
24/02/2014,3.2,3.2,3.2,3.2,0
25/02/2014,3.25,3.25,3.2,3.2,7944
26/02/2014,3.22,3.22,3.22,3.22,6210
27/02/2014,3.22,3.22,3.22,3.22,4300
28/02/2014,3.12,3.12,3.12,3.12,594
03/03/2014,3.12,3.12,3.12,3.12,0
04/03/2014,3.12,3.12,3.12,3.12,0
05/03/2014,3.12,3.12,3.12,3.12,0
06/03/2014,3.14,3.14,3.14,3.14,200
07/03/2014,3.14,3.14,3.14,3.14,0
10/03/2014,3.14,3.14,3.14,3.14,0
11/03/2014,3.26,3.27,3.26,3.27,750
12/03/2014,3.27,3.27,3.27,3.27,3000
13/03/2014,3.27,3.27,3.27,3.27,0
14/03/2014,3.27,3.27,3.27,3.27,0
17/03/2014,3.27,3.27,3.27,3.27,0
18/03/2014,3.27,3.27,3.27,3.27,0
19/03/2014,3.31,3.31,3.31,3.31,2591
20/03/2014,3.31,3.31,3.31,3.31,0
21/03/2014,3.31,3.31,3.31,3.31,0
24/03/2014,3.31,3.31,3.31,3.31,0
25/03/2014,3.3,3.3,3.27,3.27,10000
26/03/2014,3.27,3.27,3.27,3.27,0
27/03/2014,3.27,3.27,3.27,3.27,0
28/03/2014,3.27,3.27,3.27,3.27,0
31/03/2014,3.27,3.27,3.27,3.27,0
01/04/2014,3.27,3.27,3.27,3.27,0
02/04/2014,3.27,3.27,3.27,3.27,0
03/04/2014,3.27,3.27,3.27,3.27,0
04/04/2014,3.27,3.27,3.27,3.27,0
07/04/2014,3.27,3.27,3.27,3.27,0
08/04/2014,3.27,3.27,3.27,3.27,0
09/04/2014,3.27,3.27,3.27,3.27,0
10/04/2014,3.27,3.27,3.27,3.27,0
11/04/2014,3.27,3.27,3.27,3.27,0
14/04/2014,3.27,3.27,3.27,3.27,0
15/04/2014,3.27,3.27,3.27,3.27,0
16/04/2014,3.27,3.27,3.27,3.27,0
17/04/2014,3.27,3.27,3.27,3.27,0
22/04/2014,3.1,3.1,3.1,3.1,3058
23/04/2014,3.1,3.1,3.1,3.1,0
24/04/2014,3.1,3.1,3.1,3.1,0
28/04/2014,3.1,3.1,3.1,3.1,0
29/04/2014,3.1,3.1,3.1,3.1,0
30/04/2014,3.1,3.1,3.1,3.1,0
01/05/2014,3.1,3.1,3.1,3.1,0
02/05/2014,3.1,3.1,3.1,3.1,0
05/05/2014,3.1,3.1,3.1,3.1,0
06/05/2014,3.1,3.1,3.1,3.1,0
07/05/2014,3.1,3.1,3.1,3.1,0
08/05/2014,3.1,3.1,3.1,3.1,0
09/05/2014,3.1,3.1,3.1,3.1,650000
12/05/2014,3.1,3.1,3.1,3.1,0
13/05/2014,3.1,3.1,3.1,3.1,0
14/05/2014,3.1,3.1,3.1,3.1,0
15/05/2014,3.1,3.1,3.1,3.1,0
16/05/2014,3.02,3.02,3.02,3.02,4000
19/05/2014,3.02,3.02,3.02,3.02,0
20/05/2014,3.02,3.02,3.02,3.02,0
21/05/2014,3.02,3.02,3.02,3.02,0
22/05/2014,3.02,3.02,3.02,3.02,0
23/05/2014,3.02,3.02,3.02,3.02,0
26/05/2014,3.02,3.02,3.02,3.02,0
27/05/2014,3.02,3.02,3.02,3.02,0
28/05/2014,3.02,3.02,3.02,3.02,0
29/05/2014,3.02,3.02,3.02,3.02,0
30/05/2014,3.02,3.02,3.02,3.02,0
02/06/2014,3.02,3.02,3.02,3.02,0
03/06/2014,3.02,3.02,3.02,3.02,0
04/06/2014,3.02,3.02,3.02,3.02,0
05/06/2014,3.02,3.02,3.02,3.02,0
06/06/2014,3.02,3.02,3.02,3.02,0
10/06/2014,3.02,3.02,3.02,3.02,0
11/06/2014,3.02,3.02,3.02,3.02,0
12/06/2014,3.02,3.02,3.02,3.02,0
13/06/2014,3.02,3.02,3.02,3.02,0
16/06/2014,3.02,3.02,3.02,3.02,0
17/06/2014,3.02,3.02,3.02,3.02,0
18/06/2014,3.02,3.02,3.02,3.02,0
19/06/2014,3.02,3.02,3.02,3.02,0
20/06/2014,3.02,3.02,3.02,3.02,0
23/06/2014,3.02,3.02,3.02,3.02,0
24/06/2014,3.02,3.02,3.02,3.02,0
25/06/2014,3.02,3.02,3.02,3.02,0
26/06/2014,3.02,3.02,3.02,3.02,0
27/06/2014,3.02,3.02,3.02,3.02,0
30/06/2014,3.02,3.02,3.02,3.02,0
01/07/2014,3.02,3.02,3.02,3.02,0
02/07/2014,3.02,3.02,3.02,3.02,0
03/07/2014,3.02,3.02,3.02,3.02,0
04/07/2014,3.02,3.02,3.02,3.02,0
07/07/2014,3.02,3.02,3.02,3.02,0
08/07/2014,3.1,3.1,3.1,3.1,5000
09/07/2014,3.1,3.1,3.1,3.1,300000
10/07/2014,3.06,3.06,3.06,3.06,8115
11/07/2014,3.06,3.06,3.06,3.06,150000
14/07/2014,3.06,3.06,3.06,3.06,500000
15/07/2014,3.06,3.06,3.06,3.06,0
16/07/2014,3.06,3.06,3.06,3.06,500000
17/07/2014,3.06,3.06,3.06,3.06,0
18/07/2014,3.06,3.06,3.06,3.06,1275000
21/07/2014,3.06,3.06,3.06,3.06,276986
22/07/2014,3.06,3.06,3.06,3.06,0
23/07/2014,3.06,3.06,3.06,3.06,0
24/07/2014,3.06,3.06,3.06,3.06,0
25/07/2014,3.06,3.06,3.06,3.06,0
28/07/2014,3.06,3.06,3.06,3.06,0
29/07/2014,2.92,2.92,2.92,2.92,2000
30/07/2014,2.92,2.92,2.92,2.92,0
31/07/2014,3,3,3,3,3400
01/08/2014,3,3,3,3,0
04/08/2014,3,3,3,3,0
05/08/2014,3,3,3,3,0
06/08/2014,3,3,3,3,0
07/08/2014,3,3,3,3,0
08/08/2014,3,3,3,3,0
11/08/2014,3,3,3,3,0
12/08/2014,2.8,2.8,2.8,2.8,12707
13/08/2014,2.8,2.8,2.65,2.65,9400
14/08/2014,2.65,2.65,2.65,2.65,1500
15/08/2014,2.63,2.63,2.63,2.63,2000
