Date,Open,High,Low,Close,Volume
02/07/2001,6.95,6.95,6.9,6.9,60695
03/07/2001,7,7.05,7,7.05,9000
04/07/2001,7,7,6.7,6.7,48657
05/07/2001,6.7,6.7,6.4,6.5,26500
06/07/2001,6.32,6.35,6.3,6.3,318329
09/07/2001,6.3,6.3,6.17,6.25,6000
10/07/2001,6.17,6.3,6.17,6.3,7830
11/07/2001,6.293,6.3,6.16,6.2,25297
12/07/2001,6.2,6.3,6.2,6.2,52225
13/07/2001,6.2,6.2,6.19,6.2,158726
16/07/2001,6.123,6.18,6.1,6.1,10505
17/07/2001,6.1,6.1,6.1,6.1,7050
18/07/2001,6.05,6.05,5.8,5.8,25650
19/07/2001,5.695,5.7,5,5.3,135741
20/07/2001,5.3,5.3,4.95,5,743577
23/07/2001,4.89,5.05,4.89,5.05,20786
24/07/2001,5.05,5.05,5.01,5.05,9045
25/07/2001,5.1,5.1,5,5.01,244560
26/07/2001,5,5,4.95,5,51053
27/07/2001,5.03,5.05,5.03,5.05,18550
30/07/2001,5.046,5.1,5.046,5.1,223000
31/07/2001,5.1,5.13,5.05,5.05,39400
01/08/2001,5.1,5.1,5.1,5.1,90222
02/08/2001,5.112,5.3,5.112,5.2,44200
03/08/2001,5.245,5.35,5.2,5.35,11230
06/08/2001,5.27,5.27,5.27,5.27,2170
07/08/2001,5.209,5.27,5.209,5.27,3180
08/08/2001,5.45,5.45,5.3,5.3,87570
09/08/2001,5.35,5.35,5.3,5.3,20000
10/08/2001,5.3,5.35,5.3,5.3,57700
13/08/2001,5.3,5.4,5.3,5.4,43001
14/08/2001,5.45,5.45,5.4,5.4,11550
15/08/2001,5.4,5.4,5.4,5.4,20200
16/08/2001,5.37,5.37,5.37,5.37,10000
17/08/2001,5.3,5.3,5.3,5.3,26645
20/08/2001,5.3,5.32,5.3,5.32,141008
21/08/2001,5.35,5.35,5.35,5.35,20000
22/08/2001,5.4,5.4,5.4,5.4,6000
23/08/2001,5.4,5.4,5.35,5.35,450884
24/08/2001,5.3,5.3,5.2,5.2,356300
27/08/2001,5.2,5.2,5.2,5.2,210450
28/08/2001,5.15,5.18,5.15,5.18,8137
29/08/2001,5.1,5.11,5,5.1,46776
30/08/2001,5.1,5.1,4.95,4.95,158545
31/08/2001,4.95,4.95,4.8,4.9,16375
03/09/2001,4.9,4.9,4.9,4.9,0
04/09/2001,4.6,4.7,4.5,4.7,14200
05/09/2001,4.7,4.7,4.7,4.7,6970
06/09/2001,4.7,4.7,4.7,4.7,0
07/09/2001,4.5,4.5,4.5,4.5,45730
10/09/2001,4.45,4.45,4.4,4.4,189200
11/09/2001,4.4,4.4,4.3,4.35,116506
12/09/2001,4.35,4.35,4.35,4.35,345
13/09/2001,4,4.32,4,4.2,10584
14/09/2001,4.2,4.2,4.18,4.18,4596
17/09/2001,4,4,4,4,65016
18/09/2001,3.75,4.1,3.75,4,15100
19/09/2001,4.1,4.1,4,4,13000
20/09/2001,4,4,4,4,9000
21/09/2001,3.9,4.05,3.9,4.05,5500
24/09/2001,4,4,3.95,3.95,18000
25/09/2001,4,4.2,4,4.2,3650
26/09/2001,4.2,4.2,4.1,4.13,33000
27/09/2001,4.2,4.2,4.1,4.13,16250
28/09/2001,4.13,4.13,4.1,4.1,8100
01/10/2001,4.1,4.1,4.1,4.1,0
02/10/2001,4,4,3.98,3.98,11000
03/10/2001,4.01,4.01,3.9,3.9,1516380
04/10/2001,3.9,3.9,3.75,3.75,38330
05/10/2001,3.75,3.75,3.75,3.75,1121090
08/10/2001,3.75,3.75,3.7,3.7,10000
09/10/2001,3.7,3.7,3.68,3.7,7287
10/10/2001,3.8,3.8,3.8,3.8,7000
11/10/2001,3.85,3.9,3.85,3.9,3000
12/10/2001,3.9,3.9,3.8,3.8,12000
15/10/2001,3.8,3.8,3.8,3.8,250000
16/10/2001,3.76,3.76,3.75,3.75,25500
17/10/2001,3.75,3.75,3.72,3.72,257758
18/10/2001,3.8,3.8,3.8,3.8,3900
19/10/2001,3.72,3.72,3.72,3.72,9500
22/10/2001,3.717,3.8,3.717,3.8,4000
23/10/2001,3.72,3.72,3.72,3.72,3000
24/10/2001,3.75,3.76,3.75,3.76,13000
25/10/2001,3.78,3.78,3.78,3.78,550
26/10/2001,3.78,3.78,3.78,3.78,4400
29/10/2001,3.78,3.8,3.78,3.8,80700
30/10/2001,3.85,3.85,3.85,3.85,3000
31/10/2001,3.99,4.15,3.99,4.15,11000
01/11/2001,4.15,4.15,4.15,4.15,17984
02/11/2001,4.15,4.19,4.15,4.17,13950
05/11/2001,4.18,4.18,4.09,4.09,22070
06/11/2001,4.02,4.02,3.98,3.98,29000
07/11/2001,3.81,3.81,3.75,3.81,41894
08/11/2001,3.81,3.81,3.75,3.75,18000
09/11/2001,3.75,3.75,3.7,3.7,22412
12/11/2001,3.65,3.65,3.5,3.55,62000
13/11/2001,3.516,3.516,3.2,3.2,9776
14/11/2001,3.19,3.19,3.01,3.19,33201
15/11/2001,3.05,3.05,3,3,133681
16/11/2001,2.9,2.91,2.9,2.9,80996
19/11/2001,3,3.2,3,3.2,15800
20/11/2001,3.2,3.2,3.2,3.2,0
21/11/2001,3.26,3.26,3.15,3.15,149421
22/11/2001,3.21,3.21,3.2,3.2,1500
23/11/2001,3.3,3.5,3.3,3.5,4780
26/11/2001,3.63,3.65,3.63,3.65,50050
27/11/2001,3.65,3.65,3.5,3.5,11400
28/11/2001,3.55,3.55,3.55,3.55,350
29/11/2001,3.61,3.65,3.55,3.55,20458
30/11/2001,3.56,3.6,3.56,3.6,3949
03/12/2001,3.6,3.65,3.6,3.6,19520
04/12/2001,3.5,3.55,3.5,3.5,7160
05/12/2001,3.52,3.52,3.52,3.52,12958
06/12/2001,3.53,3.53,3.52,3.52,13397
07/12/2001,3.5,3.5,3.5,3.5,58071
10/12/2001,3.5,3.52,3.5,3.52,6450
11/12/2001,3.52,3.52,3.5,3.52,16000
12/12/2001,3.52,3.52,3.52,3.52,42900
13/12/2001,3.6,3.65,3.6,3.65,950
14/12/2001,3.65,3.68,3.65,3.65,10767
17/12/2001,3.65,3.7,3.65,3.7,19000
18/12/2001,3.75,3.75,3.75,3.75,25333
19/12/2001,3.75,3.75,3.65,3.65,12500
20/12/2001,3.65,3.65,3.4,3.4,15333
21/12/2001,3.4,3.4,3.4,3.4,150
24/12/2001,3.38,3.38,3.11,3.11,4555
27/12/2001,3.3,3.3,3.3,3.3,55102
28/12/2001,3.3,3.3,3.3,3.3,0
31/12/2001,3.29,3.3,3.28,3.3,34500
02/01/2002,3.25,3.29,3.25,3.29,20500
03/01/2002,3.29,3.29,3.13,3.13,16660
04/01/2002,3.13,3.13,3.13,3.13,0
07/01/2002,3.13,3.13,3,3.1,36364
08/01/2002,3,3.05,2.9,3,824298
09/01/2002,3.01,3.01,3,3,8185
10/01/2002,3,3,2.9,2.9,10755
11/01/2002,2.81,2.81,2.8,2.8,2000
14/01/2002,2.9,2.9,2.75,2.75,102250
15/01/2002,2.7,2.7,2.65,2.65,2050
16/01/2002,2.65,2.65,2.65,2.65,0
17/01/2002,2.7,2.7,2.7,2.7,10000
18/01/2002,2.7,2.7,2.7,2.7,0
21/01/2002,2.75,2.8,2.75,2.8,4000
22/01/2002,2.8,2.8,2.75,2.75,11736
23/01/2002,2.75,2.8,2.75,2.8,7783
24/01/2002,2.8,2.8,2.75,2.75,14712
25/01/2002,2.8,2.85,2.75,2.85,363200
29/01/2002,2.85,2.85,2.85,2.85,36910
30/01/2002,2.8,2.82,2.77,2.77,51000
31/01/2002,2.77,2.85,2.75,2.85,526720
01/02/2002,2.85,2.85,2.8,2.85,24892
04/02/2002,2.85,2.85,2.85,2.85,500
05/02/2002,2.84,2.84,2.84,2.84,700
06/02/2002,2.84,2.84,2.84,2.84,9500
07/02/2002,2.84,2.84,2.84,2.84,0
08/02/2002,2.81,2.81,2.75,2.8,9414
11/02/2002,2.77,2.77,2.77,2.77,7000
12/02/2002,2.75,2.75,2.7,2.7,3972
13/02/2002,2.7,2.7,2.55,2.55,3000
14/02/2002,2.57,2.57,2.55,2.55,45327
15/02/2002,2.55,2.57,2.55,2.57,1613928
18/02/2002,2.58,2.61,2.58,2.6,33500
19/02/2002,2.61,2.64,2.6,2.61,27343
20/02/2002,2.61,2.61,2.61,2.61,4000
21/02/2002,2.61,2.61,2.61,2.61,14000
22/02/2002,2.59,2.63,2.58,2.63,8685
25/02/2002,2.694,2.75,2.67,2.75,48000
26/02/2002,2.85,2.96,2.85,2.96,63020
27/02/2002,3.088,3.2,2.95,2.95,154996
28/02/2002,2.95,2.95,2.9,2.95,22851
01/03/2002,2.95,2.95,2.95,2.95,0
04/03/2002,2.99,2.99,2.9,2.98,10500
05/03/2002,2.97,2.97,2.97,2.97,22000
06/03/2002,2.97,2.97,2.97,2.97,1500
07/03/2002,2.98,2.98,2.85,2.96,16000
08/03/2002,2.95,2.99,2.95,2.99,12450
11/03/2002,2.95,2.95,2.95,2.95,25650
12/03/2002,2.95,2.99,2.9,2.9,20900
13/03/2002,2.86,2.86,2.85,2.85,4550
14/03/2002,2.9,2.9,2.9,2.9,4900
15/03/2002,2.85,2.9,2.82,2.9,6000
18/03/2002,2.95,2.95,2.95,2.95,700
19/03/2002,2.85,2.86,2.85,2.85,9500
20/03/2002,2.86,2.86,2.85,2.85,3972
21/03/2002,2.85,2.85,2.85,2.85,278
22/03/2002,2.83,2.83,2.83,2.83,2000
25/03/2002,2.8,2.8,2.8,2.8,2000
26/03/2002,2.73,2.73,2.6,2.6,148520
27/03/2002,2.65,2.65,2.6,2.6,8700
28/03/2002,2.6,2.65,2.6,2.65,4500
02/04/2002,2.65,2.65,2.65,2.65,17500
03/04/2002,2.68,2.68,2.68,2.68,50000
04/04/2002,2.65,2.68,2.65,2.68,41512
05/04/2002,2.68,2.68,2.6,2.6,42300
08/04/2002,2.65,2.7,2.65,2.7,54600
09/04/2002,2.7,2.7,2.7,2.7,10547
10/04/2002,2.7,2.7,2.7,2.7,0
11/04/2002,2.6,2.6,2.55,2.55,3960
12/04/2002,2.55,2.55,2.52,2.55,3064
15/04/2002,2.55,2.55,2.55,2.55,0
16/04/2002,2.6,2.6,2.52,2.53,29350
17/04/2002,2.54,2.55,2.54,2.55,52700
18/04/2002,2.55,2.55,2.55,2.55,0
19/04/2002,2.55,2.55,2.55,2.55,40890
22/04/2002,2.52,2.53,2.52,2.52,32340
23/04/2002,2.52,2.53,2.52,2.52,29000
24/04/2002,2.5,2.5,2.5,2.5,1200
26/04/2002,2.5,2.5,2.4,2.4,39500
29/04/2002,2.27,2.4,2.27,2.35,104474
30/04/2002,2.35,2.4,2.31,2.4,210046
01/05/2002,2.35,2.4,2.35,2.4,70091
02/05/2002,2.4,2.4,2.35,2.35,8089
03/05/2002,2.35,2.4,2.35,2.4,10479
06/05/2002,2.4,2.4,2.36,2.36,16821
07/05/2002,2.4,2.4,2.4,2.4,8050
08/05/2002,2.4,2.4,2.4,2.4,340
09/05/2002,2.4,2.4,2.35,2.35,14165
10/05/2002,2.36,2.36,2.36,2.36,171497
13/05/2002,2.37,2.37,2.37,2.37,23697
14/05/2002,2.37,2.37,2.3,2.3,13845
15/05/2002,2.3,2.35,2.3,2.32,17315
16/05/2002,2.4,2.4,2.4,2.4,2500
17/05/2002,2.4,2.4,2.4,2.4,10000
20/05/2002,2.4,2.4,2.4,2.4,7000
21/05/2002,2.36,2.36,2.36,2.36,9900
22/05/2002,2.36,2.36,2.34,2.36,15100
