Date,Open,High,Low,Close,Volume
06/04/2006,0.28,0.28,0.215,0.215,1744120
07/04/2006,0.225,0.23,0.18,0.19,1137196
10/04/2006,0.195,0.195,0.175,0.18,330000
11/04/2006,0.18,0.18,0.175,0.175,52000
12/04/2006,0.185,0.185,0.18,0.18,79000
13/04/2006,0.18,0.185,0.18,0.185,40362
18/04/2006,0.19,0.195,0.185,0.185,130000
19/04/2006,0.19,0.19,0.185,0.185,117524
20/04/2006,0.18,0.185,0.175,0.185,70000
21/04/2006,0.175,0.18,0.175,0.18,100000
24/04/2006,0.18,0.18,0.18,0.18,12800
26/04/2006,0.17,0.175,0.16,0.17,345800
27/04/2006,0.165,0.165,0.16,0.16,292669
28/04/2006,0.16,0.17,0.16,0.17,328050
01/05/2006,0.17,0.175,0.17,0.175,231888
02/05/2006,0.175,0.185,0.175,0.185,744916
03/05/2006,0.19,0.195,0.19,0.19,956255
04/05/2006,0.19,0.195,0.185,0.195,1062500
05/05/2006,0.195,0.22,0.195,0.215,453674
08/05/2006,0.215,0.225,0.215,0.225,418100
09/05/2006,0.225,0.23,0.22,0.22,599129
10/05/2006,0.225,0.24,0.22,0.235,704000
11/05/2006,0.24,0.24,0.23,0.23,349900
12/05/2006,0.225,0.23,0.22,0.22,223705
15/05/2006,0.22,0.22,0.215,0.215,161600
16/05/2006,0.21,0.21,0.185,0.2,459349
17/05/2006,0.19,0.195,0.185,0.195,309245
18/05/2006,0.18,0.195,0.18,0.195,226751
19/05/2006,0.2,0.205,0.2,0.205,61800
22/05/2006,0.2,0.2,0.185,0.185,415639
23/05/2006,0.18,0.18,0.18,0.18,39151
24/05/2006,0.19,0.195,0.19,0.19,100000
25/05/2006,0.185,0.185,0.165,0.17,440000
26/05/2006,0.18,0.18,0.175,0.175,220459
29/05/2006,0.175,0.175,0.175,0.175,4541
30/05/2006,0.175,0.185,0.175,0.185,129272
31/05/2006,0.185,0.185,0.185,0.185,25000
01/06/2006,0.185,0.185,0.185,0.185,0
02/06/2006,0.185,0.185,0.185,0.185,0
05/06/2006,0.185,0.185,0.185,0.185,0
06/06/2006,0.17,0.17,0.165,0.17,120000
07/06/2006,0.17,0.17,0.165,0.165,64183
08/06/2006,0.165,0.165,0.16,0.16,283336
09/06/2006,0.16,0.16,0.16,0.16,9888
13/06/2006,0.16,0.16,0.15,0.15,117164
14/06/2006,0.15,0.15,0.15,0.15,10000
15/06/2006,0.15,0.15,0.15,0.15,0
16/06/2006,0.16,0.16,0.15,0.15,262836
19/06/2006,0.14,0.15,0.14,0.15,88664
20/06/2006,0.15,0.15,0.14,0.14,77936
21/06/2006,0.14,0.15,0.14,0.15,42500
22/06/2006,0.15,0.16,0.15,0.15,304187
23/06/2006,0.15,0.15,0.15,0.15,10000
26/06/2006,0.16,0.16,0.15,0.15,155500
27/06/2006,0.15,0.15,0.15,0.15,12313
28/06/2006,0.15,0.15,0.15,0.15,0
29/06/2006,0.15,0.19,0.15,0.19,484687
30/06/2006,0.185,0.185,0.185,0.185,10000
03/07/2006,0.18,0.195,0.18,0.195,93500
04/07/2006,0.195,0.2,0.19,0.19,176503
05/07/2006,0.195,0.195,0.165,0.165,125000
06/07/2006,0.19,0.195,0.175,0.175,41000
07/07/2006,0.175,0.19,0.175,0.19,126877
10/07/2006,0.18,0.18,0.17,0.175,75000
11/07/2006,0.175,0.175,0.175,0.175,37286
12/07/2006,0.175,0.175,0.175,0.175,28400
13/07/2006,0.175,0.175,0.175,0.175,39560
14/07/2006,0.175,0.18,0.17,0.17,86000
17/07/2006,0.17,0.17,0.17,0.17,0
18/07/2006,0.17,0.17,0.17,0.17,0
19/07/2006,0.17,0.17,0.17,0.17,0
20/07/2006,0.16,0.16,0.16,0.16,25000
21/07/2006,0.16,0.16,0.16,0.16,5000
24/07/2006,0.16,0.16,0.16,0.16,7500
25/07/2006,0.16,0.16,0.16,0.16,72250
26/07/2006,0.16,0.16,0.14,0.14,212300
27/07/2006,0.16,0.16,0.155,0.16,183502
28/07/2006,0.155,0.16,0.155,0.16,65648
31/07/2006,0.16,0.16,0.145,0.145,100052
01/08/2006,0.16,0.16,0.16,0.16,11900
02/08/2006,0.16,0.165,0.16,0.165,150000
03/08/2006,0.165,0.19,0.165,0.19,10000
04/08/2006,0.19,0.19,0.19,0.19,0
07/08/2006,0.17,0.17,0.17,0.17,58000
08/08/2006,0.16,0.18,0.16,0.16,252500
09/08/2006,0.175,0.175,0.175,0.175,30000
10/08/2006,0.175,0.175,0.175,0.175,89737
11/08/2006,0.175,0.175,0.175,0.175,65000
14/08/2006,0.175,0.175,0.175,0.175,121246
15/08/2006,0.175,0.175,0.16,0.16,138000
16/08/2006,0.16,0.16,0.16,0.16,0
17/08/2006,0.175,0.18,0.175,0.18,208500
18/08/2006,0.185,0.19,0.18,0.185,1160508
21/08/2006,0.165,0.165,0.16,0.16,100000
22/08/2006,0.16,0.16,0.16,0.16,170000
23/08/2006,0.16,0.16,0.15,0.15,5158
24/08/2006,0.155,0.155,0.155,0.155,5790
25/08/2006,0.155,0.155,0.155,0.155,52650
28/08/2006,0.155,0.155,0.155,0.155,0
29/08/2006,0.155,0.155,0.15,0.15,177835
30/08/2006,0.15,0.15,0.145,0.145,175641
31/08/2006,0.145,0.145,0.145,0.145,0
01/09/2006,0.145,0.145,0.145,0.145,0
04/09/2006,0.145,0.145,0.145,0.145,0
05/09/2006,0.145,0.15,0.145,0.15,42100
06/09/2006,0.15,0.155,0.15,0.15,28338
07/09/2006,0.16,0.16,0.16,0.16,6467
08/09/2006,0.16,0.16,0.16,0.16,0
11/09/2006,0.16,0.16,0.16,0.16,0
12/09/2006,0.145,0.145,0.145,0.145,100000
13/09/2006,0.145,0.145,0.145,0.145,0
14/09/2006,0.145,0.145,0.145,0.145,0
15/09/2006,0.145,0.145,0.145,0.145,0
18/09/2006,0.145,0.145,0.145,0.145,0
19/09/2006,0.145,0.145,0.14,0.145,91000
20/09/2006,0.145,0.145,0.145,0.145,60000
21/09/2006,0.145,0.145,0.145,0.145,30000
22/09/2006,0.14,0.14,0.14,0.14,71428
25/09/2006,0.14,0.14,0.14,0.14,0
26/09/2006,0.14,0.14,0.14,0.14,0
27/09/2006,0.14,0.14,0.14,0.14,0
28/09/2006,0.14,0.14,0.13,0.13,250000
29/09/2006,0.13,0.13,0.12,0.12,65000
02/10/2006,0.12,0.12,0.12,0.12,0
03/10/2006,0.12,0.12,0.12,0.12,0
04/10/2006,0.12,0.13,0.12,0.13,75000
05/10/2006,0.125,0.125,0.125,0.125,148572
06/10/2006,0.125,0.125,0.125,0.125,0
09/10/2006,0.125,0.125,0.125,0.125,0
10/10/2006,0.125,0.125,0.12,0.12,250000
11/10/2006,0.12,0.12,0.12,0.12,0
12/10/2006,0.13,0.13,0.12,0.12,22800
13/10/2006,0.12,0.12,0.12,0.12,0
16/10/2006,0.13,0.13,0.13,0.13,28000
17/10/2006,0.135,0.145,0.135,0.145,75000
18/10/2006,0.145,0.145,0.145,0.145,0
19/10/2006,0.15,0.15,0.15,0.15,19000
20/10/2006,0.15,0.15,0.15,0.15,0
23/10/2006,0.14,0.145,0.135,0.145,119000
24/10/2006,0.13,0.13,0.13,0.13,64000
25/10/2006,0.13,0.13,0.13,0.13,40000
26/10/2006,0.14,0.14,0.13,0.13,45000
27/10/2006,0.13,0.13,0.13,0.13,0
