Date,Open,High,Low,Close,Volume
23/03/2006,0.24,0.24,0.21,0.23,933000
24/03/2006,0.225,0.225,0.215,0.22,337795
27/03/2006,0.215,0.215,0.2,0.2,416800
28/03/2006,0.2,0.2,0.185,0.185,355000
29/03/2006,0.2,0.21,0.2,0.21,170705
30/03/2006,0.205,0.21,0.205,0.205,204900
31/03/2006,0.21,0.21,0.205,0.21,147000
03/04/2006,0.21,0.21,0.2,0.205,231500
04/04/2006,0.205,0.205,0.2,0.2,146895
05/04/2006,0.2,0.205,0.195,0.195,133700
06/04/2006,0.2,0.2,0.2,0.2,25000
07/04/2006,0.2,0.205,0.2,0.205,217605
10/04/2006,0.2,0.2,0.2,0.2,52395
11/04/2006,0.2,0.205,0.2,0.205,123605
12/04/2006,0.205,0.21,0.2,0.205,161800
13/04/2006,0.205,0.205,0.205,0.205,0
18/04/2006,0.205,0.21,0.195,0.195,264450
19/04/2006,0.195,0.21,0.195,0.21,329500
20/04/2006,0.205,0.205,0.2,0.205,95000
21/04/2006,0.2,0.2,0.2,0.2,5000
24/04/2006,0.2,0.205,0.2,0.2,158000
26/04/2006,0.2,0.21,0.2,0.2,115350
27/04/2006,0.2,0.205,0.2,0.2,80000
28/04/2006,0.195,0.2,0.195,0.2,33800
01/05/2006,0.2,0.21,0.2,0.21,239000
02/05/2006,0.215,0.23,0.205,0.22,251893
03/05/2006,0.225,0.225,0.22,0.22,125200
04/05/2006,0.21,0.21,0.205,0.21,85500
05/05/2006,0.2,0.205,0.2,0.205,100000
08/05/2006,0.21,0.23,0.2,0.2,343000
09/05/2006,0.21,0.21,0.18,0.18,129381
10/05/2006,0.195,0.195,0.195,0.195,75000
11/05/2006,0.2,0.2,0.2,0.2,157000
12/05/2006,0.2,0.2,0.2,0.2,99300
15/05/2006,0.2,0.2,0.195,0.195,94250
16/05/2006,0.195,0.195,0.195,0.195,30750
17/05/2006,0.19,0.19,0.19,0.19,125000
18/05/2006,0.185,0.185,0.18,0.18,68050
19/05/2006,0.18,0.18,0.18,0.18,159750
22/05/2006,0.18,0.18,0.17,0.17,212021
23/05/2006,0.16,0.16,0.16,0.16,90000
24/05/2006,0.17,0.17,0.17,0.17,20000
25/05/2006,0.17,0.17,0.17,0.17,20000
26/05/2006,0.17,0.18,0.17,0.175,202979
29/05/2006,0.175,0.175,0.17,0.17,157021
30/05/2006,0.17,0.17,0.17,0.17,35000
31/05/2006,0.175,0.19,0.175,0.19,100000
01/06/2006,0.17,0.17,0.17,0.17,9479
02/06/2006,0.175,0.175,0.175,0.175,10000
05/06/2006,0.18,0.18,0.18,0.18,60000
06/06/2006,0.18,0.19,0.18,0.19,130000
07/06/2006,0.175,0.18,0.175,0.18,34250
08/06/2006,0.18,0.18,0.175,0.18,185500
09/06/2006,0.175,0.175,0.17,0.17,72201
13/06/2006,0.16,0.16,0.155,0.155,195000
14/06/2006,0.15,0.15,0.13,0.13,100000
15/06/2006,0.15,0.15,0.15,0.15,40000
16/06/2006,0.15,0.15,0.15,0.15,0
19/06/2006,0.165,0.165,0.165,0.165,15000
20/06/2006,0.165,0.165,0.165,0.165,12000
21/06/2006,0.155,0.155,0.15,0.15,116000
22/06/2006,0.15,0.15,0.15,0.15,0
23/06/2006,0.14,0.14,0.14,0.14,65000
26/06/2006,0.14,0.14,0.13,0.13,88000
27/06/2006,0.135,0.135,0.13,0.135,194299
28/06/2006,0.135,0.135,0.135,0.135,282000
29/06/2006,0.14,0.15,0.135,0.15,146500
30/06/2006,0.15,0.155,0.15,0.155,211500
03/07/2006,0.155,0.155,0.155,0.155,0
04/07/2006,0.155,0.155,0.155,0.155,0
05/07/2006,0.155,0.155,0.155,0.155,0
06/07/2006,0.155,0.17,0.155,0.17,113300
07/07/2006,0.18,0.195,0.18,0.19,216619
10/07/2006,0.19,0.195,0.185,0.195,259450
11/07/2006,0.19,0.19,0.19,0.19,122631
12/07/2006,0.19,0.19,0.185,0.19,57369
13/07/2006,0.19,0.19,0.17,0.17,50000
14/07/2006,0.2,0.2,0.195,0.195,22000
17/07/2006,0.195,0.195,0.195,0.195,0
18/07/2006,0.18,0.18,0.17,0.17,100000
19/07/2006,0.17,0.17,0.17,0.17,0
20/07/2006,0.17,0.17,0.17,0.17,0
21/07/2006,0.17,0.17,0.17,0.17,0
24/07/2006,0.17,0.17,0.17,0.17,78000
25/07/2006,0.18,0.18,0.18,0.18,19300
26/07/2006,0.18,0.18,0.18,0.18,700
27/07/2006,0.18,0.18,0.18,0.18,100000
28/07/2006,0.18,0.18,0.18,0.18,0
31/07/2006,0.18,0.18,0.18,0.18,0
01/08/2006,0.17,0.17,0.165,0.165,60000
02/08/2006,0.165,0.165,0.165,0.165,0
03/08/2006,0.165,0.165,0.165,0.165,102172
04/08/2006,0.15,0.15,0.15,0.15,100000
07/08/2006,0.155,0.155,0.155,0.155,12350
08/08/2006,0.155,0.155,0.155,0.155,0
09/08/2006,0.155,0.155,0.155,0.155,0
10/08/2006,0.155,0.155,0.155,0.155,0
11/08/2006,0.155,0.155,0.155,0.155,0
14/08/2006,0.155,0.155,0.155,0.155,0
15/08/2006,0.155,0.155,0.155,0.155,20000
16/08/2006,0.155,0.155,0.155,0.155,0
17/08/2006,0.155,0.155,0.155,0.155,0
18/08/2006,0.155,0.155,0.155,0.155,165000
21/08/2006,0.155,0.155,0.155,0.155,0
22/08/2006,0.155,0.155,0.15,0.15,99427
23/08/2006,0.15,0.15,0.15,0.15,0
24/08/2006,0.15,0.15,0.15,0.15,0
25/08/2006,0.15,0.15,0.15,0.15,0
28/08/2006,0.15,0.15,0.15,0.15,0
29/08/2006,0.145,0.145,0.14,0.14,44500
30/08/2006,0.14,0.14,0.14,0.14,15000
31/08/2006,0.14,0.14,0.14,0.14,50000
01/09/2006,0.14,0.14,0.14,0.14,0
04/09/2006,0.14,0.14,0.14,0.14,0
05/09/2006,0.14,0.14,0.13,0.13,103000
06/09/2006,0.13,0.13,0.13,0.13,5000
07/09/2006,0.14,0.14,0.14,0.14,160000
08/09/2006,0.14,0.14,0.14,0.14,0
11/09/2006,0.14,0.15,0.14,0.15,235000
12/09/2006,0.15,0.15,0.15,0.15,0
13/09/2006,0.15,0.15,0.15,0.15,0
14/09/2006,0.14,0.14,0.14,0.14,110000
15/09/2006,0.14,0.14,0.13,0.13,100000
18/09/2006,0.135,0.135,0.135,0.135,50000
19/09/2006,0.13,0.145,0.13,0.145,125000
20/09/2006,0.135,0.135,0.135,0.135,25000
