Date,Open,High,Low,Close,Volume
21/04/2017,1.2,1.2,0.94,0.95,346020
24/04/2017,0.99,1.05,0.99,1.01,80413
26/04/2017,1,1,0.96,0.96,30684
27/04/2017,0.975,0.99,0.95,0.95,27481
28/04/2017,0.95,0.95,0.9,0.9,33456
01/05/2017,0.9,0.9,0.9,0.9,2000
02/05/2017,0.9,0.9,0.85,0.89,69608
03/05/2017,0.87,0.87,0.845,0.87,18012
04/05/2017,0.87,0.88,0.87,0.88,11000
05/05/2017,0.86,0.86,0.86,0.86,11100
08/05/2017,0.845,0.845,0.78,0.785,45090
09/05/2017,0.785,0.785,0.75,0.75,23579
10/05/2017,0.75,0.75,0.75,0.75,0
11/05/2017,0.75,0.75,0.75,0.75,0
12/05/2017,0.765,0.765,0.75,0.75,1721
15/05/2017,0.75,0.75,0.75,0.75,0
16/05/2017,0.75,0.75,0.75,0.75,2666
17/05/2017,0.75,0.75,0.75,0.75,0
18/05/2017,0.7,0.7,0.7,0.7,7500
19/05/2017,0.67,0.75,0.67,0.75,30629
22/05/2017,0.79,0.79,0.79,0.79,5000
23/05/2017,0.79,0.79,0.79,0.79,4000
24/05/2017,0.79,0.79,0.79,0.79,0
25/05/2017,0.79,0.79,0.79,0.79,700
26/05/2017,0.79,0.79,0.79,0.79,0
29/05/2017,0.74,0.74,0.74,0.74,2000
30/05/2017,0.74,0.74,0.74,0.74,0
31/05/2017,0.74,0.74,0.74,0.74,15500
01/06/2017,0.7,0.74,0.7,0.74,20000
02/06/2017,0.7,0.7,0.7,0.7,20000
05/06/2017,0.7,0.7,0.7,0.7,34009
06/06/2017,0.69,0.7,0.69,0.7,4976
07/06/2017,0.7,0.7,0.7,0.7,0
08/06/2017,0.7,0.7,0.7,0.7,2285
09/06/2017,0.7,0.7,0.7,0.7,0
13/06/2017,0.7,0.7,0.7,0.7,0
14/06/2017,0.705,0.71,0.705,0.71,23157
15/06/2017,0.705,0.705,0.705,0.705,13500
16/06/2017,0.705,0.705,0.7,0.7,15000
19/06/2017,0.7,0.7,0.7,0.7,11000
20/06/2017,0.7,0.7,0.7,0.7,0
21/06/2017,0.7,0.7,0.7,0.7,0
22/06/2017,0.7,0.7,0.7,0.7,0
23/06/2017,0.7,0.7,0.7,0.7,0
26/06/2017,0.7,0.7,0.7,0.7,0
27/06/2017,0.7,0.7,0.7,0.7,0
28/06/2017,0.7,0.7,0.7,0.7,0
29/06/2017,0.7,0.7,0.7,0.7,12485
30/06/2017,0.69,0.7,0.69,0.7,20515
03/07/2017,0.68,0.68,0.68,0.68,2600
04/07/2017,0.68,0.68,0.68,0.68,15131
05/07/2017,0.68,0.68,0.68,0.68,764
06/07/2017,0.68,0.68,0.68,0.68,15534
07/07/2017,0.7,0.7,0.7,0.7,36931
10/07/2017,0.74,0.74,0.7,0.7,40700
11/07/2017,0.7,0.7,0.7,0.7,0
12/07/2017,0.74,0.74,0.74,0.74,25300
13/07/2017,0.74,0.74,0.74,0.74,0
14/07/2017,0.74,0.74,0.74,0.74,0
17/07/2017,0.74,0.74,0.74,0.74,0
18/07/2017,0.8,0.8,0.8,0.8,10000
19/07/2017,0.8,0.8,0.8,0.8,5000
20/07/2017,0.8,0.8,0.8,0.8,0
21/07/2017,0.745,0.77,0.745,0.77,77319
24/07/2017,0.77,0.77,0.77,0.77,7681
25/07/2017,0.77,0.77,0.77,0.77,0
26/07/2017,0.8,0.8,0.8,0.8,20000
27/07/2017,0.8,0.8,0.8,0.8,5000
28/07/2017,0.8,0.8,0.8,0.8,0
31/07/2017,0.875,0.875,0.875,0.875,45000
01/08/2017,0.9,0.91,0.9,0.91,54000
02/08/2017,0.91,0.91,0.91,0.91,0
03/08/2017,0.95,0.95,0.92,0.92,9632
04/08/2017,0.97,0.98,0.97,0.98,39014
07/08/2017,0.98,1,0.98,0.99,30549
08/08/2017,1,1,1,1,14965
09/08/2017,1.04,1.15,1.04,1.15,107487
10/08/2017,1.14,1.14,1.04,1.045,70623
11/08/2017,1.1,1.1,1,1,38797
14/08/2017,1.04,1.04,1.04,1.04,5700
15/08/2017,1.04,1.04,1,1,42000
16/08/2017,1,1,1,1,15300
17/08/2017,1,1.04,1,1.02,17530
18/08/2017,1,1,1,1,11920
21/08/2017,1,1,1,1,11484
22/08/2017,1,1.1,1,1.1,88297
23/08/2017,1.1,1.1,1.1,1.1,0
24/08/2017,1.05,1.07,1.05,1.07,25749
25/08/2017,1.07,1.07,1.07,1.07,0
28/08/2017,1.095,1.12,1.095,1.1,73403
29/08/2017,1.1,1.1,1.1,1.1,0
30/08/2017,1.05,1.05,1.05,1.05,2000
31/08/2017,1,1,1,1,8082
01/09/2017,1,1,1,1,10000
04/09/2017,1,1,1,1,0
05/09/2017,1,1,1,1,0
06/09/2017,1,1,1,1,0
07/09/2017,1,1.005,1,1,120000
08/09/2017,1,1,1,1,0
11/09/2017,1,1,1,1,0
12/09/2017,0.95,0.95,0.95,0.95,2500
13/09/2017,0.95,0.95,0.95,0.95,0
14/09/2017,0.95,0.95,0.95,0.95,0
15/09/2017,0.95,0.95,0.95,0.95,0
18/09/2017,0.975,0.975,0.955,0.955,8944
19/09/2017,0.955,0.955,0.955,0.955,0
20/09/2017,0.945,0.945,0.945,0.945,2056
21/09/2017,0.95,0.98,0.95,0.98,5300
22/09/2017,0.95,0.95,0.945,0.945,3794
25/09/2017,0.945,0.945,0.945,0.945,0
26/09/2017,0.945,0.945,0.945,0.945,513
27/09/2017,0.945,0.945,0.945,0.945,0
28/09/2017,0.945,0.945,0.945,0.945,0
29/09/2017,0.945,0.945,0.945,0.945,0
02/10/2017,0.945,0.945,0.945,0.945,0
03/10/2017,0.9,0.9,0.85,0.85,6893
04/10/2017,0.85,0.85,0.85,0.85,0
05/10/2017,0.85,0.85,0.85,0.85,0
06/10/2017,0.85,0.85,0.85,0.85,0
09/10/2017,0.85,0.85,0.85,0.85,0
10/10/2017,0.855,0.855,0.85,0.85,27000
11/10/2017,0.85,0.85,0.85,0.85,0
12/10/2017,0.85,0.85,0.85,0.85,0
13/10/2017,0.85,0.85,0.85,0.85,0
16/10/2017,0.85,0.85,0.85,0.85,0
17/10/2017,0.895,0.895,0.895,0.895,5000
18/10/2017,0.895,0.895,0.895,0.895,0
19/10/2017,0.895,0.895,0.895,0.895,0
20/10/2017,0.895,0.895,0.895,0.895,0
23/10/2017,0.895,0.895,0.895,0.895,0
24/10/2017,0.895,0.895,0.895,0.895,0
25/10/2017,0.895,0.895,0.895,0.895,0
26/10/2017,0.895,0.895,0.895,0.895,0
27/10/2017,0.895,0.895,0.895,0.895,0
30/10/2017,0.895,0.895,0.895,0.895,0
31/10/2017,0.895,0.895,0.895,0.895,0
01/11/2017,0.895,0.895,0.895,0.895,0
02/11/2017,0.7,0.72,0.7,0.7,14000
03/11/2017,0.73,0.75,0.7,0.75,53919
06/11/2017,0.745,0.75,0.745,0.75,10000
07/11/2017,0.75,0.76,0.75,0.76,20195
08/11/2017,0.7,0.7,0.7,0.7,407
09/11/2017,0.7,0.7,0.7,0.7,0
10/11/2017,0.7,0.7,0.7,0.7,4593
13/11/2017,0.7,0.7,0.7,0.7,0
14/11/2017,0.7,0.7,0.7,0.7,0
15/11/2017,0.7,0.7,0.7,0.7,4828
16/11/2017,0.7,0.7,0.7,0.7,0
17/11/2017,0.7,0.7,0.7,0.7,0
20/11/2017,0.7,0.7,0.7,0.7,0
21/11/2017,0.7,0.7,0.7,0.7,0
22/11/2017,0.7,0.7,0.7,0.7,0
23/11/2017,0.7,0.7,0.7,0.7,0
24/11/2017,0.7,0.7,0.7,0.7,0
27/11/2017,0.7,0.7,0.7,0.7,0
28/11/2017,0.7,0.7,0.7,0.7,0
29/11/2017,0.7,0.7,0.7,0.7,0
30/11/2017,0.7,0.7,0.7,0.7,0
01/12/2017,0.7,0.7,0.7,0.7,0
04/12/2017,0.7,0.7,0.7,0.7,0
05/12/2017,0.595,0.6,0.595,0.6,8229
06/12/2017,0.65,0.68,0.65,0.65,27764
07/12/2017,0.65,0.65,0.65,0.65,12500
08/12/2017,0.65,0.65,0.65,0.65,0
11/12/2017,0.65,0.65,0.65,0.65,2000
12/12/2017,0.65,0.65,0.65,0.65,0
13/12/2017,0.605,0.605,0.6,0.6,14936
14/12/2017,0.6,0.6,0.6,0.6,0
15/12/2017,0.6,0.6,0.6,0.6,0
18/12/2017,0.64,0.64,0.64,0.64,10000
19/12/2017,0.64,0.64,0.64,0.64,0
20/12/2017,0.6,0.6,0.6,0.6,2000
21/12/2017,0.6,0.6,0.6,0.6,0
22/12/2017,0.6,0.6,0.6,0.6,1790
27/12/2017,0.6,0.6,0.6,0.6,0
28/12/2017,0.6,0.6,0.6,0.6,0
29/12/2017,0.6,0.6,0.6,0.6,0
02/01/2018,0.6,0.6,0.6,0.6,0
03/01/2018,0.555,0.555,0.555,0.555,2000
04/01/2018,0.6,0.6,0.6,0.6,2710
05/01/2018,0.62,0.62,0.62,0.62,600
08/01/2018,0.62,0.62,0.62,0.62,0
09/01/2018,0.65,0.675,0.65,0.675,6290
10/01/2018,0.67,0.67,0.62,0.62,969
11/01/2018,0.62,0.62,0.62,0.62,0
12/01/2018,0.675,0.675,0.675,0.675,1750
15/01/2018,0.675,0.675,0.675,0.675,0
16/01/2018,0.675,0.675,0.675,0.675,0
17/01/2018,0.675,0.675,0.675,0.675,1500
18/01/2018,0.675,0.675,0.675,0.675,0
19/01/2018,0.675,0.675,0.675,0.675,0
22/01/2018,0.675,0.675,0.675,0.675,0
23/01/2018,0.58,0.58,0.58,0.58,500
24/01/2018,0.58,0.58,0.58,0.58,0
25/01/2018,0.58,0.58,0.58,0.58,0
29/01/2018,0.58,0.58,0.58,0.58,0
30/01/2018,0.675,0.705,0.675,0.7,201566
31/01/2018,0.7,0.7,0.7,0.7,15000
01/02/2018,0.72,0.72,0.72,0.72,6400
02/02/2018,0.72,0.72,0.72,0.72,0
05/02/2018,0.72,0.72,0.72,0.72,0
06/02/2018,0.72,0.72,0.72,0.72,0
07/02/2018,0.72,0.72,0.72,0.72,0
08/02/2018,0.7,0.7,0.7,0.7,14000
09/02/2018,0.7,0.7,0.7,0.7,0
12/02/2018,0.7,0.7,0.7,0.7,0
13/02/2018,0.7,0.7,0.7,0.7,0
14/02/2018,0.7,0.7,0.7,0.7,0
15/02/2018,0.695,0.695,0.695,0.695,5000
16/02/2018,0.695,0.695,0.695,0.695,0
19/02/2018,0.695,0.695,0.695,0.695,0
20/02/2018,0.695,0.695,0.695,0.695,8000
21/02/2018,0.695,0.695,0.695,0.695,0
22/02/2018,0.695,0.695,0.695,0.695,0
23/02/2018,0.695,0.695,0.695,0.695,0
26/02/2018,0.695,0.695,0.695,0.695,0
27/02/2018,0.695,0.695,0.695,0.695,0
28/02/2018,0.695,0.695,0.695,0.695,0
01/03/2018,0.63,0.63,0.6,0.6,18722
02/03/2018,0.6,0.6,0.6,0.6,0
05/03/2018,0.6,0.6,0.6,0.6,0
06/03/2018,0.6,0.6,0.6,0.6,0
07/03/2018,0.6,0.6,0.6,0.6,8000
08/03/2018,0.6,0.6,0.6,0.6,0
09/03/2018,0.6,0.6,0.6,0.6,12554
12/03/2018,0.605,0.605,0.6,0.6,100000
13/03/2018,0.65,0.7,0.615,0.625,23230
14/03/2018,0.625,0.625,0.625,0.625,0
15/03/2018,0.625,0.625,0.625,0.625,0
16/03/2018,0.625,0.625,0.625,0.625,0
19/03/2018,0.695,0.71,0.695,0.71,42008
20/03/2018,0.72,0.72,0.72,0.72,9700
21/03/2018,0.73,0.73,0.73,0.73,50000
22/03/2018,0.73,0.73,0.73,0.73,0
23/03/2018,0.73,0.73,0.73,0.73,0
26/03/2018,0.73,0.73,0.73,0.73,0
27/03/2018,0.74,0.74,0.74,0.74,1500
28/03/2018,0.745,0.745,0.745,0.745,770
29/03/2018,0.745,0.745,0.745,0.745,0
03/04/2018,0.745,0.745,0.745,0.745,0
04/04/2018,0.745,0.745,0.745,0.745,0
05/04/2018,0.745,0.745,0.745,0.745,0
06/04/2018,0.81,0.81,0.81,0.81,16520
09/04/2018,0.81,0.81,0.81,0.81,0
10/04/2018,0.81,0.81,0.81,0.81,298
11/04/2018,0.81,0.81,0.81,0.81,0
12/04/2018,0.795,0.795,0.795,0.795,1153
13/04/2018,0.8,0.8,0.8,0.8,4847
16/04/2018,0.8,0.8,0.8,0.8,0
17/04/2018,0.8,0.8,0.8,0.8,0
18/04/2018,0.8,0.8,0.8,0.8,0
19/04/2018,0.8,0.8,0.8,0.8,0
20/04/2018,0.8,0.8,0.8,0.8,0
23/04/2018,0.735,0.735,0.73,0.73,520
24/04/2018,0.73,0.73,0.73,0.73,1140
26/04/2018,0.73,0.73,0.73,0.73,0
27/04/2018,0.73,0.73,0.73,0.73,0
30/04/2018,0.73,0.73,0.73,0.73,0
01/05/2018,0.73,0.73,0.73,0.73,0
02/05/2018,0.73,0.73,0.73,0.73,0
03/05/2018,0.73,0.73,0.73,0.73,0
04/05/2018,0.73,0.73,0.73,0.73,0
07/05/2018,0.71,0.71,0.71,0.71,2700
08/05/2018,0.71,0.71,0.71,0.71,0
09/05/2018,0.71,0.71,0.71,0.71,0
10/05/2018,0.71,0.71,0.71,0.71,0
11/05/2018,0.71,0.71,0.71,0.71,732
14/05/2018,0.71,0.71,0.71,0.71,0
15/05/2018,0.71,0.71,0.71,0.71,0
16/05/2018,0.65,0.65,0.65,0.65,14000
17/05/2018,0.65,0.65,0.65,0.65,947
18/05/2018,0.65,0.65,0.65,0.65,0
21/05/2018,0.65,0.65,0.65,0.65,0
22/05/2018,0.65,0.65,0.65,0.65,0
23/05/2018,0.65,0.65,0.65,0.65,0
24/05/2018,0.65,0.65,0.65,0.65,0
25/05/2018,0.65,0.65,0.65,0.65,0
28/05/2018,0.65,0.65,0.65,0.65,0
29/05/2018,0.65,0.65,0.65,0.65,1053
30/05/2018,0.65,0.65,0.65,0.65,0
31/05/2018,0.65,0.65,0.65,0.65,0
01/06/2018,0.65,0.65,0.65,0.65,0
04/06/2018,0.65,0.65,0.65,0.65,0
05/06/2018,0.65,0.65,0.65,0.65,0
06/06/2018,0.65,0.65,0.65,0.65,0
07/06/2018,0.65,0.65,0.65,0.65,0
08/06/2018,0.6,0.6,0.6,0.6,1700
12/06/2018,0.5,0.5,0.49,0.495,34000
13/06/2018,0.49,0.49,0.49,0.49,3836
14/06/2018,0.49,0.49,0.49,0.49,0
15/06/2018,0.485,0.49,0.485,0.49,26000
18/06/2018,0.485,0.485,0.485,0.485,3100
19/06/2018,0.485,0.485,0.485,0.485,0
20/06/2018,0.48,0.48,0.48,0.48,10000
21/06/2018,0.45,0.45,0.4,0.4,81797
22/06/2018,0.435,0.435,0.43,0.43,22124
25/06/2018,0.41,0.43,0.4,0.41,21302
26/06/2018,0.41,0.41,0.4,0.4,22101
27/06/2018,0.4,0.4,0.4,0.4,2899
28/06/2018,0.4,0.4,0.38,0.38,15750
