Date,Open,High,Low,Close,Volume
06/01/2021,0.098,0.105,0.085,0.096,4726906
07/01/2021,0.105,0.11,0.1025,0.105,2930994
08/01/2021,0.12,0.185,0.12,0.165,10235730
11/01/2021,0.17,0.18,0.16,0.165,5409275
12/01/2021,0.16,0.16,0.135,0.14,2984611
13/01/2021,0.14,0.14,0.125,0.125,834312
14/01/2021,0.13,0.135,0.13,0.13,737661
15/01/2021,0.14,0.145,0.135,0.14,620621
18/01/2021,0.145,0.15,0.135,0.14,832269
19/01/2021,0.14,0.145,0.13,0.135,357170
20/01/2021,0.14,0.14,0.125,0.125,874117
21/01/2021,0.135,0.14,0.13,0.13,153677
22/01/2021,0.135,0.135,0.13,0.13,372243
25/01/2021,0.13,0.13,0.125,0.125,474162
27/01/2021,0.13,0.13,0.125,0.125,520882
28/01/2021,0.125,0.13,0.12,0.12,253628
29/01/2021,0.125,0.1275,0.125,0.125,94634
01/02/2021,0.13,0.13,0.12,0.13,678727
02/02/2021,0.13,0.13,0.12,0.12,122327
03/02/2021,0.12,0.12,0.115,0.115,229683
04/02/2021,0.12,0.12,0.115,0.115,188714
05/02/2021,0.11,0.11,0.11,0.11,322900
08/02/2021,0.115,0.125,0.11,0.115,123613
09/02/2021,0.12,0.12,0.115,0.115,12250
10/02/2021,0.12,0.12,0.115,0.115,167924
11/02/2021,0.115,0.115,0.105,0.105,669287
12/02/2021,0.11,0.11,0.105,0.11,89402
15/02/2021,0.11,0.115,0.1,0.1,317479
16/02/2021,0.105,0.105,0.095,0.096,933070
17/02/2021,0.097,0.097,0.093,0.095,392158
18/02/2021,0.093,0.095,0.086,0.09,263197
19/02/2021,0.09,0.093,0.086,0.093,475895
22/02/2021,0.093,0.097,0.093,0.093,97173
23/02/2021,0.093,0.093,0.093,0.093,7142
24/02/2021,0.095,0.095,0.09,0.09,29716
25/02/2021,0.095,0.095,0.088,0.088,541755
26/02/2021,0.09,0.09,0.082,0.082,768000
01/03/2021,0.082,0.084,0.082,0.083,141330
02/03/2021,0.094,0.095,0.089,0.09,563043
03/03/2021,0.093,0.098,0.093,0.096,191592
04/03/2021,0.096,0.096,0.09,0.092,282363
05/03/2021,0.091,0.091,0.088,0.088,101502
08/03/2021,0.09,0.092,0.09,0.092,77053
09/03/2021,0.092,0.092,0.092,0.092,0
10/03/2021,0.094,0.094,0.089,0.089,41761
11/03/2021,0.09,0.09,0.089,0.089,133695
12/03/2021,0.09,0.09,0.089,0.089,11922
15/03/2021,0.09,0.09,0.09,0.09,54000
16/03/2021,0.09,0.094,0.09,0.09,16441
17/03/2021,0.09,0.09,0.09,0.09,65000
18/03/2021,0.088,0.09,0.086,0.09,129182
19/03/2021,0.09,0.09,0.089,0.09,91383
22/03/2021,0.087,0.09,0.087,0.09,147901
23/03/2021,0.09,0.09,0.09,0.09,194458
24/03/2021,0.09,0.09,0.09,0.09,10000
25/03/2021,0.091,0.091,0.09,0.09,37444
26/03/2021,0.092,0.092,0.092,0.092,2717
29/03/2021,0.092,0.092,0.092,0.092,0
30/03/2021,0.092,0.092,0.092,0.092,0
31/03/2021,0.088,0.088,0.088,0.088,42538
01/04/2021,0.087,0.087,0.079,0.085,408905
06/04/2021,0.085,0.085,0.085,0.085,0
07/04/2021,0.086,0.086,0.085,0.085,245444
08/04/2021,0.085,0.088,0.08,0.08,490083
09/04/2021,0.088,0.088,0.086,0.088,212598
12/04/2021,0.085,0.086,0.085,0.086,387006
13/04/2021,0.086,0.086,0.086,0.086,0
14/04/2021,0.082,0.083,0.082,0.083,17000
15/04/2021,0.085,0.085,0.085,0.085,84119
16/04/2021,0.085,0.085,0.085,0.085,0
19/04/2021,0.085,0.085,0.085,0.085,10000
20/04/2021,0.083,0.083,0.082,0.082,19380
