Date,Open,High,Low,Close,Volume
11/12/2015,49.95,49.95,49.95,49.95,200
14/12/2015,49.64,49.83,49.64,49.7,437
15/12/2015,49.7,49.7,49.7,49.7,0
16/12/2015,49.7,49.7,49.7,49.7,0
17/12/2015,50.75,50.75,50.65,50.65,896
18/12/2015,50.66,50.66,50.66,50.66,1634
21/12/2015,49.92,49.92,49.92,49.92,297
22/12/2015,49.92,49.92,49.92,49.92,0
23/12/2015,49.92,49.92,49.92,49.92,0
24/12/2015,51.04,51.08,51.04,51.08,215
29/12/2015,50.73,50.73,50.73,50.73,195
30/12/2015,50.73,50.73,50.73,50.73,0
31/12/2015,50.75,50.75,50.5,50.5,4066
04/01/2016,49.69,49.94,49.69,49.94,3010
05/01/2016,49.67,49.67,49.62,49.62,2201
06/01/2016,49.5,49.5,49.35,49.35,910
07/01/2016,49.28,49.28,49.02,49.02,2850
08/01/2016,49,49,49,49,206
11/01/2016,49,49,49,49,0
12/01/2016,48.72,48.72,48.72,48.72,1275
13/01/2016,49.14,49.14,49.12,49.12,531
14/01/2016,49.12,49.12,49.12,49.12,0
15/01/2016,49.13,49.13,48.5,48.5,4354
18/01/2016,47.59,47.6,47.3,47.3,205
19/01/2016,47.34,47.6,47.34,47.6,3011
20/01/2016,47.68,47.68,47.4,47.4,500
21/01/2016,46.78,46.81,46.78,46.8,117
22/01/2016,46.65,46.65,46.37,46.54,3939
25/01/2016,46.54,46.54,46.54,46.54,0
27/01/2016,47.23,47.23,47.23,47.23,2000
28/01/2016,47.23,47.23,47.23,47.23,0
29/01/2016,47.23,47.23,47.23,47.23,0
01/02/2016,48.01,48.01,48,48,408
02/02/2016,47.69,47.72,47.66,47.72,2643
03/02/2016,47.01,47.07,47.01,47.06,3020
04/02/2016,47.06,47.06,47.06,47.06,0
05/02/2016,46.64,46.64,46.64,46.64,20
08/02/2016,46.64,46.79,46.64,46.7,4790
09/02/2016,45.5,45.53,45.31,45.31,1249
10/02/2016,45.1,45.19,45.1,45.1,3600
11/02/2016,45,45,44.69,44.69,2022
12/02/2016,44.25,44.63,44.25,44.63,2646
15/02/2016,45.41,45.41,45.39,45.4,2576
16/02/2016,45.64,45.83,45.64,45.82,3045
17/02/2016,45.82,45.82,45.82,45.82,0
18/02/2016,45.82,45.82,45.82,45.82,0
19/02/2016,46.84,46.84,46.84,46.84,213
22/02/2016,46.47,46.47,46.47,46.47,449
23/02/2016,46.47,46.47,46.47,46.47,0
24/02/2016,45.47,45.47,45.47,45.47,734
25/02/2016,45.5,45.69,45.5,45.69,306
26/02/2016,45.77,45.77,45.77,45.77,545
29/02/2016,46.06,46.06,46.06,46.06,650
01/03/2016,45.93,46.01,45.93,46.01,1012
02/03/2016,46.01,46.01,46.01,46.01,0
03/03/2016,46.01,46.01,46.01,46.01,0
04/03/2016,46.28,46.28,46.28,46.28,33
07/03/2016,46.15,46.16,46.15,46.16,3600
08/03/2016,46.06,46.09,46.06,46.09,1828
09/03/2016,46.09,46.09,46.09,46.09,0
10/03/2016,45.65,45.65,45.65,45.65,65
11/03/2016,45.8,45.8,45.8,45.8,108
14/03/2016,46.06,46.17,45.74,45.74,2824
15/03/2016,46.41,46.41,46.41,46.41,110
16/03/2016,46.41,46.41,46.41,46.41,0
17/03/2016,46.41,46.41,46.41,46.41,475
18/03/2016,46.41,46.41,46.41,46.41,0
21/03/2016,46.42,46.42,45.97,45.97,170
22/03/2016,45.97,45.97,45.97,45.97,0
23/03/2016,45.75,45.75,45.75,45.75,588
24/03/2016,45.75,45.75,45.75,45.75,0
29/03/2016,45.86,45.86,45.86,45.86,1078
30/03/2016,45.96,45.97,45.96,45.97,1322
31/03/2016,45.97,45.97,45.97,45.97,0
01/04/2016,45.55,45.55,45.52,45.52,919
04/04/2016,45.2,45.2,45.19,45.19,470
05/04/2016,45.69,45.72,45.69,45.72,2220
06/04/2016,45.72,45.72,45.72,45.72,0
07/04/2016,45.48,45.48,45.48,45.48,1208
08/04/2016,45.16,45.16,45.16,45.16,425
11/04/2016,45.16,45.16,45.16,45.16,0
12/04/2016,45.52,45.52,45.52,45.52,1100
13/04/2016,45.61,45.61,45.61,45.61,600
14/04/2016,45.61,45.61,45.61,45.61,0
15/04/2016,46.05,46.07,46.05,46.07,285
18/04/2016,46.07,46.07,46.07,46.07,0
19/04/2016,46.07,46.07,46.07,46.07,0
20/04/2016,46.07,46.07,46.07,46.07,0
21/04/2016,46.07,46.07,46.07,46.07,0
22/04/2016,46.07,46.07,46.07,46.07,0
26/04/2016,46.52,46.52,46.52,46.52,429
27/04/2016,47.04,47.04,47.04,47.04,530
28/04/2016,47.61,47.61,47.61,47.61,283
29/04/2016,47.17,47.17,47.17,47.17,53
02/05/2016,47.17,47.17,47.17,47.17,0
03/05/2016,47.17,47.17,47.17,47.17,0
04/05/2016,47.17,47.17,47.17,47.17,0
05/05/2016,47.17,47.17,47.17,47.17,0
06/05/2016,46.7,46.7,46.7,46.7,107
09/05/2016,46.7,46.7,46.7,46.7,0
10/05/2016,46.7,46.7,46.7,46.7,0
11/05/2016,47.98,47.98,47.98,47.98,800
12/05/2016,47.77,47.88,47.75,47.88,742
13/05/2016,47.89,47.89,47.89,47.89,104
16/05/2016,47.69,47.69,47.69,47.69,104
17/05/2016,47.89,47.89,47.89,47.89,121
18/05/2016,47.89,47.89,47.89,47.89,0
19/05/2016,48.21,48.21,48.21,48.21,62
20/05/2016,48.21,48.21,48.21,48.21,0
23/05/2016,48.3,48.3,48.3,48.3,3105
24/05/2016,48.3,48.3,48.3,48.3,0
25/05/2016,49.3,49.65,49.29,49.63,4534
26/05/2016,49.69,49.69,49.69,49.69,547
27/05/2016,49.69,49.69,49.69,49.69,0
30/05/2016,50,50.39,50,50.38,747
31/05/2016,50,50,50,50,100
01/06/2016,49.47,49.47,49.47,49.47,80
02/06/2016,49.27,49.27,49.27,49.27,1010
03/06/2016,49.27,49.27,49.27,49.27,0
06/06/2016,48.91,49.01,48.91,49.01,2506
07/06/2016,49.01,49.01,49.01,49.01,0
08/06/2016,48.86,48.86,48.86,48.86,500
09/06/2016,48.86,48.86,48.86,48.86,0
10/06/2016,48.31,48.31,48.28,48.28,870
14/06/2016,48,48,44,45.83,5371
15/06/2016,45.26,45.26,45.1,45.1,697
16/06/2016,45.1,45.2,45.07,45.1,15761
17/06/2016,45.57,45.57,45.57,45.57,283
20/06/2016,47.27,47.27,47.27,47.27,1150
21/06/2016,47.47,47.48,47.45,47.48,1309
22/06/2016,47.83,47.83,47.6,47.6,1441
23/06/2016,47.84,47.84,47.7,47.7,1118
24/06/2016,48,48,43.66,43.66,5417
27/06/2016,43.45,43.45,42.48,43.4,15722
28/06/2016,43.35,43.49,43,43.49,2441
29/06/2016,44.34,44.34,44.01,44.2,11183
30/06/2016,45.04,45.05,44.96,44.96,691
01/07/2016,44.99,44.99,44.99,44.99,1600
04/07/2016,45.16,45.16,45.16,45.16,589
05/07/2016,44.51,44.51,44.51,44.51,64
06/07/2016,44.51,44.51,44.51,44.51,0
07/07/2016,43.35,43.35,43.35,43.35,1000
08/07/2016,43.35,43.35,43.35,43.35,0
11/07/2016,43.35,43.66,43.35,43.66,359
12/07/2016,44.26,44.26,44.26,44.26,1350
13/07/2016,44.26,44.26,44.26,44.26,0
14/07/2016,44.26,44.26,44.26,44.26,0
15/07/2016,44.26,44.26,44.26,44.26,0
18/07/2016,44.94,44.94,44.9,44.91,1284
19/07/2016,44.84,45.26,44.84,45.26,1200
20/07/2016,45.15,45.15,45.09,45.09,478
21/07/2016,45.09,45.09,45.09,45.09,0
22/07/2016,45.6,45.6,45.6,45.6,1460
25/07/2016,45.6,45.6,45.6,45.6,109
26/07/2016,45.53,45.53,45.53,45.53,220
27/07/2016,45.84,45.84,45.84,45.84,545
28/07/2016,45.98,45.98,45.89,45.9,1494
29/07/2016,45.95,45.95,45.87,45.87,1650
01/08/2016,45.87,45.87,45.87,45.87,0
02/08/2016,45.78,45.78,45.78,45.78,129
03/08/2016,45.79,45.79,45.55,45.55,87
04/08/2016,45.55,45.55,45.55,45.55,0
05/08/2016,45.5,45.5,44.98,45,1709
08/08/2016,45.35,45.47,45.35,45.36,614
09/08/2016,45.17,45.17,44.81,44.81,675
10/08/2016,45.61,45.61,45.61,45.61,350
11/08/2016,45.48,45.48,45.48,45.48,44
12/08/2016,45.48,45.48,45.48,45.48,0
15/08/2016,46.01,46.01,46.01,46.01,100
16/08/2016,46.05,46.09,46.05,46.09,341
17/08/2016,46.17,46.17,46.17,46.17,480
18/08/2016,46.17,46.17,46.17,46.17,0
19/08/2016,46.17,46.17,46.17,46.17,0
22/08/2016,46.19,46.19,46.19,46.19,40
23/08/2016,46.19,46.19,46.19,46.19,0
24/08/2016,46.38,46.38,46.38,46.38,70
25/08/2016,46.51,46.51,46.51,46.51,40
26/08/2016,46.51,46.51,46.51,46.51,0
29/08/2016,46.34,46.34,46.34,46.34,141
30/08/2016,46.51,46.51,46.51,46.51,540
31/08/2016,46.74,46.74,46.74,46.74,61
01/09/2016,46.39,46.39,46.39,46.39,344
02/09/2016,46.39,46.39,46.39,46.39,0
05/09/2016,47.06,47.19,47.04,47.19,1597
06/09/2016,47.01,47.01,47.01,47.01,200
07/09/2016,46.94,46.94,46.94,46.94,38
08/09/2016,46.92,46.92,46.65,46.86,928
09/09/2016,46.86,46.86,46.86,46.86,0
12/09/2016,46.86,46.86,46.5,46.5,150
13/09/2016,46.97,46.97,46.97,46.97,2537
14/09/2016,46.43,46.43,46.43,46.43,1
15/09/2016,46.55,46.55,46.55,46.55,1000
16/09/2016,46.55,46.55,46.55,46.55,44
19/09/2016,46.03,46.03,46.03,46.03,7
20/09/2016,46.03,46.03,46.03,46.03,0
21/09/2016,46.07,46.1,46.07,46.1,1049
22/09/2016,46,46,45.93,45.93,200
23/09/2016,45.93,45.93,45.93,45.93,0
26/09/2016,45.93,45.93,45.93,45.93,0
27/09/2016,45.93,45.93,45.93,45.93,0
28/09/2016,45.54,45.57,45.51,45.53,776
29/09/2016,46.14,46.14,46.14,46.14,7
30/09/2016,45.45,45.45,45.45,45.45,8
03/10/2016,46.04,46.1,46.04,46.1,1788
