Date,Open,High,Low,Close,Volume
12/06/2007,0.4,0.55,0.4,0.49,2323155
13/06/2007,0.47,0.48,0.43,0.455,479913
14/06/2007,0.46,0.48,0.45,0.45,86253
15/06/2007,0.46,0.46,0.4,0.42,113347
18/06/2007,0.445,0.45,0.4,0.4,164750
19/06/2007,0.45,0.45,0.42,0.44,51240
20/06/2007,0.44,0.5,0.44,0.5,384806
21/06/2007,0.5,0.525,0.48,0.525,549810
22/06/2007,0.545,0.65,0.54,0.6,318738
25/06/2007,0.595,0.6,0.57,0.57,235412
26/06/2007,0.57,0.615,0.55,0.58,178880
27/06/2007,0.6,0.71,0.59,0.65,271949
28/06/2007,0.65,0.68,0.65,0.65,184391
29/06/2007,0.65,0.67,0.63,0.65,192214
02/07/2007,0.69,0.69,0.64,0.64,95960
03/07/2007,0.65,0.665,0.65,0.665,62274
04/07/2007,0.665,0.665,0.62,0.62,90612
05/07/2007,0.62,0.63,0.6,0.62,90974
06/07/2007,0.63,0.645,0.63,0.63,116231
09/07/2007,0.6,0.6,0.6,0.6,22941
10/07/2007,0.625,0.63,0.625,0.63,21270
11/07/2007,0.6,0.6,0.6,0.6,8085
12/07/2007,0.6,0.625,0.6,0.625,60000
13/07/2007,0.625,0.625,0.625,0.625,26000
16/07/2007,0.6,0.6,0.6,0.6,65000
17/07/2007,0.6,0.625,0.58,0.625,62712
18/07/2007,0.6,0.6,0.59,0.6,55000
19/07/2007,0.625,0.65,0.62,0.62,62200
20/07/2007,0.62,0.62,0.59,0.6,59601
23/07/2007,0.59,0.6,0.59,0.6,10956
24/07/2007,0.6,0.6,0.6,0.6,0
25/07/2007,0.6,0.6,0.6,0.6,60000
26/07/2007,0.59,0.59,0.59,0.59,3700
27/07/2007,0.57,0.57,0.54,0.54,11000
30/07/2007,0.54,0.54,0.54,0.54,790
31/07/2007,0.55,0.57,0.55,0.56,58200
01/08/2007,0.56,0.56,0.54,0.54,69160
02/08/2007,0.54,0.54,0.52,0.52,29000
03/08/2007,0.52,0.52,0.49,0.49,56867
06/08/2007,0.49,0.49,0.45,0.45,20000
07/08/2007,0.5,0.51,0.5,0.51,21001
08/08/2007,0.5,0.5,0.5,0.5,60000
09/08/2007,0.5,0.51,0.5,0.51,47999
10/08/2007,0.55,0.55,0.52,0.52,27000
13/08/2007,0.525,0.525,0.525,0.525,21000
14/08/2007,0.525,0.53,0.505,0.505,55300
15/08/2007,0.505,0.505,0.41,0.5,137101
16/08/2007,0.5,0.5,0.5,0.5,0
17/08/2007,0.49,0.49,0.46,0.49,40200
20/08/2007,0.48,0.48,0.48,0.48,15354
21/08/2007,0.48,0.48,0.48,0.48,0
22/08/2007,0.48,0.48,0.48,0.48,0
23/08/2007,0.48,0.5,0.48,0.5,31866
24/08/2007,0.5,0.5,0.5,0.5,10000
27/08/2007,0.5,0.5,0.5,0.5,1000
