Date,Open,High,Low,Close,Volume
12/05/2009,60.08,60.38,60.08,60.3,486
13/05/2009,60.3,60.3,60.3,60.3,0
14/05/2009,60.3,60.3,60.3,60.3,0
15/05/2009,60.3,60.3,60.3,60.3,0
18/05/2009,60.3,60.3,60.3,60.3,0
19/05/2009,60.01,60.1,60.01,60.1,1320
20/05/2009,60.1,60.1,60.1,60.1,0
21/05/2009,58.63,58.63,58.39,58.39,315
22/05/2009,57.82,57.82,57.82,57.82,140
25/05/2009,57.25,57.25,57.25,57.25,100
26/05/2009,57.25,57.25,57.25,57.25,0
27/05/2009,58.48,58.48,58.48,58.48,130
28/05/2009,58.09,58.09,58.09,58.09,101
29/05/2009,58.12,58.12,58.12,58.12,150
01/06/2009,58.12,58.12,58.12,58.12,0
02/06/2009,58.12,58.12,58.12,58.12,0
03/06/2009,58.33,58.33,58,58,2171
04/06/2009,59.02,59.27,59.02,59.12,1430
05/06/2009,59.12,59.12,59.12,59.12,0
09/06/2009,59.12,59.12,59.12,59.12,31
10/06/2009,59.65,59.65,59.41,59.41,70
11/06/2009,59.28,59.28,59.15,59.15,302
12/06/2009,58.57,58.57,58.57,58.57,50
15/06/2009,59.05,59.06,59.03,59.06,370
16/06/2009,59,59,59,59,9
17/06/2009,59,59,59,59,0
18/06/2009,59,59,59,59,35
19/06/2009,57.63,57.63,57.51,57.51,800
22/06/2009,57.78,57.78,57.78,57.78,250
23/06/2009,57.73,57.79,57.6,57.79,945
24/06/2009,56.91,56.94,56.91,56.94,517
25/06/2009,56.96,56.96,56.9,56.9,210
26/06/2009,56.9,56.9,56.9,56.9,0
29/06/2009,57.51,57.51,57.51,57.51,10
30/06/2009,57.51,57.51,57.51,57.51,0
01/07/2009,57.6,57.6,57.6,57.6,70
02/07/2009,57.8,57.8,57.8,57.8,1030
03/07/2009,57.06,57.06,57.06,57.06,200
06/07/2009,56.87,56.87,56.78,56.78,353
07/07/2009,56.75,56.75,56.75,56.75,314
08/07/2009,56.55,56.55,56.45,56.45,379
09/07/2009,57.06,57.06,57.06,57.06,780
10/07/2009,56.71,56.94,56.71,56.81,1075
13/07/2009,56.65,56.65,56.65,56.65,264
14/07/2009,56.65,56.65,56.65,56.65,0
15/07/2009,56.65,56.65,56.65,56.65,0
16/07/2009,56.65,56.65,56.65,56.65,0
17/07/2009,59.02,59.09,59.02,59.04,479
20/07/2009,58.93,59.17,58.93,59.17,184
21/07/2009,59.05,59.05,59.05,59.05,100
22/07/2009,59.05,59.05,59.05,59.05,0
23/07/2009,59.15,59.15,59.15,59.15,117
24/07/2009,60,60.06,60,60.06,267
27/07/2009,60.39,60.39,60.37,60.37,2430
28/07/2009,60.37,60.37,60.37,60.37,0
29/07/2009,60,60,60,60,165
30/07/2009,60.8,60.8,60.75,60.75,1234
31/07/2009,60.44,60.44,60.35,60.35,278
03/08/2009,59.9,60.06,59.9,60.06,789
04/08/2009,60.22,60.22,60.2,60.2,349
05/08/2009,60.68,60.68,60.68,60.68,9
06/08/2009,60.68,60.68,60.54,60.57,137
07/08/2009,60.25,60.38,60.25,60.38,180
10/08/2009,60.97,61.23,60.97,61.23,502
11/08/2009,61.25,61.8,61.25,61.74,709
12/08/2009,61.32,61.44,61.32,61.44,412
13/08/2009,61.32,61.32,61.32,61.32,940
14/08/2009,61.15,61.45,61.15,61.45,263
17/08/2009,61.9,61.9,61.9,61.9,255
18/08/2009,60.56,60.56,60.56,60.56,150
19/08/2009,60.7,60.7,60.7,60.7,660
20/08/2009,61.36,61.36,61.36,61.36,245
21/08/2009,61.95,61.95,61.43,61.5,650
24/08/2009,62.27,62.52,62.27,62.52,913
25/08/2009,62.31,62.37,62.31,62.37,3100
26/08/2009,62.58,62.58,62.58,62.58,120
27/08/2009,63,63,63,63,600
28/08/2009,63,63,62.45,62.45,123
31/08/2009,62.22,62.22,62.16,62.16,763
01/09/2009,61.82,61.82,61.82,61.82,75
02/09/2009,61.58,61.58,61.27,61.27,1534
03/09/2009,60.74,60.74,60.74,60.74,32
04/09/2009,60.75,60.75,60.71,60.74,1067
07/09/2009,60.74,60.74,60.5,60.5,314
08/09/2009,60.76,60.82,60.76,60.82,1400
09/09/2009,60.32,60.63,60.32,60.63,95
10/09/2009,61.14,61.53,61.14,61.53,1150
11/09/2009,61.53,61.53,61.53,61.53,0
14/09/2009,61.53,61.53,61.53,61.53,0
