Date,Open,High,Low,Close,Volume
17/04/2018,50.6,50.65,50.6,50.65,1810
18/04/2018,50.93,50.93,50.9,50.9,286
19/04/2018,50.9,50.9,50.9,50.9,0
20/04/2018,50.9,50.9,50.9,50.9,0
23/04/2018,50.9,50.9,50.9,50.9,0
24/04/2018,52.14,52.14,52.12,52.12,14657
26/04/2018,52.08,52.2,52.03,52.2,379
27/04/2018,52.77,52.77,52.49,52.49,501
30/04/2018,52.49,52.49,52.4,52.4,1076
01/05/2018,52.25,52.25,52.18,52.18,195
02/05/2018,52.25,52.25,52.25,52.25,100
03/05/2018,52,52.05,52,52.05,4900
04/05/2018,51.56,51.72,51.56,51.72,201
07/05/2018,52.2,52.2,52.18,52.18,604
08/05/2018,52.18,52.18,52.18,52.18,0
09/05/2018,52.7,52.89,52.69,52.69,1502
10/05/2018,53.08,53.08,53.08,53.08,2100
11/05/2018,52.91,52.91,52.73,52.73,1360
14/05/2018,52.99,52.99,52.99,52.99,399
15/05/2018,52.99,52.99,52.99,52.99,0
16/05/2018,53.43,53.43,53.43,53.43,1030
17/05/2018,53.43,53.43,53.06,53.06,669
18/05/2018,53.39,53.46,53.39,53.45,724
21/05/2018,53.45,53.54,53.34,53.34,5375
22/05/2018,53.22,53.22,53.03,53.03,528
23/05/2018,53.05,53.05,53.05,53.05,283
24/05/2018,52.99,52.99,52.6,52.6,5793
25/05/2018,52.61,52.62,52.61,52.62,4000
28/05/2018,52.65,52.65,52.4,52.41,925
29/05/2018,52.5,52.5,52.47,52.47,26
30/05/2018,52.14,52.14,51.95,52,4057
31/05/2018,52,52.02,51.96,51.96,8309
01/06/2018,51.86,51.86,51.71,51.71,1164
04/06/2018,52,52,51.75,51.75,6164
05/06/2018,51.68,51.68,51.68,51.68,1042
06/06/2018,51.68,51.68,51.68,51.68,0
07/06/2018,51.68,51.68,51.68,51.68,0
08/06/2018,52.4,52.58,52.33,52.58,10033
12/06/2018,52.58,52.58,52.58,52.58,0
13/06/2018,53,53,53,53,513
14/06/2018,53,53.08,53,53.08,846
15/06/2018,53.75,53.75,53.4,53.4,18537
18/06/2018,53.32,53.35,53.32,53.35,3832
19/06/2018,53.38,53.38,53.34,53.34,1031
20/06/2018,53.63,53.63,53.63,53.63,1874
21/06/2018,53.83,53.95,53.83,53.86,9140
22/06/2018,53.5,53.5,53.22,53.22,2780
25/06/2018,53.03,53.08,52.9,53.08,534
26/06/2018,53.08,53.08,53.08,53.08,0
27/06/2018,53.08,53.08,53.08,53.08,0
28/06/2018,52.9,52.9,52.9,52.9,1900
29/06/2018,52.86,52.9,52.61,52.61,1288
02/07/2018,52.2,52.2,49.75,49.75,5824
03/07/2018,50.22,50.33,50.09,50.14,12274
04/07/2018,49.86,49.86,49.74,49.83,1299
05/07/2018,50.04,50.05,50.04,50.05,466
06/07/2018,50.39,50.39,50.39,50.39,25
09/07/2018,50.43,50.45,50.33,50.33,332
10/07/2018,50.33,50.33,50.33,50.33,0
11/07/2018,50.56,50.7,50.56,50.68,1171
12/07/2018,50.71,50.71,50.5,50.5,661
13/07/2018,50.53,50.58,50.35,50.35,1369
16/07/2018,50.54,50.54,50.5,50.52,1312
17/07/2018,50.25,50.25,50.25,50.25,397
18/07/2018,50.8,50.8,50.8,50.8,500
19/07/2018,50.7,50.7,50.24,50.24,687
20/07/2018,50.85,50.87,50.81,50.81,895
23/07/2018,50.28,50.28,50.05,50.12,5830
24/07/2018,50.6,50.6,50.6,50.6,400
25/07/2018,50.48,50.48,50.48,50.48,544
26/07/2018,50.3,50.31,50.3,50.31,2688
27/07/2018,51.3,51.3,51.29,51.29,253
30/07/2018,51.06,51.06,50.96,51,557
31/07/2018,51.1,51.1,51,51,3345
01/08/2018,51.04,51.23,51.04,51.23,1059
