Date,Open,High,Low,Close,Volume
31/10/2006,0.205,0.215,0.19,0.215,852000
01/11/2006,0.23,0.26,0.23,0.26,1687993
02/11/2006,0.26,0.27,0.24,0.25,1289100
03/11/2006,0.24,0.24,0.225,0.23,829380
06/11/2006,0.23,0.235,0.225,0.23,181445
07/11/2006,0.225,0.23,0.22,0.23,635773
08/11/2006,0.22,0.225,0.21,0.22,460131
09/11/2006,0.22,0.22,0.22,0.22,290148
10/11/2006,0.22,0.22,0.22,0.22,110717
13/11/2006,0.215,0.215,0.195,0.195,497973
14/11/2006,0.2,0.21,0.2,0.21,266701
15/11/2006,0.215,0.215,0.215,0.215,10000
16/11/2006,0.215,0.215,0.21,0.21,31000
17/11/2006,0.205,0.205,0.2,0.2,103000
20/11/2006,0.21,0.21,0.21,0.21,97400
21/11/2006,0.21,0.21,0.205,0.205,40000
22/11/2006,0.205,0.205,0.2,0.2,30000
23/11/2006,0.2,0.2,0.2,0.2,50000
24/11/2006,0.2,0.2,0.195,0.195,112000
27/11/2006,0.21,0.21,0.2,0.2,102500
28/11/2006,0.2,0.2,0.2,0.2,10000
29/11/2006,0.2,0.205,0.195,0.205,45000
30/11/2006,0.205,0.205,0.205,0.205,0
01/12/2006,0.19,0.19,0.18,0.19,95917
04/12/2006,0.19,0.19,0.19,0.19,10000
05/12/2006,0.19,0.19,0.185,0.185,235000
06/12/2006,0.19,0.19,0.19,0.19,3000
07/12/2006,0.19,0.19,0.19,0.19,2000
08/12/2006,0.195,0.195,0.195,0.195,35000
11/12/2006,0.195,0.2,0.19,0.2,15000
12/12/2006,0.19,0.19,0.18,0.18,50000
13/12/2006,0.18,0.18,0.175,0.175,142883
14/12/2006,0.175,0.175,0.175,0.175,16000
15/12/2006,0.18,0.185,0.18,0.185,55000
18/12/2006,0.185,0.185,0.185,0.185,15000
19/12/2006,0.185,0.185,0.185,0.185,45000
20/12/2006,0.185,0.185,0.185,0.185,0
21/12/2006,0.185,0.19,0.185,0.19,60000
22/12/2006,0.19,0.19,0.19,0.19,0
27/12/2006,0.19,0.19,0.19,0.19,10000
28/12/2006,0.18,0.19,0.18,0.19,15000
29/12/2006,0.195,0.195,0.195,0.195,840
02/01/2007,0.19,0.19,0.175,0.185,72703
03/01/2007,0.185,0.185,0.185,0.185,10000
04/01/2007,0.18,0.18,0.18,0.18,3000
05/01/2007,0.18,0.18,0.18,0.18,0
08/01/2007,0.175,0.175,0.165,0.165,60000
09/01/2007,0.17,0.17,0.165,0.165,86000
10/01/2007,0.17,0.17,0.155,0.16,335000
11/01/2007,0.16,0.165,0.16,0.165,90000
12/01/2007,0.17,0.175,0.17,0.175,49537
15/01/2007,0.18,0.185,0.18,0.185,50000
16/01/2007,0.185,0.185,0.185,0.185,0
17/01/2007,0.18,0.18,0.18,0.18,16160
18/01/2007,0.18,0.18,0.18,0.18,100000
19/01/2007,0.175,0.175,0.17,0.175,250000
22/01/2007,0.165,0.165,0.165,0.165,10000
23/01/2007,0.175,0.175,0.17,0.17,102500
24/01/2007,0.165,0.165,0.165,0.165,50000
25/01/2007,0.175,0.175,0.165,0.165,104000
29/01/2007,0.165,0.165,0.165,0.165,6530
30/01/2007,0.165,0.165,0.165,0.165,0
31/01/2007,0.17,0.17,0.165,0.17,123470
01/02/2007,0.165,0.165,0.165,0.165,10000
02/02/2007,0.17,0.175,0.17,0.175,10000
05/02/2007,0.17,0.17,0.17,0.17,30000
06/02/2007,0.17,0.17,0.17,0.17,30000
07/02/2007,0.17,0.17,0.16,0.16,95533
08/02/2007,0.16,0.16,0.16,0.16,20000
09/02/2007,0.16,0.16,0.16,0.16,0
12/02/2007,0.16,0.16,0.155,0.155,9163
13/02/2007,0.155,0.155,0.155,0.155,30000
14/02/2007,0.16,0.17,0.16,0.17,35435
15/02/2007,0.17,0.17,0.17,0.17,0
16/02/2007,0.17,0.17,0.17,0.17,0
19/02/2007,0.165,0.165,0.165,0.165,5900
20/02/2007,0.165,0.175,0.165,0.175,100000
21/02/2007,0.17,0.17,0.165,0.165,25000
22/02/2007,0.165,0.165,0.165,0.165,0
23/02/2007,0.165,0.165,0.165,0.165,0
26/02/2007,0.165,0.165,0.165,0.165,0
27/02/2007,0.165,0.165,0.165,0.165,0
28/02/2007,0.16,0.16,0.145,0.145,137107
01/03/2007,0.145,0.15,0.145,0.15,70000
02/03/2007,0.15,0.15,0.15,0.15,40000
05/03/2007,0.145,0.145,0.145,0.145,100000
