Date,Open,High,Low,Close,Volume
03/01/2017,102.71,102.71,102.71,102.71,132
17/01/2017,103,103,103,103,132
10/03/2017,103.51,103.51,103.51,103.51,131
16/03/2017,103.91,103.91,103.91,103.91,349
22/03/2017,104.09,104.09,104.09,104.09,290
31/03/2017,104.38,104.38,104.38,104.38,260
05/04/2017,104.61,104.61,104.61,104.61,260
19/04/2017,104.97,104.97,104.97,104.97,129
21/04/2017,104.89,104.89,104.89,104.89,64
26/04/2017,104.74,104.74,104.74,104.74,86
27/04/2017,104.8,104.8,104.47,104.47,1686
05/05/2017,104.78,104.78,104.78,104.78,43
22/05/2017,105.19,105.19,105.19,105.19,129
19/06/2017,103.81,103.81,103.81,103.81,271
29/06/2017,103.62,103.62,103.62,103.62,262
04/07/2017,103.11,103.11,103.11,103.11,131
17/07/2017,103.56,103.56,103.56,103.56,131
27/07/2017,103.74,103.74,103.74,103.74,131
18/08/2017,103.76,103.76,103.76,103.76,130
05/09/2017,104.06,104.06,104.06,104.06,775
18/09/2017,104.06,104.06,104.06,104.06,20
11/10/2017,104.06,104.06,104.06,104.06,80
23/10/2017,104.09,104.09,104.09,104.09,87
22/11/2017,104.67,104.67,104.67,104.67,256
08/01/2018,102.92,102.92,102.92,102.92,145
19/01/2018,102.71,102.71,102.71,102.71,48
23/01/2018,102.77,102.77,102.77,102.77,145
13/02/2018,103.12,103.12,103.12,103.12,131
21/02/2018,103.55,103.55,103.55,103.55,115
02/03/2018,103.77,103.77,103.77,103.77,500
07/03/2018,103.65,103.65,103.65,103.65,8
21/03/2018,102.95,102.95,102.95,102.95,145
13/04/2018,102.9,102.9,102.9,102.9,132
01/05/2018,103.26,103.26,103.26,103.26,144
15/05/2018,103.41,103.41,103.41,103.41,144
05/06/2018,101.84,101.84,101.84,101.84,292
08/06/2018,101.9,101.9,101.9,101.9,10
21/06/2018,101.96,101.96,101.96,101.96,10
25/06/2018,101.99,101.99,101.99,101.99,10
12/07/2018,102.21,102.43,102.21,102.43,32
18/07/2018,102.18,102.18,102.18,102.18,22
17/08/2018,102.52,102.52,102.52,102.52,10
29/10/2018,103.04,103.04,103.04,103.04,10
02/11/2018,102.99,102.99,102.99,102.99,290
16/11/2018,103.06,103.06,103.06,103.06,20
07/01/2019,101.81,101.81,101.81,101.81,10
18/01/2019,101.9,101.9,101.9,101.9,10
25/01/2019,102.01,102.01,102.01,102.01,10
26/03/2019,102.84,102.84,102.84,102.84,10
12/04/2019,102.97,102.97,102.97,102.97,10
16/04/2019,102.94,102.94,102.94,102.94,500
30/05/2019,101.87,101.87,101.87,101.87,10
06/06/2019,101.94,101.94,101.94,101.94,10
24/06/2019,102.17,102.17,102.17,102.17,10
25/06/2019,102.18,102.18,102.18,102.18,10
02/09/2019,102.56,102.56,102.56,102.56,10
11/09/2019,102.54,102.54,102.54,102.54,10
11/11/2019,102.68,102.68,102.68,102.68,10
21/11/2019,102.79,102.79,102.79,102.79,10
28/02/2020,101.38,101.38,101.38,101.38,10
