Date,Open,High,Low,Close,Volume
18/04/2018,102.68,102.68,102.68,102.68,789
19/04/2018,102.68,102.68,102.68,102.68,0
20/04/2018,102.68,102.68,102.68,102.68,0
23/04/2018,102.68,102.68,102.68,102.68,0
24/04/2018,102.68,102.68,102.68,102.68,0
26/04/2018,102.68,102.68,102.68,102.68,0
27/04/2018,102.68,102.68,102.68,102.68,0
30/04/2018,102.5,102.5,102.5,102.5,1293
01/05/2018,103,103,102.56,102.56,1461
02/05/2018,102.56,102.56,102.56,102.56,0
03/05/2018,102.56,102.56,102.56,102.56,0
04/05/2018,102.56,102.56,102.56,102.56,1616
07/05/2018,102.56,102.56,102.56,102.56,0
08/05/2018,102.56,102.56,102.56,102.56,0
09/05/2018,102.56,102.56,102.56,102.56,0
10/05/2018,102.56,102.56,102.56,102.56,0
11/05/2018,102.56,102.56,102.56,102.56,0
14/05/2018,102.56,102.56,102.56,102.56,0
15/05/2018,102.62,102.62,102.62,102.62,1458
16/05/2018,102.78,102.78,102.78,102.78,194
17/05/2018,102.78,102.78,102.78,102.78,0
18/05/2018,102.78,102.78,102.78,102.78,0
21/05/2018,102.78,102.78,102.78,102.78,0
22/05/2018,102.78,102.78,102.78,102.78,0
23/05/2018,102.9,102.9,102.9,102.9,1622
24/05/2018,102.63,102.63,102.63,102.63,1457
25/05/2018,102.63,102.63,102.63,102.63,0
28/05/2018,102.63,102.63,102.63,102.63,0
29/05/2018,103.4,103.4,103.4,103.4,1667
30/05/2018,103.4,103.4,103.4,103.4,0
31/05/2018,103.4,103.4,103.4,103.4,0
01/06/2018,103.4,103.4,103.4,103.4,0
04/06/2018,103.4,103.4,103.4,103.4,0
05/06/2018,102.7,102.7,102.7,102.7,2912
06/06/2018,102.7,102.7,102.7,102.7,0
07/06/2018,102.98,102.98,102.98,102.98,98
08/06/2018,102.63,102.63,102.63,102.63,144
12/06/2018,102.63,102.63,102.63,102.63,0
13/06/2018,103.2,103.2,103.2,103.2,42
14/06/2018,103.42,103.42,103.42,103.42,18
15/06/2018,103.42,103.42,103.42,103.42,0
18/06/2018,103.42,103.42,103.42,103.42,0
19/06/2018,103.42,103.42,103.42,103.42,0
20/06/2018,103.42,103.42,103.42,103.42,0
21/06/2018,103.22,103.22,103.22,103.22,229
22/06/2018,103.22,103.22,103.22,103.22,0
25/06/2018,103.22,103.22,103.22,103.22,0
26/06/2018,103.22,103.22,103.22,103.22,0
27/06/2018,103.22,103.22,103.22,103.22,0
28/06/2018,103.22,103.22,103.22,103.22,0
29/06/2018,103.22,103.22,103.22,103.22,0
02/07/2018,103.22,103.22,103.22,103.22,0
03/07/2018,103.22,103.22,103.22,103.22,0
04/07/2018,103.22,103.22,103.22,103.22,0
05/07/2018,103.22,103.22,103.22,103.22,0
06/07/2018,103.22,103.22,103.22,103.22,0
09/07/2018,103.22,103.22,103.22,103.22,0
10/07/2018,103.22,103.22,103.22,103.22,0
11/07/2018,103.22,103.22,103.22,103.22,0
12/07/2018,103.22,103.22,103.22,103.22,0
13/07/2018,103.22,103.22,103.22,103.22,0
16/07/2018,103.22,103.22,103.22,103.22,0
17/07/2018,103.22,103.22,103.22,103.22,0
18/07/2018,103.22,103.22,103.22,103.22,0
19/07/2018,103.22,103.22,103.22,103.22,0
20/07/2018,103.22,103.22,103.22,103.22,0
23/07/2018,103.22,103.22,103.22,103.22,0
24/07/2018,103.22,103.22,103.22,103.22,0
25/07/2018,103.22,103.22,103.22,103.22,0
26/07/2018,103.22,103.22,103.22,103.22,0
27/07/2018,103.22,103.22,103.22,103.22,0
30/07/2018,103.22,103.22,103.22,103.22,0
31/07/2018,103.22,103.22,103.22,103.22,0
01/08/2018,103.22,103.22,103.22,103.22,0
02/08/2018,103.22,103.22,103.22,103.22,0
03/08/2018,103.22,103.22,103.22,103.22,0
06/08/2018,103.22,103.22,103.22,103.22,0
07/08/2018,104.35,104.35,104.35,104.35,145
08/08/2018,104.35,104.35,104.35,104.35,0
09/08/2018,104.35,104.35,104.35,104.35,0
10/08/2018,104.63,104.63,104.63,104.63,1195
13/08/2018,104.63,104.63,104.63,104.63,0
14/08/2018,104.63,104.63,104.63,104.63,0
15/08/2018,104.8,104.8,104.8,104.8,48
16/08/2018,104.8,104.8,104.8,104.8,0
17/08/2018,104.88,104.88,104.47,104.47,1634
20/08/2018,104.47,104.47,104.47,104.47,0
21/08/2018,104.47,104.47,104.47,104.47,0
22/08/2018,104.47,104.47,104.47,104.47,0
23/08/2018,104.47,104.47,104.47,104.47,0
24/08/2018,104.47,104.47,104.47,104.47,0
27/08/2018,104.47,104.47,104.47,104.47,0
28/08/2018,104.47,104.47,104.47,104.47,0
29/08/2018,104.47,104.47,104.47,104.47,0
30/08/2018,105.06,105.06,105.06,105.06,95
31/08/2018,105.06,105.06,105.06,105.06,0
03/09/2018,105.06,105.06,105.06,105.06,0
04/09/2018,105.06,105.06,105.06,105.06,0
05/09/2018,105.06,105.06,105.06,105.06,0
06/09/2018,105.2,105.2,105.2,105.2,226
07/09/2018,105.4,105.4,105.4,105.4,28
10/09/2018,105.4,105.4,105.4,105.4,0
11/09/2018,105.4,105.4,105.4,105.4,0
12/09/2018,105.4,105.4,105.4,105.4,0
13/09/2018,105.4,105.4,105.4,105.4,0
14/09/2018,105.4,105.4,105.4,105.4,0
17/09/2018,104.78,104.78,104.78,104.78,1428
18/09/2018,104.78,104.78,104.78,104.78,0
19/09/2018,104.78,104.78,104.78,104.78,0
20/09/2018,104.78,104.78,104.78,104.78,0
21/09/2018,104.82,104.82,104.82,104.82,957
24/09/2018,104.48,104.48,104.48,104.48,1432
25/09/2018,104.75,104.75,104.75,104.75,34
26/09/2018,104.75,104.75,104.75,104.75,0
27/09/2018,104.75,104.75,104.75,104.75,0
28/09/2018,104.75,104.75,104.75,104.75,0
01/10/2018,104.75,104.75,104.75,104.75,0
02/10/2018,104.72,105.12,104.72,105.12,1455
03/10/2018,105.12,105.12,105.12,105.12,0
04/10/2018,105.14,105.14,105.14,105.14,22
05/10/2018,105.19,105.19,105.19,105.19,91
08/10/2018,105.03,105.03,105.03,105.03,107
09/10/2018,105.07,105.07,105.07,105.07,385
10/10/2018,104.97,104.97,104.97,104.97,190
11/10/2018,103.28,103.28,103.28,103.28,95
12/10/2018,103.28,103.28,103.28,103.28,0
15/10/2018,103.23,103.23,103.23,103.23,32
16/10/2018,103.2,103.2,103.2,103.2,21
17/10/2018,103.23,103.23,103.23,103.23,338
18/10/2018,103.2,103.2,103.2,103.2,47
19/10/2018,103.29,103.29,103.29,103.29,19
22/10/2018,103.26,103.26,103.26,103.26,16
23/10/2018,103.26,103.26,103.26,103.26,0
24/10/2018,103.26,103.26,103.26,103.26,0
25/10/2018,103.26,103.26,103.26,103.26,0
26/10/2018,103.65,103.65,103.65,103.65,24
29/10/2018,103.38,103.38,103.38,103.38,1447
30/10/2018,103.38,103.38,103.38,103.38,0
31/10/2018,103.38,103.38,103.38,103.38,0
01/11/2018,103.71,103.71,103.71,103.71,259
02/11/2018,103.71,103.71,103.71,103.71,0
05/11/2018,103.31,103.31,103.31,103.31,700
06/11/2018,103.31,103.31,103.31,103.31,0
07/11/2018,102.86,102.86,102.86,102.86,34
08/11/2018,103.18,103.18,102.76,102.76,111
09/11/2018,103.09,103.09,103.09,103.09,138
12/11/2018,103.09,103.09,103.09,103.09,0
13/11/2018,103.44,103.44,103.44,103.44,36
14/11/2018,103.44,103.44,103.44,103.44,0
15/11/2018,103.44,103.44,103.44,103.44,0
16/11/2018,103.37,103.44,102.98,103.44,2414
19/11/2018,103.49,103.49,103.49,103.49,16
20/11/2018,103.43,103.43,103.43,103.43,15
21/11/2018,103.43,103.43,103.43,103.43,0
22/11/2018,103.58,103.58,103.58,103.58,438
23/11/2018,103.58,103.58,103.58,103.58,0
26/11/2018,103.58,103.58,103.58,103.58,0
27/11/2018,103.58,103.58,103.58,103.58,0
28/11/2018,103.58,103.58,103.58,103.58,0
29/11/2018,103.79,103.79,103.79,103.79,282
30/11/2018,103.86,103.86,103.86,103.86,285
03/12/2018,103.86,103.86,103.86,103.86,0
04/12/2018,104.02,104.02,104.02,104.02,29
05/12/2018,104.1,104.1,104.1,104.1,34
06/12/2018,104.24,104.24,104.24,104.24,671
07/12/2018,104.43,104.43,104.43,104.43,259
10/12/2018,104.43,104.43,104.43,104.43,0
11/12/2018,104.43,104.43,104.43,104.43,0
12/12/2018,104.29,104.29,104.29,104.29,231
