8VI,20151216,16.5,22,15.5,19.75,64026.36,0
8VI,20151217,20.5,21.5,19,21.5,24595.88,0
8VI,20151218,21,21,19.75,20,17150.4,0
8VI,20151221,19.5,19.5,18,18,16729.26,0
8VI,20151222,18,18.75,18,18.5,8422.5,0
8VI,20151223,18.5,19.25,18.5,19,2896.9,0
8VI,20151224,19,19,18.5,18.5,2782,0
8VI,20151225,18.5,18.5,18.5,18.5,0,0
8VI,20151228,18.5,18.5,18.5,18.5,0,0
8VI,20151229,18.5,19,18.5,18.75,1820,0
8VI,20151230,19,20,18.75,20,11879.66,0
8VI,20151231,20.5,20.5,19.25,20,729.46,0
8VI,20160101,20,20,20,20,0,0
8VI,20160104,20,20,19,19.75,10420,0
8VI,20160105,20,20,19.5,19.5,1091.8,0
8VI,20160106,19.25,19.25,19,19,4882.1,0
8VI,20160107,19,19.25,18.75,19.25,924,0
8VI,20160108,18.75,19.25,18.75,19,7396,0
8VI,20160111,19,19,18.75,19,5083,0
8VI,20160112,18.5,18.5,18,18,3214.54,0
8VI,20160113,18,18.25,16.5,16.5,5363.48,0
8VI,20160114,16,16.5,15,15,1885,0
8VI,20160115,15,15.5,15,15.5,3677.24,0
8VI,20160118,15,15,13.5,15,1560,0
8VI,20160119,15,15,12.75,12.75,4443.4,0
8VI,20160120,13.5,13.5,12.75,12.75,3370,0
8VI,20160121,13,14,13,14,3942,0
8VI,20160122,13.75,13.75,13.75,13.75,2204,0
8VI,20160125,14,14,14,14,750,0
8VI,20160126,14,14,14,14,0,0
8VI,20160127,14,14,12.5,12.5,9000,0
8VI,20160128,12.5,12.5,12.5,12.5,8146,0
8VI,20160129,12.5,14,12,12,2251.5,0
8VI,20160201,12.5,12.5,12.5,12.5,1800,0
8VI,20160202,11.75,12,10.5,12,1730,0
8VI,20160203,12,12,12,12,170,0
8VI,20160204,11.5,12,11.5,12,780.72,0
8VI,20160205,11,11,10.5,11,2482.1,0
8VI,20160208,11,11,10.5,10.5,1634.5,0
8VI,20160209,10.25,11.75,9.75,11.5,5965.08,0
8VI,20160210,11.5,11.5,11.5,11.5,1000,0
8VI,20160211,11.75,12,11.5,12,3000,0
8VI,20160212,11.5,11.5,9.5,9.5,2700,0
8VI,20160215,11.5,12,11.5,12,2000,0
8VI,20160216,11.5,11.5,9.5,9.5,1924,0
8VI,20160217,10.75,11,10.75,11,4000,0
8VI,20160218,10,10,10,10,50,0
8VI,20160219,10,10,10,10,100,0
8VI,20160222,10,11,10,11,2202.6,0
8VI,20160223,10.5,11.25,10.5,11.25,2656,0
8VI,20160224,10,10,10,10,1300,0
8VI,20160225,10,10.5,10,10.5,1878.8,0
8VI,20160226,10.5,10.5,10,10,4121.2,0
8VI,20160229,10,10,10,10,2400,0
8VI,20160301,10,10,10,10,520,0
8VI,20160302,10,10,10,10,2236,0
8VI,20160303,10,10,9.25,9.25,940,0
8VI,20160304,10,10,10,10,998,0
8VI,20160307,10,10,9.75,9.75,1190,0
8VI,20160308,10,10,10,10,891.7,0
8VI,20160309,9.75,9.75,9.75,9.75,200,0
8VI,20160310,9.5,9.5,9.5,9.5,1000,0
8VI,20160311,9.5,10,9.5,10,1611.1,0
8VI,20160314,10,10,10,10,0,0
8VI,20160315,10,10,10,10,0,0
8VI,20160316,10,10,9.5,9.5,730,0
8VI,20160317,9.5,9.5,9.5,9.5,48,0
8VI,20160318,9.5,9.5,9.5,9.5,800,0
8VI,20160321,10,10,10,10,500,0
8VI,20160322,10,10,10,10,0,0
8VI,20160323,9.75,9.75,9.25,9.25,414.4,0
8VI,20160324,9,9.25,9,9.25,765.6,0
8VI,20160325,9.25,9.25,9.25,9.25,0,0
8VI,20160328,9.25,9.25,9.25,9.25,0,0
8VI,20160329,9.5,9.75,9,9.75,4000,0
8VI,20160330,10,10,9.25,9.5,600,0
8VI,20160331,9.25,10,9.25,10,7000,0
8VI,20160401,10,10,10,10,0,0
8VI,20160404,9.5,9.5,9.5,9.5,396,0
8VI,20160405,9.5,9.5,9.5,9.5,100,0
8VI,20160406,9.5,9.5,9.5,9.5,0,0
8VI,20160407,9.5,9.5,8.5,8.5,480,0
8VI,20160408,8,9,8,9,800,0
8VI,20160411,8,8,7,7,2120,0
8VI,20160412,8,8.5,8,8.5,560,0
8VI,20160413,9,9,8.5,8.5,280,0
8VI,20160414,8.5,8.5,8.5,8.5,0,0
8VI,20160415,8.5,8.5,8.5,8.5,0,0
8VI,20160418,7.5,8.25,7.5,8.25,2042.8,0
8VI,20160419,7.5,8.5,7.5,8.5,720,0
8VI,20160420,8.5,8.5,8.5,8.5,0,0
8VI,20160421,8.5,8.5,8,8,958.3,0
8VI,20160422,8.5,8.5,7.75,7.75,2580,0
8VI,20160425,7.75,7.75,7.75,7.75,0,0
8VI,20160426,7.5,7.5,7.5,7.5,500,0
8VI,20160427,7.5,7.5,7.5,7.5,0,0
8VI,20160428,7.5,7.5,7.5,7.5,0,0
8VI,20160429,7.5,7.5,7.5,7.5,0,0
8VI,20160502,7.5,7.5,7.5,7.5,0,0
8VI,20160503,7.5,7.5,7.5,7.5,1000,0
8VI,20160504,7,7,7,7,972.1,0
8VI,20160505,7,7,7,7,3800,0
8VI,20160506,7,7,7,7,2000,0
8VI,20160509,7,7,7,7,0,0
8VI,20160510,7,7,7,7,0,0
